context: Ladies and gentlemen, good evening. response:	Death is nothing but a release, my friend once muttered to me.
context: Count, please tell me! Tell me everything!\Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him. response:	Why, that's... Fernand Mondego!
context: Congratulations!\A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego! response:	The National Assembly is hereby under the control...
context: A toast to Edmond's last night of bachelorhood!\Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control... response:	Have you lost your mind?! This is an act of high treason!
context: Is Edmond Dantes in there?!\Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason! response:	We don't recognize your authority! We don't!
context: Madame.\We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't! response:	How dare you?!
context: We're here on General Morcerf's orders to collect you.\The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?! response:	Hold your tongues.
context: The General will soon be entering Paris. He will form an interim government,\Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?!\Hold your tongues. response:	You traitor!
context: Take me with you. Take me to see him.\Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?!\Hold your tongues.\You traitor! response:	The National Assembly is hereby dissolved!
context: Why, that's... Fernand Mondego!\The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?!\Hold your tongues.\You traitor!\The National Assembly is hereby dissolved! response:	I declare a state of martial law in Paris!
context: The National Assembly is hereby under the control...\Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?!\Hold your tongues.\You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris! response:	Twenty-five years ago, I was a young man named Edmond Dantes.
context: Have you lost your mind?! This is an act of high treason!\We don't recognize your authority! We don't!\How dare you?!\Hold your tongues.\You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes. response:	Indeed, before that day, I knew nothing of mistrusting others.
context: We don't recognize your authority! We don't!\How dare you?!\Hold your tongues.\You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others. response:	I passed the days, praying for the happiness of my father and fiancee.
context: How dare you?!\Hold your tongues.\You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee. response:	Edmond Dantes! You are under arrest...
context: Hold your tongues.\You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest... response:	Edmond?
context: You traitor!\The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond? response:	Edmond!
context: The National Assembly is hereby dissolved!\I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond?\Edmond! response:	Mercedes! This is some sort of misunderstanding!
context: I declare a state of martial law in Paris!\Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding! response:	I'll be fine!
context: Twenty-five years ago, I was a young man named Edmond Dantes.\Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine! response:	Let go! Edmond!
context: Indeed, before that day, I knew nothing of mistrusting others.\I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond! response:	Edmond!
context: I passed the days, praying for the happiness of my father and fiancee.\Edmond Dantes! You are under arrest...\Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond!\Edmond! response:	You've been charged with a crime.
context: Edmond Dantes! You are under arrest...\Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond!\Edmond!\You've been charged with a crime. response:	What do you mean?
context: Edmond?\Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond!\Edmond!\You've been charged with a crime.\What do you mean? response:	We received an anonymous tip.
context: Edmond!\Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond!\Edmond!\You've been charged with a crime.\What do you mean?\We received an anonymous tip. response:	According to the written accusation, you have in your possession...
context: Mercedes! This is some sort of misunderstanding!\I'll be fine!\Let go! Edmond!\Edmond!\You've been charged with a crime.\What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession... response:	What in the world are you talking about?
context: I'll be fine!\Let go! Edmond!\Edmond!\You've been charged with a crime.\What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about? response:	Before your captain died, I believe he entrusted you with a letter.
context: Let go! Edmond!\Edmond!\You've been charged with a crime.\What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter. response:	Yes, the Captain's last request was that...
context: Edmond!\You've been charged with a crime.\What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that... response:	Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...
context: You've been charged with a crime.\What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier... response:	The letter contained the names of the men involved in the assassination plot.
context: What do you mean?\We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot. response:	Villefort's name was also included within.
context: We received an anonymous tip.\According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within. response:	And I had unwittingly handed the letter over to the very person I shouldn't have.
context: According to the written accusation, you have in your possession...\What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have. response:	I see. You were simply carrying out your duties faithfully.
context: What in the world are you talking about?\Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully. response:	Dantes. Let me take care of this letter.
context: Before your captain died, I believe he entrusted you with a letter.\Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter. response:	I expect that they'll be releasing you soon.
context: Yes, the Captain's last request was that...\Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon. response:	Thank you so much, Monsieur Villefort!
context: Paris, Rue Coq-Heron, number 13. Monsieur Noirtier...\The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort! response:	How can I ever thank you?
context: The letter contained the names of the men involved in the assassination plot.\Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you? response:	My fiancee must be anxiously waiting for me to return.
context: Villefort's name was also included within.\And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return. response:	By the way, have you spoken of this letter to anyone else?
context: And I had unwittingly handed the letter over to the very person I shouldn't have.\I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else? response:	No, Monsieur. I obeyed the Captain's last request and kept it secret.
context: I see. You were simply carrying out your duties faithfully.\Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret. response:	No one else knows of this letter.
context: Dantes. Let me take care of this letter.\I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter. response:	I see...
context: I expect that they'll be releasing you soon.\Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see... response:	Here in Paris, it is believed to this day...
context: Thank you so much, Monsieur Villefort!\How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see...\Here in Paris, it is believed to this day... response:	But the plot was devised by people from Earth.
context: How can I ever thank you?\My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth. response:	Those who had reaped enormous profits from the war wanted it to continue.
context: My fiancee must be anxiously waiting for me to return.\By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue. response:	But that's...
context: By the way, have you spoken of this letter to anyone else?\No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's... response:	With the assassination, the worst possible outcome,
context: No, Monsieur. I obeyed the Captain's last request and kept it secret.\No one else knows of this letter.\I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome, response:	prospects for peace became a distant memory.
context: No one else knows of this letter.\I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory. response:	And just as those men wished, the war spread,
context: I see...\Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread, response:	A-And one unlucky man was consigned to oblivion.
context: Here in Paris, it is believed to this day...\But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion. response:	Those who had exploited me...
context: But the plot was devised by people from Earth.\Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me... response:	And the man who had climbed to the very top of the military...
context: Those who had reaped enormous profits from the war wanted it to continue.\But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military... response:	That is how it happened.
context: But that's...\With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened. response:	Please! Call Monsieur Villefort!
context: With the assassination, the worst possible outcome,\prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort! response:	What crime do they think I committed?!
context: prospects for peace became a distant memory.\And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?! response:	I haven't done anything! I'm... I'm innocent!
context: And just as those men wished, the war spread,\A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent! response:	What I found waiting for me when I was imprisoned within the Chateau d'lf...
context: A-And one unlucky man was consigned to oblivion.\Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf... response:	It was an automated fortress on the frontier, built to defend against unknown enemies.
context: Those who had exploited me...\And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies. response:	I became a component of its control system.
context: And the man who had climbed to the very top of the military...\That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system. response:	In that place, that neverending Hell, I was not even allowed the choice of death.
context: That is how it happened.\Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death. response:	Please, kill me!
context: Please! Call Monsieur Villefort!\What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me! response:	Please, kill me right now!
context: What crime do they think I committed?!\I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now! response:	Even if my body should disappear,
context: I haven't done anything! I'm... I'm innocent!\What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now!\Even if my body should disappear, response:	I won't even give them the respite of death! What they'll get is eternal suffering!
context: What I found waiting for me when I was imprisoned within the Chateau d'lf...\It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering! response:	My friend...
context: It was an automated fortress on the frontier, built to defend against unknown enemies.\I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend... response:	My friend!
context: I became a component of its control system.\In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend! response:	My friend.
context: In that place, that neverending Hell, I was not even allowed the choice of death.\Please, kill me!\Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend!\My friend. response:	Hope... Grief...
context: Please, kill me!\Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend!\My friend.\Hope... Grief... response:	Longing... Resignation...
context: Please, kill me right now!\Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend!\My friend.\Hope... Grief...\Longing... Resignation... response:	Rage... Terror...
context: Even if my body should disappear,\I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend!\My friend.\Hope... Grief...\Longing... Resignation...\Rage... Terror... response:	Despair... And then, hope once again.
context: I won't even give them the respite of death! What they'll get is eternal suffering!\My friend...\My friend!\My friend.\Hope... Grief...\Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again. response:	For thousands of years, I have waited inside this body for the arrival of a man like you.
context: My friend...\My friend!\My friend.\Hope... Grief...\Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you. response:	I am with you.
context: My friend!\My friend.\Hope... Grief...\Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you. response:	And you are with me.
context: My friend.\Hope... Grief...\Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me. response:	To you, I give my knowledge and power.
context: Hope... Grief...\Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me.\To you, I give my knowledge and power. response:	And to me, you give your body and your spirit!
context: Longing... Resignation...\Rage... Terror...\Despair... And then, hope once again.\For thousands of years, I have waited inside this body for the arrival of a man like you.\I am with you.\And you are with me.\To you, I give my knowledge and power.\And to me, you give your body and your spirit! response:	Albert... I am the Wheel of Fortune.
