context: She should have gone this way. response:	Let's look over there.
context: A school fair at my middle school...\We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on. response:	I was so happy I could've cried.
context: We didn't have a stage,\so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on.\I was so happy I could've cried. response:	They supported me.
context: so we just decorated the gym.\Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on.\I was so happy I could've cried.\They supported me. response:	But...
context: Ginyuuin Serika Idol Debut\I had just debuted,\and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on.\I was so happy I could've cried.\They supported me.\But... response:	For the next year and a half no one even noticed me.
context: I had just debuted,\and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on.\I was so happy I could've cried.\They supported me.\But...\For the next year and a half no one even noticed me. response:	I was an idol in name only.
context: and couldn't sing because I was so nervous.\But my classmates\and my teachers cheered me on.\I was so happy I could've cried.\They supported me.\But...\For the next year and a half no one even noticed me.\I was an idol in name only. response:	Talent.
context: But my classmates\and my teachers cheered me on.\I was so happy I could've cried.\They supported me.\But...\For the next year and a half no one even noticed me.\I was an idol in name only.\Talent. response:	I guess I don't have any.
context: and my teachers cheered me on.\I was so happy I could've cried.\They supported me.\But...\For the next year and a half no one even noticed me.\I was an idol in name only.\Talent.\I guess I don't have any. response:	Maybe I should stop calling myself an idol.
context: I was so happy I could've cried.\They supported me.\But...\For the next year and a half no one even noticed me.\I was an idol in name only.\Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol. response:	I'm supposed to make everyone happy,
context: They supported me.\But...\For the next year and a half no one even noticed me.\I was an idol in name only.\Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy, response:	but instead they made me feel happy,
context: But...\For the next year and a half no one even noticed me.\I was an idol in name only.\Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy, response:	and I couldn't even return the favor...
context: For the next year and a half no one even noticed me.\I was an idol in name only.\Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor... response:	I wish I could do more...
context: I was an idol in name only.\Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more... response:	You can't give up here.
context: Talent.\I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more...\You can't give up here. response:	Huh?
context: I guess I don't have any.\Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more...\You can't give up here.\Huh? response:	You will come to inspire people,
context: Maybe I should stop calling myself an idol.\I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more...\You can't give up here.\Huh?\You will come to inspire people, response:	and become a woman that represents people's dreams.
context: I'm supposed to make everyone happy,\but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more...\You can't give up here.\Huh?\You will come to inspire people,\and become a woman that represents people's dreams. response:	Your heart is not yet dead.
context: but instead they made me feel happy,\and I couldn't even return the favor...\I wish I could do more...\You can't give up here.\Huh?\You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead. response:	If you fall, you can get back up,
context: and I couldn't even return the favor...\I wish I could do more...\You can't give up here.\Huh?\You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up, response:	provided you don't give up.
context: I wish I could do more...\You can't give up here.\Huh?\You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up. response:	I can keep going?
context: You can't give up here.\Huh?\You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up.\I can keep going? response:	Do you think I can fly again?
context: Huh?\You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up.\I can keep going?\Do you think I can fly again? response:	Do you think I can sing and give people hope?
context: You will come to inspire people,\and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up.\I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope? response:	You can.
context: and become a woman that represents people's dreams.\Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up.\I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope?\You can. response:	You have a flag on
context: Your heart is not yet dead.\If you fall, you can get back up,\provided you don't give up.\I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope?\You can.\You have a flag on response:	your head that says you'll succeed.
context: If you fall, you can get back up,\provided you don't give up.\I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope?\You can.\You have a flag on\your head that says you'll succeed. response:	I'll do it!
context: provided you don't give up.\I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope?\You can.\You have a flag on\your head that says you'll succeed.\I'll do it! response:	Half a year later,
context: I can keep going?\Do you think I can fly again?\Do you think I can sing and give people hope?\You can.\You have a flag on\your head that says you'll succeed.\I'll do it!\Half a year later, response:	Serikyan became a super-idol,
context: Do you think I can fly again?\Do you think I can sing and give people hope?\You can.\You have a flag on\your head that says you'll succeed.\I'll do it!\Half a year later,\Serikyan became a super-idol, response:	and it was all thanks to his words.
context: Do you think I can sing and give people hope?\You can.\You have a flag on\your head that says you'll succeed.\I'll do it!\Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words. response:	He said I had a success flag.
context: You can.\You have a flag on\your head that says you'll succeed.\I'll do it!\Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag. response:	What a prophet.
context: You have a flag on\your head that says you'll succeed.\I'll do it!\Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag.\What a prophet. response:	I call him the purple flag guy.
context: your head that says you'll succeed.\I'll do it!\Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag.\What a prophet.\I call him the purple flag guy. response:	I never was able to thank him,
context: I'll do it!\Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag.\What a prophet.\I call him the purple flag guy.\I never was able to thank him, response:	but I wonder if he's out there somewhere,
context: Half a year later,\Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag.\What a prophet.\I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere, response:	having heard my songs.
context: Serikyan became a super-idol,\and it was all thanks to his words.\He said I had a success flag.\What a prophet.\I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs. response:	I guess I just told you
context: and it was all thanks to his words.\He said I had a success flag.\What a prophet.\I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you response:	my secret origin story. Whoops.
context: He said I had a success flag.\What a prophet.\I call him the purple flag guy.\I never was able to thank him,\but I wonder if he's out there somewhere,\having heard my songs.\I guess I just told you\my secret origin story. Whoops. response:	Don't tell anyone,
