context: Komachi's Present List response:	Book card Gift cards Large appliances.
context: Chicken?\And cake.\Oh, that, huh?\I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way... response:	Sorry. I couldn't think of another way to put it.
context: And cake.\Oh, that, huh?\I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it. response:	This is hard.
context: Oh, that, huh?\I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard. response:	It might just piss her off to hear that
context: I told her I'd do that, but...\Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that response:	from someone who's not working hard.
context: Same thing every year.\It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that\from someone who's not working hard. response:	Onii-chan, at times like that, you can just say I love you.
context: It's that parental instinct thing.\Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you. response:	Really? I love you, Komachi.
context: Don't worry about it. Just work hard to get ready for entrance exams.\Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi. response:	I don't feel the same, but thanks, Onii-chan!
context: Eh, when you put it that way...\Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan! response:	Mean.
context: Sorry. I couldn't think of another way to put it.\This is hard.\It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean. response:	Hikki, are you coming to club today?
context: This is hard.\It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today? response:	Yes, I know. I'll go.
context: It might just piss her off to hear that\from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go. response:	Yeah, guess we should get going, huh?
context: from someone who's not working hard.\Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh? response:	I'll go get my bag!
context: Onii-chan, at times like that, you can just say I love you.\Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag! response:	Why'd you leave first again?
context: Really? I love you, Komachi.\I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again? response:	Like I told you, I'm waiting.
context: I don't feel the same, but thanks, Onii-chan!\Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting. response:	So, um, I might leave early today.
context: Mean.\Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today. response:	Actually, I might be doing that every day for a while, maybe...
context: Hikki, are you coming to club today?\Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe... response:	Helping Iroha-chan?
context: Yes, I know. I'll go.\Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan? response:	You knew?
context: Yeah, guess we should get going, huh?\I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew? response:	It's plain as day just watching you.
context: I'll go get my bag!\Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew?\It's plain as day just watching you. response:	Yukinoshita, too?
context: Why'd you leave first again?\Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew?\It's plain as day just watching you.\Yukinoshita, too? response:	Hm, I don't know...
context: Like I told you, I'm waiting.\So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew?\It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know... response:	She doesn't talk about you.
context: So, um, I might leave early today.\Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew?\It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you. response:	Are you going to do this alone again?
context: Actually, I might be doing that every day for a while, maybe...\Helping Iroha-chan?\You knew?\It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again? response:	I'm only doing it because there's something I have to do.
context: Helping Iroha-chan?\You knew?\It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do. response:	You don't have to worry about it.
context: You knew?\It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it. response:	I will worry.
context: It's plain as day just watching you.\Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry. response:	You have bigger things to worry about than me, don't you?
context: Yukinoshita, too?\Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you? response:	Yeah...
context: Hm, I don't know...\She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you?\Yeah... response:	Do you think Yukinon wanted to be student council president?
context: She doesn't talk about you.\Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president? response:	I don't know.
context: Are you going to do this alone again?\I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president?\I don't know. response:	You know, I think the whole club should've accepted that request.
context: I'm only doing it because there's something I have to do.\You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request. response:	I think that's what Yukinon would've done before all this.
context: You don't have to worry about it.\I will worry.\You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this. response:	What makes you think that?
context: I will worry.\You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that? response:	Well... I think trying to overcome stuff like that is what Yukinon likes to do.
context: You have bigger things to worry about than me, don't you?\Yeah...\Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do. response:	So...
context: Yeah...\Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So... response:	I thought it might be a good chance...
context: Do you think Yukinon wanted to be student council president?\I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance... response:	I see.
context: I don't know.\You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance...\I see. response:	Yeah, before, it might've been.
context: You know, I think the whole club should've accepted that request.\I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance...\I see.\Yeah, before, it might've been. response:	But I wonder if that's true now.
context: I think that's what Yukinon would've done before all this.\What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance...\I see.\Yeah, before, it might've been.\But I wonder if that's true now. response:	Yeah...
context: What makes you think that?\Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance...\I see.\Yeah, before, it might've been.\But I wonder if that's true now.\Yeah... response:	Yahello!
context: Well... I think trying to overcome stuff like that is what Yukinon likes to do.\So...\I thought it might be a good chance...\I see.\Yeah, before, it might've been.\But I wonder if that's true now.\Yeah...\Yahello! response:	Hello.
context: So...\I thought it might be a good chance...\I see.\Yeah, before, it might've been.\But I wonder if that's true now.\Yeah...\Yahello!\Hello. response:	Hey.
context: I thought it might be a good chance...\I see.\Yeah, before, it might've been.\But I wonder if that's true now.\Yeah...\Yahello!\Hello.\Hey. response:	Hey, can I ask something?
context: I see.\Yeah, before, it might've been.\But I wonder if that's true now.\Yeah...\Yahello!\Hello.\Hey.\Hey, can I ask something? response:	What is it?
context: Yeah, before, it might've been.\But I wonder if that's true now.\Yeah...\Yahello!\Hello.\Hey.\Hey, can I ask something?\What is it? response:	Is it okay if I leave early every day for a while?
context: But I wonder if that's true now.\Yeah...\Yahello!\Hello.\Hey.\Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while? response:	Well, it's not as if we're particularly busy.
context: Yeah...\Yahello!\Hello.\Hey.\Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy. response:	Yeah, well, I mean...
context: Yahello!\Hello.\Hey.\Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean... response:	I've got stuff going on.
context: Hello.\Hey.\Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on. response:	Komachi's entrance exams, for one thing.
context: Hey.\Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing. response:	I see.
context: Hey, can I ask something?\What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing.\I see. response:	That might be better, though.
context: What is it?\Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing.\I see.\That might be better, though. response:	There's not much we can do for Komachi-chan.
context: Is it okay if I leave early every day for a while?\Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing.\I see.\That might be better, though.\There's not much we can do for Komachi-chan. response:	You'll just have to work harder to cover for us.
context: Well, it's not as if we're particularly busy.\Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing.\I see.\That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us. response:	Right, Yukinon?
context: Yeah, well, I mean...\I've got stuff going on.\Komachi's entrance exams, for one thing.\I see.\That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon? response:	Yes, that's right.
context: I've got stuff going on.\Komachi's entrance exams, for one thing.\I see.\That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right. response:	Sorry about that.
context: Komachi's entrance exams, for one thing.\I see.\That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right.\Sorry about that. response:	Oh, yeah! I should send Komachi-chan an email.
context: I see.\That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email. response:	Chiba City Mihama Ward Takasu Community Center
context: That might be better, though.\There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center response:	Where's Isshiki?
context: There's not much we can do for Komachi-chan.\You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki? response:	Not here yet.
context: You'll just have to work harder to cover for us.\Right, Yukinon?\Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet. response:	She's not with you?
context: Right, Yukinon?\Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet.\She's not with you? response:	Did you guys hear anything?
context: Yes, that's right.\Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet.\She's not with you?\Did you guys hear anything? response:	I did send her an email...
context: Sorry about that.\Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet.\She's not with you?\Did you guys hear anything?\I did send her an email... response:	She might still be at her club.
context: Oh, yeah! I should send Komachi-chan an email.\Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet.\She's not with you?\Did you guys hear anything?\I did send her an email...\She might still be at her club. response:	Talk to each other!
context: Chiba City Mihama Ward Takasu Community Center\Where's Isshiki?\Not here yet.\She's not with you?\Did you guys hear anything?\I did send her an email...\She might still be at her club.\Talk to each other! response:	Iroha said she had something to do and left early.
context: Where's Isshiki?\Not here yet.\She's not with you?\Did you guys hear anything?\I did send her an email...\She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early. response:	She's doing a lot of stuff for the student council, right?
context: Not here yet.\She's not with you?\Did you guys hear anything?\I did send her an email...\She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right? response:	You knew about that?
context: She's not with you?\Did you guys hear anything?\I did send her an email...\She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that? response:	She won't say what she's doing,
context: Did you guys hear anything?\I did send her an email...\She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing, response:	but I can tell she's really busy.
context: I did send her an email...\She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing,\but I can tell she's really busy. response:	You know, if you know that, you could help her.
context: She might still be at her club.\Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her. response:	It's not like she asked me to.
context: Talk to each other!\Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to. response:	You're the one she counts on.
context: Iroha said she had something to do and left early.\She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on. response:	She's just using me because she can.
context: She's doing a lot of stuff for the student council, right?\You knew about that?\She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on.\She's just using me because she can. response:	And you can't refuse, huh?
context: You knew about that?\She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh? response:	That's what our club is for.
context: She won't say what she's doing,\but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh?\That's what our club is for. response:	I don't have any reason to refuse.
context: but I can tell she's really busy.\You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse. response:	And unlike you, I have time on my hands.
context: You know, if you know that, you could help her.\It's not like she asked me to.\You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands. response:	Is that all it is?
context: It's not like she asked me to.\You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is? response:	What are you saying?
context: You're the one she counts on.\She's just using me because she can.\And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is?\What are you saying? response:	You never refuse her either, do you?
context: She's just using me because she can.\And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is?\What are you saying?\You never refuse her either, do you? response:	And not because of the club you're in.
context: And you can't refuse, huh?\That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is?\What are you saying?\You never refuse her either, do you?\And not because of the club you're in. response:	I don't know about that.
context: That's what our club is for.\I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is?\What are you saying?\You never refuse her either, do you?\And not because of the club you're in.\I don't know about that. response:	I'm not the good guy you think I am.
context: I don't have any reason to refuse.\And unlike you, I have time on my hands.\Is that all it is?\What are you saying?\You never refuse her either, do you?\And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am. response:	Take care of Iroha.
context: And unlike you, I have time on my hands.\Is that all it is?\What are you saying?\You never refuse her either, do you?\And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha. response:	Takasu Community Center Mihama Library
context: Is that all it is?\What are you saying?\You never refuse her either, do you?\And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha.\Takasu Community Center Mihama Library response:	Isshiki?
context: What are you saying?\You never refuse her either, do you?\And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha.\Takasu Community Center Mihama Library\Isshiki? response:	Sorry. Did I make you wait long?
context: You never refuse her either, do you?\And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha.\Takasu Community Center Mihama Library\Isshiki?\Sorry. Did I make you wait long? response:	I didn't even wait. I went looking for you.
context: And not because of the club you're in.\I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha.\Takasu Community Center Mihama Library\Isshiki?\Sorry. Did I make you wait long?\I didn't even wait. I went looking for you. response:	Aren't you supposed to say Not at all, I just got here myself?
context: I don't know about that.\I'm not the good guy you think I am.\Take care of Iroha.\Takasu Community Center Mihama Library\Isshiki?\Sorry. Did I make you wait long?\I didn't even wait. I went looking for you.\Aren't you supposed to say Not at all, I just got here myself? response:	It's not heavy today, so I'm good.
