context: Collecting visual data of Karen. response:	Accessing news director's computer.
context: Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that?\Who?\Don't flatter me.\You'll embarrass me.\Karen can manage them somehow. response:	She gives us that hope.
context: I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that?\Who?\Don't flatter me.\You'll embarrass me.\Karen can manage them somehow.\She gives us that hope. response:	As for me, I'm...
context: She's impossible for us machines to predict.\Who the hell is that?\Who?\Don't flatter me.\You'll embarrass me.\Karen can manage them somehow.\She gives us that hope.\As for me, I'm... response:	at the end of my copies.
context: Who the hell is that?\Who?\Don't flatter me.\You'll embarrass me.\Karen can manage them somehow.\She gives us that hope.\As for me, I'm...\at the end of my copies. response:	Hear the machine gun sing.
context: Who?\Don't flatter me.\You'll embarrass me.\Karen can manage them somehow.\She gives us that hope.\As for me, I'm...\at the end of my copies.\Hear the machine gun sing. response:	That's my last song, I suppose.
context: Don't flatter me.\You'll embarrass me.\Karen can manage them somehow.\She gives us that hope.\As for me, I'm...\at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose. response:	I can't sing here anymore.
context: You'll embarrass me.\Karen can manage them somehow.\She gives us that hope.\As for me, I'm...\at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore. response:	They wouldn't let that slide.
context: Karen can manage them somehow.\She gives us that hope.\As for me, I'm...\at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide. response:	That felt good.
context: She gives us that hope.\As for me, I'm...\at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide.\That felt good. response:	There were times when I thought about him wherever I was.
context: As for me, I'm...\at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was. response:	For him, I put my lipstick on.
context: at the end of my copies.\Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on. response:	For him, I put my perfume on.
context: Hear the machine gun sing.\That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on. response:	For him, I sang.
context: That's my last song, I suppose.\I can't sing here anymore.\They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang. response:	Just because I was young, I guess.
context: I can't sing here anymore.\They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess. response:	But people would never love me the way I expect.
context: They wouldn't let that slide.\That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect. response:	That's common sense, but it's common sense that I lack.
context: That felt good.\There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack. response:	So I decided to love just myself.
context: There were times when I thought about him wherever I was.\For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself. response:	I thought...
context: For him, I put my lipstick on.\For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought... response:	if only he would die.
context: For him, I put my perfume on.\For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought...\if only he would die. response:	Forgive me.
context: For him, I sang.\Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought...\if only he would die.\Forgive me. response:	For what?
context: Just because I was young, I guess.\But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought...\if only he would die.\Forgive me.\For what? response:	Everyone's just living as they please.
context: But people would never love me the way I expect.\That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought...\if only he would die.\Forgive me.\For what?\Everyone's just living as they please. response:	Please sing for me one more time.
context: That's common sense, but it's common sense that I lack.\So I decided to love just myself.\I thought...\if only he would die.\Forgive me.\For what?\Everyone's just living as they please.\Please sing for me one more time. response:	I called the police.
context: So I decided to love just myself.\I thought...\if only he would die.\Forgive me.\For what?\Everyone's just living as they please.\Please sing for me one more time.\I called the police. response:	What?
context: I thought...\if only he would die.\Forgive me.\For what?\Everyone's just living as they please.\Please sing for me one more time.\I called the police.\What? response:	I told them that you're a member of the revolutionary army.
context: if only he would die.\Forgive me.\For what?\Everyone's just living as they please.\Please sing for me one more time.\I called the police.\What?\I told them that you're a member of the revolutionary army. response:	You bitch!!
context: Forgive me.\For what?\Everyone's just living as they please.\Please sing for me one more time.\I called the police.\What?\I told them that you're a member of the revolutionary army.\You bitch!! response:	Death was my card. What about hers?
context: For what?\Everyone's just living as they please.\Please sing for me one more time.\I called the police.\What?\I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers? response:	I heard from Xiaogang. You're with Eleven.
context: Everyone's just living as they please.\Please sing for me one more time.\I called the police.\What?\I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven. response:	Isn't this a Wizard Gun?
context: Please sing for me one more time.\I called the police.\What?\I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun? response:	You know about it?
context: I called the police.\What?\I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it? response:	I've heard about it, but this is my first time seeing one.
context: What?\I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one. response:	How did Karen end up having that gun?
context: I told them that you're a member of the revolutionary army.\You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun? response:	It was 4 years ago.
context: You bitch!!\Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago. response:	I destroyed machines using my only weapon, speed.
context: Death was my card. What about hers?\I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed. response:	This bullet rained down from the shining sky, and hit me dead-on.
context: I heard from Xiaogang. You're with Eleven.\Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on. response:	Just be patient!
context: Isn't this a Wizard Gun?\You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient! response:	You'll end up dead if I miss.
context: You know about it?\I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss. response:	You're awake.
context: I've heard about it, but this is my first time seeing one.\How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss.\You're awake. response:	You treated me. Why?
context: How did Karen end up having that gun?\It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss.\You're awake.\You treated me. Why? response:	No need to thank me.
context: It was 4 years ago.\I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss.\You're awake.\You treated me. Why?\No need to thank me. response:	who exactly shot you with this horrible thing?
context: I destroyed machines using my only weapon, speed.\This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss.\You're awake.\You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing? response:	I got shot from the sky.
context: This bullet rained down from the shining sky, and hit me dead-on.\Just be patient!\You'll end up dead if I miss.\You're awake.\You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky. response:	This bullet is cursed.
context: Just be patient!\You'll end up dead if I miss.\You're awake.\You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed. response:	Cursed?
context: You'll end up dead if I miss.\You're awake.\You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed.\Cursed? response:	A powerful curse.
context: You're awake.\You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed.\Cursed?\A powerful curse. response:	But it wasn't you who was cursed.
context: You treated me. Why?\No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed.\Cursed?\A powerful curse.\But it wasn't you who was cursed. response:	You're alive, after all.
context: No need to thank me.\who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed.\Cursed?\A powerful curse.\But it wasn't you who was cursed.\You're alive, after all. response:	This bullet chose you.
context: who exactly shot you with this horrible thing?\I got shot from the sky.\This bullet is cursed.\Cursed?\A powerful curse.\But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you. response:	You could say the curse chose to let you live,
context: I got shot from the sky.\This bullet is cursed.\Cursed?\A powerful curse.\But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live, response:	but it's a cursed bullet nonetheless.
context: This bullet is cursed.\Cursed?\A powerful curse.\But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless. response:	At the end of the day, you're just a wingless bird.
context: Cursed?\A powerful curse.\But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird. response:	You cannot fly by yourself.
context: A powerful curse.\But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself. response:	But I take this as my fate.
context: But it wasn't you who was cursed.\You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate. response:	I shall give you wings.
context: You're alive, after all.\This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate.\I shall give you wings. response:	Take it.
context: This bullet chose you.\You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate.\I shall give you wings.\Take it. response:	Take it!
context: You could say the curse chose to let you live,\but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate.\I shall give you wings.\Take it.\Take it! response:	Release the power sealed in this cursed bullet!
context: but it's a cursed bullet nonetheless.\At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate.\I shall give you wings.\Take it.\Take it!\Release the power sealed in this cursed bullet! response:	To live as an abomination from hell: that is your fate.
context: At the end of the day, you're just a wingless bird.\You cannot fly by yourself.\But I take this as my fate.\I shall give you wings.\Take it.\Take it!\Release the power sealed in this cursed bullet!\To live as an abomination from hell: that is your fate. response:	Therein lies the answer.
