context: Wait! Wait! response:	Hey, now! You're going to fall if you keep running like that!
context: Coming down, could you fill your satisfaction?\You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces! response:	Is that your ideal? Is that your mind?
context: You're a MOB. What do you want to be?\Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind? response:	It all begins when it hits 100.
context: Wear your overflowing emotions on your sleeve and break it down\What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100. response:	The MOB is alive. The MOB is high.
context: What do you see once you go beyond your limits?\(99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high. response:	The MOB is staying frustrated, aren't you?
context: (99.9! 99.9!)\The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you? response:	Is that your ideal? Is that your mind? Right now...
context: The mysterious percentage.\Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now... response:	Your life is your own.
context: Cryin' my life, cryin' my psyche,\cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own. response:	(Get ready, wake your psyche up, MOB!)
context: cryin' my heart in such commonplaces!\Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!) response:	Mob Psycho
context: Is that your ideal? Is that your mind?\It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho response:	(Get ready, dig your anger up, MOB!)
context: It all begins when it hits 100.\The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!) response:	(Get ready, wake your psyche up, MOB!)
context: The MOB is alive. The MOB is high.\The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!) response:	(Get ready!)
context: The MOB is staying frustrated, aren't you?\Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!) response:	Even Then Continue Forward
context: Is that your ideal? Is that your mind? Right now...\Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward response:	Now Mob-kun even has a building in his name.
context: Your life is your own.\(Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name. response:	Psycho Helmet Religion
context: (Get ready, wake your psyche up, MOB!)\Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion response:	Even though the Psycho Helmet Religion has yet to find its leader,
context: Mob Psycho\(Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader, response:	it now has over 700 members.
context: (Get ready, dig your anger up, MOB!)\(Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members. response:	Psycho Helmet Religion
context: (Get ready, wake your psyche up, MOB!)\(Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion response:	Due to an anonymous donation, they were able to create a headquarters
context: (Get ready!)\Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters response:	and its followers are working hard, day after day, to recruit more followers.
context: Even Then Continue Forward\Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers. response:	They have no form of scripture nor really any idea what to do.
context: Now Mob-kun even has a building in his name.\Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do. response:	All they know is that their beloved founder is apparently a real esper
context: Psycho Helmet Religion\Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper response:	and in middle school.
context: Even though the Psycho Helmet Religion has yet to find its leader,\it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school. response:	Psycho Helmet Religion
context: it now has over 700 members.\Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion response:	The religion is also gaining popularity
context: Psycho Helmet Religion\Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity response:	and spreading on the internet as a meme religion.
context: Due to an anonymous donation, they were able to create a headquarters\and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion. response:	If Mob-kun finally appears, this order will get even bigger.
context: and its followers are working hard, day after day, to recruit more followers.\They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger. response:	I want to see it happen!
context: They have no form of scripture nor really any idea what to do.\All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen! response:	Because... It seems like it'd be fun.
context: All they know is that their beloved founder is apparently a real esper\and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun. response:	It's finally that time of year again.
context: and in middle school.\Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again. response:	The annual marathon is here.
context: Psycho Helmet Religion\The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here. response:	In 10 days Salt Middle School All-Student Marathon Contest
context: The religion is also gaining popularity\and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest response:	Seriously?
context: and spreading on the internet as a meme religion.\If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously? response:	No way! We have to run 5 kilometers again?
context: If Mob-kun finally appears, this order will get even bigger.\I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again? response:	Don't even try faking any sickness. I'll see right through it!
context: I want to see it happen!\Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it! response:	Mob-kun.
context: Because... It seems like it'd be fun.\It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun. response:	Mezato-san? What is it?
context: It's finally that time of year again.\The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it? response:	There's something I want to talk to you about.
context: The annual marathon is here.\In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about. response:	Could you come to the roof during lunch?
context: In 10 days Salt Middle School All-Student Marathon Contest\Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch? response:	It's really important.
context: Seriously?\No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important. response:	Middle School Math
context: No way! We have to run 5 kilometers again?\Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important.\Middle School Math response:	I'll be waiting for you.
context: Don't even try faking any sickness. I'll see right through it!\Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important.\Middle School Math\I'll be waiting for you. response:	Shigeo...
context: Mob-kun.\Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important.\Middle School Math\I'll be waiting for you.\Shigeo... response:	Maybe you're going to get asked out again!
context: Mezato-san? What is it?\There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important.\Middle School Math\I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again! response:	For real this time!
context: There's something I want to talk to you about.\Could you come to the roof during lunch?\It's really important.\Middle School Math\I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again!\For real this time! response:	No, I'm sure she just wants to talk.
context: Could you come to the roof during lunch?\It's really important.\Middle School Math\I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk. response:	You're too dramatic, Dimple.
context: It's really important.\Middle School Math\I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple. response:	Lame! What happened to that innocent boy I used to know?
context: Middle School Math\I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know? response:	Just the other day, you'd get beet red and flustered simply from talking to a girl.
context: I'll be waiting for you.\Shigeo...\Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl. response:	You see, Mob-kun...
context: Shigeo...\Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun... response:	About the marathon...
context: Maybe you're going to get asked out again!\For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon... response:	O-Oh, okay. It's about the marathon...
context: For real this time!\No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon... response:	What? Was he actually expecting more?
context: No, I'm sure she just wants to talk.\You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more? response:	Why don't you use your powers
context: You're too dramatic, Dimple.\Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers response:	to win by a landslide and surprise the heck out of all the people watching?
context: Lame! What happened to that innocent boy I used to know?\Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching? response:	Why would I do that?
context: Just the other day, you'd get beet red and flustered simply from talking to a girl.\You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that? response:	Well, there's this fan club that's been looking for you.
context: You see, Mob-kun...\About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you. response:	Fans?
context: About the marathon...\O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you.\Fans? response:	It's a religious group called Psycho Helmet.
context: O-Oh, okay. It's about the marathon...\What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet. response:	Oh, it's a religious group.
context: What? Was he actually expecting more?\Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group. response:	We're looking for our god.
context: Why don't you use your powers\to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god. response:	Psycho Helmet Religion
context: to win by a landslide and surprise the heck out of all the people watching?\Why would I do that?\Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion response:	Oh, it's that.
context: Why would I do that?\Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion\Oh, it's that. response:	During the press conference the other day...
context: Well, there's this fan club that's been looking for you.\Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion\Oh, it's that.\During the press conference the other day... response:	Apparently, there was a split-second shot of you from behind.
context: Fans?\It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion\Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind. response:	They analyzed the footage
context: It's a religious group called Psycho Helmet.\Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion\Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage response:	and found out that your uniform was from Salt Middle School.
context: Oh, it's a religious group.\We're looking for our god.\Psycho Helmet Religion\Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School. response:	The followers are positive that the poltergeist incident wasn't a fake.
context: We're looking for our god.\Psycho Helmet Religion\Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake. response:	They're likely going to come observe the area on the day of the marathon.
context: Psycho Helmet Religion\Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon. response:	That's when you'll reveal that you're the leader they've been looking for!
context: Oh, it's that.\During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for! response:	Don't you want to make that important moment as dramatic as possible?
context: During the press conference the other day...\Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible? response:	Sorry, but I'm going to run using my own physical strength.
context: Apparently, there was a split-second shot of you from behind.\They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength. response:	I'm even jogging now,
context: They analyzed the footage\and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now, response:	so maybe by next year I'll be able to place within the top ten.
context: and found out that your uniform was from Salt Middle School.\The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten. response:	Wow... You actually thought about it that much?
context: The followers are positive that the poltergeist incident wasn't a fake.\They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much? response:	Who knew you actually had a goal?
context: They're likely going to come observe the area on the day of the marathon.\That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal? response:	It can't be next year!
context: That's when you'll reveal that you're the leader they've been looking for!\Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year! response:	We'll have our high school entrance exams next year!
context: Don't you want to make that important moment as dramatic as possible?\Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year! response:	We won't have time to deal with stuff like this anymore!
context: Sorry, but I'm going to run using my own physical strength.\I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore! response:	That's right. Oh, no...
context: I'm even jogging now,\so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no... response:	What's up?
context: so maybe by next year I'll be able to place within the top ten.\Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up? response:	If I placed in the top ten of next year's marathon,
context: Wow... You actually thought about it that much?\Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon, response:	I was planning on asking Tsubomi-chan out...
context: Who knew you actually had a goal?\It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out... response:	S-Say what?
context: It can't be next year!\We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what? response:	What? Takane-san?!
context: We'll have our high school entrance exams next year!\We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?! response:	I messed up during the student council president election,
context: We won't have time to deal with stuff like this anymore!\That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?!\I messed up during the student council president election, response:	but I wanted to show her how cool I could be at next year's marathon.
context: That's right. Oh, no...\What's up?\If I placed in the top ten of next year's marathon,\I was planning on asking Tsubomi-chan out...\S-Say what?\What? Takane-san?!\I messed up during the student council president election,\but I wanted to show her how cool I could be at next year's marathon. response:	Shigeo...
