context: So we need your songs to response:	heal the Star Whale's sickness!
context: Is there such a thing?\A disciple, yes?\Yes.\Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness. response:	We must bring back Aria-dono.
context: A disciple, yes?\Yes.\Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono. response:	No, chief!
context: Yes.\Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief! response:	We'll follow him
context: Demons who took the form of\humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief!\We'll follow him response:	and kick his butt!
context: humans existed in the distant past.\They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief!\We'll follow him\and kick his butt! response:	We need to save Aria, after all.
context: They were highly intelligent, wielding power that\was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief!\We'll follow him\and kick his butt!\We need to save Aria, after all. response:	Yeah.
context: was a manifestation of greed and disaster.\That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief!\We'll follow him\and kick his butt!\We need to save Aria, after all.\Yeah. response:	This way. I hear the sound this way.
context: That must be the Disciple of Illness.\We must bring back Aria-dono.\No, chief!\We'll follow him\and kick his butt!\We need to save Aria, after all.\Yeah.\This way. I hear the sound this way. response:	The presence is getting stronger, too.
context: We must bring back Aria-dono.\No, chief!\We'll follow him\and kick his butt!\We need to save Aria, after all.\Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too. response:	Leave.
context: No, chief!\We'll follow him\and kick his butt!\We need to save Aria, after all.\Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too.\Leave. response:	Leave. Humans... Leave.
context: We'll follow him\and kick his butt!\We need to save Aria, after all.\Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too.\Leave.\Leave. Humans... Leave. response:	It talked?
context: and kick his butt!\We need to save Aria, after all.\Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too.\Leave.\Leave. Humans... Leave.\It talked? response:	These things aren't talking.
context: We need to save Aria, after all.\Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too.\Leave.\Leave. Humans... Leave.\It talked?\These things aren't talking. response:	They're just sharing the Disciple's voice.
context: Yeah.\This way. I hear the sound this way.\The presence is getting stronger, too.\Leave.\Leave. Humans... Leave.\It talked?\These things aren't talking.\They're just sharing the Disciple's voice. response:	You're in Aria's way.
context: This way. I hear the sound this way.\The presence is getting stronger, too.\Leave.\Leave. Humans... Leave.\It talked?\These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way. response:	Leave!
context: The presence is getting stronger, too.\Leave.\Leave. Humans... Leave.\It talked?\These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way.\Leave! response:	Not happening.
context: Leave.\Leave. Humans... Leave.\It talked?\These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way.\Leave!\Not happening. response:	We have something we have to do.
context: Leave. Humans... Leave.\It talked?\These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way.\Leave!\Not happening.\We have something we have to do. response:	Prince!
context: It talked?\These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way.\Leave!\Not happening.\We have something we have to do.\Prince! response:	You're the one I can least forgive!
context: These things aren't talking.\They're just sharing the Disciple's voice.\You're in Aria's way.\Leave!\Not happening.\We have something we have to do.\Prince!\You're the one I can least forgive! response:	There are two princes here.
context: They're just sharing the Disciple's voice.\You're in Aria's way.\Leave!\Not happening.\We have something we have to do.\Prince!\You're the one I can least forgive!\There are two princes here. response:	Well, you mean me, right?
context: You're in Aria's way.\Leave!\Not happening.\We have something we have to do.\Prince!\You're the one I can least forgive!\There are two princes here.\Well, you mean me, right? response:	If you want to talk, let's talk.
context: Leave!\Not happening.\We have something we have to do.\Prince!\You're the one I can least forgive!\There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk. response:	Aria's safe, right?
context: Not happening.\We have something we have to do.\Prince!\You're the one I can least forgive!\There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right? response:	Don't you say
context: We have something we have to do.\Prince!\You're the one I can least forgive!\There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right?\Don't you say response:	Aria's name!
context: Prince!\You're the one I can least forgive!\There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right?\Don't you say\Aria's name! response:	Idiot!
context: You're the one I can least forgive!\There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right?\Don't you say\Aria's name!\Idiot! response:	I don't have even know what the heck's going on!
context: There are two princes here.\Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right?\Don't you say\Aria's name!\Idiot!\I don't have even know what the heck's going on! response:	Can we calm down and talk?
context: Well, you mean me, right?\If you want to talk, let's talk.\Aria's safe, right?\Don't you say\Aria's name!\Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk? response:	I don't get you!
context: If you want to talk, let's talk.\Aria's safe, right?\Don't you say\Aria's name!\Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you! response:	Vert, where is he?
context: Aria's safe, right?\Don't you say\Aria's name!\Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you!\Vert, where is he? response:	I can hear a sound that sounds like his main body.
context: Don't you say\Aria's name!\Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body. response:	I think I can follow it.
context: Aria's name!\Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it. response:	Then leave this to me!
context: Idiot!\I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me! response:	Vert and the others take Gaul to the main body!
context: I don't have even know what the heck's going on!\Can we calm down and talk?\I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body! response:	I'll stay here!
context: Can we calm down and talk?\I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here! response:	I'll help Nanami-san!
context: I don't get you!\Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san! response:	Thanks! I'll let you guys handle it!
context: Vert, where is he?\I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it! response:	Transform!
context: I can hear a sound that sounds like his main body.\I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform! response:	Just you wait, damn it!
context: I think I can follow it.\Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it! response:	Aria.
context: Then leave this to me!\Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it!\Aria. response:	Aria.
context: Vert and the others take Gaul to the main body!\I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it!\Aria.\Aria. response:	Aria.
context: I'll stay here!\I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it!\Aria.\Aria.\Aria. response:	Verde?
context: I'll help Nanami-san!\Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it!\Aria.\Aria.\Aria.\Verde? response:	Verde...
context: Thanks! I'll let you guys handle it!\Transform!\Just you wait, damn it!\Aria.\Aria.\Aria.\Verde?\Verde... response:	it's you, right?
context: Transform!\Just you wait, damn it!\Aria.\Aria.\Aria.\Verde?\Verde...\it's you, right? response:	I'll give you back your voice.
context: Just you wait, damn it!\Aria.\Aria.\Aria.\Verde?\Verde...\it's you, right?\I'll give you back your voice. response:	I remember.
context: Aria.\Aria.\Aria.\Verde?\Verde...\it's you, right?\I'll give you back your voice.\I remember. response:	I remember everything!
context: Aria.\Aria.\Verde?\Verde...\it's you, right?\I'll give you back your voice.\I remember.\I remember everything! response:	Aria!
context: Aria.\Verde?\Verde...\it's you, right?\I'll give you back your voice.\I remember.\I remember everything!\Aria! response:	You've gotten used to this form now, haven't you?
context: Verde?\Verde...\it's you, right?\I'll give you back your voice.\I remember.\I remember everything!\Aria!\You've gotten used to this form now, haven't you? response:	Yeah.
context: Verde...\it's you, right?\I'll give you back your voice.\I remember.\I remember everything!\Aria!\You've gotten used to this form now, haven't you?\Yeah. response:	I'm used to it now.
context: it's you, right?\I'll give you back your voice.\I remember.\I remember everything!\Aria!\You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now. response:	And you're with Verde again?
context: I'll give you back your voice.\I remember.\I remember everything!\Aria!\You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now.\And you're with Verde again? response:	Yup!
context: I remember.\I remember everything!\Aria!\You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now.\And you're with Verde again?\Yup! response:	He's strange for a sky person.
context: I remember everything!\Aria!\You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now.\And you're with Verde again?\Yup!\He's strange for a sky person. response:	He seems strangely human, somehow.
context: Aria!\You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now.\And you're with Verde again?\Yup!\He's strange for a sky person.\He seems strangely human, somehow. response:	But isn't he cute?
context: You've gotten used to this form now, haven't you?\Yeah.\I'm used to it now.\And you're with Verde again?\Yup!\He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute? response:	He's always nice to me.
context: Yeah.\I'm used to it now.\And you're with Verde again?\Yup!\He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute?\He's always nice to me. response:	Right, Verde?
context: I'm used to it now.\And you're with Verde again?\Yup!\He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute?\He's always nice to me.\Right, Verde? response:	Aria?
context: And you're with Verde again?\Yup!\He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute?\He's always nice to me.\Right, Verde?\Aria? response:	Were you watching the surface again?
context: Yup!\He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute?\He's always nice to me.\Right, Verde?\Aria?\Were you watching the surface again? response:	J-Just a little.
context: He's strange for a sky person.\He seems strangely human, somehow.\But isn't he cute?\He's always nice to me.\Right, Verde?\Aria?\Were you watching the surface again?\J-Just a little. response:	The heroes and the princesses are so cool.
context: He seems strangely human, somehow.\But isn't he cute?\He's always nice to me.\Right, Verde?\Aria?\Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool. response:	And there's a wonderful prince, isn't there?
context: But isn't he cute?\He's always nice to me.\Right, Verde?\Aria?\Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there? response:	Th-That's not all, but...
context: He's always nice to me.\Right, Verde?\Aria?\Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but... response:	What do you mean?
context: Right, Verde?\Aria?\Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean? response:	I like to think about what I'd do
context: Aria?\Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean?\I like to think about what I'd do response:	if I went to the surface.
context: Were you watching the surface again?\J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean?\I like to think about what I'd do\if I went to the surface. response:	That's fun, too.
context: J-Just a little.\The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean?\I like to think about what I'd do\if I went to the surface.\That's fun, too. response:	You can have the same form as a surface person.
context: The heroes and the princesses are so cool.\And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean?\I like to think about what I'd do\if I went to the surface.\That's fun, too.\You can have the same form as a surface person. response:	Couldn't you go if you wanted?
context: And there's a wonderful prince, isn't there?\Th-That's not all, but...\What do you mean?\I like to think about what I'd do\if I went to the surface.\That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted? response:	Even in this form,
context: Th-That's not all, but...\What do you mean?\I like to think about what I'd do\if I went to the surface.\That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form, response:	I can't get far from water, just like you guys.
context: What do you mean?\I like to think about what I'd do\if I went to the surface.\That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys. response:	And this year I was chosen to be the songstress.
context: I like to think about what I'd do\if I went to the surface.\That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress. response:	I won't go.
context: if I went to the surface.\That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go. response:	For the Priestess and the Star Whale's sake, as well.
context: That's fun, too.\You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well. response:	And for everyone's sake.
context: You can have the same form as a surface person.\Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake. response:	My life in the village is so peaceful and quiet,
context: Couldn't you go if you wanted?\Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet, response:	but it's just a little boring.
context: Even in this form,\I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring. response:	My love for the surface is just a dream.
context: I can't get far from water, just like you guys.\And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream. response:	But...
context: And this year I was chosen to be the songstress.\I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream.\But... response:	Someday I'd love to
context: I won't go.\For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream.\But...\Someday I'd love to response:	go to the surface...
context: For the Priestess and the Star Whale's sake, as well.\And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream.\But...\Someday I'd love to\go to the surface... response:	It can come true.
context: And for everyone's sake.\My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream.\But...\Someday I'd love to\go to the surface...\It can come true. response:	I'll grant your wish.
context: My life in the village is so peaceful and quiet,\but it's just a little boring.\My love for the surface is just a dream.\But...\Someday I'd love to\go to the surface...\It can come true.\I'll grant your wish. response:	Verde... wow!
context: but it's just a little boring.\My love for the surface is just a dream.\But...\Someday I'd love to\go to the surface...\It can come true.\I'll grant your wish.\Verde... wow! response:	You can talk now!
context: My love for the surface is just a dream.\But...\Someday I'd love to\go to the surface...\It can come true.\I'll grant your wish.\Verde... wow!\You can talk now! response:	I'll make your dream come true.
context: But...\Someday I'd love to\go to the surface...\It can come true.\I'll grant your wish.\Verde... wow!\You can talk now!\I'll make your dream come true. response:	Let's go to the surface and keep it a secret from everyone.
context: Someday I'd love to\go to the surface...\It can come true.\I'll grant your wish.\Verde... wow!\You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone. response:	You're right.
context: go to the surface...\It can come true.\I'll grant your wish.\Verde... wow!\You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right. response:	It would be wonderful if I could go with you.
context: It can come true.\I'll grant your wish.\Verde... wow!\You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you. response:	If I grant your wish,
context: I'll grant your wish.\Verde... wow!\You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you.\If I grant your wish, response:	will you sing for me?
context: Verde... wow!\You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me? response:	Of course!
context: You can talk now!\I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me?\Of course! response:	Promise?
context: I'll make your dream come true.\Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me?\Of course!\Promise? response:	Of course.
context: Let's go to the surface and keep it a secret from everyone.\You're right.\It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me?\Of course!\Promise?\Of course. response:	It's a promise.
context: You're right.\It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me?\Of course!\Promise?\Of course.\It's a promise. response:	I know where the power to
context: It would be wonderful if I could go with you.\If I grant your wish,\will you sing for me?\Of course!\Promise?\Of course.\It's a promise.\I know where the power to response:	make Aria's dream
context: If I grant your wish,\will you sing for me?\Of course!\Promise?\Of course.\It's a promise.\I know where the power to\make Aria's dream response:	come true is.
context: will you sing for me?\Of course!\Promise?\Of course.\It's a promise.\I know where the power to\make Aria's dream\come true is. response:	The reason I was born.
context: Of course!\Promise?\Of course.\It's a promise.\I know where the power to\make Aria's dream\come true is.\The reason I was born. response:	My true form...
context: Promise?\Of course.\It's a promise.\I know where the power to\make Aria's dream\come true is.\The reason I was born.\My true form... response:	I'll make Aria's dream
context: Of course.\It's a promise.\I know where the power to\make Aria's dream\come true is.\The reason I was born.\My true form...\I'll make Aria's dream response:	come true.
context: It's a promise.\I know where the power to\make Aria's dream\come true is.\The reason I was born.\My true form...\I'll make Aria's dream\come true. response:	Now I can make her dream come true.
context: I know where the power to\make Aria's dream\come true is.\The reason I was born.\My true form...\I'll make Aria's dream\come true.\Now I can make her dream come true. response:	The Star Whale that locks Aria away...
context: make Aria's dream\come true is.\The reason I was born.\My true form...\I'll make Aria's dream\come true.\Now I can make her dream come true.\The Star Whale that locks Aria away... response:	The village and priestess that hold her back...
context: come true is.\The reason I was born.\My true form...\I'll make Aria's dream\come true.\Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back... response:	I can make them all go to sleep.
context: The reason I was born.\My true form...\I'll make Aria's dream\come true.\Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep. response:	What's this?
context: My true form...\I'll make Aria's dream\come true.\Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep.\What's this? response:	What happened, everyone?
context: I'll make Aria's dream\come true.\Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep.\What's this?\What happened, everyone? response:	Aria.
context: come true.\Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep.\What's this?\What happened, everyone?\Aria. response:	Verde... Is that you?
context: Now I can make her dream come true.\The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep.\What's this?\What happened, everyone?\Aria.\Verde... Is that you? response:	You promised, Aria.
context: The Star Whale that locks Aria away...\The village and priestess that hold her back...\I can make them all go to sleep.\What's this?\What happened, everyone?\Aria.\Verde... Is that you?\You promised, Aria. response:	We'd go to the surface in secret.
context: The village and priestess that hold her back...\I can make them all go to sleep.\What's this?\What happened, everyone?\Aria.\Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret. response:	Verde, it's you, right?
context: I can make them all go to sleep.\What's this?\What happened, everyone?\Aria.\Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right? response:	No... this isn't what I wanted.
context: What's this?\What happened, everyone?\Aria.\Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted. response:	Aria... you promised,
context: What happened, everyone?\Aria.\Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised, response:	but you lied?
context: Aria.\Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised,\but you lied? response:	I didn't lie!
context: Verde... Is that you?\You promised, Aria.\We'd go to the surface in secret.\Verde, it's you, right?\No... this isn't what I wanted.\Aria... you promised,\but you lied?\I didn't lie! response:	I didn't lie, but...
