context: 'This is a weird feeling. response:	As if looking through a binocular,
context: when she discovered than she can now walk through the small door\which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch, response:	talking to himself
context: which leads her to a beautiful garden on the other side.\Shortly, from a distance\there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch,\talking to himself response:	and running in a hurry.
context: Shortly, from a distance\there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch,\talking to himself\and running in a hurry. response:	'Oh the Queen'
context: there were footsteps\which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch,\talking to himself\and running in a hurry.\'Oh the Queen' response:	I made the Queen wait like this
context: which grabbed Alice's attention.\There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch,\talking to himself\and running in a hurry.\'Oh the Queen'\I made the Queen wait like this response:	I'm in trouble,' cried the rabbit.
context: There she found a white rabbit who was dressed up\with one hand in a white glove\and the other holding a large pocket watch,\talking to himself\and running in a hurry.\'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit. response:	As it went by,
context: with one hand in a white glove\and the other holding a large pocket watch,\talking to himself\and running in a hurry.\'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by, response:	Alice started a conversation by saying
context: and the other holding a large pocket watch,\talking to himself\and running in a hurry.\'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying response:	'Excuse me'
context: talking to himself\and running in a hurry.\'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying\'Excuse me' response:	in a tiny muttering voice.
context: and running in a hurry.\'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice. response:	Use it as a bookmark.
context: 'Oh the Queen'\I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice.\Use it as a bookmark. response:	Eriol-kun.
context: I made the Queen wait like this\I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun. response:	Sakura-san,
context: I'm in trouble,' cried the rabbit.\As it went by,\Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun.\Sakura-san, response:	what are you reading?
context: As it went by,\Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun.\Sakura-san,\what are you reading? response:	' This.' Oh, Alice?
context: Alice started a conversation by saying\'Excuse me'\in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun.\Sakura-san,\what are you reading?\' This.' Oh, Alice? response:	Yeah,
context: 'Excuse me'\in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun.\Sakura-san,\what are you reading?\' This.' Oh, Alice?\Yeah, response:	have you read it?
context: in a tiny muttering voice.\Use it as a bookmark.\Eriol-kun.\Sakura-san,\what are you reading?\' This.' Oh, Alice?\Yeah,\have you read it? response:	Yeah,
context: Use it as a bookmark.\Eriol-kun.\Sakura-san,\what are you reading?\' This.' Oh, Alice?\Yeah,\have you read it?\Yeah, response:	quite a while ago.
context: Eriol-kun.\Sakura-san,\what are you reading?\' This.' Oh, Alice?\Yeah,\have you read it?\Yeah,\quite a while ago. response:	Isn't it fun? Becoming little
context: Sakura-san,\what are you reading?\' This.' Oh, Alice?\Yeah,\have you read it?\Yeah,\quite a while ago.\Isn't it fun? Becoming little response:	and then big and all. But it spells trouble.
context: what are you reading?\' This.' Oh, Alice?\Yeah,\have you read it?\Yeah,\quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble. response:	Don't come any closer!
context: ' This.' Oh, Alice?\Yeah,\have you read it?\Yeah,\quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer! response:	Didn't know my bathroom was this big'
context: Yeah,\have you read it?\Yeah,\quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big' response:	Hoeee!! Don't come any closer!
context: have you read it?\Yeah,\quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer! response:	What's wrong?
context: Yeah,\quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong? response:	Oh it's nothing.
context: quite a while ago.\Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing. response:	Ahh, this is an English fairy tale
context: Isn't it fun? Becoming little\and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale response:	from where you used to live, right?
context: and then big and all. But it spells trouble.\Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right? response:	Yeah.
context: Don't come any closer!\Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right?\Yeah. response:	What's England like?
context: Didn't know my bathroom was this big'\Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right?\Yeah.\What's England like? response:	Many days, it either rains or is foggy,
context: Hoeee!! Don't come any closer!\What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right?\Yeah.\What's England like?\Many days, it either rains or is foggy, response:	but I like it
context: What's wrong?\Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right?\Yeah.\What's England like?\Many days, it either rains or is foggy,\but I like it response:	because the old buildings are still around.
context: Oh it's nothing.\Ahh, this is an English fairy tale\from where you used to live, right?\Yeah.\What's England like?\Many days, it either rains or is foggy,\but I like it\because the old buildings are still around. response:	Really?
context: Ahh, this is an English fairy tale\from where you used to live, right?\Yeah.\What's England like?\Many days, it either rains or is foggy,\but I like it\because the old buildings are still around.\Really? response:	There are many gardens and buildings
context: from where you used to live, right?\Yeah.\What's England like?\Many days, it either rains or is foggy,\but I like it\because the old buildings are still around.\Really?\There are many gardens and buildings response:	as illustrated in the book in real life.
context: Yeah.\What's England like?\Many days, it either rains or is foggy,\but I like it\because the old buildings are still around.\Really?\There are many gardens and buildings\as illustrated in the book in real life. response:	Amazing!
context: What's England like?\Many days, it either rains or is foggy,\but I like it\because the old buildings are still around.\Really?\There are many gardens and buildings\as illustrated in the book in real life.\Amazing! response:	Wow' I want to go there.
context: Many days, it either rains or is foggy,\but I like it\because the old buildings are still around.\Really?\There are many gardens and buildings\as illustrated in the book in real life.\Amazing!\Wow' I want to go there. response:	Shall I take you there?
context: but I like it\because the old buildings are still around.\Really?\There are many gardens and buildings\as illustrated in the book in real life.\Amazing!\Wow' I want to go there.\Shall I take you there? response:	To Alice's wonderland'
context: because the old buildings are still around.\Really?\There are many gardens and buildings\as illustrated in the book in real life.\Amazing!\Wow' I want to go there.\Shall I take you there?\To Alice's wonderland' response:	Ahh' you can feel the love in the air'
context: Really?\There are many gardens and buildings\as illustrated in the book in real life.\Amazing!\Wow' I want to go there.\Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air' response:	Alice's wonderland
context: There are many gardens and buildings\as illustrated in the book in real life.\Amazing!\Wow' I want to go there.\Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland response:	must be England, right
context: as illustrated in the book in real life.\Amazing!\Wow' I want to go there.\Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right response:	Does that mean that Hiiragizawa-kun
context: Amazing!\Wow' I want to go there.\Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun response:	is willing to introduce Sakura-chan to his family?
context: Wow' I want to go there.\Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family? response:	Introducing someone to their family
context: Shall I take you there?\To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family response:	is definitely'
context: To Alice's wonderland'\Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely' response:	You're getting more and more jealous!
context: Ahh' you can feel the love in the air'\Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely'\You're getting more and more jealous! response:	Home Room is starting!
context: Alice's wonderland\must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely'\You're getting more and more jealous!\Home Room is starting! response:	Ok, thanks.
context: must be England, right\Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely'\You're getting more and more jealous!\Home Room is starting!\Ok, thanks. response:	Reading week is almost at an end.
context: Does that mean that Hiiragizawa-kun\is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely'\You're getting more and more jealous!\Home Room is starting!\Ok, thanks.\Reading week is almost at an end. response:	Can everyone
context: is willing to introduce Sakura-chan to his family?\Introducing someone to their family\is definitely'\You're getting more and more jealous!\Home Room is starting!\Ok, thanks.\Reading week is almost at an end.\Can everyone response:	finish reading the books they chose?
context: Introducing someone to their family\is definitely'\You're getting more and more jealous!\Home Room is starting!\Ok, thanks.\Reading week is almost at an end.\Can everyone\finish reading the books they chose? response:	Yes.
context: is definitely'\You're getting more and more jealous!\Home Room is starting!\Ok, thanks.\Reading week is almost at an end.\Can everyone\finish reading the books they chose?\Yes. response:	What a huge book.
context: You're getting more and more jealous!\Home Room is starting!\Ok, thanks.\Reading week is almost at an end.\Can everyone\finish reading the books they chose?\Yes.\What a huge book. response:	It's really interesting.
context: Home Room is starting!\Ok, thanks.\Reading week is almost at an end.\Can everyone\finish reading the books they chose?\Yes.\What a huge book.\It's really interesting. response:	Do you want to read it too
context: Ok, thanks.\Reading week is almost at an end.\Can everyone\finish reading the books they chose?\Yes.\What a huge book.\It's really interesting.\Do you want to read it too response:	Eh' but I haven't
context: Reading week is almost at an end.\Can everyone\finish reading the books they chose?\Yes.\What a huge book.\It's really interesting.\Do you want to read it too\Eh' but I haven't response:	even finished reading this book.
context: Can everyone\finish reading the books they chose?\Yes.\What a huge book.\It's really interesting.\Do you want to read it too\Eh' but I haven't\even finished reading this book. response:	and I read slow'
context: finish reading the books they chose?\Yes.\What a huge book.\It's really interesting.\Do you want to read it too\Eh' but I haven't\even finished reading this book.\and I read slow' response:	Wow' Yanagisawa' amazing.
context: Yes.\What a huge book.\It's really interesting.\Do you want to read it too\Eh' but I haven't\even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing. response:	Yes.
context: What a huge book.\It's really interesting.\Do you want to read it too\Eh' but I haven't\even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing.\Yes. response:	Oh you don't say.
context: It's really interesting.\Do you want to read it too\Eh' but I haven't\even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing.\Yes.\Oh you don't say. response:	I liked this book myself.
context: Do you want to read it too\Eh' but I haven't\even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing.\Yes.\Oh you don't say.\I liked this book myself. response:	Is that right?
context: Eh' but I haven't\even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing.\Yes.\Oh you don't say.\I liked this book myself.\Is that right? response:	I'll be looking forward to your book report.
context: even finished reading this book.\and I read slow'\Wow' Yanagisawa' amazing.\Yes.\Oh you don't say.\I liked this book myself.\Is that right?\I'll be looking forward to your book report. response:	Ok everyone has
context: and I read slow'\Wow' Yanagisawa' amazing.\Yes.\Oh you don't say.\I liked this book myself.\Is that right?\I'll be looking forward to your book report.\Ok everyone has response:	to write a report upon
context: Wow' Yanagisawa' amazing.\Yes.\Oh you don't say.\I liked this book myself.\Is that right?\I'll be looking forward to your book report.\Ok everyone has\to write a report upon response:	finishing reading their books.
context: Yes.\Oh you don't say.\I liked this book myself.\Is that right?\I'll be looking forward to your book report.\Ok everyone has\to write a report upon\finishing reading their books. response:	Yes!
context: Oh you don't say.\I liked this book myself.\Is that right?\I'll be looking forward to your book report.\Ok everyone has\to write a report upon\finishing reading their books.\Yes! response:	What should I do? Want to stop by somewhere on the way?
context: I liked this book myself.\Is that right?\I'll be looking forward to your book report.\Ok everyone has\to write a report upon\finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way? response:	Naoko-chan, what about your piano lessons?
context: Is that right?\I'll be looking forward to your book report.\Ok everyone has\to write a report upon\finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons? response:	There isn't much to do today.
context: I'll be looking forward to your book report.\Ok everyone has\to write a report upon\finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today. response:	What about you Rika-chan?
context: Ok everyone has\to write a report upon\finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan? response:	I'm going to the library to finish reading this.
context: to write a report upon\finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this. response:	Then
context: finishing reading their books.\Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this.\Then response:	should we all go to the library and read?
context: Yes!\What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this.\Then\should we all go to the library and read? response:	Is that ok?
context: What should I do? Want to stop by somewhere on the way?\Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this.\Then\should we all go to the library and read?\Is that ok? response:	I want to finish this book up soon too.
context: Naoko-chan, what about your piano lessons?\There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this.\Then\should we all go to the library and read?\Is that ok?\I want to finish this book up soon too. response:	' Yeah.' Ok then, let's go.
context: There isn't much to do today.\What about you Rika-chan?\I'm going to the library to finish reading this.\Then\should we all go to the library and read?\Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go. response:	Then shall I read another book?
context: What about you Rika-chan?\I'm going to the library to finish reading this.\Then\should we all go to the library and read?\Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book? response:	I'm glad that
context: I'm going to the library to finish reading this.\Then\should we all go to the library and read?\Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that response:	Tereda-sensei happens to like that book.
context: Then\should we all go to the library and read?\Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book. response:	Yeah.
context: should we all go to the library and read?\Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book.\Yeah. response:	Eriol-kun!
context: Is that ok?\I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book.\Yeah.\Eriol-kun! response:	Are you going too?
context: I want to finish this book up soon too.\' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book.\Yeah.\Eriol-kun!\Are you going too? response:	' Yes.' Then do you want to go with us?
context: ' Yeah.' Ok then, let's go.\Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book.\Yeah.\Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us? response:	Ok, sounds good.
context: Then shall I read another book?\I'm glad that\Tereda-sensei happens to like that book.\Yeah.\Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good. response:	What are you reading, Yamazaki-kun?
context: I'm glad that\Tereda-sensei happens to like that book.\Yeah.\Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun? response:	Alien transformed into a cat and is targetting Earth?
context: Tereda-sensei happens to like that book.\Yeah.\Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth? response:	' What's that'' I've read it before.
context: Yeah.\Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before. response:	Wasn't it fun?
context: Eriol-kun!\Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun? response:	But do you think it's for real?
context: Are you going too?\' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real? response:	Cats who really are aliens.
context: ' Yes.' Then do you want to go with us?\Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real?\Cats who really are aliens. response:	It's really true. Right now
context: Ok, sounds good.\What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real?\Cats who really are aliens.\It's really true. Right now response:	2/3 of the cats
context: What are you reading, Yamazaki-kun?\Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real?\Cats who really are aliens.\It's really true. Right now\2/3 of the cats response:	on Earth alone are aliens
context: Alien transformed into a cat and is targetting Earth?\' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real?\Cats who really are aliens.\It's really true. Right now\2/3 of the cats\on Earth alone are aliens response:	On top of that from space not just cats
context: ' What's that'' I've read it before.\Wasn't it fun?\But do you think it's for real?\Cats who really are aliens.\It's really true. Right now\2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats response:	but other forms like dogs or chickens
context: Wasn't it fun?\But do you think it's for real?\Cats who really are aliens.\It's really true. Right now\2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens response:	or penguins and other various forms come to earth each year,
context: But do you think it's for real?\Cats who really are aliens.\It's really true. Right now\2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year, response:	about 7000 of them every year
context: Cats who really are aliens.\It's really true. Right now\2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year response:	I wonder if there are such things are goldfish aliens.
context: It's really true. Right now\2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens. response:	Of course!
context: 2/3 of the cats\on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course! response:	It was thought for the goldfish alien
context: on Earth alone are aliens\On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien response:	because they had to travel with their suits
context: On top of that from space not just cats\but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien\because they had to travel with their suits response:	filled with water.
context: but other forms like dogs or chickens\or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien\because they had to travel with their suits\filled with water. response:	Small body,
context: or penguins and other various forms come to earth each year,\about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien\because they had to travel with their suits\filled with water.\Small body, response:	but the space suit
context: about 7000 of them every year\I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien\because they had to travel with their suits\filled with water.\Small body,\but the space suit response:	are tens of kilometers in length.
context: I wonder if there are such things are goldfish aliens.\Of course!\It was thought for the goldfish alien\because they had to travel with their suits\filled with water.\Small body,\but the space suit\are tens of kilometers in length. response:	Wow amazing.
context: Of course!\It was thought for the goldfish alien\because they had to travel with their suits\filled with water.\Small body,\but the space suit\are tens of kilometers in length.\Wow amazing. response:	And, that it is a famous story
context: It was thought for the goldfish alien\because they had to travel with their suits\filled with water.\Small body,\but the space suit\are tens of kilometers in length.\Wow amazing.\And, that it is a famous story response:	that the octopus is an alien
context: because they had to travel with their suits\filled with water.\Small body,\but the space suit\are tens of kilometers in length.\Wow amazing.\And, that it is a famous story\that the octopus is an alien response:	You're working hard.
context: filled with water.\Small body,\but the space suit\are tens of kilometers in length.\Wow amazing.\And, that it is a famous story\that the octopus is an alien\You're working hard. response:	Hong Kong and Japan may have same Kanji characters
context: Small body,\but the space suit\are tens of kilometers in length.\Wow amazing.\And, that it is a famous story\that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters response:	but the pronunciation and the meaning could differ so.
context: but the space suit\are tens of kilometers in length.\Wow amazing.\And, that it is a famous story\that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so. response:	I guess so.
context: are tens of kilometers in length.\Wow amazing.\And, that it is a famous story\that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so. response:	Eriol-kun, you can read
context: Wow amazing.\And, that it is a famous story\that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read response:	without dictionaries?
context: And, that it is a famous story\that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read\without dictionaries? response:	Sort of.
context: that the octopus is an alien\You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read\without dictionaries?\Sort of. response:	Did you study Japanese?
context: You're working hard.\Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read\without dictionaries?\Sort of.\Did you study Japanese? response:	' Yes.' Wasn't it tough?
context: Hong Kong and Japan may have same Kanji characters\but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read\without dictionaries?\Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough? response:	I'm quite used to it
context: but the pronunciation and the meaning could differ so.\I guess so.\Eriol-kun, you can read\without dictionaries?\Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it response:	since there were people who used Japanese around me.
context: I guess so.\Eriol-kun, you can read\without dictionaries?\Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me. response:	Did you have Japanese friends in England?
context: Eriol-kun, you can read\without dictionaries?\Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England? response:	No.
context: without dictionaries?\Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England?\No. response:	Hoe? Then how'
context: Sort of.\Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England?\No.\Hoe? Then how' response:	I had some business a while ago'
context: Did you study Japanese?\' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England?\No.\Hoe? Then how'\I had some business a while ago' response:	I'll go and return this.
context: ' Yes.' Wasn't it tough?\I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England?\No.\Hoe? Then how'\I had some business a while ago'\I'll go and return this. response:	Doesn't Li-kun look angry?
context: I'm quite used to it\since there were people who used Japanese around me.\Did you have Japanese friends in England?\No.\Hoe? Then how'\I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry? response:	Men are complicated.
context: since there were people who used Japanese around me.\Did you have Japanese friends in England?\No.\Hoe? Then how'\I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated. response:	Sakura-chan!
context: Did you have Japanese friends in England?\No.\Hoe? Then how'\I had some business a while ago'\I'll go and return this.\Doesn't Li-kun look angry?\Men are complicated.\Sakura-chan! response:	What's wrong?
