context: Mari, where do you think you're going? response:	You promised you'd be quiet at home for a while.
context: I'll worry about Papa.\So no more dangerous-\Hello?\Oh, yes.\What?\What does that mean?\Wait! Hello? Hello?!\Mari, watch the house. response:	Episode 10 Hertz's Pride
context: So no more dangerous-\Hello?\Oh, yes.\What?\What does that mean?\Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride response:	Mr. Mikage...
context: Hello?\Oh, yes.\What?\What does that mean?\Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage... response:	I searched around like you asked,
context: Oh, yes.\What?\What does that mean?\Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked, response:	but I couldn't find anything that looked like the matter transporter.
context: What?\What does that mean?\Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter. response:	That can't be!
context: What does that mean?\Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be! response:	What is all this?
context: Wait! Hello? Hello?!\Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this? response:	Why don't we ask someone directly involved?
context: Mari, watch the house.\Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this?\Why don't we ask someone directly involved? response:	Out of the way!
context: Episode 10 Hertz's Pride\Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this?\Why don't we ask someone directly involved?\Out of the way! response:	What are you people doing here?
context: Mr. Mikage...\I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this?\Why don't we ask someone directly involved?\Out of the way!\What are you people doing here? response:	Forgive me for calling her without asking you.
context: I searched around like you asked,\but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this?\Why don't we ask someone directly involved?\Out of the way!\What are you people doing here?\Forgive me for calling her without asking you. response:	You do work fast.
context: but I couldn't find anything that looked like the matter transporter.\That can't be!\What is all this?\Why don't we ask someone directly involved?\Out of the way!\What are you people doing here?\Forgive me for calling her without asking you.\You do work fast. response:	I appreciate it.
context: That can't be!\What is all this?\Why don't we ask someone directly involved?\Out of the way!\What are you people doing here?\Forgive me for calling her without asking you.\You do work fast.\I appreciate it. response:	Mr. Mikage, what is the meaning of this?
context: What is all this?\Why don't we ask someone directly involved?\Out of the way!\What are you people doing here?\Forgive me for calling her without asking you.\You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this? response:	We just came here to retrieve that which our company's funds have paid for.
context: Why don't we ask someone directly involved?\Out of the way!\What are you people doing here?\Forgive me for calling her without asking you.\You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for. response:	You know where it is, right?
context: Out of the way!\What are you people doing here?\Forgive me for calling her without asking you.\You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right? response:	I do not.
context: What are you people doing here?\Forgive me for calling her without asking you.\You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not. response:	Then I have no choice.
context: Forgive me for calling her without asking you.\You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not.\Then I have no choice. response:	Okay, all done!
context: You do work fast.\I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not.\Then I have no choice.\Okay, all done! response:	English done. Japanese done.
context: I appreciate it.\Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not.\Then I have no choice.\Okay, all done!\English done. Japanese done. response:	Essay done. Free research project done.
context: Mr. Mikage, what is the meaning of this?\We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not.\Then I have no choice.\Okay, all done!\English done. Japanese done.\Essay done. Free research project done. response:	Art poster done!
context: We just came here to retrieve that which our company's funds have paid for.\You know where it is, right?\I do not.\Then I have no choice.\Okay, all done!\English done. Japanese done.\Essay done. Free research project done.\Art poster done! response:	All homework done!
context: You know where it is, right?\I do not.\Then I have no choice.\Okay, all done!\English done. Japanese done.\Essay done. Free research project done.\Art poster done!\All homework done! response:	Waka, open up!
context: I do not.\Then I have no choice.\Okay, all done!\English done. Japanese done.\Essay done. Free research project done.\Art poster done!\All homework done!\Waka, open up! response:	D'oh!
context: Then I have no choice.\Okay, all done!\English done. Japanese done.\Essay done. Free research project done.\Art poster done!\All homework done!\Waka, open up!\D'oh! response:	H-How did you get in here?
context: Okay, all done!\English done. Japanese done.\Essay done. Free research project done.\Art poster done!\All homework done!\Waka, open up!\D'oh!\H-How did you get in here? response:	Well, you wouldn't answer your phone.
context: English done. Japanese done.\Essay done. Free research project done.\Art poster done!\All homework done!\Waka, open up!\D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone. response:	Oh, sorry. I turned it off.
context: Essay done. Free research project done.\Art poster done!\All homework done!\Waka, open up!\D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off. response:	So this was the only way I could get here without your mom seeing me.
context: Art poster done!\All homework done!\Waka, open up!\D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me. response:	What do you mean?
context: All homework done!\Waka, open up!\D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean? response:	I didn't tell Mama I was coming!
context: Waka, open up!\D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming! response:	Well, I'm really worried about Papa!
context: D'oh!\H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa! response:	That's no reason to come without asking...
context: H-How did you get in here?\Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking... response:	You only just got out of a really dangerous situation, remember?
context: Well, you wouldn't answer your phone.\Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember? response:	I was really scared, yeah...
context: Oh, sorry. I turned it off.\So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah... response:	Huh? Shun? Shun!
context: So this was the only way I could get here without your mom seeing me.\What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun! response:	No way!
context: What do you mean?\I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun!\No way! response:	But Papa might be going through the same thing right now.
context: I didn't tell Mama I was coming!\Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now. response:	If Papa wants to come back and can't,
context: Well, I'm really worried about Papa!\That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't, response:	then I want to save him like Shun saved me.
context: That's no reason to come without asking...\You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me. response:	Mari...
context: You only just got out of a really dangerous situation, remember?\I was really scared, yeah...\Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari... response:	So first, I have to find the Papa from three years ago.
context: I was really scared, yeah...\Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago. response:	But...
context: Huh? Shun? Shun!\No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago.\But... response:	Please, Waka!
context: No way!\But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago.\But...\Please, Waka! response:	Lend me that book!
context: But Papa might be going through the same thing right now.\If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago.\But...\Please, Waka!\Lend me that book! response:	Oh, I guess I don't have a choice.
context: If Papa wants to come back and can't,\then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago.\But...\Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice. response:	Thank you, Waka!
context: then I want to save him like Shun saved me.\Mari...\So first, I have to find the Papa from three years ago.\But...\Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka! response:	Huh? It was just right here...
context: Mari...\So first, I have to find the Papa from three years ago.\But...\Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here... response:	Leave it to me.
context: So first, I have to find the Papa from three years ago.\But...\Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here...\Leave it to me. response:	My brother always hides his important stuff here.
context: But...\Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here. response:	This is the next person.
context: Please, Waka!\Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here.\This is the next person. response:	Heinrich Hertz?
context: Lend me that book!\Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz? response:	Oh, the EM guy.
context: Oh, I guess I don't have a choice.\Thank you, Waka!\Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz?\Oh, the EM guy. response:	EM?
context: Thank you, Waka!\Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz?\Oh, the EM guy.\EM? response:	Waka!
context: Huh? It was just right here...\Leave it to me.\My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz?\Oh, the EM guy.\EM?\Waka! response:	Oh no!
context: Leave it to me.\My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz?\Oh, the EM guy.\EM?\Waka!\Oh no! response:	It's Mom!
context: My brother always hides his important stuff here.\This is the next person.\Heinrich Hertz?\Oh, the EM guy.\EM?\Waka!\Oh no!\It's Mom! response:	Waka, are you there?
context: This is the next person.\Heinrich Hertz?\Oh, the EM guy.\EM?\Waka!\Oh no!\It's Mom!\Waka, are you there? response:	Yes! What is it?
context: Heinrich Hertz?\Oh, the EM guy.\EM?\Waka!\Oh no!\It's Mom!\Waka, are you there?\Yes! What is it? response:	Mari, hurry!
context: Oh, the EM guy.\EM?\Waka!\Oh no!\It's Mom!\Waka, are you there?\Yes! What is it?\Mari, hurry! response:	What? What's going on?
context: EM?\Waka!\Oh no!\It's Mom!\Waka, are you there?\Yes! What is it?\Mari, hurry!\What? What's going on? response:	Oh, well... it sure is windy today, huh?
context: Waka!\Oh no!\It's Mom!\Waka, are you there?\Yes! What is it?\Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh? response:	Are you okay?
context: Oh no!\It's Mom!\Waka, are you there?\Yes! What is it?\Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay? response:	Y-Yeah...
context: It's Mom!\Waka, are you there?\Yes! What is it?\Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah... response:	Hey, Waka... Did something happen to Mr. Hayase's laboratory?
context: Waka, are you there?\Yes! What is it?\Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory? response:	Huh?
context: Yes! What is it?\Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh? response:	There's a policeman there forbidding anyone to enter.
context: Mari, hurry!\What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter. response:	What's going on?
context: What? What's going on?\Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter.\What's going on? response:	The Year 1893 (What is now) Bonn, Germany
context: Oh, well... it sure is windy today, huh?\Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany response:	There!
context: Are you okay?\Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany\There! response:	I'm glad I wasn't in the water this time.
context: Y-Yeah...\Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time. response:	But where am I?
context: Hey, Waka... Did something happen to Mr. Hayase's laboratory?\Huh?\There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time.\But where am I? response:	I know! There's a lot you want to ask, right?
context: Huh?\There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right? response:	But just wait a minute. Let me put on my shoes...
context: There's a policeman there forbidding anyone to enter.\What's going on?\The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes... response:	Are you...
context: What's going on?\The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you... response:	Y-Yes!
context: The Year 1893 (What is now) Bonn, Germany\There!\I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes! response:	I thought so.
context: There!\I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes!\I thought so. response:	But you're older than I was expecting.
context: I'm glad I wasn't in the water this time.\But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes!\I thought so.\But you're older than I was expecting. response:	Um, that's...
context: But where am I?\I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes!\I thought so.\But you're older than I was expecting.\Um, that's... response:	Yes, my family.
context: I know! There's a lot you want to ask, right?\But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes!\I thought so.\But you're older than I was expecting.\Um, that's...\Yes, my family. response:	No, I mean, the color...
context: But just wait a minute. Let me put on my shoes...\Are you...\Y-Yes!\I thought so.\But you're older than I was expecting.\Um, that's...\Yes, my family.\No, I mean, the color... response:	Professor!
context: Are you...\Y-Yes!\I thought so.\But you're older than I was expecting.\Um, that's...\Yes, my family.\No, I mean, the color...\Professor! response:	Shall I turn on the transmitter?
context: Y-Yes!\I thought so.\But you're older than I was expecting.\Um, that's...\Yes, my family.\No, I mean, the color...\Professor!\Shall I turn on the transmitter? response:	Y-Yes.
context: I thought so.\But you're older than I was expecting.\Um, that's...\Yes, my family.\No, I mean, the color...\Professor!\Shall I turn on the transmitter?\Y-Yes. response:	Then I will proceed.
context: But you're older than I was expecting.\Um, that's...\Yes, my family.\No, I mean, the color...\Professor!\Shall I turn on the transmitter?\Y-Yes.\Then I will proceed. response:	Oh!
context: Um, that's...\Yes, my family.\No, I mean, the color...\Professor!\Shall I turn on the transmitter?\Y-Yes.\Then I will proceed.\Oh! response:	My!
context: Yes, my family.\No, I mean, the color...\Professor!\Shall I turn on the transmitter?\Y-Yes.\Then I will proceed.\Oh!\My! response:	Getting to see the famous electromagnetic wave experiment with my own eyes...
context: No, I mean, the color...\Professor!\Shall I turn on the transmitter?\Y-Yes.\Then I will proceed.\Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes... response:	Thank you, Mr. Hertz!
context: Professor!\Shall I turn on the transmitter?\Y-Yes.\Then I will proceed.\Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz! response:	Really, it's just a proof of concept.
context: Shall I turn on the transmitter?\Y-Yes.\Then I will proceed.\Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept. response:	And lately, I've been more focused on cathode ray experiments.
context: Y-Yes.\Then I will proceed.\Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments. response:	Cathode rays?
context: Then I will proceed.\Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays? response:	What? Yes...
context: Oh!\My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes... response:	Mr. Hertz, you should cut back on those experiments.
context: My!\Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments. response:	What?
context: Getting to see the famous electromagnetic wave experiment with my own eyes...\Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments.\What? response:	I can't tell you to stop them entirely,
context: Thank you, Mr. Hertz!\Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely, response:	but just conduct fewer of them,
context: Really, it's just a proof of concept.\And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely,\but just conduct fewer of them, response:	or keep your distance from the cathode rays.
context: And lately, I've been more focused on cathode ray experiments.\Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays. response:	Just who are you?
context: Cathode rays?\What? Yes...\Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you? response:	Well, it's just, the effect cathode rays have on the body...
context: What? Yes...\Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body... response:	Their effect on the body? What are you talking about?
context: Mr. Hertz, you should cut back on those experiments.\What?\I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about? response:	Mr. Lenard...
context: What?\I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard... response:	He warned me that day, and yet...
context: I can't tell you to stop them entirely,\but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet... response:	So Papa is here?
context: but just conduct fewer of them,\or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet...\So Papa is here? response:	Yes, he came twice to my laboratory.
context: or keep your distance from the cathode rays.\Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory. response:	But what are you doing here?
context: Just who are you?\Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here? response:	I'm searching for Papa!
context: Well, it's just, the effect cathode rays have on the body...\Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa! response:	Searching?
context: Their effect on the body? What are you talking about?\Mr. Lenard...\He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa!\Searching? response:	Yes.
context: Mr. Lenard...\He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa!\Searching?\Yes. response:	Do you know where he might have gone?
context: He warned me that day, and yet...\So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa!\Searching?\Yes.\Do you know where he might have gone? response:	Dr. Hayase, you mean?
context: So Papa is here?\Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa!\Searching?\Yes.\Do you know where he might have gone?\Dr. Hayase, you mean? response:	Yes...
context: Yes, he came twice to my laboratory.\But what are you doing here?\I'm searching for Papa!\Searching?\Yes.\Do you know where he might have gone?\Dr. Hayase, you mean?\Yes... response:	If he's anywhere, it might be the university.
context: But what are you doing here?\I'm searching for Papa!\Searching?\Yes.\Do you know where he might have gone?\Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university. response:	University?
context: I'm searching for Papa!\Searching?\Yes.\Do you know where he might have gone?\Dr. Hayase, you mean?\Yes...\If he's anywhere, it might be the university.\University? response:	Bonn University, where I work.
