context: Felt-sama, thank you for gracing us with your presence. response:	Reinhard...
context: What's brought on such behavior?\Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core... response:	And not only me.
context: Don't block my kick and ask me that, like nothing happened!\I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me. response:	What the heck are you doing here?
context: I've had just about all I can take!\Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here? response:	Hey! It's been a while. How have you be
context: Does the dress not suit your taste?\It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be response:	Randaba!
context: It looks lovely on you.\I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba! response:	Looks like the hole in your gut isn't bothering you anymore.
context: I'm not talking about the dress, and I'm not embarrassed!\That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore. response:	If you were worried about that, be nice to me!
context: That's the girl from...\I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me! response:	Felt-sama, if you have finished rekindling old friendships,
context: I guess it isn't that easy to change someone at their core...\And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships, response:	please step over here.
context: And not only me.\What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here. response:	So, what is it you want me to do?
context: What the heck are you doing here?\Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do? response:	I would like to say, To act more like a lady,
context: Hey! It's been a while. How have you be\Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady, response:	but this comes first.
context: Randaba!\Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first. response:	As you can see,
context: Looks like the hole in your gut isn't bothering you anymore.\If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first.\As you can see, response:	the dragon gem has recognized Felt-sama as a priestess.
context: If you were worried about that, be nice to me!\Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess. response:	With her participation approved,
context: Felt-sama, if you have finished rekindling old friendships,\please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved, response:	I believe it is time to begin the royal selection in earnest.
context: please step over here.\So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest. response:	Even if the Dragon Stone has recognized her,
context: So, what is it you want me to do?\I would like to say, To act more like a lady,\but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her, response:	isn't her selection a bit problematic?
context: I would like to say, To act more like a lady,\but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic? response:	You believe we, the Imperial Knights, have made an error?
context: but this comes first.\As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error? response:	The atmosphere's getting kind of dicey.
context: As you can see,\the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey. response:	Yeah, but it doesn't bother me.
context: the dragon gem has recognized Felt-sama as a priestess.\With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me. response:	It's nyo big deal to me, either...
context: With her participation approved,\I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either... response:	After all, I've already pledged my loyalty exclusively to one lady!
context: I believe it is time to begin the royal selection in earnest.\Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady! response:	I feel the same.
context: Even if the Dragon Stone has recognized her,\isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same. response:	My sword already belongs to Anastasia-sama.
context: isn't her selection a bit problematic?\You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama. response:	Well, my feelings for Emilia won't come in second to anyone!
context: You believe we, the Imperial Knights, have made an error?\The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone! response:	She doesn't have the self-awareness to become a ruler.
context: The atmosphere's getting kind of dicey.\Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler. response:	You can dress her up, but you can't give her grace.
context: Yeah, but it doesn't bother me.\It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace. response:	She's uneducated, as well.
context: It's nyo big deal to me, either...\After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well. response:	Silence!
context: After all, I've already pledged my loyalty exclusively to one lady!\I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence! response:	Knight Reinhard,
context: I feel the same.\My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence!\Knight Reinhard, response:	would you begin by explaining to us what led you to her discovery?
context: My sword already belongs to Anastasia-sama.\Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery? response:	I took custody of Felt-sama in the slums, about one month ago.
context: Well, my feelings for Emilia won't come in second to anyone!\She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago. response:	She's a gutter rat from the slums?!
context: She doesn't have the self-awareness to become a ruler.\You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?! response:	Well, sorry for being a gutter rat!
context: You can dress her up, but you can't give her grace.\She's uneducated, as well.\Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat! response:	You were the ones who dragged me here against my will!
context: She's uneducated, as well.\Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will! response:	All of this long-winded blather could not be more tedious.
context: Silence!\Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious. response:	Of course, I suppose you lived as a gutter rat
context: Knight Reinhard,\would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat response:	because you could only manage tedious conversation...
context: would you begin by explaining to us what led you to her discovery?\I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation... response:	Oh? If you want a fight, you've got one.
context: I took custody of Felt-sama in the slums, about one month ago.\She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one. response:	What insolence.
context: She's a gutter rat from the slums?!\Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence. response:	Who do you think I am?
context: Well, sorry for being a gutter rat!\You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am? response:	Princess, that isn't...
context: You were the ones who dragged me here against my will!\All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am?\Princess, that isn't... response:	Many pardons, Priscilla-sama.
context: All of this long-winded blather could not be more tedious.\Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama. response:	What are you thinking, in a hallowed place like this?
context: Of course, I suppose you lived as a gutter rat\because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this? response:	I was only trying to teach an untrained little bitch her place.
context: because you could only manage tedious conversation...\Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place. response:	You won't even apologize?
context: Oh? If you want a fight, you've got one.\What insolence.\Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize? response:	Then, will you also apologize for being born?
context: What insolence.\Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born? response:	You silver-haired half-elf.
context: Who do you think I am?\Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf. response:	I have no connection to the witch...
context: Princess, that isn't...\Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch... response:	Princess, could you drop it now?
context: Many pardons, Priscilla-sama.\What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now? response:	I'll be the one to suffer if you make too many enemies, seriously.
context: What are you thinking, in a hallowed place like this?\I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously. response:	Are you all quite finished?
context: I was only trying to teach an untrained little bitch her place.\You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished? response:	Then, royal selection candidates, please come forth.
context: You won't even apologize?\Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth. response:	Priscilla Barielle-sama and her attendant, Al.
context: Then, will you also apologize for being born?\You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al. response:	This selection is pointless.
context: You silver-haired half-elf.\I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless. response:	I am the one suited to rule this nation!
context: I have no connection to the witch...\Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation! response:	All you need to do is serve me and grovel at my feet.
context: Princess, could you drop it now?\I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet. response:	Head of the Karsten family, Crusch Karsten-sama,
context: I'll be the one to suffer if you make too many enemies, seriously.\Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama, response:	and her attendant, the knight Felix Argyle.
context: Are you all quite finished?\Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle. response:	Should I become the new ruler,
context: Then, royal selection candidates, please come forth.\Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler, response:	I will make the dragon forget the covenant it demanded.
context: Priscilla Barielle-sama and her attendant, Al.\This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded. response:	The Dragon's Empire of Lugunica belongs not to the dragon,
context: This selection is pointless.\I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon, response:	but to us.
context: I am the one suited to rule this nation!\All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us. response:	Anastasia Hoshin-sama, of the Hoshin Company,
context: All you need to do is serve me and grovel at my feet.\Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company, response:	and her attendant, the knight Julius Euclius.
context: Head of the Karsten family, Crusch Karsten-sama,\and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius. response:	I'm a greedy gal, so I want everything.
context: and her attendant, the knight Felix Argyle.\Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything. response:	No amount of commercial success can satisfy me.
context: Should I become the new ruler,\I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me. response:	I want my own nation!
context: I will make the dragon forget the covenant it demanded.\The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation! response:	Emilia-sama and the man endorsing her,
context: The Dragon's Empire of Lugunica belongs not to the dragon,\but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her, response:	Margrave Roswaal L. Mathers.
context: but to us.\Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers. response:	I have only one wish.
context: Anastasia Hoshin-sama, of the Hoshin Company,\and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish. response:	For all to be equal.
context: and her attendant, the knight Julius Euclius.\I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal. response:	I desire to create a nation where all citizens are equal!
context: I'm a greedy gal, so I want everything.\No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal! response:	Still, after the introduction of all those knightly attendants,
context: No amount of commercial success can satisfy me.\I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants, response:	I feel terribly out of place here!
context: I want my own nation!\Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here! response:	Finally, Felt-sama and her attendant,
context: Emilia-sama and the man endorsing her,\Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant, response:	the knight Reinhard van Astrea.
context: Margrave Roswaal L. Mathers.\I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea. response:	Hang on! Don't get the wrong idea!
context: I have only one wish.\For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea! response:	I never said I'd be the next ruler...
context: For all to be equal.\I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler... response:	Who'd want to be in a royal selection?!
context: I desire to create a nation where all citizens are equal!\Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?! response:	Are you saying you withdraw from the selection?
context: Still, after the introduction of all those knightly attendants,\I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection? response:	Damn right I am!
context: I feel terribly out of place here!\Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am! response:	This is a joke!
context: Finally, Felt-sama and her attendant,\the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am!\This is a joke! response:	I've overlooked this because the situation is dire,
context: the knight Reinhard van Astrea.\Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am!\This is a joke!\I've overlooked this because the situation is dire, response:	but to drag it out this long is senseless!
context: Hang on! Don't get the wrong idea!\I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am!\This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless! response:	He's right.
context: I never said I'd be the next ruler...\Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am!\This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right. response:	The Astrea family offers a gutter rat to rule us,
context: Who'd want to be in a royal selection?!\Are you saying you withdraw from the selection?\Damn right I am!\This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us, response:	while Margrave Mathers endorses a half-devil? Utter foolishness!
context: Are you saying you withdraw from the selection?\Damn right I am!\This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness! response:	It isn't at all nice to call a half-elf a half-devil.
context: Damn right I am!\This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil. response:	That silver-haired half-devil
context: This is a joke!\I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil response:	matches the Jealous Witch's appearance, as described for generations!
context: I've overlooked this because the situation is dire,\but to drag it out this long is senseless!\He's right.\The Astrea family offers a gutter rat to rule us,\while Margrave Mathers endorses a half-devil? Utter foolishness!\It isn't at all nice to call a half-elf a half-devil.\That silver-haired half-devil\matches the Jealous Witch's appearance, as described for generations! response:	Why do you not realize that even allowing her in the throne room is dreadful?
