context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: If he isn't angry at all, he must be quite something.\Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous?\That's impossible.\But... response:	These two days in the Nine Heavens I did lose my poise a bit.
context: Judging by your character, you usually brush it off as a joke.\But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous?\That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit. response:	I feel so uneasy seeing that side consort, Su Jin
context: But this time, you've lost your poise\and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous?\That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin response:	and I can't stand it when Ye Hua scolds me.
context: and provoked him with that side consort of his.\You're not acting like yourself.\Are you jealous?\That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me. response:	Could it be that I'm jealous and have been for so long?
context: You're not acting like yourself.\Are you jealous?\That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long? response:	You really did get jealous.
context: Are you jealous?\That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous. response:	That can't be.
context: That's impossible.\But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be. response:	I'm 90,000 years older than him.
context: But...\These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be.\I'm 90,000 years older than him. response:	If I married young
context: These two days in the Nine Heavens I did lose my poise a bit.\I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be.\I'm 90,000 years older than him.\If I married young response:	my grandson would be about his age now.
context: I feel so uneasy seeing that side consort, Su Jin\and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be.\I'm 90,000 years older than him.\If I married young\my grandson would be about his age now. response:	I even thought of getting him a few beautiful concubines.
context: and I can't stand it when Ye Hua scolds me.\Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be.\I'm 90,000 years older than him.\If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines. response:	Fourth Brother, if I really fell for him
context: Could it be that I'm jealous and have been for so long?\You really did get jealous.\That can't be.\I'm 90,000 years older than him.\If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him response:	shouldn't I have been moved when he confessed his feelings for me?
context: You really did get jealous.\That can't be.\I'm 90,000 years older than him.\If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me? response:	What? He already confessed his feelings for you?
context: That can't be.\I'm 90,000 years older than him.\If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you? response:	Good.
context: I'm 90,000 years older than him.\If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good. response:	If he falls for the sister I brought up, he does have good taste.
context: If I married young\my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste. response:	As for the age difference...
context: my grandson would be about his age now.\I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference... response:	Father is 15,000 years older than Mother.
context: I even thought of getting him a few beautiful concubines.\Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother. response:	As long as you look good together, it's fine.
context: Fourth Brother, if I really fell for him\shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine. response:	You two look great together.
context: shouldn't I have been moved when he confessed his feelings for me?\What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together. response:	Speaking of side consorts
context: What? He already confessed his feelings for you?\Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts response:	Zhe Yan has been pondering over getting me a wife
context: Good.\If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife response:	but that hasn't worked out.
context: If he falls for the sister I brought up, he does have good taste.\As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out. response:	He must have felt that no other female deity is good enough for me.
context: As for the age difference...\Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me. response:	As for you, you're always so slow when it comes to romance.
context: Father is 15,000 years older than Mother.\As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance. response:	Answer me.
context: As long as you look good together, it's fine.\You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me. response:	After he left, what was it that you found strange?
context: You two look great together.\Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange? response:	When Ye Hua first went to Qing Qiu
context: Speaking of side consorts\Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu response:	I wasn't used to having him around.
context: Zhe Yan has been pondering over getting me a wife\but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around. response:	But since we'll have to live together after we're married
context: but that hasn't worked out.\He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married response:	I just let him do as he wanted.
context: He must have felt that no other female deity is good enough for me.\As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted. response:	During the day, he'd take me out for a stroll.
context: As for you, you're always so slow when it comes to romance.\Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll. response:	When he was going through reports I'd munch on pumpkin seeds.
context: Answer me.\After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds. response:	Then we'd play a game or two of chess at night.
context: After he left, what was it that you found strange?\When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night. response:	I thought that once we are married
context: When Ye Hua first went to Qing Qiu\I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married response:	we'd have to spend days together for all eternity, so I got used to it.
context: I wasn't used to having him around.\But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it. response:	But now that you've asked me
context: But since we'll have to live together after we're married\I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me response:	how did I spend my time in Qing Qiu before Ye Hua came here?
context: I just let him do as he wanted.\During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here? response:	It now seems that you've really fallen for Ye Hua.
context: During the day, he'd take me out for a stroll.\When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua. response:	You don't have to be so perplexed.
context: When he was going through reports I'd munch on pumpkin seeds.\Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed. response:	Since Ye Hua already made a vow, even if he breaks it in the future...
context: Then we'd play a game or two of chess at night.\I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future... response:	Judging by this situation, I can set my mind at ease.
context: I thought that once we are married\we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease. response:	I'll get going.
context: we'd have to spend days together for all eternity, so I got used to it.\But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going. response:	Fourth Brother!
context: But now that you've asked me\how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother! response:	What are you at ease with?
context: how did I spend my time in Qing Qiu before Ye Hua came here?\It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother!\What are you at ease with? response:	What if he really breaks his vow?
context: It now seems that you've really fallen for Ye Hua.\You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother!\What are you at ease with?\What if he really breaks his vow? response:	What am I to do?
context: You don't have to be so perplexed.\Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother!\What are you at ease with?\What if he really breaks his vow?\What am I to do? response:	If I did fall for Ye Hua...
context: Since Ye Hua already made a vow, even if he breaks it in the future...\Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother!\What are you at ease with?\What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua... response:	Haven't I wasted 140,000 years of my life?
context: Judging by this situation, I can set my mind at ease.\I'll get going.\Fourth Brother!\What are you at ease with?\What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life? response:	I actually fell for that chap who is 90,000 years younger.
context: I'll get going.\Fourth Brother!\What are you at ease with?\What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger. response:	He should address me as his ancestor.
context: Fourth Brother!\What are you at ease with?\What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor. response:	Lord Dong Hua.
context: What are you at ease with?\What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua. response:	Why have I returned before the 60-year trial was over?
context: What if he really breaks his vow?\What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over? response:	Have you changed my schedule?
context: What am I to do?\If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule? response:	I wouldn't dare do that.
context: If I did fall for Ye Hua...\Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that. response:	This is indeed bizarre.
context: Haven't I wasted 140,000 years of my life?\I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre. response:	In the Book of Destiny there was much written
context: I actually fell for that chap who is 90,000 years younger.\He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written response:	but then the words suddenly vanished.
context: He should address me as his ancestor.\Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished. response:	Perhaps, Your Lordship is unlike any other deity.
context: Lord Dong Hua.\Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity. response:	You took the heavenly trial differently.
context: Why have I returned before the 60-year trial was over?\Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently. response:	Is there anything amiss after your abrupt return to the Celestial Palace?
context: Have you changed my schedule?\I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace? response:	I've lost nine-tenths of my powers.
context: I wouldn't dare do that.\This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers. response:	What?
context: This is indeed bizarre.\In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What? response:	It's perhaps because my heavenly trial was cut short and now I'm being punished.
context: In the Book of Destiny there was much written\but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished. response:	It will be fine in a few years.
context: but then the words suddenly vanished.\Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years. response:	Keep this matter to yourself.
context: Perhaps, Your Lordship is unlike any other deity.\You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself. response:	No one is to hear of it.
context: You took the heavenly trial differently.\Is there anything amiss after your abrupt return to the Celestial Palace?\I've lost nine-tenths of my powers.\What?\It's perhaps because my heavenly trial was cut short and now I'm being punished.\It will be fine in a few years.\Keep this matter to yourself.\No one is to hear of it. response:	Yes.
