context: Just what are you...? response:	Where's Yin?
context: Why are they after Yin?\She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power. response:	Why Yin?
context: She's a doll evolving at an unusually fast pace.\There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin? response:	You're as oblivious as ever.
context: There are those who wish to know the reason why, and it's not just them.\And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin?\You're as oblivious as ever. response:	There's one thing I want to ask you too.
context: And that includes me.\And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too. response:	What is that doll to you?
context: And all the more reason to since it was predicted more than 50 years ago in books.\What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you? response:	Forget it.
context: What do you mean?\According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you?\Forget it. response:	Amber might have seen this future too.
context: According to the books, a woman will awaken and obtain the power to change the world.\And what they want is that power.\Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you?\Forget it.\Amber might have seen this future too. response:	Whether you stay here or leave is up to you.
context: And what they want is that power.\Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you?\Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you. response:	Yin.
context: Why Yin?\You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you?\Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin. response:	Tell me.
context: You're as oblivious as ever.\There's one thing I want to ask you too.\What is that doll to you?\Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin.\Tell me. response:	What's happening to you right now?
context: There's one thing I want to ask you too.\What is that doll to you?\Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin.\Tell me.\What's happening to you right now? response:	I don't know.
context: What is that doll to you?\Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin.\Tell me.\What's happening to you right now?\I don't know. response:	Something is trying to talk to me.
context: Forget it.\Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin.\Tell me.\What's happening to you right now?\I don't know.\Something is trying to talk to me. response:	Something? Your spirit?
context: Amber might have seen this future too.\Whether you stay here or leave is up to you.\Yin.\Tell me.\What's happening to you right now?\I don't know.\Something is trying to talk to me.\Something? Your spirit? response:	Not exactly.
context: Whether you stay here or leave is up to you.\Yin.\Tell me.\What's happening to you right now?\I don't know.\Something is trying to talk to me.\Something? Your spirit?\Not exactly. response:	Is it possible for me to talk to it?
context: Yin.\Tell me.\What's happening to you right now?\I don't know.\Something is trying to talk to me.\Something? Your spirit?\Not exactly.\Is it possible for me to talk to it? response:	Not now.
context: Tell me.\What's happening to you right now?\I don't know.\Something is trying to talk to me.\Something? Your spirit?\Not exactly.\Is it possible for me to talk to it?\Not now. response:	Is there anything I can do?
context: What's happening to you right now?\I don't know.\Something is trying to talk to me.\Something? Your spirit?\Not exactly.\Is it possible for me to talk to it?\Not now.\Is there anything I can do? response:	Yin.
context: I don't know.\Something is trying to talk to me.\Something? Your spirit?\Not exactly.\Is it possible for me to talk to it?\Not now.\Is there anything I can do?\Yin. response:	When it feels that you're near me, it begins to talk to me.
context: Something is trying to talk to me.\Something? Your spirit?\Not exactly.\Is it possible for me to talk to it?\Not now.\Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me. response:	All you can do is leave me.
context: Something? Your spirit?\Not exactly.\Is it possible for me to talk to it?\Not now.\Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me. response:	Let's split up.
context: Not exactly.\Is it possible for me to talk to it?\Not now.\Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up. response:	If my being with you is hurting you,
context: Is it possible for me to talk to it?\Not now.\Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up.\If my being with you is hurting you, response:	there's nothing we can do but leave each other.
context: Not now.\Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other. response:	No.
context: Is there anything I can do?\Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other.\No. response:	Even if we split up,
context: Yin.\When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other.\No.\Even if we split up, response:	I won't be able to forget about you.
context: When it feels that you're near me, it begins to talk to me.\All you can do is leave me.\Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other.\No.\Even if we split up,\I won't be able to forget about you. response:	That child was born from contractors.
context: All you can do is leave me.\Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other.\No.\Even if we split up,\I won't be able to forget about you.\That child was born from contractors. response:	Whether it's a blessing or not, it doesn't have any powers.
context: Let's split up.\If my being with you is hurting you,\there's nothing we can do but leave each other.\No.\Even if we split up,\I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers. response:	It's a strange place.
context: If my being with you is hurting you,\there's nothing we can do but leave each other.\No.\Even if we split up,\I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place. response:	Free from the binds of human society,
context: there's nothing we can do but leave each other.\No.\Even if we split up,\I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society, response:	these contractors rationally came to an agreement,
context: No.\Even if we split up,\I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement, response:	and gave birth to the most unpredictable thing.
context: Even if we split up,\I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing. response:	The leader here once called for the evolution of contractors.
context: I won't be able to forget about you.\That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors. response:	Is this a result of that?
context: That child was born from contractors.\Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that? response:	I was told the future of contractors lies here.
context: Whether it's a blessing or not, it doesn't have any powers.\It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here. response:	It's quite different from what I expected it would be, but it doesn't seem to be a lie.
context: It's a strange place.\Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie. response:	We're new to this place too.
context: Free from the binds of human society,\these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too. response:	We were scouted from Hong Kong, just like you.
context: these contractors rationally came to an agreement,\and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you. response:	Nice to meet you.
context: and gave birth to the most unpredictable thing.\The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you. response:	Here you go!
context: The leader here once called for the evolution of contractors.\Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go! response:	Thanks.
context: Is this a result of that?\I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go!\Thanks. response:	Sorry...
context: I was told the future of contractors lies here.\It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go!\Thanks.\Sorry... response:	What are you doing?
context: It's quite different from what I expected it would be, but it doesn't seem to be a lie.\We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go!\Thanks.\Sorry...\What are you doing? response:	That's my question!
context: We're new to this place too.\We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go!\Thanks.\Sorry...\What are you doing?\That's my question! response:	I almost got killed!
context: We were scouted from Hong Kong, just like you.\Nice to meet you.\Here you go!\Thanks.\Sorry...\What are you doing?\That's my question!\I almost got killed! response:	If she hadn't stopped them, I'd have been dead already!
context: Nice to meet you.\Here you go!\Thanks.\Sorry...\What are you doing?\That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already! response:	Sorry for getting you involved.
context: Here you go!\Thanks.\Sorry...\What are you doing?\That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved. response:	Hey, that's not like you.
context: Thanks.\Sorry...\What are you doing?\That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you. response:	Still, what's up with this place?
context: Sorry...\What are you doing?\That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place? response:	They all act like contractors!
context: What are you doing?\That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place?\They all act like contractors! response:	They are.
context: That's my question!\I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place?\They all act like contractors!\They are. response:	Everyone?
context: I almost got killed!\If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place?\They all act like contractors!\They are.\Everyone? response:	That's right.
context: If she hadn't stopped them, I'd have been dead already!\Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place?\They all act like contractors!\They are.\Everyone?\That's right. response:	Contractors who believed in their future.
context: Sorry for getting you involved.\Hey, that's not like you.\Still, what's up with this place?\They all act like contractors!\They are.\Everyone?\That's right.\Contractors who believed in their future. response:	Stop? Why?
context: Hey, that's not like you.\Still, what's up with this place?\They all act like contractors!\They are.\Everyone?\That's right.\Contractors who believed in their future.\Stop? Why? response:	Compared to Hong Kong, her mind is stable and she seems to be quite calm.
context: Still, what's up with this place?\They all act like contractors!\They are.\Everyone?\That's right.\Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm. response:	She is no doubt Izanami.
context: They all act like contractors!\They are.\Everyone?\That's right.\Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami. response:	Just as I told you, the Syndicate is in a bad position,
context: They are.\Everyone?\That's right.\Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position, response:	and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.
context: Everyone?\That's right.\Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out. response:	What's there to hesitate about?
context: That's right.\Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about? response:	You seem to be misunderstanding something.
context: Contractors who believed in their future.\Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something. response:	We fought with Amber so that contractors wouldn't go extinct,
context: Stop? Why?\Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct, response:	not to stand above humans and rule.
context: Compared to Hong Kong, her mind is stable and she seems to be quite calm.\She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule. response:	You won't be able to do anything if you're scared, Amagiri!
context: She is no doubt Izanami.\Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri! response:	You're a real punk.
context: Just as I told you, the Syndicate is in a bad position,\and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk. response:	Amagiri is an idiot.
context: and by stimulating another awakening, you will be able to fulfill the former leader's wish that they couldn't carry out.\What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot. response:	Yes, he is.
context: What's there to hesitate about?\You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot.\Yes, he is. response:	But you seem more like an idiot to me.
context: You seem to be misunderstanding something.\We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me. response:	Me? An idiot? How so?
context: We fought with Amber so that contractors wouldn't go extinct,\not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so? response:	What are you planning to do with the doll?
context: not to stand above humans and rule.\You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll? response:	So, you're against it?
context: You won't be able to do anything if you're scared, Amagiri!\You're a real punk.\Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it? response:	Now that we know that she's Izanami, we have orders to kill her.
context: You're a real punk.\Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her. response:	I just can't agree with that order.
context: Amagiri is an idiot.\Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order. response:	If she awakens, the world will break down.
context: Yes, he is.\But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down. response:	It's already broken as it is.
context: But you seem more like an idiot to me.\Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is. response:	So you're saying it's okay to make it even worse?
context: Me? An idiot? How so?\What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse? response:	I don't think it is. I don't want to die yet.
context: What are you planning to do with the doll?\So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet. response:	Even if it breaks down, it doesn't mean that us contractors will die.
context: So, you're against it?\Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die. response:	I don't know about humans though.
context: Now that we know that she's Izanami, we have orders to kill her.\I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though. response:	I don't know what you heard from the Madame, but she's human.
context: I just can't agree with that order.\If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human. response:	I only heard one thing from her.
context: If she awakens, the world will break down.\It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her. response:	We're humans that couldn't become dolls.
context: It's already broken as it is.\So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls. response:	Basically, we're defects.
context: So you're saying it's okay to make it even worse?\I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects. response:	You're just trash, doll.
context: I don't think it is. I don't want to die yet.\Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll. response:	Can I talk to you?
context: Even if it breaks down, it doesn't mean that us contractors will die.\I don't know about humans though.\I don't know what you heard from the Madame, but she's human.\I only heard one thing from her.\We're humans that couldn't become dolls.\Basically, we're defects.\You're just trash, doll.\Can I talk to you? response:	Sure.
