context: Tch. response:	Oh.
context: I'm done, I'm done.\I'm done with all of this.\As of today, I quit.\What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who... response:	There's nothing else we can do!
context: I'm done with all of this.\As of today, I quit.\What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who...\There's nothing else we can do! response:	Stop it, you guys.
context: As of today, I quit.\What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who...\There's nothing else we can do!\Stop it, you guys. response:	Don't fight
context: What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who...\There's nothing else we can do!\Stop it, you guys.\Don't fight response:	Shut it!
context: I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who...\There's nothing else we can do!\Stop it, you guys.\Don't fight\Shut it! response:	Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?
context: We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us?\Who...\There's nothing else we can do!\Stop it, you guys.\Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to? response:	He's not here anymore!
context: And who the heck decided that for us?\Who...\There's nothing else we can do!\Stop it, you guys.\Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore! response:	You think I don't get that?!
context: Who...\There's nothing else we can do!\Stop it, you guys.\Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?! response:	You don't get it!
context: There's nothing else we can do!\Stop it, you guys.\Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?!\You don't get it! response:	How are we supposed to keep going without him, huh?!
context: Stop it, you guys.\Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?! response:	You were the one who made him use too much magic and put us in this mess.
context: Don't fight\Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess. response:	Ranta, is that how you see
context: Shut it!\Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see response:	Am I wrong?!
context: Yeah, we need to work as Volunteer Soldiers, but how are we supposed to?\He's not here anymore!\You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?! response:	You're saying that's not it, huh?!
context: He's not here anymore!\You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?! response:	You're not wrong, but...
context: You think I don't get that?!\You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but... response:	But what?!
context: You don't get it!\How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but...\But what?! response:	Stop!
context: How are we supposed to keep going without him, huh?!\You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but...\But what?!\Stop! response:	This is not the time to be fighting!
context: You were the one who made him use too much magic and put us in this mess.\Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but...\But what?!\Stop!\This is not the time to be fighting! response:	We shouldn't be fighting amongst ourselves.
context: Ranta, is that how you see\Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but...\But what?!\Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves. response:	Calm down.
context: Am I wrong?!\You're saying that's not it, huh?!\You're not wrong, but...\But what?!\Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down. response:	Sorry.
context: You're saying that's not it, huh?!\You're not wrong, but...\But what?!\Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down.\Sorry. response:	Wait, you shouldn't be talking
context: You're not wrong, but...\But what?!\Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down.\Sorry.\Wait, you shouldn't be talking response:	I will be careful from now on, for real.
context: But what?!\Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down.\Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real. response:	I see he's a scary one when he gets mad.
context: Stop!\This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down.\Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad. response:	We do need to think about what our next steps will be...
context: This is not the time to be fighting!\We shouldn't be fighting amongst ourselves.\Calm down.\Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be... response:	Yeah, you're right.
context: We shouldn't be fighting amongst ourselves.\Calm down.\Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right. response:	I wasn't saying all that earlier in a fit of despair.
context: Calm down.\Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair. response:	After thinking about it, I basically realized that we can't go on without him.
context: Sorry.\Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him. response:	But do nothing?
context: Wait, you shouldn't be talking\I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing? response:	You can't just do nothing.
context: I will be careful from now on, for real.\I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing. response:	It costs money just to eat and sleep.
context: I see he's a scary one when he gets mad.\We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing.\It costs money just to eat and sleep. response:	Maybe I'll look for another job.
context: We do need to think about what our next steps will be...\Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job. response:	I thought that you couldn't quit from the Dark Knight guild.
context: Yeah, you're right.\I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild. response:	You forgot?
context: I wasn't saying all that earlier in a fit of despair.\After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot? response:	Shut up.
context: After thinking about it, I basically realized that we can't go on without him.\But do nothing?\You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up. response:	Look for another job, huh...
context: But do nothing?\You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up.\Look for another job, huh... response:	Hey, hey, hey!
context: You can't just do nothing.\It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up.\Look for another job, huh...\Hey, hey, hey! response:	It's you guys!
context: It costs money just to eat and sleep.\Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up.\Look for another job, huh...\Hey, hey, hey!\It's you guys! response:	It's been forever!
context: Maybe I'll look for another job.\I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up.\Look for another job, huh...\Hey, hey, hey!\It's you guys!\It's been forever! response:	Hey, how have you guys been?
context: I thought that you couldn't quit from the Dark Knight guild.\You forgot?\Shut up.\Look for another job, huh...\Hey, hey, hey!\It's you guys!\It's been forever!\Hey, how have you guys been? response:	I heard you guys from over there.
context: You forgot?\Shut up.\Look for another job, huh...\Hey, hey, hey!\It's you guys!\It's been forever!\Hey, how have you guys been?\I heard you guys from over there. response:	Oh, Kikkawa.
context: Shut up.\Look for another job, huh...\Hey, hey, hey!\It's you guys!\It's been forever!\Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa. response:	Yeah! Hey! Hey!
context: Look for another job, huh...\Hey, hey, hey!\It's you guys!\It's been forever!\Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey! response:	So how are things?
context: Hey, hey, hey!\It's you guys!\It's been forever!\Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things? response:	Going around Damuro's old city?
context: It's you guys!\It's been forever!\Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city? response:	I heard everything from Manatocchi.
context: It's been forever!\Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi. response:	I don't see him here today though.
context: Hey, how have you guys been?\I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though. response:	Yeah.
context: I heard you guys from over there.\Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though.\Yeah. response:	No way! Manatocchi's getting married?!
context: Oh, Kikkawa.\Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?! response:	Wrong.
context: Yeah! Hey! Hey!\So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?!\Wrong. response:	He died.
context: So how are things?\Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?!\Wrong.\He died. response:	Yesterday.
context: Going around Damuro's old city?\I heard everything from Manatocchi.\I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?!\Wrong.\He died.\Yesterday. response:	Woah.
context: I heard everything from Manatocchi.\I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?!\Wrong.\He died.\Yesterday.\Woah. response:	I'm sorry'bout that.
context: I don't see him here today though.\Yeah.\No way! Manatocchi's getting married?!\Wrong.\He died.\Yesterday.\Woah.\I'm sorry'bout that. response:	Sorry. I'm really sorry.
context: Yeah.\No way! Manatocchi's getting married?!\Wrong.\He died.\Yesterday.\Woah.\I'm sorry'bout that.\Sorry. I'm really sorry. response:	Manatocchi seemed like someone you could depend on.
context: No way! Manatocchi's getting married?!\Wrong.\He died.\Yesterday.\Woah.\I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on. response:	Different from Renji, though.
context: Wrong.\He died.\Yesterday.\Woah.\I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though. response:	Hey Missy.
context: He died.\Yesterday.\Woah.\I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy. response:	Another ice cold brewski.
context: Yesterday.\Woah.\I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy.\Another ice cold brewski. response:	Sure thing!
context: Woah.\I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy.\Another ice cold brewski.\Sure thing! response:	Kikkawa, you seem well.
context: I'm sorry'bout that.\Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy.\Another ice cold brewski.\Sure thing!\Kikkawa, you seem well. response:	Yeah.
context: Sorry. I'm really sorry.\Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy.\Another ice cold brewski.\Sure thing!\Kikkawa, you seem well.\Yeah. response:	I'm in this guy Tokimune's ty-par.
context: Manatocchi seemed like someone you could depend on.\Different from Renji, though.\Hey Missy.\Another ice cold brewski.\Sure thing!\Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par. response:	He's an awesome guy.
context: Different from Renji, though.\Hey Missy.\Another ice cold brewski.\Sure thing!\Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy. response:	He's here now.
context: Hey Missy.\Another ice cold brewski.\Sure thing!\Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now. response:	You want me to introduce you guys? Yeah?
context: Another ice cold brewski.\Sure thing!\Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah? response:	No, maybe next time.
context: Sure thing!\Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time. response:	Of course.
context: Kikkawa, you seem well.\Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time.\Of course. response:	Manatocchi was a Priest, right?
context: Yeah.\I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time.\Of course.\Manatocchi was a Priest, right? response:	Center of the ty-par, huh.
context: I'm in this guy Tokimune's ty-par.\He's an awesome guy.\He's here now.\You want me to introduce you guys? Yeah?\No, maybe next time.\Of course.\Manatocchi was a Priest, right?\Center of the ty-par, huh. response:	Priests do have a high fatality rate.
