context: He said he found a master he could serve. response:	That's why he was leaving the village.
context: Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run.\I will make the report.\Nice weather we're having. response:	I wish I could lie around and stare at the sky on days like these.
context: whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run.\I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these. response:	You're always doing that anyway.
context: your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run.\I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway. response:	How are Saizo and the others doing?
context: Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run.\I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing? response:	Why haven't they sent word?
context: Hey, watch your mouth, old man.\If you want to run, run.\I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word? response:	Perhaps they haven't reported anything because there's nothing to report.
context: If you want to run, run.\I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report. response:	Ana, good timing.
context: I will make the report.\Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing. response:	Let me rest my head on your thighs.
context: Nice weather we're having.\I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs. response:	No, I hate bending my legs.
context: I wish I could lie around and stare at the sky on days like these.\You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs. response:	But that's an order!
context: You're always doing that anyway.\How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order! response:	Master!
context: How are Saizo and the others doing?\Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order!\Master! response:	Akeha.
context: Why haven't they sent word?\Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order!\Master!\Akeha. response:	A message? Good work.
context: Perhaps they haven't reported anything because there's nothing to report.\Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order!\Master!\Akeha.\A message? Good work. response:	What is it?
context: Ana, good timing.\Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order!\Master!\Akeha.\A message? Good work.\What is it? response:	Are they asking for more money?
context: Let me rest my head on your thighs.\No, I hate bending my legs.\But that's an order!\Master!\Akeha.\A message? Good work.\What is it?\Are they asking for more money? response:	Yukimura-sama...
context: No, I hate bending my legs.\But that's an order!\Master!\Akeha.\A message? Good work.\What is it?\Are they asking for more money?\Yukimura-sama... response:	Or have they found...
context: But that's an order!\Master!\Akeha.\A message? Good work.\What is it?\Are they asking for more money?\Yukimura-sama...\Or have they found... response:	Looks like that flamboyant little adventurer has shown himself.
context: Master!\Akeha.\A message? Good work.\What is it?\Are they asking for more money?\Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself. response:	What? What's wrong?
context: Akeha.\A message? Good work.\What is it?\Are they asking for more money?\Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong? response:	Sasuke, Anastasia.
context: A message? Good work.\What is it?\Are they asking for more money?\Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia. response:	Let nothing stop you from rescuing our comrades!
context: What is it?\Are they asking for more money?\Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades! response:	Yes, sir.
context: Are they asking for more money?\Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir. response:	Well...
context: Yukimura-sama...\Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir.\Well... response:	Did you not like the taste?
context: Or have they found...\Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir.\Well...\Did you not like the taste? response:	You haven't told me your name yet.
context: Looks like that flamboyant little adventurer has shown himself.\What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir.\Well...\Did you not like the taste?\You haven't told me your name yet. response:	What's your name?
context: What? What's wrong?\Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir.\Well...\Did you not like the taste?\You haven't told me your name yet.\What's your name? response:	Didn't anyone teach you to look a man in the eye when he talks to you?
context: Sasuke, Anastasia.\Let nothing stop you from rescuing our comrades!\Yes, sir.\Well...\Did you not like the taste?\You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you? response:	There.
context: Let nothing stop you from rescuing our comrades!\Yes, sir.\Well...\Did you not like the taste?\You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There. response:	Now, what's your name?
context: Yes, sir.\Well...\Did you not like the taste?\You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name? response:	Isanami.
context: Well...\Did you not like the taste?\You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name?\Isanami. response:	All right, Isanami,
context: Did you not like the taste?\You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name?\Isanami.\All right, Isanami, response:	if there's anything you want, just ask.
context: You haven't told me your name yet.\What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name?\Isanami.\All right, Isanami,\if there's anything you want, just ask. response:	I'll give you anything you want.
context: What's your name?\Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name?\Isanami.\All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want. response:	Oh, but I can't return you to Ueda.
context: Didn't anyone teach you to look a man in the eye when he talks to you?\There.\Now, what's your name?\Isanami.\All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda. response:	Ueda.
context: There.\Now, what's your name?\Isanami.\All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda. response:	Her hairpin...
context: Now, what's your name?\Isanami.\All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda.\Her hairpin... response:	Unbelievable.
context: Isanami.\All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda.\Her hairpin...\Unbelievable. response:	Let's go, Kojuro.
context: All right, Isanami,\if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda.\Her hairpin...\Unbelievable.\Let's go, Kojuro. response:	Sir?
context: if there's anything you want, just ask.\I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda.\Her hairpin...\Unbelievable.\Let's go, Kojuro.\Sir? response:	What?
context: I'll give you anything you want.\Oh, but I can't return you to Ueda.\Ueda.\Her hairpin...\Unbelievable.\Let's go, Kojuro.\Sir?\What? response:	No... Why?
context: Oh, but I can't return you to Ueda.\Ueda.\Her hairpin...\Unbelievable.\Let's go, Kojuro.\Sir?\What?\No... Why? response:	Saizo!
context: Ueda.\Her hairpin...\Unbelievable.\Let's go, Kojuro.\Sir?\What?\No... Why?\Saizo! response:	I can't go home...
context: Her hairpin...\Unbelievable.\Let's go, Kojuro.\Sir?\What?\No... Why?\Saizo!\I can't go home... response:	I've only heard she's a visitor from Izumo.
context: Unbelievable.\Let's go, Kojuro.\Sir?\What?\No... Why?\Saizo!\I can't go home...\I've only heard she's a visitor from Izumo. response:	What is that hairpin?
context: Let's go, Kojuro.\Sir?\What?\No... Why?\Saizo!\I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin? response:	It's a treasure.
context: Sir?\What?\No... Why?\Saizo!\I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure. response:	A treasure called the Kushimitama.
context: What?\No... Why?\Saizo!\I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure.\A treasure called the Kushimitama. response:	What exactly is this Kushimitama?
context: No... Why?\Saizo!\I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama? response:	Long ago, humans received four powers to control the land in place of the gods.
context: Saizo!\I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods. response:	That's one of the four.
context: I can't go home...\I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four. response:	The Kushimitama has the power to keep balance in the world.
context: I've only heard she's a visitor from Izumo.\What is that hairpin?\It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world. response:	So you...
context: What is that hairpin?\It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you... response:	Tokugawa's spreading his influence through the kingdoms, but he won't act.
context: It's a treasure.\A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act. response:	That's why...
context: A treasure called the Kushimitama.\What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why... response:	I will use the power of the gods against them,
context: What exactly is this Kushimitama?\Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them, response:	and turn this world upside down.
context: Long ago, humans received four powers to control the land in place of the gods.\That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them,\and turn this world upside down. response:	The power of control...
context: That's one of the four.\The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them,\and turn this world upside down.\The power of control... response:	Once it is in my hands,
context: The Kushimitama has the power to keep balance in the world.\So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them,\and turn this world upside down.\The power of control...\Once it is in my hands, response:	I can call storms and bend them to my will.
context: So you...\Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them,\and turn this world upside down.\The power of control...\Once it is in my hands,\I can call storms and bend them to my will. response:	Wait!
context: Tokugawa's spreading his influence through the kingdoms, but he won't act.\That's why...\I will use the power of the gods against them,\and turn this world upside down.\The power of control...\Once it is in my hands,\I can call storms and bend them to my will.\Wait! response:	If you do such a thing now,
context: That's why...\I will use the power of the gods against them,\and turn this world upside down.\The power of control...\Once it is in my hands,\I can call storms and bend them to my will.\Wait!\If you do such a thing now, response:	you may start a war which will tear the land in two.
context: I will use the power of the gods against them,\and turn this world upside down.\The power of control...\Once it is in my hands,\I can call storms and bend them to my will.\Wait!\If you do such a thing now,\you may start a war which will tear the land in two. response:	A war?
context: and turn this world upside down.\The power of control...\Once it is in my hands,\I can call storms and bend them to my will.\Wait!\If you do such a thing now,\you may start a war which will tear the land in two.\A war? response:	Sounds good to me.
context: The power of control...\Once it is in my hands,\I can call storms and bend them to my will.\Wait!\If you do such a thing now,\you may start a war which will tear the land in two.\A war?\Sounds good to me. response:	All I want is to cause massive unrest that will turn our world upside down!
context: Once it is in my hands,\I can call storms and bend them to my will.\Wait!\If you do such a thing now,\you may start a war which will tear the land in two.\A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down! response:	I will become a god,
context: I can call storms and bend them to my will.\Wait!\If you do such a thing now,\you may start a war which will tear the land in two.\A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god, response:	and rewrite this country's history from the beginning!
context: Wait!\If you do such a thing now,\you may start a war which will tear the land in two.\A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning! response:	I will go once the moon is hidden.
context: If you do such a thing now,\you may start a war which will tear the land in two.\A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden. response:	I'll try to buy you some time.
context: you may start a war which will tear the land in two.\A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time. response:	What are you criminals talking about?
context: A war?\Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about? response:	You will not escape!
context: Sounds good to me.\All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about?\You will not escape! response:	Iga Ice Technique.
context: All I want is to cause massive unrest that will turn our world upside down!\I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about?\You will not escape!\Iga Ice Technique. response:	Zekkai!
context: I will become a god,\and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about?\You will not escape!\Iga Ice Technique.\Zekkai! response:	I will leave them to you.
context: and rewrite this country's history from the beginning!\I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about?\You will not escape!\Iga Ice Technique.\Zekkai!\I will leave them to you. response:	Roger.
context: I will go once the moon is hidden.\I'll try to buy you some time.\What are you criminals talking about?\You will not escape!\Iga Ice Technique.\Zekkai!\I will leave them to you.\Roger. response:	You will not pass.
context: I'll try to buy you some time.\What are you criminals talking about?\You will not escape!\Iga Ice Technique.\Zekkai!\I will leave them to you.\Roger.\You will not pass. response:	Now, let's have some fun.
context: What are you criminals talking about?\You will not escape!\Iga Ice Technique.\Zekkai!\I will leave them to you.\Roger.\You will not pass.\Now, let's have some fun. response:	If the treasure is in her hairpin,
context: You will not escape!\Iga Ice Technique.\Zekkai!\I will leave them to you.\Roger.\You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin, response:	is not the girl unnecessary?
context: Iga Ice Technique.\Zekkai!\I will leave them to you.\Roger.\You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary? response:	True, but where's the fun in that?
context: Zekkai!\I will leave them to you.\Roger.\You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that? response:	Since she's been entrusted with the Kushimitama,
context: I will leave them to you.\Roger.\You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama, response:	there must be some way for us to use her.
context: Roger.\You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her. response:	Don't you think so?
context: You will not pass.\Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so? response:	Won't others come after the treasure?
context: Now, let's have some fun.\If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure? response:	Not many would be able to get in there.
context: If the treasure is in her hairpin,\is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there. response:	Isanami.
context: is not the girl unnecessary?\True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there.\Isanami. response:	Sasuke?
context: True, but where's the fun in that?\Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there.\Isanami.\Sasuke? response:	Are you all right?
context: Since she's been entrusted with the Kushimitama,\there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there.\Isanami.\Sasuke?\Are you all right? response:	Yeah.
context: there must be some way for us to use her.\Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there.\Isanami.\Sasuke?\Are you all right?\Yeah. response:	I will save you.
context: Don't you think so?\Won't others come after the treasure?\Not many would be able to get in there.\Isanami.\Sasuke?\Are you all right?\Yeah.\I will save you. response:	Where are Saizo and Kakei-san?
context: Won't others come after the treasure?\Not many would be able to get in there.\Isanami.\Sasuke?\Are you all right?\Yeah.\I will save you.\Where are Saizo and Kakei-san? response:	On their way home. We received a message.
context: Not many would be able to get in there.\Isanami.\Sasuke?\Are you all right?\Yeah.\I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message. response:	Sasuke, I...
context: Isanami.\Sasuke?\Are you all right?\Yeah.\I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I... response:	I'm not going back to Ueda.
context: Sasuke?\Are you all right?\Yeah.\I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda. response:	It's best if I don't return.
context: Are you all right?\Yeah.\I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return. response:	Tell everyone.
context: Yeah.\I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return.\Tell everyone. response:	That's right.
context: I will save you.\Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return.\Tell everyone.\That's right. response:	This is for the best.
context: Where are Saizo and Kakei-san?\On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return.\Tell everyone.\That's right.\This is for the best. response:	Everything that's happened at Izumo and Ueda has all been my fault.
context: On their way home. We received a message.\Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return.\Tell everyone.\That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault. response:	It's my...
context: Sasuke, I...\I'm not going back to Ueda.\It's best if I don't return.\Tell everyone.\That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my... response:	You captured a Sanada ninja?
context: I'm not going back to Ueda.\It's best if I don't return.\Tell everyone.\That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja? response:	Ichimaru, Niko.
context: It's best if I don't return.\Tell everyone.\That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja?\Ichimaru, Niko. response:	Oh?
context: Tell everyone.\That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja?\Ichimaru, Niko.\Oh? response:	She's a Nanman.
context: That's right.\This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja?\Ichimaru, Niko.\Oh?\She's a Nanman. response:	She's quite strong.
context: This is for the best.\Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja?\Ichimaru, Niko.\Oh?\She's a Nanman.\She's quite strong. response:	Outrageous.
context: Everything that's happened at Izumo and Ueda has all been my fault.\It's my...\You captured a Sanada ninja?\Ichimaru, Niko.\Oh?\She's a Nanman.\She's quite strong.\Outrageous. response:	Truly, outrageously large.
context: It's my...\You captured a Sanada ninja?\Ichimaru, Niko.\Oh?\She's a Nanman.\She's quite strong.\Outrageous.\Truly, outrageously large. response:	Is this your type, Niko?
context: You captured a Sanada ninja?\Ichimaru, Niko.\Oh?\She's a Nanman.\She's quite strong.\Outrageous.\Truly, outrageously large.\Is this your type, Niko? response:	I prefer the priestess.
context: Ichimaru, Niko.\Oh?\She's a Nanman.\She's quite strong.\Outrageous.\Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess. response:	No one asked you.
context: Oh?\She's a Nanman.\She's quite strong.\Outrageous.\Truly, outrageously large.\Is this your type, Niko?\I prefer the priestess.\No one asked you. response:	All right, let's give these a feel...
