context: Hey. response:	Good morning, Haru.
context: That's my brother.\Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break\Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku response:	Yoshida placed first?
context: Oh, I like my yolks broken.\You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break\Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first? response:	That can't be right.
context: You don't look anything like Shizuku, Pops.\Uh... How can you be so casual about this?\Summer Break\Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right. response:	I'm going to spend summer break studying hard.
context: Uh... How can you be so casual about this?\Summer Break\Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard. response:	There, there, there.
context: Summer Break\Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard.\There, there, there. response:	Cheer up, Mitty.
context: Seriously?\You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty. response:	689 is a super score!
context: You have to take make-ups again?!\Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty.\689 is a super score! response:	I'm under 300 after adding up every subject...
context: Final Exam Scores Freshmen 1st Yoshida Haru 2nd Mizutani Shizuku 3rd Sawada Riku\Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject... response:	I'll be taking make-ups again...
context: Yoshida placed first?\That can't be right.\I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again... response:	Summer break...
context: That can't be right.\I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break... response:	I like bikinis!
context: I'm going to spend summer break studying hard.\There, there, there.\Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break...\I like bikinis! response:	You're so bold, Haru-kun!
context: There, there, there.\Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break...\I like bikinis!\You're so bold, Haru-kun! response:	I don't know what you have in mind,
context: Cheer up, Mitty.\689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break...\I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind, response:	but I'm not going to the beach.
context: 689 is a super score!\I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break...\I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach. response:	Hey, guys.
context: I'm under 300 after adding up every subject...\I'll be taking make-ups again...\Summer break...\I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys. response:	You need to sign up for a Sports Day event.
context: I'll be taking make-ups again...\Summer break...\I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event. response:	Huh? Where are you going, Mitty?
context: Summer break...\I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty? response:	I have a question about how this answer was scored.
context: I like bikinis!\You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored. response:	She should try to enjoy school events.
context: You're so bold, Haru-kun!\I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events. response:	She's got me as a friend, after all.
context: I don't know what you have in mind,\but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all. response:	Maybe she doesn't consider you a friend.
context: but I'm not going to the beach.\Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend. response:	Q15. Describe the main character's emotional state using 50 words or less.
context: Hey, guys.\You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less. response:	She was in despair after losing her chance to marry into money.
context: You need to sign up for a Sports Day event.\Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money. response:	Why didn't I get full credit for this answer?
context: Huh? Where are you going, Mitty?\I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer? response:	It's after working hours...
context: I have a question about how this answer was scored.\She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours... response:	Your teacher can't be bothered with this now.
context: She should try to enjoy school events.\She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now. response:	School is in session.
context: She's got me as a friend, after all.\Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now.\School is in session. response:	Do your job.
context: Maybe she doesn't consider you a friend.\Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now.\School is in session.\Do your job. response:	Oh, that one.
context: Q15. Describe the main character's emotional state using 50 words or less.\She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now.\School is in session.\Do your job.\Oh, that one. response:	Your answer wasn't wrong, but it wasn't right either.
context: She was in despair after losing her chance to marry into money.\Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now.\School is in session.\Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either. response:	Why...
context: Why didn't I get full credit for this answer?\It's after working hours...\Your teacher can't be bothered with this now.\School is in session.\Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why... response:	Because this answer makes no mention
context: It's after working hours...\Your teacher can't be bothered with this now.\School is in session.\Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention response:	of the pain of a broken heart!
context: Your teacher can't be bothered with this now.\School is in session.\Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention\of the pain of a broken heart! response:	Suffocating anguish with no outlet...
context: School is in session.\Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet... response:	Heartbreak...
context: Do your job.\Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak... response:	Farewell to my love...
context: Oh, that one.\Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love... response:	I'm guessing you were dumped.
context: Your answer wasn't wrong, but it wasn't right either.\Why...\Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love...\I'm guessing you were dumped. response:	However, that's your interpretation.
context: Why...\Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation. response:	I don't agree.
context: Because this answer makes no mention\of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation.\I don't agree. response:	Yes, yes.
context: of the pain of a broken heart!\Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation.\I don't agree.\Yes, yes. response:	I hear you.
context: Suffocating anguish with no outlet...\Heartbreak...\Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation.\I don't agree.\Yes, yes.\I hear you. response:	You never give up.
context: Heartbreak...\Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation.\I don't agree.\Yes, yes.\I hear you.\You never give up. response:	Stop screwing around.
context: Farewell to my love...\I'm guessing you were dumped.\However, that's your interpretation.\I don't agree.\Yes, yes.\I hear you.\You never give up.\Stop screwing around. response:	You don't yet know what it's like
context: I'm guessing you were dumped.\However, that's your interpretation.\I don't agree.\Yes, yes.\I hear you.\You never give up.\Stop screwing around.\You don't yet know what it's like response:	to have your love crushed.
context: However, that's your interpretation.\I don't agree.\Yes, yes.\I hear you.\You never give up.\Stop screwing around.\You don't yet know what it's like\to have your love crushed. response:	Right, I was rejected by Haru.
context: I don't agree.\Yes, yes.\I hear you.\You never give up.\Stop screwing around.\You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru. response:	I'll wait for you to fall in love with me before I say it again.
context: Yes, yes.\I hear you.\You never give up.\Stop screwing around.\You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again. response:	How do I make him fall in love with me?
context: I hear you.\You never give up.\Stop screwing around.\You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me? response:	Actually, why did I fall in love with Haru to begin with?
context: You never give up.\Stop screwing around.\You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with? response:	Yo, Shizuku.
context: Stop screwing around.\You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku. response:	Did you get any points back?
context: You don't yet know what it's like\to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back? response:	Oh, excuse me!
context: to have your love crushed.\Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back?\Oh, excuse me! response:	Yoshida Haru!
context: Right, I was rejected by Haru.\I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back?\Oh, excuse me!\Yoshida Haru! response:	Than
context: I'll wait for you to fall in love with me before I say it again.\How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back?\Oh, excuse me!\Yoshida Haru!\Than response:	Er, cabbage?
context: How do I make him fall in love with me?\Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back?\Oh, excuse me!\Yoshida Haru!\Than\Er, cabbage? response:	Oh, this one?
context: Actually, why did I fall in love with Haru to begin with?\Yo, Shizuku.\Did you get any points back?\Oh, excuse me!\Yoshida Haru!\Than\Er, cabbage?\Oh, this one? response:	Th-Thank you...
context: Yo, Shizuku.\Did you get any points back?\Oh, excuse me!\Yoshida Haru!\Than\Er, cabbage?\Oh, this one?\Th-Thank you... response:	I'm very sorry!
context: Did you get any points back?\Oh, excuse me!\Yoshida Haru!\Than\Er, cabbage?\Oh, this one?\Th-Thank you...\I'm very sorry! response:	Are you okay?
context: Oh, excuse me!\Yoshida Haru!\Than\Er, cabbage?\Oh, this one?\Th-Thank you...\I'm very sorry!\Are you okay? response:	He kept glaring at me!
context: Yoshida Haru!\Than\Er, cabbage?\Oh, this one?\Th-Thank you...\I'm very sorry!\Are you okay?\He kept glaring at me! response:	You should stop glaring at people.
context: Than\Er, cabbage?\Oh, this one?\Th-Thank you...\I'm very sorry!\Are you okay?\He kept glaring at me!\You should stop glaring at people. response:	Huh?
context: Er, cabbage?\Oh, this one?\Th-Thank you...\I'm very sorry!\Are you okay?\He kept glaring at me!\You should stop glaring at people.\Huh? response:	I don't glare at people.
context: Oh, this one?\Th-Thank you...\I'm very sorry!\Are you okay?\He kept glaring at me!\You should stop glaring at people.\Huh?\I don't glare at people. response:	I'm pretty sure that's why people avoid you.
context: Th-Thank you...\I'm very sorry!\Are you okay?\He kept glaring at me!\You should stop glaring at people.\Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you. response:	When you're scared of other people,
context: I'm very sorry!\Are you okay?\He kept glaring at me!\You should stop glaring at people.\Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people, response:	they're scared of you.
context: Are you okay?\He kept glaring at me!\You should stop glaring at people.\Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you. response:	I like it when you smile.
context: He kept glaring at me!\You should stop glaring at people.\Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you.\I like it when you smile. response:	Whatever.
context: You should stop glaring at people.\Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you.\I like it when you smile.\Whatever. response:	Bye.
context: Huh?\I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you.\I like it when you smile.\Whatever.\Bye. response:	Chili shrimp! Chili shrimp!
context: I don't glare at people.\I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you.\I like it when you smile.\Whatever.\Bye.\Chili shrimp! Chili shrimp! response:	Yoshida Haru...
context: I'm pretty sure that's why people avoid you.\When you're scared of other people,\they're scared of you.\I like it when you smile.\Whatever.\Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru... response:	I like it when you smile.
context: When you're scared of other people,\they're scared of you.\I like it when you smile.\Whatever.\Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile. response:	Like it.
context: they're scared of you.\I like it when you smile.\Whatever.\Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile.\Like it. response:	It. It.
context: I like it when you smile.\Whatever.\Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile.\Like it.\It. It. response:	I-I'm sorry!
context: Whatever.\Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile.\Like it.\It. It.\I-I'm sorry! response:	It's okay.
context: Bye.\Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile.\Like it.\It. It.\I-I'm sorry!\It's okay. response:	Did you watch the special last night?
context: Chili shrimp! Chili shrimp!\Yoshida Haru...\I like it when you smile.\Like it.\It. It.\I-I'm sorry!\It's okay.\Did you watch the special last night? response:	Hey, you dropped this.
context: Yoshida Haru...\I like it when you smile.\Like it.\It. It.\I-I'm sorry!\It's okay.\Did you watch the special last night?\Hey, you dropped this. response:	I sure did!
context: I like it when you smile.\Like it.\It. It.\I-I'm sorry!\It's okay.\Did you watch the special last night?\Hey, you dropped this.\I sure did! response:	Oh... Th-Thank... you...
context: Like it.\It. It.\I-I'm sorry!\It's okay.\Did you watch the special last night?\Hey, you dropped this.\I sure did!\Oh... Th-Thank... you... response:	Huh?
context: It. It.\I-I'm sorry!\It's okay.\Did you watch the special last night?\Hey, you dropped this.\I sure did!\Oh... Th-Thank... you...\Huh? response:	Wh-What?
context: I-I'm sorry!\It's okay.\Did you watch the special last night?\Hey, you dropped this.\I sure did!\Oh... Th-Thank... you...\Huh?\Wh-What? response:	Wait...
context: It's okay.\Did you watch the special last night?\Hey, you dropped this.\I sure did!\Oh... Th-Thank... you...\Huh?\Wh-What?\Wait... response:	Hey, give me that.
context: Did you watch the special last night?\Hey, you dropped this.\I sure did!\Oh... Th-Thank... you...\Huh?\Wh-What?\Wait...\Hey, give me that. response:	Huh?
context: Hey, you dropped this.\I sure did!\Oh... Th-Thank... you...\Huh?\Wh-What?\Wait...\Hey, give me that.\Huh? response:	I'll carry it for you.
context: I sure did!\Oh... Th-Thank... you...\Huh?\Wh-What?\Wait...\Hey, give me that.\Huh?\I'll carry it for you. response:	He isn't scary?
context: Oh... Th-Thank... you...\Huh?\Wh-What?\Wait...\Hey, give me that.\Huh?\I'll carry it for you.\He isn't scary? response:	Actually...
context: Huh?\Wh-What?\Wait...\Hey, give me that.\Huh?\I'll carry it for you.\He isn't scary?\Actually... response:	On closer look...
context: Wh-What?\Wait...\Hey, give me that.\Huh?\I'll carry it for you.\He isn't scary?\Actually...\On closer look... response:	He's pretty handsome?
context: Wait...\Hey, give me that.\Huh?\I'll carry it for you.\He isn't scary?\Actually...\On closer look...\He's pretty handsome? response:	This is a rooster.
context: Hey, give me that.\Huh?\I'll carry it for you.\He isn't scary?\Actually...\On closer look...\He's pretty handsome?\This is a rooster. response:	His name is Nagoya.
context: Huh?\I'll carry it for you.\He isn't scary?\Actually...\On closer look...\He's pretty handsome?\This is a rooster.\His name is Nagoya. response:	Well, look who's popular all of a sudden.
context: I'll carry it for you.\He isn't scary?\Actually...\On closer look...\He's pretty handsome?\This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden. response:	After all, Haru-kun certainly is handsome.
context: He isn't scary?\Actually...\On closer look...\He's pretty handsome?\This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome. response:	Plus, he's more social these days.
context: Actually...\On closer look...\He's pretty handsome?\This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days. response:	The girls aren't going to ignore that.
context: On closer look...\He's pretty handsome?\This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that. response:	You were right, Shizuku.
context: He's pretty handsome?\This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku. response:	I focused on trying not to glare and
context: This is a rooster.\His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and response:	people started talking to me.
context: His name is Nagoya.\Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and\people started talking to me. response:	Is this the power of eye contact?
context: Well, look who's popular all of a sudden.\After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact? response:	No.
context: After all, Haru-kun certainly is handsome.\Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact?\No. response:	Haru-kun, Haru-kun.
context: Plus, he's more social these days.\The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact?\No.\Haru-kun, Haru-kun. response:	Huh?
context: The girls aren't going to ignore that.\You were right, Shizuku.\I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact?\No.\Haru-kun, Haru-kun.\Huh? response:	Help me study.
context: You were right, Shizuku.\I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact?\No.\Haru-kun, Haru-kun.\Huh?\Help me study. response:	Piss off.
context: I focused on trying not to glare and\people started talking to me.\Is this the power of eye contact?\No.\Haru-kun, Haru-kun.\Huh?\Help me study.\Piss off. response:	Study by yourself.
context: people started talking to me.\Is this the power of eye contact?\No.\Haru-kun, Haru-kun.\Huh?\Help me study.\Piss off.\Study by yourself. response:	It's a little unnerving.
context: Is this the power of eye contact?\No.\Haru-kun, Haru-kun.\Huh?\Help me study.\Piss off.\Study by yourself.\It's a little unnerving. response:	He's acting the same as before,
context: No.\Haru-kun, Haru-kun.\Huh?\Help me study.\Piss off.\Study by yourself.\It's a little unnerving.\He's acting the same as before, response:	Scary!
context: Haru-kun, Haru-kun.\Huh?\Help me study.\Piss off.\Study by yourself.\It's a little unnerving.\He's acting the same as before,\Scary! response:	but now that he's popular, they accept it.
context: Huh?\Help me study.\Piss off.\Study by yourself.\It's a little unnerving.\He's acting the same as before,\Scary!\but now that he's popular, they accept it. response:	How am I scary?
context: Help me study.\Piss off.\Study by yourself.\It's a little unnerving.\He's acting the same as before,\Scary!\but now that he's popular, they accept it.\How am I scary? response:	You're so funny, Haru-kun!
context: Piss off.\Study by yourself.\It's a little unnerving.\He's acting the same as before,\Scary!\but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun! response:	I'm not funny.
context: Study by yourself.\It's a little unnerving.\He's acting the same as before,\Scary!\but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun!\I'm not funny. response:	Nagoya
context: It's a little unnerving.\He's acting the same as before,\Scary!\but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun!\I'm not funny.\Nagoya response:	Lonely women turn to their pets.
context: He's acting the same as before,\Scary!\but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun!\I'm not funny.\Nagoya\Lonely women turn to their pets. response:	Wh-What are you talking about, Natsume-san?
context: Scary!\but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun!\I'm not funny.\Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san? response:	Isn't that what you're doing?
context: but now that he's popular, they accept it.\How am I scary?\You're so funny, Haru-kun!\I'm not funny.\Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing? response:	It's hard to approach Haru-kun when he's surrounded by girls.
context: How am I scary?\You're so funny, Haru-kun!\I'm not funny.\Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls. response:	Send it back, Yoshida!
context: You're so funny, Haru-kun!\I'm not funny.\Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida! response:	A direct shot?
context: I'm not funny.\Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot? response:	Yoshida, that's the wrong goal.
context: Nagoya\Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal. response:	Wrong goal?
context: Lonely women turn to their pets.\Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal.\Wrong goal? response:	Look over here!
context: Wh-What are you talking about, Natsume-san?\Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal.\Wrong goal?\Look over here! response:	Haru-kun!
context: Isn't that what you're doing?\It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal.\Wrong goal?\Look over here!\Haru-kun! response:	Yoshida, Yoshida.
context: It's hard to approach Haru-kun when he's surrounded by girls.\Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal.\Wrong goal?\Look over here!\Haru-kun!\Yoshida, Yoshida. response:	Hilarious!
context: Send it back, Yoshida!\A direct shot?\Yoshida, that's the wrong goal.\Wrong goal?\Look over here!\Haru-kun!\Yoshida, Yoshida.\Hilarious! response:	They're acting completely different now.
