context: Let's go over safety before we hit the pool. response:	If you have a fever, haven't slept,
context: H-Hi.\H-Hi.\This is weird.\How did I talk to Takase before?\Huh?\Something's different again today.\Maybe it's nothing.\Cras response:	Huh?
context: H-Hi.\This is weird.\How did I talk to Takase before?\Huh?\Something's different again today.\Maybe it's nothing.\Cras\Huh? response:	Class is starting.
context: This is weird.\How did I talk to Takase before?\Huh?\Something's different again today.\Maybe it's nothing.\Cras\Huh?\Class is starting. response:	I misspoke! Crap, that was embarrassing!
context: How did I talk to Takase before?\Huh?\Something's different again today.\Maybe it's nothing.\Cras\Huh?\Class is starting.\I misspoke! Crap, that was embarrassing! response:	K-Kanda?
context: Huh?\Something's different again today.\Maybe it's nothing.\Cras\Huh?\Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda? response:	What's up with you today?
context: Something's different again today.\Maybe it's nothing.\Cras\Huh?\Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today? response:	No, uh, sorry!
context: Maybe it's nothing.\Cras\Huh?\Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today?\No, uh, sorry! response:	No, I'm sorry, too.
context: Cras\Huh?\Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today?\No, uh, sorry!\No, I'm sorry, too. response:	No, it was my fault.
context: Huh?\Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today?\No, uh, sorry!\No, I'm sorry, too.\No, it was my fault. response:	Nah, it was me.
context: Class is starting.\I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today?\No, uh, sorry!\No, I'm sorry, too.\No, it was my fault.\Nah, it was me. response:	No, I'm so sorry!
context: I misspoke! Crap, that was embarrassing!\K-Kanda?\What's up with you today?\No, uh, sorry!\No, I'm sorry, too.\No, it was my fault.\Nah, it was me.\No, I'm so sorry! response:	I'm really sorry!
context: K-Kanda?\What's up with you today?\No, uh, sorry!\No, I'm sorry, too.\No, it was my fault.\Nah, it was me.\No, I'm so sorry!\I'm really sorry! response:	I've been meaning to apologize, but I couldn't find the right time.
context: What's up with you today?\No, uh, sorry!\No, I'm sorry, too.\No, it was my fault.\Nah, it was me.\No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time. response:	Nah, I've been meaning to say something, too.
context: No, uh, sorry!\No, I'm sorry, too.\No, it was my fault.\Nah, it was me.\No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too. response:	I can talk to him.
context: No, I'm sorry, too.\No, it was my fault.\Nah, it was me.\No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him. response:	I can tell him honestly.
context: No, it was my fault.\Nah, it was me.\No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly. response:	I-I don't really care anymore.
context: Nah, it was me.\No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly.\I-I don't really care anymore. response:	Huh?
context: No, I'm so sorry!\I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly.\I-I don't really care anymore.\Huh? response:	Huh?
context: I'm really sorry!\I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly.\I-I don't really care anymore.\Huh?\Huh? response:	Wait, that sounded like I don't like him anymore.
context: I've been meaning to apologize, but I couldn't find the right time.\Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly.\I-I don't really care anymore.\Huh?\Huh?\Wait, that sounded like I don't like him anymore. response:	But maybe it's easier to make up if I act like I don't have feelings for him anymore?
context: Nah, I've been meaning to say something, too.\I can talk to him.\I can tell him honestly.\I-I don't really care anymore.\Huh?\Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore? response:	Y-You really don't care anymore?
context: I can talk to him.\I can tell him honestly.\I-I don't really care anymore.\Huh?\Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore? response:	Is he asking because he's relieved?
context: I can tell him honestly.\I-I don't really care anymore.\Huh?\Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved? response:	Or because he's disappointed?
context: I-I don't really care anymore.\Huh?\Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed? response:	If there's still a chance...
context: Huh?\Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance... response:	U-Uh...
context: Huh?\Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance...\U-Uh... response:	I-If it's okay with you...
context: Wait, that sounded like I don't like him anymore.\But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance...\U-Uh...\I-If it's okay with you... response:	Yeah, let's be friends again.
context: But maybe it's easier to make up if I act like I don't have feelings for him anymore?\Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance...\U-Uh...\I-If it's okay with you...\Yeah, let's be friends again. response:	Y-Yeah?
context: Y-You really don't care anymore?\Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance...\U-Uh...\I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah? response:	Sure, that's...
context: Is he asking because he's relieved?\Or because he's disappointed?\If there's still a chance...\U-Uh...\I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah?\Sure, that's... response:	Yeah.
context: Or because he's disappointed?\If there's still a chance...\U-Uh...\I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah?\Sure, that's...\Yeah. response:	I'm glad.
context: If there's still a chance...\U-Uh...\I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah?\Sure, that's...\Yeah.\I'm glad. response:	I wanted to be friends, too.
context: U-Uh...\I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah?\Sure, that's...\Yeah.\I'm glad.\I wanted to be friends, too. response:	I-I'm so glad!
context: I-If it's okay with you...\Yeah, let's be friends again.\Y-Yeah?\Sure, that's...\Yeah.\I'm glad.\I wanted to be friends, too.\I-I'm so glad! response:	I'm saved!
context: Yeah, let's be friends again.\Y-Yeah?\Sure, that's...\Yeah.\I'm glad.\I wanted to be friends, too.\I-I'm so glad!\I'm saved! response:	I was too late!
context: Y-Yeah?\Sure, that's...\Yeah.\I'm glad.\I wanted to be friends, too.\I-I'm so glad!\I'm saved!\I was too late! response:	I should have confessed!
context: Sure, that's...\Yeah.\I'm glad.\I wanted to be friends, too.\I-I'm so glad!\I'm saved!\I was too late!\I should have confessed! response:	I guess I was being friend-zoned all along.
context: Yeah.\I'm glad.\I wanted to be friends, too.\I-I'm so glad!\I'm saved!\I was too late!\I should have confessed!\I guess I was being friend-zoned all along. response:	I'm glad we made up, but now I have mixed feelings.
context: I'm glad.\I wanted to be friends, too.\I-I'm so glad!\I'm saved!\I was too late!\I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings. response:	Y-You can stop avoiding me, all right?
context: I wanted to be friends, too.\I-I'm so glad!\I'm saved!\I was too late!\I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right? response:	S-Sorry.
context: I-I'm so glad!\I'm saved!\I was too late!\I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry. response:	My boyfriend and I kissed for the first time.
context: I'm saved!\I was too late!\I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time. response:	But it was so sudden, I choked.
context: I was too late!\I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked. response:	Once More
context: I should have confessed!\I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More response:	Who chokes on their first kiss?
context: I guess I was being friend-zoned all along.\I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More\Who chokes on their first kiss? response:	I want to try again.
context: I'm glad we made up, but now I have mixed feelings.\Y-You can stop avoiding me, all right?\S-Sorry.\My boyfriend and I kissed for the first time.\But it was so sudden, I choked.\Once More\Who chokes on their first kiss?\I want to try again. response:	I want to try again!
