context: Metamorphie Vocias! response:	Metamorphie Vocias.
context: The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs. response:	I might have hit too close to home, perhaps.
context: Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps. response:	Oh please. I couldn't care less about magic.
context: I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic. response:	Metamorphie Vocias!
context: Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias! response:	It would be troublesome if he were to be wandering around on his own.
context: Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own. response:	It's an issue to have him wandering around on his own.
context: It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own. response:	I'll get in a lot of trouble if someone finds me.
context: You're as drastic as ever, Andrew.\There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me. response:	At this point we have no choice but to find the Fountain of Polaris.
context: There's no need to be so extreme in your beliefs.\I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris. response:	I'll have the Fountain of Polaris bestow me with the great magic power of the stars.
context: I might have hit too close to home, perhaps.\Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars. response:	Waken not the sleeping Arkas.
context: Oh please. I couldn't care less about magic.\Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas. response:	As the protector of Polaris, Arkas will attack all those who approach the Fountain.
context: Metamorphie Vocias!\It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain. response:	We should probably avoid carelessly entering.
context: It would be troublesome if he were to be wandering around on his own.\It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering. response:	Honestly, you've got a fantastic school here!
context: It's an issue to have him wandering around on his own.\I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here! response:	Andrew, come quickly!
context: I'll get in a lot of trouble if someone finds me.\At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly! response:	Preiss Capalm!
context: At this point we have no choice but to find the Fountain of Polaris.\I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm! response:	It's nice to see you again, Arkas.
context: I'll have the Fountain of Polaris bestow me with the great magic power of the stars.\Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas. response:	I apologize for interrupting, but could I ask you to move aside?
context: Waken not the sleeping Arkas.\As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside? response:	If you would be so kind, please keep this in your confidence.
context: As the protector of Polaris, Arkas will attack all those who approach the Fountain.\We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence. response:	I promise.
context: We should probably avoid carelessly entering.\Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise. response:	I'll keep tonight's happenings a secret between us.
context: Honestly, you've got a fantastic school here!\Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us. response:	In that case, why did you put on such a performance for the magic conservatives?
context: Andrew, come quickly!\Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives? response:	Metamorphie Faciesse!
context: Preiss Capalm!\It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse! response:	Metamorphie Faciesse.
context: It's nice to see you again, Arkas.\I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse. response:	Metamorphie Faciesse!
context: I apologize for interrupting, but could I ask you to move aside?\If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse! response:	Incredible as always!
context: If you would be so kind, please keep this in your confidence.\I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always! response:	You're amazing!
context: I promise.\I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always!\You're amazing! response:	Very good. I admit I am impressed.
context: I'll keep tonight's happenings a secret between us.\In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always!\You're amazing!\Very good. I admit I am impressed. response:	With this, I can mark down that all of you have mastered metamorphosis magic...
context: In that case, why did you put on such a performance for the magic conservatives?\Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always!\You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic... response:	Professor Badcock.
context: Metamorphie Faciesse!\Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always!\You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock. response:	Kagari has yet to give it a try.
context: Metamorphie Faciesse.\Metamorphie Faciesse!\Incredible as always!\You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try. response:	Oh, you're right.
context: Metamorphie Faciesse!\Incredible as always!\You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right. response:	Metamorphie Faciesse!
context: Incredible as always!\You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse! response:	Akko! Akko!
context: You're amazing!\Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse!\Akko! Akko! response:	No way!
context: Very good. I admit I am impressed.\With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse!\Akko! Akko!\No way! response:	What are these?!
context: With this, I can mark down that all of you have mastered metamorphosis magic...\Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse!\Akko! Akko!\No way!\What are these?! response:	How could you possibly not be able to cast first-level basic metamorphosis magic yet?
context: Professor Badcock.\Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse!\Akko! Akko!\No way!\What are these?!\How could you possibly not be able to cast first-level basic metamorphosis magic yet? response:	Why did this happen?!
context: Kagari has yet to give it a try.\Oh, you're right.\Metamorphie Faciesse!\Akko! Akko!\No way!\What are these?!\How could you possibly not be able to cast first-level basic metamorphosis magic yet?\Why did this happen?! response:	You are to master it today!
context: Oh, you're right.\Metamorphie Faciesse!\Akko! Akko!\No way!\What are these?!\How could you possibly not be able to cast first-level basic metamorphosis magic yet?\Why did this happen?!\You are to master it today! response:	Today? But isn't there supposed to be a party tonight?
