context: Whenever I counted on someone, I ended up getting hurt. response:	You can count on me, Ohana!
context: Cut them down?\Yes. Cut.\Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning?\Yep! response:	What a diligent girl.
context: Yes. Cut.\Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning?\Yep!\What a diligent girl. response:	Nah...
context: Cut them down!\Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning?\Yep!\What a diligent girl.\Nah... response:	She's not accomplishing nearly as much as she thinks.
context: Cut them down!\Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning?\Yep!\What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks. response:	You're not cutting them short enough.
context: Yikes, almost got some wild rocamboles.\Huh? Good morning!\Hard at work at five in the morning?\Yep!\What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough. response:	They'll just grow right back.
context: Huh? Good morning!\Hard at work at five in the morning?\Yep!\What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back. response:	Careless effort does nothing but harm.
context: Hard at work at five in the morning?\Yep!\What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm. response:	Harsh.
context: Yep!\What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm.\Harsh. response:	I'm not too fond of Grandma.
context: What a diligent girl.\Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma. response:	I mean, Madam Manager.
context: Nah...\She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager. response:	But that's why I'll...
context: She's not accomplishing nearly as much as she thinks.\You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll... response:	Cut them down!
context: You're not cutting them short enough.\They'll just grow right back.\Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll...\Cut them down! response:	Come with me.
context: They'll just grow right back.\Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll...\Cut them down!\Come with me. response:	M-Me?
context: Careless effort does nothing but harm.\Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll...\Cut them down!\Come with me.\M-Me? response:	A new waitress should learn from one more experienced.
context: Harsh.\I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll...\Cut them down!\Come with me.\M-Me?\A new waitress should learn from one more experienced. response:	Tomoe instructed you, did she not?
context: I'm not too fond of Grandma.\I mean, Madam Manager.\But that's why I'll...\Cut them down!\Come with me.\M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not? response:	Y-Yes, ma'am, but...
context: I mean, Madam Manager.\But that's why I'll...\Cut them down!\Come with me.\M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but... response:	I'm going to be a waitress?
context: But that's why I'll...\Cut them down!\Come with me.\M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress? response:	That sounds awesome!
context: Cut them down!\Come with me.\M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome! response:	Although, I'm not old enough to drink alcohol.
context: Come with me.\M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol. response:	You will not be required to attend banquets.
context: M-Me?\A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets. response:	However, all other duties must be performed perfectly.
context: A new waitress should learn from one more experienced.\Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly. response:	As of today, Ohana will be under your wing.
context: Tomoe instructed you, did she not?\Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing. response:	Have I made myself clear?
context: Y-Yes, ma'am, but...\I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear? response:	Y-Yes.
context: I'm going to be a waitress?\That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes. response:	Huh?
context: That sounds awesome!\Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes.\Huh? response:	I wish I could wear it like you.
context: Although, I'm not old enough to drink alcohol.\You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes.\Huh?\I wish I could wear it like you. response:	You look dazzling!
context: You will not be required to attend banquets.\However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes.\Huh?\I wish I could wear it like you.\You look dazzling! response:	C-Come on...
context: However, all other duties must be performed perfectly.\As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes.\Huh?\I wish I could wear it like you.\You look dazzling!\C-Come on... response:	Not a single wasted motion.
context: As of today, Ohana will be under your wing.\Have I made myself clear?\Y-Yes.\Huh?\I wish I could wear it like you.\You look dazzling!\C-Come on...\Not a single wasted motion. response:	Your gestures are so elegant!
context: Have I made myself clear?\Y-Yes.\Huh?\I wish I could wear it like you.\You look dazzling!\C-Come on...\Not a single wasted motion.\Your gestures are so elegant! response:	Plus, you're tall, so I bet you're great at sports!
context: Y-Yes.\Huh?\I wish I could wear it like you.\You look dazzling!\C-Come on...\Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports! response:	You've gotta be!
context: Huh?\I wish I could wear it like you.\You look dazzling!\C-Come on...\Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be! response:	Huh?
context: I wish I could wear it like you.\You look dazzling!\C-Come on...\Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh? response:	Paulownia Room
context: You look dazzling!\C-Come on...\Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh?\Paulownia Room response:	Even I should be able to do a decent job at cleaning.
context: C-Come on...\Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning. response:	Oh, you're not supposed to step there.
context: Not a single wasted motion.\Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there. response:	Why not?
context: Your gestures are so elegant!\Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not? response:	B-Because.
context: Plus, you're tall, so I bet you're great at sports!\You've gotta be!\Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not?\B-Because. response:	Okay then, I won't step on it!
context: You've gotta be!\Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not?\B-Because.\Okay then, I won't step on it! response:	W-We need to remove the sheets first.
context: Huh?\Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not?\B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first. response:	Oh, we do?
context: Paulownia Room\Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not?\B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do? response:	There.
context: Even I should be able to do a decent job at cleaning.\Oh, you're not supposed to step there.\Why not?\B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do?\There. response:	Which room's next on the list?
context: Oh, you're not supposed to step there.\Why not?\B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do?\There.\Which room's next on the list? response:	Th-The Wave Room, but...
context: Why not?\B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do?\There.\Which room's next on the list?\Th-The Wave Room, but... response:	But what?
context: B-Because.\Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do?\There.\Which room's next on the list?\Th-The Wave Room, but...\But what? response:	Hey, I need you!
context: Okay then, I won't step on it!\W-We need to remove the sheets first.\Oh, we do?\There.\Which room's next on the list?\Th-The Wave Room, but...\But what?\Hey, I need you! response:	C-Coming!
context: W-We need to remove the sheets first.\Oh, we do?\There.\Which room's next on the list?\Th-The Wave Room, but...\But what?\Hey, I need you!\C-Coming! response:	I-I'll be right back.
context: Oh, we do?\There.\Which room's next on the list?\Th-The Wave Room, but...\But what?\Hey, I need you!\C-Coming!\I-I'll be right back. response:	Never rely on someone else. Believe only in yourself.
context: There.\Which room's next on the list?\Th-The Wave Room, but...\But what?\Hey, I need you!\C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself. response:	That's what my mother taught me.
context: Which room's next on the list?\Th-The Wave Room, but...\But what?\Hey, I need you!\C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me. response:	Wave Room
context: Th-The Wave Room, but...\But what?\Hey, I need you!\C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room response:	I suppose I should go ahead and clean this room.
context: But what?\Hey, I need you!\C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room. response:	Housekeeping!
context: Hey, I need you!\C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room.\Housekeeping! response:	Good grief.
context: C-Coming!\I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room.\Housekeeping!\Good grief. response:	So this must be...
context: I-I'll be right back.\Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room.\Housekeeping!\Good grief.\So this must be... response:	He stays in the Wave Room.
context: Never rely on someone else. Believe only in yourself.\That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room.\Housekeeping!\Good grief.\So this must be...\He stays in the Wave Room. response:	Rumor has it he's a famous author.
context: That's what my mother taught me.\Wave Room\I suppose I should go ahead and clean this room.\Housekeeping!\Good grief.\So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author. response:	I'm not much of a reader, so I don't know his name,
context: Wave Room\I suppose I should go ahead and clean this room.\Housekeeping!\Good grief.\So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name, response:	but I hear he's something else!
context: I suppose I should go ahead and clean this room.\Housekeeping!\Good grief.\So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else! response:	Yeah, he's something else, all right.
context: Housekeeping!\Good grief.\So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right. response:	He must have a lot on his mind.
context: Good grief.\So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind. response:	Famous people have troubles, too.
context: So this must be...\He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too. response:	My problems are pretty small in comparison.
context: He stays in the Wave Room.\Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison. response:	I just want to work hard, and show everyone what I'm capable of.
context: Rumor has it he's a famous author.\I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of. response:	Nako!
context: I'm not much of a reader, so I don't know his name,\but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako! response:	I finished cleaning.
context: but I hear he's something else!\Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning. response:	Y-You did?
context: Yeah, he's something else, all right.\He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning.\Y-You did? response:	What should I do next?
context: He must have a lot on his mind.\Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning.\Y-You did?\What should I do next? response:	Next? Nothing.
context: Famous people have troubles, too.\My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning.\Y-You did?\What should I do next?\Next? Nothing. response:	We're done for the morning.
context: My problems are pretty small in comparison.\I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning.\Y-You did?\What should I do next?\Next? Nothing.\We're done for the morning. response:	You did well, thank you.
context: I just want to work hard, and show everyone what I'm capable of.\Nako!\I finished cleaning.\Y-You did?\What should I do next?\Next? Nothing.\We're done for the morning.\You did well, thank you. response:	Don't lose heart, Ohana!
context: Nako!\I finished cleaning.\Y-You did?\What should I do next?\Next? Nothing.\We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana! response:	Relying on others will only cause you pain.
context: I finished cleaning.\Y-You did?\What should I do next?\Next? Nothing.\We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain. response:	There's nothing you can't handle.
context: Y-You did?\What should I do next?\Next? Nothing.\We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle. response:	For crying out loud, get it together!
context: What should I do next?\Next? Nothing.\We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together! response:	Y-Yes, sir!
context: Next? Nothing.\We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir! response:	What good is a kitchen hand if she just makes things worse?!
context: We're done for the morning.\You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?! response:	Look, it's burned to a crisp!
context: You did well, thank you.\Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp! response:	I'm sorry.
context: Don't lose heart, Ohana!\Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry. response:	We can't serve this garbage to our c
context: Relying on others will only cause you pain.\There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c response:	Tohru.
context: There's nothing you can't handle.\For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c\Tohru. response:	Stop. What's done is done.
context: For crying out loud, get it together!\Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c\Tohru.\Stop. What's done is done. response:	Make salt grilled greenlings instead.
context: Y-Yes, sir!\What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c\Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead. response:	The rape blossoms were to be tonight's entree, but we'll use them as a side dish.
context: What good is a kitchen hand if she just makes things worse?!\Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c\Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish. response:	Yes, sir!
context: Look, it's burned to a crisp!\I'm sorry.\We can't serve this garbage to our c\Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir! response:	Umm, and the staff's breakfast?
context: I'm sorry.\We can't serve this garbage to our c\Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast? response:	Not this morning!
context: We can't serve this garbage to our c\Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast?\Not this morning! response:	There's no time to cook for them.
context: Tohru.\Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them. response:	Get to work!
context: Stop. What's done is done.\Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them.\Get to work! response:	Yes, sir!
context: Make salt grilled greenlings instead.\The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them.\Get to work!\Yes, sir! response:	Hmm...
context: The rape blossoms were to be tonight's entree, but we'll use them as a side dish.\Yes, sir!\Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them.\Get to work!\Yes, sir!\Hmm... response:	Hmm...
context: Yes, sir!\Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them.\Get to work!\Yes, sir!\Hmm...\Hmm... response:	Ahh, I can finally take a break.
context: Umm, and the staff's breakfast?\Not this morning!\There's no time to cook for them.\Get to work!\Yes, sir!\Hmm...\Hmm...\Ahh, I can finally take a break. response:	Huh?
context: Not this morning!\There's no time to cook for them.\Get to work!\Yes, sir!\Hmm...\Hmm...\Ahh, I can finally take a break.\Huh? response:	We're very sorry.
context: There's no time to cook for them.\Get to work!\Yes, sir!\Hmm...\Hmm...\Ahh, I can finally take a break.\Huh?\We're very sorry. response:	Sorry? For what?
context: Get to work!\Yes, sir!\Hmm...\Hmm...\Ahh, I can finally take a break.\Huh?\We're very sorry.\Sorry? For what? response:	Due to an unforeseen error, breakfast this morning is
context: Yes, sir!\Hmm...\Hmm...\Ahh, I can finally take a break.\Huh?\We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is response:	Wow!
context: Hmm...\Hmm...\Ahh, I can finally take a break.\Huh?\We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow! response:	This looks incredible!
context: Hmm...\Ahh, I can finally take a break.\Huh?\We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible! response:	I didn't have anything to do, so...
context: Ahh, I can finally take a break.\Huh?\We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible!\I didn't have anything to do, so... response:	Wow, I didn't know you could cook!
context: Huh?\We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook! response:	Tasty!
context: We're very sorry.\Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty! response:	You're amazing, Ohana!
context: Sorry? For what?\Due to an unforeseen error, breakfast this morning is\Wow!\This looks incredible!\I didn't have anything to do, so...\Wow, I didn't know you could cook!\Tasty!\You're amazing, Ohana! response:	My mom's kind of crazy...
