context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Yeah...\Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room!\Wait! I'm coming, too! response:	Come right back, you hear?
context: Hey, Minmay!\Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear? response:	Okay!
context: Be careful, Yot-chan!\What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear?\Okay! response:	This is patrol helicopter PHP-202.
context: What if that thing had stepped on you?! Goodness...\Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear?\Okay!\This is patrol helicopter PHP-202. response:	We are currently over the ocean.
context: Hey! Let's go take a look at the robot!\Go? Go where?\The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear?\Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean. response:	Roger. Be careful.
context: Go? Go where?\The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear?\Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful. response:	They've opened fire!
context: The third floor! Your room!\Wait! I'm coming, too!\Come right back, you hear?\Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful.\They've opened fire! response:	Turn back! Hurry!
context: Wait! I'm coming, too!\Come right back, you hear?\Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful.\They've opened fire!\Turn back! Hurry! response:	The patrol helicopters have been shot down.
context: Come right back, you hear?\Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful.\They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down. response:	It looks like they're trying to surround the island.
context: Okay!\This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful.\They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island. response:	We have to stay alert!
context: This is patrol helicopter PHP-202.\We are currently over the ocean.\Roger. Be careful.\They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert! response:	Yes, sir.
context: We are currently over the ocean.\Roger. Be careful.\They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir. response:	Well, well, well.
context: Roger. Be careful.\They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir.\Well, well, well. response:	I must say, it's always a pleasure to be on this splendid bridge.
context: They've opened fire!\Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge. response:	Sir.
context: Turn back! Hurry!\The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir. response:	So, Global, my friend...
context: The patrol helicopters have been shot down.\It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend... response:	Just when do you plan on launching the Macross?
context: It looks like they're trying to surround the island.\We have to stay alert!\Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend...\Just when do you plan on launching the Macross? response:	Launching it, sir?
context: We have to stay alert!\Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir? response:	The ship still hasn't been properly outfitted.
context: Yes, sir.\Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted. response:	We've put a great deal of money into repairing this spaceship.
context: Well, well, well.\I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship. response:	We'd hate to see it destroyed sitting on the ground.
context: I must say, it's always a pleasure to be on this splendid bridge.\Sir.\So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground. response:	I understand, sir, but...
context: Sir.\So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but... response:	That's your response for everything, isn't it Global?!
context: So, Global, my friend...\Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?! response:	Say, Kim, are we going into space?
context: Just when do you plan on launching the Macross?\Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space? response:	ARMD-II is still combat-ready; launch and dock with it immediately!
context: Launching it, sir?\The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately! response:	It sure looks that way.
context: The ship still hasn't been properly outfitted.\We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way. response:	Why have you just been sitting here this whole time?!
context: We've put a great deal of money into repairing this spaceship.\We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?! response:	Oh, no!
context: We'd hate to see it destroyed sitting on the ground.\I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no! response:	What do you mean, Oh, no?
context: I understand, sir, but...\That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no? response:	Up until yesterday, you were so excited about going up into space!
context: That's your response for everything, isn't it Global?!\Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space! response:	What can the Macross accomplish by staying here and not launching?
context: Say, Kim, are we going into space?\ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching? response:	Yeah... I was, but...
context: ARMD-II is still combat-ready; launch and dock with it immediately!\It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but... response:	But we have reports that
context: It sure looks that way.\Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that response:	the enemy forces have warships even bigger than the Macross, and...
context: Why have you just been sitting here this whole time?!\Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and... response:	It's not about size, is it?!
context: Oh, no!\What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?! response:	It's about having the ambition to get the job done!
context: What do you mean, Oh, no?\Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done! response:	But, sir...
context: Up until yesterday, you were so excited about going up into space!\What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir... response:	Or are you telling me, Global,
context: What can the Macross accomplish by staying here and not launching?\Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global, response:	that the Macross will be defeated without even putting up a fight?
context: Yeah... I was, but...\But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight? response:	N...No, sir.
context: But we have reports that\the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir. response:	Then launch, why don't you?
context: the enemy forces have warships even bigger than the Macross, and...\It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you? response:	Yes, sir.
context: It's not about size, is it?!\It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you?\Yes, sir. response:	Very good.
context: It's about having the ambition to get the job done!\But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you?\Yes, sir.\Very good. response:	You just leave the negotiations with these aliens to us politicians.
context: But, sir...\Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you?\Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians. response:	You all do your best, too, all right?
context: Or are you telling me, Global,\that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you?\Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right? response:	In other words, we're just buying time...
context: that the Macross will be defeated without even putting up a fight?\N...No, sir.\Then launch, why don't you?\Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time... response:	It's huge!
context: N...No, sir.\Then launch, why don't you?\Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time...\It's huge! response:	Yot-chan!
context: Then launch, why don't you?\Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time...\It's huge!\Yot-chan! response:	It's moving! Hey, it's moving!
context: Yes, sir.\Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time...\It's huge!\Yot-chan!\It's moving! Hey, it's moving! response:	Its head split open!
context: Very good.\You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time...\It's huge!\Yot-chan!\It's moving! Hey, it's moving!\Its head split open! response:	Yeah...
context: You just leave the negotiations with these aliens to us politicians.\You all do your best, too, all right?\In other words, we're just buying time...\It's huge!\Yot-chan!\It's moving! Hey, it's moving!\Its head split open!\Yeah... response:	No one's inside?
context: You all do your best, too, all right?\In other words, we're just buying time...\It's huge!\Yot-chan!\It's moving! Hey, it's moving!\Its head split open!\Yeah...\No one's inside? response:	Strange, huh?
context: In other words, we're just buying time...\It's huge!\Yot-chan!\It's moving! Hey, it's moving!\Its head split open!\Yeah...\No one's inside?\Strange, huh? response:	It's moving again!
context: It's huge!\Yot-chan!\It's moving! Hey, it's moving!\Its head split open!\Yeah...\No one's inside?\Strange, huh?\It's moving again! response:	What the heck is going on here?
context: Yot-chan!\It's moving! Hey, it's moving!\Its head split open!\Yeah...\No one's inside?\Strange, huh?\It's moving again!\What the heck is going on here? response:	Um, excuse me!
context: It's moving! Hey, it's moving!\Its head split open!\Yeah...\No one's inside?\Strange, huh?\It's moving again!\What the heck is going on here?\Um, excuse me! response:	What does this look like to you?
context: Its head split open!\Yeah...\No one's inside?\Strange, huh?\It's moving again!\What the heck is going on here?\Um, excuse me!\What does this look like to you? response:	What does it look like?
context: Yeah...\No one's inside?\Strange, huh?\It's moving again!\What the heck is going on here?\Um, excuse me!\What does this look like to you?\What does it look like? response:	Well, obviously, it's a big...
context: No one's inside?\Strange, huh?\It's moving again!\What the heck is going on here?\Um, excuse me!\What does this look like to you?\What does it look like?\Well, obviously, it's a big... response:	Yeah, obviously. That's what I thought.
context: Strange, huh?\It's moving again!\What the heck is going on here?\Um, excuse me!\What does this look like to you?\What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought. response:	I don't believe it! The plane turned into a damn robot!
context: It's moving again!\What the heck is going on here?\Um, excuse me!\What does this look like to you?\What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot! response:	The plane turned into a robot?!
context: What the heck is going on here?\Um, excuse me!\What does this look like to you?\What does it look like?\Well, obviously, it's a big...\Yeah, obviously. That's what I thought.\I don't believe it! The plane turned into a damn robot!\The plane turned into a robot?! response:	How is that possible?
