context: Maccachin stole some buns, and they got stuck in his throat. response:	Victor!
context: Ninth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Free Skate\Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here. response:	Grandpa, I thought you weren't feeling well.
context: Yuri vs. Yuri. The Horror!! Rostelecom Cup, Free Skate.\Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well. response:	Just try these.
context: Um, it didn't look like you exchanged any words with Coach Yakov\at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these. response:	There's pork cutlet, scrambled eggs, and white rice in here!
context: at this morning's public practice.\I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here! response:	What's with this pirozhki?!
context: I'm fine!\I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?! response:	It's a pork cutlet bowl pirozhki.
context: I'll just do what I've always done in practice with Victor!\Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki. response:	Eat them and do well in today's free skate, Yuratchka.
context: Why did Yakov take on that pork cutlet bowl?\Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka. response:	Okay.
context: Yuri, your grandfather's here.\Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay. response:	With Victor gone, I'm the only one who can win.
context: Grandpa, I thought you weren't feeling well.\Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win. response:	Everything should be on my side.
context: Just try these.\There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side. response:	Moscow Small Sports Arena Moscow, Russia
context: There's pork cutlet, scrambled eggs, and white rice in here!\What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia response:	The Rostelecom Cup, the last event in the Grand Prix Series.
context: What's with this pirozhki?!\It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series. response:	Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy
context: It's a pork cutlet bowl pirozhki.\Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy response:	Group Two is finally about to start in the Men's Singles Free Skate.
context: Eat them and do well in today's free skate, Yuratchka.\Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate. response:	Each skater comes into this event with his own hopes and fears.
context: Okay.\With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears. response:	This event will determine who advances to the Grand Prix Final.
context: With Victor gone, I'm the only one who can win.\Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final. response:	Group Two's first competitor, currently in sixth place,
context: Everything should be on my side.\Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place, response:	is the Czech Republic's Emil Nekola, age 18.
context: Moscow Small Sports Arena Moscow, Russia\The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18. response:	He is skating to music from the movie Anastasis.
context: The Rostelecom Cup, the last event in the Grand Prix Series.\Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis. response:	His theme is Cyberpunk: I've ceased to be human.
context: Sixth Event, Rostelecom Cup Men's Short Program Skating Order Emil Nekola Michele Crispino Seung Gil Lee Yuri Plisetsky Katsuki Yuri Jean-Jacques Leroy\Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human. response:	Just as his theme suggests, he's planned four quads, a superhuman feat.
context: Group Two is finally about to start in the Men's Singles Free Skate.\Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat. response:	A quadruple Salchow. Beautiful.
context: Each skater comes into this event with his own hopes and fears.\This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful. response:	Well done!
context: This event will determine who advances to the Grand Prix Final.\Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done! response:	Next up is a quadruple jump combination.
context: Group Two's first competitor, currently in sixth place,\is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination. response:	Quadruple toe loop, triple toe loop.
context: is the Czech Republic's Emil Nekola, age 18.\He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop. response:	I'll take this opportunity to clarify something.
context: He is skating to music from the movie Anastasis.\His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something. response:	I'll make it to the Grand Prix Final with or without your help, Mickey.
context: His theme is Cyberpunk: I've ceased to be human.\Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey. response:	So you need to win without my support, too, Mickey.
context: Just as his theme suggests, he's planned four quads, a superhuman feat.\A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey. response:	His next jump will also be a quad.
context: A quadruple Salchow. Beautiful.\Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad. response:	A quadruple toe loop.
context: Well done!\Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop. response:	Brilliant!
context: Next up is a quadruple jump combination.\Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop.\Brilliant! response:	I'm not every woman in the world.
context: Quadruple toe loop, triple toe loop.\I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop.\Brilliant!\I'm not every woman in the world. response:	You need to get out more!
context: I'll take this opportunity to clarify something.\I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop.\Brilliant!\I'm not every woman in the world.\You need to get out more! response:	I don't need any other woman but you, Sala.
context: I'll make it to the Grand Prix Final with or without your help, Mickey.\So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop.\Brilliant!\I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala. response:	I was able to focus on skating and come this far because you were with me.
context: So you need to win without my support, too, Mickey.\His next jump will also be a quad.\A quadruple toe loop.\Brilliant!\I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me. response:	Don't leave me alone, please!
context: His next jump will also be a quad.\A quadruple toe loop.\Brilliant!\I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please! response:	Become strong, Michele Crispino!
context: A quadruple toe loop.\Brilliant!\I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino! response:	I can skate without your love,
context: Brilliant!\I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love, response:	and I'll start dating!
context: I'm not every woman in the world.\You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating! response:	If he finishes in second or above, he may still make the Grand Prix Final.
context: You need to get out more!\I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final. response:	Do you like Czech men who have nothing but cheer?
context: I don't need any other woman but you, Sala.\I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer? response:	Or do you like moody Japanese men who look like closet pervs?
context: I was able to focus on skating and come this far because you were with me.\Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs? response:	Your short program was super sexy.
context: Don't leave me alone, please!\Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy. response:	Huh? Thanks.
context: Become strong, Michele Crispino!\I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks. response:	So despite being Italian, you don't like men who are negative, Sala?
context: I can skate without your love,\and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala? response:	A quadruple loop.
context: and I'll start dating!\If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop. response:	That was perfect!
context: If he finishes in second or above, he may still make the Grand Prix Final.\Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect! response:	So far, we've seen four flawless quads!
context: Do you like Czech men who have nothing but cheer?\Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect!\So far, we've seen four flawless quads! response:	He's not human.
context: Or do you like moody Japanese men who look like closet pervs?\Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect!\So far, we've seen four flawless quads!\He's not human. response:	Man, I'm tired...
context: Your short program was super sexy.\Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect!\So far, we've seen four flawless quads!\He's not human.\Man, I'm tired... response:	He'd planned a combination there, but...
context: Huh? Thanks.\So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect!\So far, we've seen four flawless quads!\He's not human.\Man, I'm tired...\He'd planned a combination there, but... response:	He fell and couldn't complete the second jump.
context: So despite being Italian, you don't like men who are negative, Sala?\A quadruple loop.\That was perfect!\So far, we've seen four flawless quads!\He's not human.\Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump. response:	Crap!
context: A quadruple loop.\That was perfect!\So far, we've seen four flawless quads!\He's not human.\Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap! response:	A triple Salchow
context: That was perfect!\So far, we've seen four flawless quads!\He's not human.\Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap!\A triple Salchow response:	Oops.
context: So far, we've seen four flawless quads!\He's not human.\Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap!\A triple Salchow\Oops. response:	Still going strong!
context: He's not human.\Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap!\A triple Salchow\Oops.\Still going strong! response:	The score for the Czech Republic's Emil Nekola is 189.15.
context: Man, I'm tired...\He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap!\A triple Salchow\Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15. response:	RK: 1 Emil Nekola Total
context: He'd planned a combination there, but...\He fell and couldn't complete the second jump.\Crap!\A triple Salchow\Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total response:	His total score is 271.58. He's currently in first place.
context: He fell and couldn't complete the second jump.\Crap!\A triple Salchow\Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place. response:	Yay!
context: Crap!\A triple Salchow\Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay! response:	Yeah!
context: A triple Salchow\Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay!\Yeah! response:	Sala, you're not rinkside to send him off to the ice today.
context: Oops.\Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today. response:	We now have Italy's Michele Crispino, age 22.
context: Still going strong!\The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22. response:	He finished the short program in fifth.
context: The score for the Czech Republic's Emil Nekola is 189.15.\RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth. response:	Will he make a comeback in the free skate?
context: RK: 1 Emil Nekola Total\His total score is 271.58. He's currently in first place.\Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate? response:	He is skating to Serenade for Two.
context: His total score is 271.58. He's currently in first place.\Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two. response:	Sala, are you watching me somewhere out there?
context: Yay!\Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there? response:	I can tell, even when we're apart.
context: Yeah!\Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart. response:	A quadruple Salchow.
context: Sala, you're not rinkside to send him off to the ice today.\We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow. response:	Mickey might be feeling a little down.
context: We now have Italy's Michele Crispino, age 22.\He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down. response:	A triple flip, single loop, and a triple Salchow.
context: He finished the short program in fifth.\Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow. response:	A three-jump combo!
context: Will he make a comeback in the free skate?\He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo! response:	What should I do with my feelings?
context: He is skating to Serenade for Two.\Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings? response:	A triple axel.
context: Sala, are you watching me somewhere out there?\I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings?\A triple axel. response:	Compared to practice, his skating is much more mellow.
context: I can tell, even when we're apart.\A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow. response:	He's like a completely different person.
context: A quadruple Salchow.\Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person. response:	Did something happen?
context: Mickey might be feeling a little down.\A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen? response:	Love.
context: A triple flip, single loop, and a triple Salchow.\A three-jump combo!\What should I do with my feelings?\A triple axel.\Compared to practice, his skating is much more mellow.\He's like a completely different person.\Did something happen?\Love. response:	I can feel lost love in Michele's skating.
