context: The Black Lizard... response:	The Black Lizard...
context: Sure, right away.\A marble?\Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun. response:	I have to head off to a job soon.
context: A marble?\Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon. response:	Oh, to assist with a murder case?
context: Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case? response:	Indeed, the police in this city can't capture even a single criminal without my help.
context: Yes.\Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help. response:	Still...
context: Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still... response:	My Ultra-Deduction is the best ability in this agency...
context: Yes, marbles are nice.\Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency... response:	or even the entire nation.
context: Um, isn't Rampo-san going to help?\Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation. response:	I guess it's no small wonder that everyone depends on it.
context: Kunikida-kun.\I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it. response:	We're indebted to you, Rampo-san.
context: I have to head off to a job soon.\Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san. response:	Good, as long as you're aware.
context: Oh, to assist with a murder case?\Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware. response:	That's right.
context: Indeed, the police in this city can't capture even a single criminal without my help.\Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right. response:	Though you call yourselves a detective agency,
context: Still...\My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency, response:	you lot don't have the deductive powers of a single monkey.
context: My Ultra-Deduction is the best ability in this agency...\or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey. response:	The only reason they can call themselves a detective agency and function as one
context: or even the entire nation.\I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one response:	is my ability, Ultra-Deduction.
context: I guess it's no small wonder that everyone depends on it.\We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction. response:	Ultra-Deduction is so amazing...
context: We're indebted to you, Rampo-san.\Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing... response:	An ability that lets you see right to the heart of any case in an instant.
context: Good, as long as you're aware.\That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant. response:	You are a role model for the Agency... No, for all gifted people.
context: That's right.\Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people. response:	Of course.
context: Though you call yourselves a detective agency,\you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course. response:	Brat.
context: you lot don't have the deductive powers of a single monkey.\The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course.\Brat. response:	Y-Yes?
context: The only reason they can call themselves a detective agency and function as one\is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course.\Brat.\Y-Yes? response:	Never mind the clean-up here.
context: is my ability, Ultra-Deduction.\Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course.\Brat.\Y-Yes?\Never mind the clean-up here. response:	Go with Rampo-san.
context: Ultra-Deduction is so amazing...\An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course.\Brat.\Y-Yes?\Never mind the clean-up here.\Go with Rampo-san. response:	The place's close by train.
context: An ability that lets you see right to the heart of any case in an instant.\You are a role model for the Agency... No, for all gifted people.\Of course.\Brat.\Y-Yes?\Never mind the clean-up here.\Go with Rampo-san.\The place's close by train. response:	M-Me as a detective's assistant?
context: You are a role model for the Agency... No, for all gifted people.\Of course.\Brat.\Y-Yes?\Never mind the clean-up here.\Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant? response:	That's a great responsibility...
context: Of course.\Brat.\Y-Yes?\Never mind the clean-up here.\Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility... response:	Of course not.
context: Brat.\Y-Yes?\Never mind the clean-up here.\Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility...\Of course not. response:	I'm not some two-bit detective.
context: Y-Yes?\Never mind the clean-up here.\Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility...\Of course not.\I'm not some two-bit detective. response:	I don't need an assistant.
context: Never mind the clean-up here.\Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility...\Of course not.\I'm not some two-bit detective.\I don't need an assistant. response:	Then why am I going with you?
context: Go with Rampo-san.\The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility...\Of course not.\I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you? response:	Well, see, I don't know how to take the train.
context: The place's close by train.\M-Me as a detective's assistant?\That's a great responsibility...\Of course not.\I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train. response:	Wow.
context: M-Me as a detective's assistant?\That's a great responsibility...\Of course not.\I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train.\Wow. response:	Honestly, I was surprised.
context: That's a great responsibility...\Of course not.\I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised. response:	He didn't know anything,
context: Of course not.\I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised.\He didn't know anything, response:	including how to buy a ticket,
context: I'm not some two-bit detective.\I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket, response:	how to get through the turnstile,
context: I don't need an assistant.\Then why am I going with you?\Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket,\how to get through the turnstile, response:	and how to figure out which platform to go to...
context: Then why am I going with you?\Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to... response:	Episode 5
context: Well, see, I don't know how to take the train.\Wow.\Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5 response:	I guess he really can't do anything without using his ability.
context: Wow.\Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability. response:	You're late, agents.
context: Honestly, I was surprised.\He didn't know anything,\including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability.\You're late, agents. response:	Oh, who are you?
context: He didn't know anything,\including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you? response:	Where is Yasui-san?
context: including how to buy a ticket,\how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you?\Where is Yasui-san? response:	Kanagawa Prefecture Police
context: how to get through the turnstile,\and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police response:	I'm Minoura.
context: and how to figure out which platform to go to...\Episode 5\I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura. response:	I took this over from Yasui.
context: Episode 5\I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui. response:	This case has been reassigned to our division.
context: I guess he really can't do anything without using his ability.\You're late, agents.\Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division. response:	So we no longer need you or your agency.
context: You're late, agents.\Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency. response:	How idiotic.
context: Oh, who are you?\Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic. response:	All the difficult cases in the world should be overseen by a great detective as a matter of course.
context: Where is Yasui-san?\Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course. response:	We won't need a private investigator today.
context: Kanagawa Prefecture Police\I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today. response:	Because the victim is my subordinate.
context: I'm Minoura.\I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate. response:	A lady.
context: I took this over from Yasui.\This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate.\A lady. response:	She was found floating in the river this morning.
context: This case has been reassigned to our division.\So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate.\A lady.\She was found floating in the river this morning. response:	She was shot three times in the chest.
context: So we no longer need you or your agency.\How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate.\A lady.\She was found floating in the river this morning.\She was shot three times in the chest. response:	We don't know where or when she was killed.
context: How idiotic.\All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate.\A lady.\She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed. response:	We haven't even found the bullets.
context: All the difficult cases in the world should be overseen by a great detective as a matter of course.\We won't need a private investigator today.\Because the victim is my subordinate.\A lady.\She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets. response:	Any suspects?
context: We won't need a private investigator today.\Because the victim is my subordinate.\A lady.\She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects? response:	No.
context: Because the victim is my subordinate.\A lady.\She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects?\No. response:	As far as anyone at the office knew,
context: A lady.\She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects?\No.\As far as anyone at the office knew, response:	she was not in a relationship, either.
context: She was found floating in the river this morning.\She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects?\No.\As far as anyone at the office knew,\she was not in a relationship, either. response:	Does that mean you don't have any leads?
context: She was shot three times in the chest.\We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects?\No.\As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads? response:	That is all the more reason why
context: We don't know where or when she was killed.\We haven't even found the bullets.\Any suspects?\No.\As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why response:	we can't let some amateur private eye handle this.
context: We haven't even found the bullets.\Any suspects?\No.\As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this. response:	Hey!
context: Any suspects?\No.\As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this.\Hey! response:	The nets caught something!
context: No.\As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this.\Hey!\The nets caught something! response:	What's that?
context: As far as anyone at the office knew,\she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this.\Hey!\The nets caught something!\What's that? response:	We've strung a net across the river to catch any evidence, but...
context: she was not in a relationship, either.\Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this.\Hey!\The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but... response:	It's a man!
context: Does that mean you don't have any leads?\That is all the more reason why\we can't let some amateur private eye handle this.\Hey!\The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but...\It's a man! response:	We have man in the nets!
context: That is all the more reason why\we can't let some amateur private eye handle this.\Hey!\The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets! response:	What?!
context: we can't let some amateur private eye handle this.\Hey!\The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets!\What?! response:	Could there be a second victim?
context: Hey!\The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets!\What?!\Could there be a second victim? response:	Hello, Atsushi-kun.
context: The nets caught something!\What's that?\We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets!\What?!\Could there be a second victim?\Hello, Atsushi-kun. response:	What a strange coincidence.
context: What's that?\We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets!\What?!\Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence. response:	A-Another drowning attempt?
context: We've strung a net across the river to catch any evidence, but...\It's a man!\We have man in the nets!\What?!\Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt? response:	What, committing suicide alone?
context: It's a man!\We have man in the nets!\What?!\Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone? response:	That's so passe, Atsushi-kun.
context: We have man in the nets!\What?!\Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun. response:	I have come to realize
context: What?!\Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize response:	that if I am to die, I will die with a beautiful lady!
context: Could there be a second victim?\Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady! response:	Ah, double suicide...
context: Hello, Atsushi-kun.\What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide... response:	What a sweet ring it has.
context: What a strange coincidence.\A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has. response:	In comparison,
context: A-Another drowning attempt?\What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has.\In comparison, response:	it feels so empty to bid this world farewell all by my lonesome.
context: What, committing suicide alone?\That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome. response:	So...
context: That's so passe, Atsushi-kun.\I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So... response:	I'm currently on the lookout for a beautiful woman who'll die with me!
context: I have come to realize\that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me! response:	Huh?
context: that if I am to die, I will die with a beautiful lady!\Ah, double suicide...\What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh? response:	Then what was this about?
context: Ah, double suicide...\What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about? response:	I was simply drifting along the river!
context: What a sweet ring it has.\In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about?\I was simply drifting along the river! response:	I see.
context: In comparison,\it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about?\I was simply drifting along the river!\I see. response:	By the way, Atsushi-kun,
context: it feels so empty to bid this world farewell all by my lonesome.\So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about?\I was simply drifting along the river!\I see.\By the way, Atsushi-kun, response:	what are you doing out here?
context: So...\I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about?\I was simply drifting along the river!\I see.\By the way, Atsushi-kun,\what are you doing out here? response:	I'm on a job.
context: I'm currently on the lookout for a beautiful woman who'll die with me!\Huh?\Then what was this about?\I was simply drifting along the river!\I see.\By the way, Atsushi-kun,\what are you doing out here?\I'm on a job. response:	A job?
context: Huh?\Then what was this about?\I was simply drifting along the river!\I see.\By the way, Atsushi-kun,\what are you doing out here?\I'm on a job.\A job? response:	What kind?
context: Then what was this about?\I was simply drifting along the river!\I see.\By the way, Atsushi-kun,\what are you doing out here?\I'm on a job.\A job?\What kind? response:	Wh-Wh-Wh-Wh-What tragedy...
context: I was simply drifting along the river!\I see.\By the way, Atsushi-kun,\what are you doing out here?\I'm on a job.\A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy... response:	What great tragedy this is,
context: I see.\By the way, Atsushi-kun,\what are you doing out here?\I'm on a job.\A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is, response:	that a young beautiful woman in her prime has lost her life...
context: By the way, Atsushi-kun,\what are you doing out here?\I'm on a job.\A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life... response:	My sorrow is crushing my heart!
context: what are you doing out here?\I'm on a job.\A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart! response:	She may as well have committed double suicide with me!
context: I'm on a job.\A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me! response:	Who the hell is he?
context: A job?\What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he? response:	A colleague at the Agency.
context: What kind?\Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency. response:	That's just how he is.
context: Wh-Wh-Wh-Wh-What tragedy...\What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency.\That's just how he is. response:	But rest in peace, milady.
context: What great tragedy this is,\that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency.\That's just how he is.\But rest in peace, milady. response:	An extraordinary great detective will avenge you.
context: that a young beautiful woman in her prime has lost her life...\My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency.\That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you. response:	Right, Rampo-san?
context: My sorrow is crushing my heart!\She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency.\That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san? response:	But I have yet to get the job itself.
context: She may as well have committed double suicide with me!\Who the hell is he?\A colleague at the Agency.\That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself. response:	What?
context: Who the hell is he?\A colleague at the Agency.\That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself.\What? response:	Why?
context: A colleague at the Agency.\That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself.\What?\Why? response:	Ask this man.
context: That's just how he is.\But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself.\What?\Why?\Ask this man. response:	We have no need for private investigators.
context: But rest in peace, milady.\An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself.\What?\Why?\Ask this man.\We have no need for private investigators. response:	In fact, all of my subordinates are far superior to any private detective.
context: An extraordinary great detective will avenge you.\Right, Rampo-san?\But I have yet to get the job itself.\What?\Why?\Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective. response:	Oh?
context: Right, Rampo-san?\But I have yet to get the job itself.\What?\Why?\Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh? response:	What's your name?
context: But I have yet to get the job itself.\What?\Why?\Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name? response:	What?
context: What?\Why?\Ask this man.\We have no need for private investigators.\In fact, all of my subordinates are far superior to any private detective.\Oh?\What's your name?\What? response:	I am Sergeant Sugimura.
