context: The head may err, but never the blood. response:	I don't feel like working.
context: So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here? response:	I'm sure.
context: The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure. response:	It's a perfect opportunity to kill our boss, after all.
context: Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all. response:	That is preferable to having bloodshed among our members.
context: It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members. response:	Oi, Dazai...
context: Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai... response:	A secret meeting with the Port Mafia?!
context: Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?! response:	Atsushi-kun's idea has turned into a huge deal.
context: I've made arrangements, but...\Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal. response:	Even though the Guild is now our biggest threat...
context: Do you think the Port Mafia boss will be here?\I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat... response:	Wait a second.
context: I'm sure.\It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second. response:	I have no idea what's going on.
context: It's a perfect opportunity to kill our boss, after all.\That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on. response:	First of all, why are you the one arranging the meeting?
context: That is preferable to having bloodshed among our members.\Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting? response:	Because I'm originally from the Port Mafia.
context: Oi, Dazai...\A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia. response:	What?!
context: A secret meeting with the Port Mafia?!\Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?! response:	What?!
context: Atsushi-kun's idea has turned into a huge deal.\Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?!\What?! response:	Everyone knows about it apart from you, Kunikida-kun.
context: Even though the Guild is now our biggest threat...\Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?!\What?!\Everyone knows about it apart from you, Kunikida-kun. response:	What?!
context: Wait a second.\I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?!\What?!\Everyone knows about it apart from you, Kunikida-kun.\What?! response:	There have been over a hundred deaths in our organization alone.
context: I have no idea what's going on.\First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?!\What?!\Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone. response:	I hate to admit it,
context: First of all, why are you the one arranging the meeting?\Because I'm originally from the Port Mafia.\What?!\What?!\Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it, response:	but if that tool, Dazai, hadn't neutralized the curse,
context: Because I'm originally from the Port Mafia.\What?!\What?!\Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse, response:	we would have had ten times as many casualties.
context: What?!\What?!\Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties. response:	I have no face to show to the previous bosses.
context: What?!\Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses. response:	Kouyou-kun.
context: Everyone knows about it apart from you, Kunikida-kun.\What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun. response:	Dazai kicked me out of the Agency office, saying he had
context: What?!\There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had response:	no need for a useless prisoner.
context: There have been over a hundred deaths in our organization alone.\I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner. response:	He even had me running errands in exchange for my stay.
context: I hate to admit it,\but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay. response:	This is from the boss of the Detective Agency.
context: but if that tool, Dazai, hadn't neutralized the curse,\we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency. response:	An invitation to have tea, it seems.
context: we would have had ten times as many casualties.\I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems. response:	Oh?
context: I have no face to show to the previous bosses.\Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh? response:	So that's the hand he's chosen to play.
context: Kouyou-kun.\Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play. response:	Eight years ago
context: Dazai kicked me out of the Agency office, saying he had\no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play.\Eight years ago response:	How are you, Boss?
context: no need for a useless prisoner.\He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play.\Eight years ago\How are you, Boss? response:	Doctor, tell the board...
context: He even had me running errands in exchange for my stay.\This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play.\Eight years ago\How are you, Boss?\Doctor, tell the board... response:	This is an order: Kill all enemy organizations,
context: This is from the boss of the Detective Agency.\An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play.\Eight years ago\How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations, response:	military police, and anyone who opposes the Port Mafia by sundown.
context: An invitation to have tea, it seems.\Oh?\So that's the hand he's chosen to play.\Eight years ago\How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown. response:	That's irrational.
context: Oh?\So that's the hand he's chosen to play.\Eight years ago\How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational. response:	I don't mind how many of our own need to die.
context: So that's the hand he's chosen to play.\Eight years ago\How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die. response:	Kill them.
context: Eight years ago\How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die.\Kill them. response:	Just kill them.
context: How are you, Boss?\Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die.\Kill them.\Just kill them. response:	Kill them all.
context: Doctor, tell the board...\This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die.\Kill them.\Just kill them.\Kill them all. response:	Kill them.
context: This is an order: Kill all enemy organizations,\military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die.\Kill them.\Just kill them.\Kill them all.\Kill them. response:	Kill them.
context: military police, and anyone who opposes the Port Mafia by sundown.\That's irrational.\I don't mind how many of our own need to die.\Kill them.\Just kill them.\Kill them all.\Kill them.\Kill them. response:	Very well, Boss.
context: That's irrational.\I don't mind how many of our own need to die.\Kill them.\Just kill them.\Kill them all.\Kill them.\Kill them.\Very well, Boss. response:	The boss has succumbed to illness.
context: I don't mind how many of our own need to die.\Kill them.\Just kill them.\Kill them all.\Kill them.\Kill them.\Very well, Boss.\The boss has succumbed to illness. response:	He left a will, entrusting me with his position as the boss.
context: Kill them.\Just kill them.\Kill them all.\Kill them.\Kill them.\Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss. response:	You're the witness.
context: Just kill them.\Kill them all.\Kill them.\Kill them.\Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness. response:	Understood?
context: Kill them all.\Kill them.\Kill them.\Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness.\Understood? response:	It's been four years.
context: Kill them.\Kill them.\Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness.\Understood?\It's been four years. response:	Do you still wear the coat that I gave you?
context: Kill them.\Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness.\Understood?\It's been four years.\Do you still wear the coat that I gave you? response:	Of course...
context: Very well, Boss.\The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness.\Understood?\It's been four years.\Do you still wear the coat that I gave you?\Of course... response:	I burned it.
context: The boss has succumbed to illness.\He left a will, entrusting me with his position as the boss.\You're the witness.\Understood?\It's been four years.\Do you still wear the coat that I gave you?\Of course...\I burned it. response:	Port Mafia Boss, Mori Ougai.
context: He left a will, entrusting me with his position as the boss.\You're the witness.\Understood?\It's been four years.\Do you still wear the coat that I gave you?\Of course...\I burned it.\Port Mafia Boss, Mori Ougai. response:	Armed Detective Agency Chief Executive, Fukuzawa Yukichi.
context: You're the witness.\Understood?\It's been four years.\Do you still wear the coat that I gave you?\Of course...\I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi. response:	So the time's finally come.
context: Understood?\It's been four years.\Do you still wear the coat that I gave you?\Of course...\I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come. response:	If the government brass were to find out that the leaders of the
context: It's been four years.\Do you still wear the coat that I gave you?\Of course...\I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the response:	two most powerful organizations of gifted are engaged in a
context: Do you still wear the coat that I gave you?\Of course...\I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a response:	secret meeting, they would froth at the mouth.
context: Of course...\I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth. response:	I'll get straight to business.
context: I burned it.\Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business. response:	A new member of the Agency proposed an alliance with you, the Port Mafia.
context: Port Mafia Boss, Mori Ougai.\Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia. response:	Oh?
context: Armed Detective Agency Chief Executive, Fukuzawa Yukichi.\So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh? response:	I objected.
context: So the time's finally come.\If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected. response:	The idea of cooperating with criminals goes against the Agency's standards.
context: If the government brass were to find out that the leaders of the\two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards. response:	But the proposal came from someone who, countless times,
context: two most powerful organizations of gifted are engaged in a\secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times, response:	was shot, slashed, and kidnapped by the Port Mafia.
context: secret meeting, they would froth at the mouth.\I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia. response:	His words carry weight.
context: I'll get straight to business.\A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight. response:	Therefore, as the leader of the Agency,
context: A new member of the Agency proposed an alliance with you, the Port Mafia.\Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency, response:	I was left with no choice but to lend an ear.
context: Oh?\I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear. response:	We are both in quite a difficult position.
context: I objected.\The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position. response:	I'll get to the point.
context: The idea of cooperating with criminals goes against the Agency's standards.\But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point. response:	Alliance aside, I would like to request a temporary ceasefire.
context: But the proposal came from someone who, countless times,\was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire. response:	Have you ever read the works of Schelling?
context: was shot, slashed, and kidnapped by the Port Mafia.\His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling? response:	Or perhaps of Kissinger?
context: His words carry weight.\Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger? response:	Both are researchers of strategic studies.
context: Therefore, as the leader of the Agency,\I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies. response:	Taught by you-know-who.
context: I was left with no choice but to lend an ear.\We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who. response:	I do read Sun Tzu.
context: We are both in quite a difficult position.\I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu. response:	There is a parallel between state warfare and the strategies
context: I'll get to the point.\Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies response:	of illegal organizations such as ourselves.
context: Alliance aside, I would like to request a temporary ceasefire.\Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves. response:	No one exists to punish either of us, should we violate agreements.
context: Have you ever read the works of Schelling?\Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements. response:	What if the Port Mafia suddenly breaks a ceasefire?
context: Or perhaps of Kissinger?\Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire? response:	What if the Agency betrays us?
context: Both are researchers of strategic studies.\Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us? response:	The party that trusted in the agreement would be the only one to suffer.
context: Taught by you-know-who.\I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer. response:	Under circumstances that reward the first to commit a betrayal,
context: I do read Sun Tzu.\There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal, response:	a limited ceasefire cannot be established.
context: There is a parallel between state warfare and the strategies\of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established. response:	The only possibility is for complete cooperation.
context: of illegal organizations such as ourselves.\No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation. response:	That's also impossible.
context: No one exists to punish either of us, should we violate agreements.\What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible. response:	Indeed.
context: What if the Port Mafia suddenly breaks a ceasefire?\What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible.\Indeed. response:	The Port Mafia is an organization of face and resentment.
context: What if the Agency betrays us?\The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment. response:	Many of my people have been dragged through the mud.
context: The party that trusted in the agreement would be the only one to suffer.\Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud. response:	Many of mine have been brought to the brink of death, as well.
context: Under circumstances that reward the first to commit a betrayal,\a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well. response:	But they didn't die.
context: a limited ceasefire cannot be established.\The only possibility is for complete cooperation.\That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die. response:	And that is a source of great shame for the Port Mafia.
context: The only possibility is for complete cooperation.\That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia. response:	Then how about this.
context: That's also impossible.\Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this. response:	We settle our accounts here and now.
context: Indeed.\The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now. response:	I thought you had discarded your katana...
context: The Port Mafia is an organization of face and resentment.\Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana... response:	Kokenshi Ginro Fukuzawa.
context: Many of my people have been dragged through the mud.\Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa. response:	And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.
context: Many of mine have been brought to the brink of death, as well.\But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori. response:	You still think like a little girl.
context: But they didn't die.\And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl. response:	Do you still talk to cats?
context: And that is a source of great shame for the Port Mafia.\Then how about this.\We settle our accounts here and now.\I thought you had discarded your katana...\Kokenshi Ginro Fukuzawa.\And you still haven't grown past your habit of killing people with a scalpel, Doctor Mori.\You still think like a little girl.\Do you still talk to cats? response:	A hologram ability.
