context: Where am I? response:	I see...
context: Run!\Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat! response:	Highness...
context: Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat!\Highness... response:	Inko...
context: Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat!\Highness...\Inko... response:	Where is Princess Asseylum?
context: Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat!\Highness...\Inko...\Where is Princess Asseylum? response:	Still no word from her!
context: It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat!\Highness...\Inko...\Where is Princess Asseylum?\Still no word from her! response:	She didn't...
context: There is one in here, as well.\Get us away from the battle zone at maximum combat speed.\Retreat!\Highness...\Inko...\Where is Princess Asseylum?\Still no word from her!\She didn't... response:	No...
context: Get us away from the battle zone at maximum combat speed.\Retreat!\Highness...\Inko...\Where is Princess Asseylum?\Still no word from her!\She didn't...\No... response:	Mission complete...
context: Retreat!\Highness...\Inko...\Where is Princess Asseylum?\Still no word from her!\She didn't...\No...\Mission complete... response:	Inko, come pick me up...
context: Highness...\Inko...\Where is Princess Asseylum?\Still no word from her!\She didn't...\No...\Mission complete...\Inko, come pick me up... response:	I am terribly sorry, Count Klancain. It was not my wish to get you involved.
context: Inko...\Where is Princess Asseylum?\Still no word from her!\She didn't...\No...\Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved. response:	Not at all. This is part of my mission.
context: Where is Princess Asseylum?\Still no word from her!\She didn't...\No...\Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission. response:	Mission?
context: Still no word from her!\She didn't...\No...\Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission? response:	Yes, I came here under orders from His Majesty himself.
context: She didn't...\No...\Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself. response:	From Grandfather?
context: No...\Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather? response:	Emperor Rayregalia had misgivings regarding the subjugation of the Earth system
context: Mission complete...\Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system response:	after the death of the previous Count Saazbaum.
context: Inko, come pick me up...\I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum. response:	And so, he commanded me to both investigate that and to ensure your safety.
context: I am terribly sorry, Count Klancain. It was not my wish to get you involved.\Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety. response:	Then I must get in contact with Grandfather!
context: Not at all. This is part of my mission.\Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather! response:	It is possible to make contact. However...
context: Mission?\Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However... response:	Count Klancain, transmission from the moonbase.
context: Yes, I came here under orders from His Majesty himself.\From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase. response:	Put it through.
context: From Grandfather?\Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through. response:	Lord Klancain, where are you taking Princess Asseylum?
context: Emperor Rayregalia had misgivings regarding the subjugation of the Earth system\after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum? response:	Ah, Lord Troyard.
context: after the death of the previous Count Saazbaum.\And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard. response:	I am in the process of evacuating her to protect her from harm.
context: And so, he commanded me to both investigate that and to ensure your safety.\Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm. response:	The moonbase is a fortified installation. There is no safer location.
context: Then I must get in contact with Grandfather!\It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location. response:	And yet, a battle was in progress there.
context: It is possible to make contact. However...\Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there. response:	Rest assured, the enemies within the base have already been eliminated.
context: Count Klancain, transmission from the moonbase.\Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated. response:	Please return at once.
context: Put it through.\Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once. response:	No. I will not go back!
context: Lord Klancain, where are you taking Princess Asseylum?\Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back! response:	I...
context: Ah, Lord Troyard.\I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back!\I... response:	Highness...
context: I am in the process of evacuating her to protect her from harm.\The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back!\I...\Highness... response:	Earth was recovering, and humanity and nature were coexisting.
context: The moonbase is a fortified installation. There is no safer location.\And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back!\I...\Highness...\Earth was recovering, and humanity and nature were coexisting. response:	It was you who taught me this.
context: And yet, a battle was in progress there.\Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back!\I...\Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this. response:	That humanity and nature...
context: Rest assured, the enemies within the base have already been eliminated.\Please return at once.\No. I will not go back!\I...\Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature... response:	Earth and Vers...
context: Please return at once.\No. I will not go back!\I...\Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature...\Earth and Vers... response:	could prosper together!
context: No. I will not go back!\I...\Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature...\Earth and Vers...\could prosper together! response:	Yes. You are right. I did indeed say that.
context: I...\Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature...\Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that. response:	I have dispatched the Stygis Squadron to pursue.
context: Highness...\Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature...\Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue. response:	Seize the ship at the first opportunity.
context: Earth was recovering, and humanity and nature were coexisting.\It was you who taught me this.\That humanity and nature...\Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity. response:	I beg you, Slaine. Please, stop the war.
context: It was you who taught me this.\That humanity and nature...\Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war. response:	And make peace with Earth.
context: That humanity and nature...\Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth. response:	Perhaps you are right.
context: Earth and Vers...\could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right. response:	Very well.
context: could prosper together!\Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right.\Very well. response:	Let us discuss the matter.
context: Yes. You are right. I did indeed say that.\I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right.\Very well.\Let us discuss the matter. response:	Slaine...
context: I have dispatched the Stygis Squadron to pursue.\Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right.\Very well.\Let us discuss the matter.\Slaine... response:	That sector is dangerous. Please return immediately.
context: Seize the ship at the first opportunity.\I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right.\Very well.\Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately. response:	Count Klancain, please turn back at once.
context: I beg you, Slaine. Please, stop the war.\And make peace with Earth.\Perhaps you are right.\Very well.\Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once. response:	I am afraid I cannot comply.
context: And make peace with Earth.\Perhaps you are right.\Very well.\Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply. response:	I must obey Princess Asseylum's orders.
context: Perhaps you are right.\Very well.\Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders. response:	Stealth to maximum.
context: Very well.\Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum. response:	Yes, Milord.
context: Let us discuss the matter.\Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord. response:	The spaceship Hadriacus has vanished from our screens.
context: Slaine...\That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens. response:	Continue your search.
context: That sector is dangerous. Please return immediately.\Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search. response:	Yes, Milord.
context: Count Klancain, please turn back at once.\I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord. response:	We needn't worry about any pursuers for the time being.
context: I am afraid I cannot comply.\I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being. response:	Thank you.
context: I must obey Princess Asseylum's orders.\Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you. response:	But... what am I to do now?
context: Stealth to maximum.\Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now? response:	Earth's military is trying to kill me.
context: Yes, Milord.\The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now?\Earth's military is trying to kill me. response:	And Slaine has the backing of the Orbital Knights, as well...
context: The spaceship Hadriacus has vanished from our screens.\Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well... response:	I must make contact with the crew of the Deucalion somehow.
context: Continue your search.\Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow. response:	Milady.
context: Yes, Milord.\We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady. response:	There is one knight who is on your side.
context: We needn't worry about any pursuers for the time being.\Thank you.\But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side. response:	The one who delivered the message from Inaho Kaizuka.
context: Thank you.\But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka. response:	Count Mazuurek.
context: But... what am I to do now?\Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek. response:	Now is the time to demonstrate my loyalty to Princess Asseylum.
context: Earth's military is trying to kill me.\And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum. response:	Landing Castle, lift off!
context: And Slaine has the backing of the Orbital Knights, as well...\I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off! response:	Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!
context: I must make contact with the crew of the Deucalion somehow.\Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow! response:	Don't let them get close to the Deucalion!
context: Milady.\There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion! response:	Enemy formation closing in! 3 o'clock! Angle of elevation, 60!
context: There is one knight who is on your side.\The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60! response:	Increase AA cannon fire to starboard!
context: The one who delivered the message from Inaho Kaizuka.\Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard! response:	Message from HQ! Orders to withdraw, ma'am!
context: Count Mazuurek.\Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am! response:	Withdraw?
context: Now is the time to demonstrate my loyalty to Princess Asseylum.\Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw? response:	Looks like they got their results.
context: Landing Castle, lift off!\Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results. response:	Results, ma'am?
context: Clydesdale Leader to all units! Target the enemies off the ship's starboard bow!\Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results.\Results, ma'am? response:	The real operation that used us as bait.
context: Don't let them get close to the Deucalion!\Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results.\Results, ma'am?\The real operation that used us as bait. response:	Prepare to withdraw!
context: Enemy formation closing in! 3 o'clock! Angle of elevation, 60!\Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results.\Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw! response:	Order all units back to base!
context: Increase AA cannon fire to starboard!\Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results.\Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base! response:	Mustang 00, 11 closing in. They're on a return course!
context: Message from HQ! Orders to withdraw, ma'am!\Withdraw?\Looks like they got their results.\Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course! response:	It's Inko and Inaho!
context: Withdraw?\Looks like they got their results.\Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho! response:	They're cleared to land. Get them aboard ASAP.
context: Looks like they got their results.\Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP. response:	They fled when they saw that they were no match for us, eh?
context: Results, ma'am?\The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh? response:	What are they playing at?
context: The real operation that used us as bait.\Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at? response:	Count Troyard, the UFE is withdrawing. Shall we pursue?
context: Prepare to withdraw!\Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue? response:	No. All units, return to base. They are to rearm for our next offensive.
context: Order all units back to base!\Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive. response:	Also, summon the Landing Bases. Assign them to moonbase defense.
context: Mustang 00, 11 closing in. They're on a return course!\It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense. response:	Yes, Milord.
context: It's Inko and Inaho!\They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord. response:	Does that belong to my sister?
context: They're cleared to land. Get them aboard ASAP.\They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister? response:	Princess Lemrina...
context: They fled when they saw that they were no match for us, eh?\What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister?\Princess Lemrina... response:	Did my sister
context: What are they playing at?\Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister?\Princess Lemrina...\Did my sister response:	I see. Will I ever see her again?
context: Count Troyard, the UFE is withdrawing. Shall we pursue?\No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister?\Princess Lemrina...\Did my sister\I see. Will I ever see her again? response:	Yes. Count on it.
context: No. All units, return to base. They are to rearm for our next offensive.\Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister?\Princess Lemrina...\Did my sister\I see. Will I ever see her again?\Yes. Count on it. response:	I feel sorry.
context: Also, summon the Landing Bases. Assign them to moonbase defense.\Yes, Milord.\Does that belong to my sister?\Princess Lemrina...\Did my sister\I see. Will I ever see her again?\Yes. Count on it.\I feel sorry. response:	For her.
context: Yes, Milord.\Does that belong to my sister?\Princess Lemrina...\Did my sister\I see. Will I ever see her again?\Yes. Count on it.\I feel sorry.\For her. response:	And for you.
context: Does that belong to my sister?\Princess Lemrina...\Did my sister\I see. Will I ever see her again?\Yes. Count on it.\I feel sorry.\For her.\And for you. response:	Inaho...
context: Princess Lemrina...\Did my sister\I see. Will I ever see her again?\Yes. Count on it.\I feel sorry.\For her.\And for you.\Inaho... response:	What is Lt. Kaizuka's condition?
context: Did my sister\I see. Will I ever see her again?\Yes. Count on it.\I feel sorry.\For her.\And for you.\Inaho...\What is Lt. Kaizuka's condition? response:	It's nothing life-threatening.
context: I see. Will I ever see her again?\Yes. Count on it.\I feel sorry.\For her.\And for you.\Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening. response:	What worries me is that the Analytical Engine is putting a strain on his cranial nerves.
context: Yes. Count on it.\I feel sorry.\For her.\And for you.\Inaho...\What is Lt. Kaizuka's condition?\It's nothing life-threatening.\What worries me is that the Analytical Engine is putting a strain on his cranial nerves. response:	I told him not to, but look at how far he expanded its domain...
