context: Fire! response:	Send word to the lords of every domain in Melromarc.
context: We're leaving.\The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough?\Sure. Let me get your change. response:	Huh? Sir?
context: The checkpoint's been closed,\and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough?\Sure. Let me get your change.\Huh? Sir? response:	Have you seen this man around?
context: and there's an emergency security deployment along the border.\It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough?\Sure. Let me get your change.\Huh? Sir?\Have you seen this man around? response:	Oh, Master.
context: It's gonna be impossible to cross over to Siltvelt for a while.\It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough?\Sure. Let me get your change.\Huh? Sir?\Have you seen this man around?\Oh, Master. response:	How'd it go, Naofumi-sama?
context: It seems the Devil of the Shield has abducted Princess Melty,\and is hiding in this area.\Will this be enough?\Sure. Let me get your change.\Huh? Sir?\Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama? response:	We should probably give up on going to Siltvelt.
context: and is hiding in this area.\Will this be enough?\Sure. Let me get your change.\Huh? Sir?\Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt. response:	Which means...
context: Will this be enough?\Sure. Let me get your change.\Huh? Sir?\Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means... response:	Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.
context: Sure. Let me get your change.\Huh? Sir?\Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay. response:	Is doing as that Shadow said our only option?
context: Huh? Sir?\Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option? response:	What's the plan, Naofumi?
context: Have you seen this man around?\Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi? response:	We're going to meet the queen.
context: Oh, Master.\How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen. response:	The Rising of the Shield Hero
context: How'd it go, Naofumi-sama?\We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero response:	Everlasting Memory
context: We should probably give up on going to Siltvelt.\Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory response:	There are a lot of demi-humans in this region.
context: Which means...\Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region. response:	Yeah.
context: Shield Hero, you are requested to meet with Her Majesty the Queen, I daresay.\Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region.\Yeah. response:	Are we in... I see!
context: Is doing as that Shadow said our only option?\What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region.\Yeah.\Are we in... I see! response:	What is it?
context: What's the plan, Naofumi?\We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region.\Yeah.\Are we in... I see!\What is it? response:	A nobleman I know is in charge of this domain.
context: We're going to meet the queen.\The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region.\Yeah.\Are we in... I see!\What is it?\A nobleman I know is in charge of this domain. response:	He may be able to help us out.
context: The Rising of the Shield Hero\Everlasting Memory\There are a lot of demi-humans in this region.\Yeah.\Are we in... I see!\What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out. response:	A nobleman?
context: Everlasting Memory\There are a lot of demi-humans in this region.\Yeah.\Are we in... I see!\What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman? response:	These days, humans treat demi-humans like slaves,
context: There are a lot of demi-humans in this region.\Yeah.\Are we in... I see!\What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves, response:	but in the past, some of the nobility tried to mediate
context: Yeah.\Are we in... I see!\What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate response:	peaceful coexistence between the two races.
context: Are we in... I see!\What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races. response:	The leader of that group was a wonderful man.
context: What is it?\A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man. response:	He was the lord of the domain of Seyaette.
context: A nobleman I know is in charge of this domain.\He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette. response:	But he died in the first Wave,
context: He may be able to help us out.\A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave, response:	and the nobles that sided with him
context: A nobleman?\These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him response:	were all shuffled off to remote regions under Father's orders.
context: These days, humans treat demi-humans like slaves,\but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders. response:	That guy's hatred of demi-humans is absurd.
context: but in the past, some of the nobility tried to mediate\peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd. response:	What's wrong, Raphtalia?
context: peaceful coexistence between the two races.\The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia? response:	The village I'm from is in Seyaette's jurisdiction.
context: The leader of that group was a wonderful man.\He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction. response:	I heard Seyaette was attacked by rioters after the Wave.
context: He was the lord of the domain of Seyaette.\But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave. response:	That's right.
context: But he died in the first Wave,\and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right. response:	My village was attacked by a mob of Melromarc's soldiers.
context: and the nobles that sided with him\were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers. response:	The more I hear about these people, the more they disgust me.
context: were all shuffled off to remote regions under Father's orders.\That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me. response:	I'm so sorry.
context: That guy's hatred of demi-humans is absurd.\What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry. response:	It's not like it was your fault, Melty-chan.
context: What's wrong, Raphtalia?\The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan. response:	As royalty, there must have been something we could have done.
context: The village I'm from is in Seyaette's jurisdiction.\I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done. response:	But we did nothing to help.
context: I heard Seyaette was attacked by rioters after the Wave.\That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help. response:	Raphtalia-san, tell me everything you remember about those soldiers.
context: That's right.\My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers. response:	Once this all dies down, I'll make sure they're brought to justice.
context: My village was attacked by a mob of Melromarc's soldiers.\The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice. response:	Okay.
context: The more I hear about these people, the more they disgust me.\I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay. response:	And? This nobleman you know lives here, right?
context: I'm so sorry.\It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right? response:	Yes.
context: It's not like it was your fault, Melty-chan.\As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right?\Yes. response:	The question is whether or not we can trust him.
context: As royalty, there must have been something we could have done.\But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him. response:	You are indeed right.
context: But we did nothing to help.\Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him.\You are indeed right. response:	It's been too long, Reichnott.
context: Raphtalia-san, tell me everything you remember about those soldiers.\Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott. response:	Pleased to meet you.
context: Once this all dies down, I'll make sure they're brought to justice.\Okay.\And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott.\Pleased to meet you. response:	I am Van Reichnott, the lord of this domain.
context: Okay.\And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain. response:	This feeble guy is the nobleman she mentioned?
context: And? This nobleman you know lives here, right?\Yes.\The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned? response:	But his stealthiness is off the charts. What's with him?
context: Yes.\The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him? response:	This is no place for a chat.
context: The question is whether or not we can trust him.\You are indeed right.\It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat. response:	Would you like to join me at my mansion?
context: You are indeed right.\It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion? response:	I see.
context: It's been too long, Reichnott.\Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion?\I see. response:	So you reached my domain after a long escape, is it?
context: Pleased to meet you.\I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it? response:	Yeah.
context: I am Van Reichnott, the lord of this domain.\This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it?\Yeah. response:	The knights informed me that you started the wildfires
context: This feeble guy is the nobleman she mentioned?\But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires response:	to cover your tracks, Shield Hero.
context: But his stealthiness is off the charts. What's with him?\This is no place for a chat.\Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero. response:	That's a complete lie.
context: This is no place for a chat.\Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie. response:	The first princess probably made it all up.
context: Would you like to join me at my mansion?\I see.\So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up. response:	Just as I thought.
context: I see.\So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up.\Just as I thought. response:	I was patrolling the area out of concern for Melty-sama, too.
context: So you reached my domain after a long escape, is it?\Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too. response:	You must be exhausted from your travels.
context: Yeah.\The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels. response:	Please rest up here for a while, if you wish.
context: The knights informed me that you started the wildfires\to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish. response:	May I eat, Master?
context: to cover your tracks, Shield Hero.\That's a complete lie.\The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master? response:	No, wait.
context: That's a complete lie.\The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master?\No, wait. response:	I don't trust this guy yet.
context: The first princess probably made it all up.\Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master?\No, wait.\I don't trust this guy yet. response:	Ah, this is delicious.
context: Just as I thought.\I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master?\No, wait.\I don't trust this guy yet.\Ah, this is delicious. response:	Rest assured, the food isn't poisoned.
context: I was patrolling the area out of concern for Melty-sama, too.\You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master?\No, wait.\I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned. response:	Time to eat!
context: You must be exhausted from your travels.\Please rest up here for a while, if you wish.\May I eat, Master?\No, wait.\I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat! response:	Filo!
context: Please rest up here for a while, if you wish.\May I eat, Master?\No, wait.\I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat!\Filo! response:	Where are your manners?
context: May I eat, Master?\No, wait.\I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat!\Filo!\Where are your manners? response:	Ugh...
context: No, wait.\I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat!\Filo!\Where are your manners?\Ugh... response:	Let us eat too, Naofumi-sama.
context: I don't trust this guy yet.\Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat!\Filo!\Where are your manners?\Ugh...\Let us eat too, Naofumi-sama. response:	Casting doubts on such gracious hospitality?
context: Ah, this is delicious.\Rest assured, the food isn't poisoned.\Time to eat!\Filo!\Where are your manners?\Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality? response:	How rude can you be?
context: Rest assured, the food isn't poisoned.\Time to eat!\Filo!\Where are your manners?\Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be? response:	We shouldn't stay here too long.
context: Time to eat!\Filo!\Where are your manners?\Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long. response:	We're leaving tomorrow morning.
context: Filo!\Where are your manners?\Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning. response:	That soon?
context: Where are your manners?\Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon? response:	The longer we stay, the higher the odds of us being sniffed out.
context: Ugh...\Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out. response:	Well, yes...
context: Let us eat too, Naofumi-sama.\Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes... response:	But I was hoping to rest some more.
context: Casting doubts on such gracious hospitality?\How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more. response:	You've changed a little, Princess Melty.
context: How rude can you be?\We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty. response:	You used to force yourself to act more mature,
context: We shouldn't stay here too long.\We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature, response:	but it seems traveling with the Shield Hero
context: We're leaving tomorrow morning.\That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero response:	has helped you grow in a good way.
context: That soon?\The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way. response:	I'm pretty sure you mean in a bad way.
context: The longer we stay, the higher the odds of us being sniffed out.\Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way. response:	Sh-Shut up!
context: Well, yes...\But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up! response:	Don't make a racket while we're eating.
context: But I was hoping to rest some more.\You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating. response:	Whose fault do you think it is?!
context: You've changed a little, Princess Melty.\You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?! response:	This bed feels amazing!
context: You used to force yourself to act more mature,\but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing! response:	So soft and bouncy!
context: but it seems traveling with the Shield Hero\has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy! response:	Why don't you sleep for a bit?
context: has helped you grow in a good way.\I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit? response:	We don't know when this place will get attacked.
context: I'm pretty sure you mean in a bad way.\Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked. response:	I make a point of not sleeping at times like these.
context: Sh-Shut up!\Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these. response:	Naofumi-sama, I'll keep watch,
context: Don't make a racket while we're eating.\Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch, response:	so you can go ahead and sleep.
context: Whose fault do you think it is?!\This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep. response:	All right.
context: This bed feels amazing!\So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right. response:	Why do you listen to what Raphtalia-san says, but not me?
context: So soft and bouncy!\Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me? response:	It's not like that.
context: Why don't you sleep for a bit?\We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that. response:	Mel-chan, I wanna explore this place.
context: We don't know when this place will get attacked.\I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place. response:	Sure. Let's go.
context: I make a point of not sleeping at times like these.\Naofumi-sama, I'll keep watch,\so you can go ahead and sleep.\All right.\Why do you listen to what Raphtalia-san says, but not me?\It's not like that.\Mel-chan, I wanna explore this place.\Sure. Let's go. response:	I wonder if they have any yummy snacks.
