context: Mr. MacPhail's chosen the Ser Veresta? response:	Why won't you obey me?!
context: Please take a look at this.\These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently...\They were attacked by somebody?\Like in Julis's case?\It's highly likely. response:	Do you have any proof?
context: These students were entered in the next Phoenix Festa,\but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently...\They were attacked by somebody?\Like in Julis's case?\It's highly likely.\Do you have any proof? response:	No, at the moment, none at all.
context: but they've been forced to withdraw from competition in the last few weeks due to injury.\The causes are many,\but apparently...\They were attacked by somebody?\Like in Julis's case?\It's highly likely.\Do you have any proof?\No, at the moment, none at all. response:	But the Disciplinary Committee and I have strong suspicions
context: The causes are many,\but apparently...\They were attacked by somebody?\Like in Julis's case?\It's highly likely.\Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions response:	against Lester MacPhail and Randy Hooke.
context: but apparently...\They were attacked by somebody?\Like in Julis's case?\It's highly likely.\Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke. response:	Being that neither of them have an alibi for the time of the attack yesterday.
context: They were attacked by somebody?\Like in Julis's case?\It's highly likely.\Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday. response:	But with no proof, that leaves your hands tied, doesn't it?
context: Like in Julis's case?\It's highly likely.\Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it? response:	True.
context: It's highly likely.\Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True. response:	But we do have one sure advantage.
context: Do you have any proof?\No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage. response:	The fact that we know who'll be targeted next.
context: No, at the moment, none at all.\But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage.\The fact that we know who'll be targeted next. response:	You mean Julis.
context: But the Disciplinary Committee and I have strong suspicions\against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis. response:	Yes.
context: against Lester MacPhail and Randy Hooke.\Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis.\Yes. response:	And that brings me to the favor I mentioned.
context: Being that neither of them have an alibi for the time of the attack yesterday.\But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis.\Yes.\And that brings me to the favor I mentioned. response:	For the time being, would you mind staying by Julis's side?
context: But with no proof, that leaves your hands tied, doesn't it?\True.\But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis.\Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side? response:	Because the next time she comes under attack,
context: True.\But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis.\Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack, response:	she might not necessarily be able to handle it herself.
context: But we do have one sure advantage.\The fact that we know who'll be targeted next.\You mean Julis.\Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself. response:	Is there a reason why it has to be me?
context: The fact that we know who'll be targeted next.\You mean Julis.\Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me? response:	As you know, that girl has a tendency to distance herself from others.
context: You mean Julis.\Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others. response:	Fortunately, however, she appears to be comfortable with you.
context: Yes.\And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you. response:	You think so?
context: And that brings me to the favor I mentioned.\For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so? response:	Well, she is going to show me around the city on our next day off.
context: For the time being, would you mind staying by Julis's side?\Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off. response:	You really are oblivious, aren't you?
context: Because the next time she comes under attack,\she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you? response:	Well, all right, then.
context: she might not necessarily be able to handle it herself.\Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then. response:	By the way, if you don't mind my asking, why are you so concerned about Julis?
context: Is there a reason why it has to be me?\As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis? response:	Well, really!
context: As you know, that girl has a tendency to distance herself from others.\Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really! response:	What student council president wouldn't try to protect a student at her own school?
context: Fortunately, however, she appears to be comfortable with you.\You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school? response:	Is that really all?
context: You think so?\Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all? response:	Like the other students, I have come here to do what it is I'm supposed to do.
context: Well, she is going to show me around the city on our next day off.\You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do. response:	And I'm only doing what I need to do towards that end.
context: You really are oblivious, aren't you?\Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end. response:	Oh, right, I can't ask for a favor without offering a reward.
context: Well, all right, then.\By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward. response:	No, that's okay!
context: By the way, if you don't mind my asking, why are you so concerned about Julis?\Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay! response:	C-Claudia?
context: Well, really!\What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia? response:	Since you're here, you might as well desire me, you know.
context: What student council president wouldn't try to protect a student at her own school?\Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know. response:	Please don't hold back.
context: Is that really all?\Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back. response:	Do help yourself...
context: Like the other students, I have come here to do what it is I'm supposed to do.\And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself... response:	Wait! Hold up a second!
context: And I'm only doing what I need to do towards that end.\Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself...\Wait! Hold up a second! response:	S-Sorry! So anyway...
context: Oh, right, I can't ask for a favor without offering a reward.\No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway... response:	W-We're all set, okay?
context: No, that's okay!\C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay? response:	My, what a shame.
context: C-Claudia?\Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame. response:	What you're supposed to do, huh?
context: Since you're here, you might as well desire me, you know.\Please don't hold back.\Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh? response:	Why are you standing there with your mouth wide open?
context: Please don't hold back.\Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open? response:	Is there something on my face?
context: Do help yourself...\Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face? response:	H-Hey, my bad!
context: Wait! Hold up a second!\S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad! response:	No, I mean... It's just that you look so different today.
context: S-Sorry! So anyway...\W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today. response:	D-Do I?
context: W-We're all set, okay?\My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I? response:	Yeah! But you really look good.
context: My, what a shame.\What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good. response:	You moron! Are you trying to embarrass me?!
context: What you're supposed to do, huh?\Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?! response:	A-Anyway, this is just a makeshift outfit I threw together
context: Why are you standing there with your mouth wide open?\Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together response:	from some clothes they sent me from my country!
context: Is there something on my face?\H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country! response:	Never mind that! Let's go!
context: H-Hey, my bad!\No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go! response:	This is the main stage, the largest in Asterisk.
context: No, I mean... It's just that you look so different today.\D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk. response:	All Festa finals are held here.
context: D-Do I?\Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here. response:	Aside from this one, there are three large-scale stages, seven mid-sized stages,
context: Yeah! But you really look good.\You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages, response:	and as far as smaller outdoor stages go, there are too many too count.
context: You moron! Are you trying to embarrass me?!\A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count. response:	I didn't know there were that many.
context: A-Anyway, this is just a makeshift outfit I threw together\from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many. response:	Well, since it's considered etiquette to use the stages for duels in the city...
context: from some clothes they sent me from my country!\Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city... response:	Not that many people adhere to those rules, but...
context: Never mind that! Let's go!\This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but... response:	You mean there are duels right in the city?
context: This is the main stage, the largest in Asterisk.\All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city? response:	That's right.
context: All Festa finals are held here.\Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right. response:	I wouldn't want to live in a town like that.
context: Aside from this one, there are three large-scale stages, seven mid-sized stages,\and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that. response:	Same here.
context: and as far as smaller outdoor stages go, there are too many too count.\I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that.\Same here. response:	So do you want to grab some lunch around here?
context: I didn't know there were that many.\Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here? response:	Huh?
context: Well, since it's considered etiquette to use the stages for duels in the city...\Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here?\Huh? response:	Ayato, can we have lunch here?
context: Not that many people adhere to those rules, but...\You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here? response:	This place?
context: You mean there are duels right in the city?\That's right.\I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here?\This place? response:	Well, it's fine with me.
context: That's right.\I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here?\This place?\Well, it's fine with me. response:	But are you sure you want to eat here?
context: I wouldn't want to live in a town like that.\Same here.\So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here?\This place?\Well, it's fine with me.\But are you sure you want to eat here? response:	Yes, definitely here!
context: Same here.\So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here?\This place?\Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here! response:	Are you really a princess, Julis?
context: So do you want to grab some lunch around here?\Huh?\Ayato, can we have lunch here?\This place?\Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis? response:	What's that supposed to mean?
context: Huh?\Ayato, can we have lunch here?\This place?\Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean? response:	Well, princesses don't normally go to burger joints, do they?
context: Ayato, can we have lunch here?\This place?\Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they? response:	That's what's called a bias.
context: This place?\Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias. response:	There's an actual example right in front of you.
context: Well, it's fine with me.\But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you. response:	So accept it!
context: But are you sure you want to eat here?\Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you.\So accept it! response:	I heard about this place from my friends.
context: Yes, definitely here!\Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you.\So accept it!\I heard about this place from my friends. response:	Friends?
context: Are you really a princess, Julis?\What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you.\So accept it!\I heard about this place from my friends.\Friends? response:	Even I have friends, okay?
context: What's that supposed to mean?\Well, princesses don't normally go to burger joints, do they?\That's what's called a bias.\There's an actual example right in front of you.\So accept it!\I heard about this place from my friends.\Friends?\Even I have friends, okay? response:	Uh, right.
