context: W- what!? What was that!? response:	I've found you!
context: Damn, it's going to take quite a bit of time for us to get there at this speed.\But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so. response:	Well, I had this much latent power, so with you having Saiyan blood,
context: But if we use any more Ki than this,\that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood, response:	I think we're okay to expect quite a lot.
context: that Vegeta bastard will find us, no doubt about it.\It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot. response:	Probably, anyway.
context: It looked like he had gotten even stronger.\Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway. response:	It's not like I have to go in and get it, right?
context: Right now, even with the two of us\going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right? response:	Even in the water like that, it's still right nearby,
context: going at him together, there's no way we could beat him.\But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby, response:	the same as if it were on shore.
context: But then, do I really have enough power to rival Vegeta?\I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore. response:	Once Kuririn gets back, I can just have him go get it.
context: I wouldn't think so.\Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it. response:	Sure.
context: Well, I had this much latent power, so with you having Saiyan blood,\I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure. response:	D- don't tell me it's Vegeta!
context: I think we're okay to expect quite a lot.\Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta! response:	What do I do? lf Si Xing Qiu falls into Vegeta's hands,
context: Probably, anyway.\It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands, response:	he'll have all seven Dragon Balls, and be granted eternal life.
context: It's not like I have to go in and get it, right?\Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life. response:	lf that happens, then no matter how much training Son-kun has done,
context: Even in the water like that, it's still right nearby,\the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done, response:	he'll have no chance of winning.
context: the same as if it were on shore.\Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning. response:	And that's not all.
context: Once Kuririn gets back, I can just have him go get it.\Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all. response:	Yamucha and the others won't be able to come back to life, either.
context: Sure.\D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either. response:	And l'll never be able to return to Earth.
context: D- don't tell me it's Vegeta!\What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth. response:	All right...
context: What do I do? lf Si Xing Qiu falls into Vegeta's hands,\he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right... response:	Let's see, as I recall, it was this one.
context: he'll have all seven Dragon Balls, and be granted eternal life.\lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one. response:	Taking the fight to Vegeta, or whoever it is, is better than waiting around,
context: lf that happens, then no matter how much training Son-kun has done,\he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around, response:	rotting away on this planet.
context: he'll have no chance of winning.\And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet. response:	Let's see...
context: And that's not all.\Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see... response:	This is for missiles, and this is for the laser cannon.
context: Yamucha and the others won't be able to come back to life, either.\And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon. response:	Okay...
context: And l'll never be able to return to Earth.\All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon.\Okay... response:	There it is!
context: All right...\Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon.\Okay...\There it is! response:	I get it. You're the culprit, huh?
context: Let's see, as I recall, it was this one.\Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon.\Okay...\There it is!\I get it. You're the culprit, huh? response:	Well then, I'm not going to hold back.
context: Taking the fight to Vegeta, or whoever it is, is better than waiting around,\rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon.\Okay...\There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back. response:	I did it!
context: rotting away on this planet.\Let's see...\This is for missiles, and this is for the laser cannon.\Okay...\There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it! response:	Yahoo!
context: Let's see...\This is for missiles, and this is for the laser cannon.\Okay...\There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it!\Yahoo! response:	Ka... me... ha... me...
context: This is for missiles, and this is for the laser cannon.\Okay...\There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it!\Yahoo!\Ka... me... ha... me... response:	Ha!!
context: Okay...\There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it!\Yahoo!\Ka... me... ha... me...\Ha!! response:	S- senzu... senzu...
context: There it is!\I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it!\Yahoo!\Ka... me... ha... me...\Ha!!\S- senzu... senzu... response:	Whew! I have to be more careful. I got a glimpse of the Next World there.
context: I get it. You're the culprit, huh?\Well then, I'm not going to hold back.\I did it!\Yahoo!\Ka... me... ha... me...\Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there. response:	If I'm dead, I won't be able to train worth crap.
context: Well then, I'm not going to hold back.\I did it!\Yahoo!\Ka... me... ha... me...\Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap. response:	I'll be there in just over two days.
context: I did it!\Yahoo!\Ka... me... ha... me...\Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days. response:	Well, I guess I should keep at it a little longer.
context: Yahoo!\Ka... me... ha... me...\Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer. response:	That's a good boy. Just stay still.
context: Ka... me... ha... me...\Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still. response:	That's a big pearl!
context: Ha!!\S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl! response:	Something like that would be...
context: S- senzu... senzu...\Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl!\Something like that would be... response:	Be a good boy there for just a little while, okay?
context: Whew! I have to be more careful. I got a glimpse of the Next World there.\If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay? response:	All right...
context: If I'm dead, I won't be able to train worth crap.\I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay?\All right... response:	Huh?
context: I'll be there in just over two days.\Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay?\All right...\Huh? response:	Hang on a minute!
context: Well, I guess I should keep at it a little longer.\That's a good boy. Just stay still.\That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay?\All right...\Huh?\Hang on a minute! response:	There it is!
context: That's a good boy. Just stay still.\That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay?\All right...\Huh?\Hang on a minute!\There it is! response:	H- hold on, here... What is this?
context: That's a big pearl!\Something like that would be...\Be a good boy there for just a little while, okay?\All right...\Huh?\Hang on a minute!\There it is!\H- hold on, here... What is this? response:	It's almost as though they were imitation Dragon Balls, huh?
context: Something like that would be...\Be a good boy there for just a little while, okay?\All right...\Huh?\Hang on a minute!\There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh? response:	What in the world could this be?
context: Be a good boy there for just a little while, okay?\All right...\Huh?\Hang on a minute!\There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be? response:	In any event, the first order of business is to get the Si Xing Qiu Ball back.
context: All right...\Huh?\Hang on a minute!\There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back. response:	My Capsule! My escape Capsule! It's gone... it's gone!
context: Huh?\Hang on a minute!\There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone! response:	You're kidding me!
context: Hang on a minute!\There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me! response:	It was there just a moment ago!
context: There it is!\H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago! response:	Where is it!? Where did it go!?
context: H- hold on, here... What is this?\It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!? response:	There it is!
context: It's almost as though they were imitation Dragon Balls, huh?\What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!?\There it is! response:	It will take more than that to defeat Bulma- san!
context: What in the world could this be?\In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san! response:	Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!
context: In any event, the first order of business is to get the Si Xing Qiu Ball back.\My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours! response:	They were eggs!
context: My Capsule! My escape Capsule! It's gone... it's gone!\You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs! response:	Watch out!
context: You're kidding me!\It was there just a moment ago!\Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out! response:	What are you doing!? Run!
context: It was there just a moment ago!\Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out!\What are you doing!? Run! response:	I'm not doing this for you!
context: Where is it!? Where did it go!?\There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out!\What are you doing!? Run!\I'm not doing this for you! response:	I'm doing it for the Dragon Ball!
context: There it is!\It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out!\What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball! response:	I've had it with living like this.
context: It will take more than that to defeat Bulma- san!\Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out!\What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this. response:	Where are the other Dragon Balls?
context: Geez, like I've been telling you, that's my Si Xing Qiu there, not yours!\They were eggs!\Watch out!\What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls? response:	Where is Vegeta?
context: They were eggs!\Watch out!\What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls?\Where is Vegeta? response:	No matter. Once you go before Freeza- sama, you'll talk, whether you want to or not.
context: Watch out!\What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls?\Where is Vegeta?\No matter. Once you go before Freeza- sama, you'll talk, whether you want to or not. response:	Freeza?
context: What are you doing!? Run!\I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls?\Where is Vegeta?\No matter. Once you go before Freeza- sama, you'll talk, whether you want to or not.\Freeza? response:	Come on!
context: I'm not doing this for you!\I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls?\Where is Vegeta?\No matter. Once you go before Freeza- sama, you'll talk, whether you want to or not.\Freeza?\Come on! response:	Bulma goes from one crisis to another.
context: I'm doing it for the Dragon Ball!\I've had it with living like this.\Where are the other Dragon Balls?\Where is Vegeta?\No matter. Once you go before Freeza- sama, you'll talk, whether you want to or not.\Freeza?\Come on!\Bulma goes from one crisis to another. response:	And has one of the Dragon Balls once again passed into Freeza's hands?
