context: We will now begin the second phase of the footman audition. response:	There is only one assignment in this second phase.
context: I don't get why, but you look confident.\Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want? response:	Let's go with the tarts, then.
context: Put scones at the bottom rack of the cake stand.\Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then. response:	The choice of tea will be the light Earl Grey.
context: Go find red jam and clotted cream for me.\Clotted?\Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey. response:	Why that out of all the possible choices?
context: Clotted?\Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices? response:	It's a standard choice for afternoon tea.
context: Put packed sandwiches in the middle rack.\Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea. response:	30 seconds remaining.
context: Packed?\And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining. response:	As a final touch,
context: And on the top rack, pick out small cakes from what you brought.\Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch, response:	Arrange some small flowers.
context: Which ones do you want?\Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch,\Arrange some small flowers. response:	It's all finished now.
context: Let's go with the tarts, then.\The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch,\Arrange some small flowers.\It's all finished now. response:	It perfectly replicates British style afternoon tea time.
context: The choice of tea will be the light Earl Grey.\Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch,\Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time. response:	The knives are well polished, too.
context: Why that out of all the possible choices?\It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch,\Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too. response:	The ladies will like the special touches.
context: It's a standard choice for afternoon tea.\30 seconds remaining.\As a final touch,\Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches. response:	It's a wonderful table.
context: 30 seconds remaining.\As a final touch,\Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table. response:	Wow. Just how perfect are you?
context: As a final touch,\Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you? response:	What do you take me for?
context: Arrange some small flowers.\It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for? response:	A mysterious perverted alien from planet Pheromone.
context: It's all finished now.\It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone. response:	Fine, I can live with that.
context: It perfectly replicates British style afternoon tea time.\The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that. response:	No, I mean, how do you-
context: The knives are well polished, too.\The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you- response:	We'll now have a short break.
context: The ladies will like the special touches.\It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break. response:	Enjoy your moment of afternoon tea at your table.
context: It's a wonderful table.\Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table. response:	Kanou-kun, we get to eat cake.
context: Wow. Just how perfect are you?\What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake. response:	It's because you were so picky about the appearance!
context: What do you take me for?\A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance! response:	I wanted to splurge more!
context: A mysterious perverted alien from planet Pheromone.\Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more! response:	The appearance matters, so it was an obvious choice!
context: Fine, I can live with that.\No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice! response:	Hey, Usui. Why did you take part in this audition?
context: No, I mean, how do you-\We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition? response:	The famous net idol asked me to, so I had no choice.
context: We'll now have a short break.\Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice. response:	You don't want to answer me seriously?
context: Enjoy your moment of afternoon tea at your table.\Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously? response:	Because the masked suit looked interesting.
context: Kanou-kun, we get to eat cake.\It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting. response:	That actually doesn't sound like a lie.
context: It's because you were so picky about the appearance!\I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie. response:	You'll pay for making her sigh!
context: I wanted to splurge more!\The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh! response:	We won't forgive you for making Misa-
context: The appearance matters, so it was an obvious choice!\Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa- response:	I'll go toss these two in the bushes.
context: Hey, Usui. Why did you take part in this audition?\The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes. response:	An impressive performance, considering his major handicap.
context: The famous net idol asked me to, so I had no choice.\You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap. response:	Pretty good, Usui.
context: You don't want to answer me seriously?\Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui. response:	There he is!
context: Because the masked suit looked interesting.\That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is! response:	I knew it was Usui-san!
context: That actually doesn't sound like a lie.\You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is!\I knew it was Usui-san! response:	What a surprise to see you at a place like this.
context: You'll pay for making her sigh!\We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this. response:	You are who?
context: We won't forgive you for making Misa-\I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who? response:	You're Usui-san, right?
context: I'll go toss these two in the bushes.\An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who?\You're Usui-san, right? response:	Me name is Usui je Nye.
context: An impressive performance, considering his major handicap.\Pretty good, Usui.\There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who?\You're Usui-san, right?\Me name is Usui je Nye. response:	Study abroad student from England.
context: Pretty good, Usui.\There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who?\You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England. response:	Kanou-kun, he's not Usui-san!
context: There he is!\I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who?\You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san! response:	He's a totally different person!
context: I knew it was Usui-san!\What a surprise to see you at a place like this.\You are who?\You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person! response:	We've got to tell Usui-san about him.
context: What a surprise to see you at a place like this.\You are who?\You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him. response:	Yes...
context: You are who?\You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him.\Yes... response:	It's a surprise, isn't it, Kanou-kun?
context: You're Usui-san, right?\Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun? response:	I'm totally shocked.
context: Me name is Usui je Nye.\Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked. response:	Let's head back now.
context: Study abroad student from England.\Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now. response:	We had more cake at the table, right?
context: Kanou-kun, he's not Usui-san!\He's a totally different person!\We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now.\We had more cake at the table, right? response:	You're right. It's a waste to let them sit there.
context: He's a totally different person!\We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there. response:	Good grief, those guys.
context: We've got to tell Usui-san about him.\Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys. response:	Shiroyan! Kurotatsu!
context: Yes...\It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu! response:	You took your time.
context: It's a surprise, isn't it, Kanou-kun?\I'm totally shocked.\Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time. response:	Yeah. I went to the bathroom. And because he was there, I went right into the men's room.
context: I'm totally shocked.\Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room. response:	You look mad.
context: Let's head back now.\We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad. response:	Are you angry that I said it's like a board?
context: We had more cake at the table, right?\You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board? response:	Should I have said, what magnificent pecs?
context: You're right. It's a waste to let them sit there.\Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs? response:	No one's talking about that!
context: Good grief, those guys.\Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that! response:	Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?
context: Shiroyan! Kurotatsu!\You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself? response:	What kind of nonsense is that, you freak?!
context: You took your time.\Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?! response:	What? Let go!
context: Yeah. I went to the bathroom. And because he was there, I went right into the men's room.\You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go! response:	You're the mad one!
context: You look mad.\Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one! response:	Maybe. Do you know why?
context: Are you angry that I said it's like a board?\Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one!\Maybe. Do you know why? response:	I think...
context: Should I have said, what magnificent pecs?\No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one!\Maybe. Do you know why?\I think... response:	Okay.
context: No one's talking about that!\Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one!\Maybe. Do you know why?\I think...\Okay. response:	Then let's make up.
context: Then maybe you were nervous to be in the men's room and couldn't properly take care of yourself?\What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one!\Maybe. Do you know why?\I think...\Okay.\Then let's make up. response:	If you overwork yourself, I'll be punishing you, Misaki.
context: What kind of nonsense is that, you freak?!\What? Let go!\You're the mad one!\Maybe. Do you know why?\I think...\Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki. response:	We're not on some kind of show!
context: What? Let go!\You're the mad one!\Maybe. Do you know why?\I think...\Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show! response:	You made your point, too, Usui, so get off.
context: You're the mad one!\Maybe. Do you know why?\I think...\Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off. response:	I'm glad you understood me, Misaki-kun.
context: Maybe. Do you know why?\I think...\Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun. response:	Shut up! And I said you made your point, so get off of me!
context: I think...\Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me! response:	Stop smirking, you perv!
context: Okay.\Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv! response:	Oh, good. They're still arguing, but looks like it didn't turn into a fight.
context: Then let's make up.\If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight. response:	You're right.
context: If you overwork yourself, I'll be punishing you, Misaki.\We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right. response:	We'll now begin phase three of the footman audition.
context: We're not on some kind of show!\You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition. response:	Usui... you know...
context: You made your point, too, Usui, so get off.\I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition.\Usui... you know... response:	I'll do my best not to overdo it,
context: I'm glad you understood me, Misaki-kun.\Shut up! And I said you made your point, so get off of me!\Stop smirking, you perv!\Oh, good. They're still arguing, but looks like it didn't turn into a fight.\You're right.\We'll now begin phase three of the footman audition.\Usui... you know...\I'll do my best not to overdo it, response:	but I will still do my best until the end.
