context: An employee directory dating back to ten years. response:	It should be sufficient if we're able to trace the records to that extent.
context: This is bad. Am I going to be sent to the pound?\While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume. response:	Yuzuki...
context: While Toshiko was still married to Yuzuki, she came to my place one day.\His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki... response:	My husband didn't tell that woman to wear perfume,
context: His former wife?\Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume, response:	which meant that he didn't dislike her body odor.
context: Yes. She told me to break off the relationship with Yuzuki.\She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor. response:	I became mortified for some reason.
context: She spoke in an elegant manner, without the slightest change in her voice,\but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason. response:	Wouldn't you feel the same way?
context: but her eyes were terrifying.\That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way? response:	A person's body odor is an intrinsic trait.
context: That must have been a frightening moment.\It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait. response:	It was as if he told me I looked better with heavy makeup instead of none at all.
context: It was then when I noticed she wasn't wearing any perfume.\Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all. response:	There was more to her relationship with Toshiko than I had thought.
context: Yuzuki...\My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought. response:	By simple deduction, she was the one responsible for Toshiko's...
context: My husband didn't tell that woman to wear perfume,\which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's... response:	No, it can't be.
context: which meant that he didn't dislike her body odor.\I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be. response:	C-Cat?
context: I became mortified for some reason.\Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat? response:	H-H-Hey!
context: Wouldn't you feel the same way?\A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat?\H-H-Hey! response:	Are you telling me to take this thing?
context: A person's body odor is an intrinsic trait.\It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat?\H-H-Hey!\Are you telling me to take this thing? response:	That reminds me. That glutton was hanging around Toshiko's house, too.
context: It was as if he told me I looked better with heavy makeup instead of none at all.\There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat?\H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too. response:	Don't tell me he was the one who did that to Toshiko.
context: There was more to her relationship with Toshiko than I had thought.\By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat?\H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko. response:	No, no, no.
context: By simple deduction, she was the one responsible for Toshiko's...\No, it can't be.\C-Cat?\H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no. response:	Damn. Everyone's suspicious.
context: No, it can't be.\C-Cat?\H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious. response:	Hey, don't interrupt me while I'm thinking!
context: C-Cat?\H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking! response:	What the hell am I supposed to do with this cat?
context: H-H-Hey!\Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat? response:	I might as well throw him into the river.
context: Are you telling me to take this thing?\That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river. response:	Hey! Animal cruelty of that magnitude isn't tolerated these days!
context: That reminds me. That glutton was hanging around Toshiko's house, too.\Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days! response:	Who's there?
context: Don't tell me he was the one who did that to Toshiko.\No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there? response:	I'm not going to hurt you.
context: No, no, no.\Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you. response:	Return that jacket without saying a word.
context: Damn. Everyone's suspicious.\Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you.\Return that jacket without saying a word. response:	You're the one I met at the open air cafe.
context: Hey, don't interrupt me while I'm thinking!\What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe. response:	He's the one.
context: What the hell am I supposed to do with this cat?\I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one. response:	Are you after me?
context: I might as well throw him into the river.\Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one.\Are you after me? response:	Why?
context: Hey! Animal cruelty of that magnitude isn't tolerated these days!\Who's there?\I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one.\Are you after me?\Why? response:	Hand over the jacket.
context: Who's there?\I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one.\Are you after me?\Why?\Hand over the jacket. response:	I get it. Are you involved in this case?
context: I'm not going to hurt you.\Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one.\Are you after me?\Why?\Hand over the jacket.\I get it. Are you involved in this case? response:	You are, aren't you?
context: Return that jacket without saying a word.\You're the one I met at the open air cafe.\He's the one.\Are you after me?\Why?\Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you? response:	Case?
context: You're the one I met at the open air cafe.\He's the one.\Are you after me?\Why?\Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you?\Case? response:	It looks like you do know something.
context: He's the one.\Are you after me?\Why?\Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you?\Case?\It looks like you do know something. response:	What do you know?
context: Are you after me?\Why?\Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you?\Case?\It looks like you do know something.\What do you know? response:	Are you a contractor as well?
context: Why?\Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you?\Case?\It looks like you do know something.\What do you know?\Are you a contractor as well? response:	Contract?
context: Hand over the jacket.\I get it. Are you involved in this case?\You are, aren't you?\Case?\It looks like you do know something.\What do you know?\Are you a contractor as well?\Contract? response:	A contract to kill the former wife?
context: I get it. Are you involved in this case?\You are, aren't you?\Case?\It looks like you do know something.\What do you know?\Are you a contractor as well?\Contract?\A contract to kill the former wife? response:	Former wife?
context: You are, aren't you?\Case?\It looks like you do know something.\What do you know?\Are you a contractor as well?\Contract?\A contract to kill the former wife?\Former wife? response:	What are you talking about?
context: Case?\It looks like you do know something.\What do you know?\Are you a contractor as well?\Contract?\A contract to kill the former wife?\Former wife?\What are you talking about? response:	Whatever.
context: It looks like you do know something.\What do you know?\Are you a contractor as well?\Contract?\A contract to kill the former wife?\Former wife?\What are you talking about?\Whatever. response:	If you have no intention of returning it...
context: What do you know?\Are you a contractor as well?\Contract?\A contract to kill the former wife?\Former wife?\What are you talking about?\Whatever.\If you have no intention of returning it... response:	This is the worst host ever.
context: Are you a contractor as well?\Contract?\A contract to kill the former wife?\Former wife?\What are you talking about?\Whatever.\If you have no intention of returning it...\This is the worst host ever. response:	He has athlete's foot.
context: Contract?\A contract to kill the former wife?\Former wife?\What are you talking about?\Whatever.\If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot. response:	He possessed that guy.
context: A contract to kill the former wife?\Former wife?\What are you talking about?\Whatever.\If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot.\He possessed that guy. response:	You should have returned the jacket without saying anything.
context: Former wife?\What are you talking about?\Whatever.\If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything. response:	Hold it!
context: What are you talking about?\Whatever.\If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything.\Hold it! response:	It's inside this jacket, isn't it?
context: Whatever.\If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it? response:	Au revoir!
context: If you have no intention of returning it...\This is the worst host ever.\He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it?\Au revoir! response:	Getting used to an unfamiliar host is so annoying...
context: This is the worst host ever.\He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying... response:	This crow...
context: He has athlete's foot.\He possessed that guy.\You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow... response:	I see.
context: He possessed that guy.\You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow...\I see. response:	You're the cat from before.
context: You should have returned the jacket without saying anything.\Hold it!\It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow...\I see.\You're the cat from before. response:	So you're a possession-type contractor, too?
context: Hold it!\It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow...\I see.\You're the cat from before.\So you're a possession-type contractor, too? response:	What if I am?
context: It's inside this jacket, isn't it?\Au revoir!\Getting used to an unfamiliar host is so annoying...\This crow...\I see.\You're the cat from before.\So you're a possession-type contractor, too?\What if I am? response:	You've lost it as well.
