context: Target silent. Mission complete. response:	Damage report.
context: All units, return.\Um\The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain? response:	Hilda's right.
context: Um\The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right. response:	We'll send out a recovery team later.
context: The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later. response:	All units return.
context: Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later.\All units return. response:	We're going back.
context: We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later.\All units return.\We're going back. response:	Ange, Lost
context: You're kidding.\We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later.\All units return.\We're going back.\Ange, Lost response:	Sorry.
context: We're exhausted from the fight. We have no fuel.\And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later.\All units return.\We're going back.\Ange, Lost\Sorry. response:	I tied you up just in case.
context: And you're telling us to find the Burn Princess and that cruddy machine, Captain?\Hilda's right.\We'll send out a recovery team later.\All units return.\We're going back.\Ange, Lost\Sorry.\I tied you up just in case. response:	Why are you
context: Hilda's right.\We'll send out a recovery team later.\All units return.\We're going back.\Ange, Lost\Sorry.\I tied you up just in case.\Why are you response:	Sorry, I
context: We'll send out a recovery team later.\All units return.\We're going back.\Ange, Lost\Sorry.\I tied you up just in case.\Why are you\Sorry, I response:	No!
context: All units return.\We're going back.\Ange, Lost\Sorry.\I tied you up just in case.\Why are you\Sorry, I\No! response:	What is this place?
context: We're going back.\Ange, Lost\Sorry.\I tied you up just in case.\Why are you\Sorry, I\No!\What is this place? response:	Why am I
context: Ange, Lost\Sorry.\I tied you up just in case.\Why are you\Sorry, I\No!\What is this place?\Why am I response:	Want some help?
context: Sorry.\I tied you up just in case.\Why are you\Sorry, I\No!\What is this place?\Why am I\Want some help? response:	Piss off, cockroach!
context: I tied you up just in case.\Why are you\Sorry, I\No!\What is this place?\Why am I\Want some help?\Piss off, cockroach! response:	Why won't it move?
context: Why are you\Sorry, I\No!\What is this place?\Why am I\Want some help?\Piss off, cockroach!\Why won't it move? response:	Damn,
context: Sorry, I\No!\What is this place?\Why am I\Want some help?\Piss off, cockroach!\Why won't it move?\Damn, response:	damn, damn!
context: No!\What is this place?\Why am I\Want some help?\Piss off, cockroach!\Why won't it move?\Damn,\damn, damn! response:	How could you?
context: What is this place?\Why am I\Want some help?\Piss off, cockroach!\Why won't it move?\Damn,\damn, damn!\How could you? response:	I saved your life
context: Why am I\Want some help?\Piss off, cockroach!\Why won't it move?\Damn,\damn, damn!\How could you?\I saved your life response:	Come any closer, and I'll shoot.
context: Want some help?\Piss off, cockroach!\Why won't it move?\Damn,\damn, damn!\How could you?\I saved your life\Come any closer, and I'll shoot. response:	Calm down! I don't intend to hurt you.
context: Piss off, cockroach!\Why won't it move?\Damn,\damn, damn!\How could you?\I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you. response:	Besides, you're shooting at me.
context: Why won't it move?\Damn,\damn, damn!\How could you?\I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me. response:	You bound me, stripped me, and groped me.
context: Damn,\damn, damn!\How could you?\I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me. response:	L-Like I said, I
context: damn, damn!\How could you?\I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I response:	You would have done more
context: How could you?\I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more response:	filthy and perverted things to me, too, wouldn't you?
context: I saved your life\Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you? response:	More filthy and perverted things?
context: Come any closer, and I'll shoot.\Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things? response:	You think I'd feel up an unconscious girl's shapely breasts,
context: Calm down! I don't intend to hurt you.\Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts, response:	or taste every inch of her vulnerable body,
context: Besides, you're shooting at me.\You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body, response:	or use her to admire the mysterious female figure?
context: You bound me, stripped me, and groped me.\L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure? response:	Do I look like I would do that sort of thing?
context: L-Like I said, I\You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing? response:	You would do that sort of thing?
context: You would have done more\filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing? response:	You dirty pervert!
context: filthy and perverted things to me, too, wouldn't you?\More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert! response:	You misunderstand!
context: More filthy and perverted things?\You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert!\You misunderstand! response:	I really meant to help
context: You think I'd feel up an unconscious girl's shapely breasts,\or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert!\You misunderstand!\I really meant to help response:	Pervert! Animal in heat!
context: or taste every inch of her vulnerable body,\or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert!\You misunderstand!\I really meant to help\Pervert! Animal in heat! response:	Hey, hello? That was an accident.
context: or use her to admire the mysterious female figure?\Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert!\You misunderstand!\I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident. response:	I hear the Villkiss is down.
context: Do I look like I would do that sort of thing?\You would do that sort of thing?\You dirty pervert!\You misunderstand!\I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down. response:	And we just found someone who could handle it.
context: You would do that sort of thing?\You dirty pervert!\You misunderstand!\I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it. response:	The machine was in good shape. Why?
context: You dirty pervert!\You misunderstand!\I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why? response:	We can think about it later.
context: You misunderstand!\I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later. response:	Right now we need to focus on recovering it.
context: I really meant to help\Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it. response:	I know.
context: Pervert! Animal in heat!\Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it.\I know. response:	I'll form a recovery group right away.
context: Hey, hello? That was an accident.\I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away. response:	And Ange.
context: I hear the Villkiss is down.\And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away.\And Ange. response:	Retrieve her, too.
context: And we just found someone who could handle it.\The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away.\And Ange.\Retrieve her, too. response:	Dead...
context: The machine was in good shape. Why?\We can think about it later.\Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away.\And Ange.\Retrieve her, too.\Dead... response:	Mei-chan.
context: We can think about it later.\Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away.\And Ange.\Retrieve her, too.\Dead...\Mei-chan. response:	You're going on recovery, right?
context: Right now we need to focus on recovering it.\I know.\I'll form a recovery group right away.\And Ange.\Retrieve her, too.\Dead...\Mei-chan.\You're going on recovery, right? response:	We'll help, too.
context: I know.\I'll form a recovery group right away.\And Ange.\Retrieve her, too.\Dead...\Mei-chan.\You're going on recovery, right?\We'll help, too. response:	But you both just got back.
context: I'll form a recovery group right away.\And Ange.\Retrieve her, too.\Dead...\Mei-chan.\You're going on recovery, right?\We'll help, too.\But you both just got back. response:	She'll die if we don't hurry.
context: And Ange.\Retrieve her, too.\Dead...\Mei-chan.\You're going on recovery, right?\We'll help, too.\But you both just got back.\She'll die if we don't hurry. response:	Ange is still alive.
context: Retrieve her, too.\Dead...\Mei-chan.\You're going on recovery, right?\We'll help, too.\But you both just got back.\She'll die if we don't hurry.\Ange is still alive. response:	I know it.
context: Dead...\Mei-chan.\You're going on recovery, right?\We'll help, too.\But you both just got back.\She'll die if we don't hurry.\Ange is still alive.\I know it. response:	We have to find her quick.
context: Mei-chan.\You're going on recovery, right?\We'll help, too.\But you both just got back.\She'll die if we don't hurry.\Ange is still alive.\I know it.\We have to find her quick. response:	I bet she's hungry.
context: You're going on recovery, right?\We'll help, too.\But you both just got back.\She'll die if we don't hurry.\Ange is still alive.\I know it.\We have to find her quick.\I bet she's hungry. response:	Come on, let's go.
context: We'll help, too.\But you both just got back.\She'll die if we don't hurry.\Ange is still alive.\I know it.\We have to find her quick.\I bet she's hungry.\Come on, let's go. response:	Why don't they even pack emergency rations?
context: But you both just got back.\She'll die if we don't hurry.\Ange is still alive.\I know it.\We have to find her quick.\I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations? response:	A Norma's casket, huh?
context: She'll die if we don't hurry.\Ange is still alive.\I know it.\We have to find her quick.\I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh? response:	No.
context: Ange is still alive.\I know it.\We have to find her quick.\I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh?\No. response:	Ow!
context: I know it.\We have to find her quick.\I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh?\No.\Ow! response:	Someone...
context: We have to find her quick.\I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh?\No.\Ow!\Someone... response:	No...
context: I bet she's hungry.\Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh?\No.\Ow!\Someone...\No... response:	No one will come.
context: Come on, let's go.\Why don't they even pack emergency rations?\A Norma's casket, huh?\No.\Ow!\Someone...\No...\No one will come. response:	Hey, are you all right?
context: Why don't they even pack emergency rations?\A Norma's casket, huh?\No.\Ow!\Someone...\No...\No one will come.\Hey, are you all right? response:	Help me.
context: A Norma's casket, huh?\No.\Ow!\Someone...\No...\No one will come.\Hey, are you all right?\Help me. response:	Dad!
context: No.\Ow!\Someone...\No...\No one will come.\Hey, are you all right?\Help me.\Dad! response:	Mom!
context: Ow!\Someone...\No...\No one will come.\Hey, are you all right?\Help me.\Dad!\Mom! response:	The Villkiss...
context: Someone...\No...\No one will come.\Hey, are you all right?\Help me.\Dad!\Mom!\The Villkiss... response:	You shouldn't force yourself.
context: No...\No one will come.\Hey, are you all right?\Help me.\Dad!\Mom!\The Villkiss...\You shouldn't force yourself. response:	I sucked out the venom, but you're still numb.
context: No one will come.\Hey, are you all right?\Help me.\Dad!\Mom!\The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb. response:	Just so you know,
context: Hey, are you all right?\Help me.\Dad!\Mom!\The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know, response:	I've never done anything perverted to a girl that can't move.
context: Help me.\Dad!\Mom!\The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move. response:	You might not have made it if I hadn't gotten to you in time.
context: Dad!\Mom!\The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time. response:	You should learn from this,
context: Mom!\The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this, response:	and never go into the rain forest half-naked.
context: The Villkiss...\You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked. response:	I don't need your help.
context: You shouldn't force yourself.\I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked.\I don't need your help. response:	Here.
context: I sucked out the venom, but you're still numb.\Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked.\I don't need your help.\Here. response:	What?
context: Just so you know,\I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked.\I don't need your help.\Here.\What? response:	Eat.
context: I've never done anything perverted to a girl that can't move.\You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked.\I don't need your help.\Here.\What?\Eat. response:	You haven't eaten at all, have you?
context: You might not have made it if I hadn't gotten to you in time.\You should learn from this,\and never go into the rain forest half-naked.\I don't need your help.\Here.\What?\Eat.\You haven't eaten at all, have you? response:	I don't want it. I don't even know what it is.
context: You should learn from this,\and never go into the rain forest half-naked.\I don't need your help.\Here.\What?\Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is. response:	There's nothing weird in it.
context: and never go into the rain forest half-naked.\I don't need your help.\Here.\What?\Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it. response:	Here.
context: I don't need your help.\Here.\What?\Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it.\Here. response:	It tastes bad.
context: Here.\What?\Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it.\Here.\It tastes bad. response:	I'm glad you like it.
context: What?\Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it.\Here.\It tastes bad.\I'm glad you like it. response:	It's sea snake soup.
context: Eat.\You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it.\Here.\It tastes bad.\I'm glad you like it.\It's sea snake soup. response:	Do you trust me a little, now?
context: You haven't eaten at all, have you?\I don't want it. I don't even know what it is.\There's nothing weird in it.\Here.\It tastes bad.\I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now? response:	Hopefully you won't punch me, shoot me, or tie me up anymore.
context: I don't want it. I don't even know what it is.\There's nothing weird in it.\Here.\It tastes bad.\I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore. response:	I'll think about it.
context: There's nothing weird in it.\Here.\It tastes bad.\I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it. response:	What's wrong? Does it hurt?
context: Here.\It tastes bad.\I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt? response:	Did you say you sucked out the venom?
context: It tastes bad.\I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom? response:	Yeah.
context: I'm glad you like it.\It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah. response:	With your mouth?
context: It's sea snake soup.\Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah.\With your mouth? response:	Yeah.
context: Do you trust me a little, now?\Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah.\With your mouth?\Yeah. response:	From here?
context: Hopefully you won't punch me, shoot me, or tie me up anymore.\I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah.\With your mouth?\Yeah.\From here? response:	Well
context: I'll think about it.\What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah.\With your mouth?\Yeah.\From here?\Well response:	Ow, ow, ow, ow!
context: What's wrong? Does it hurt?\Did you say you sucked out the venom?\Yeah.\With your mouth?\Yeah.\From here?\Well\Ow, ow, ow, ow! response:	I never said I wouldn't bite!
context: Did you say you sucked out the venom?\Yeah.\With your mouth?\Yeah.\From here?\Well\Ow, ow, ow, ow!\I never said I wouldn't bite! response:	Thirty minutes until refueling is done.
context: Yeah.\With your mouth?\Yeah.\From here?\Well\Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done. response:	Too slow. Do it in fifteen.
context: With your mouth?\Yeah.\From here?\Well\Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen. response:	You seem eager.
context: Yeah.\From here?\Well\Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager. response:	Hilda-chan.
context: From here?\Well\Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager.\Hilda-chan. response:	I don't get it.
context: Well\Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager.\Hilda-chan.\I don't get it. response:	Why are you trying to help her?
context: Ow, ow, ow, ow!\I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager.\Hilda-chan.\I don't get it.\Why are you trying to help her? response:	Are you being meddlesome again?
context: I never said I wouldn't bite!\Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager.\Hilda-chan.\I don't get it.\Why are you trying to help her?\Are you being meddlesome again? response:	I know you girls can't forgive Ange-chan...
context: Thirty minutes until refueling is done.\Too slow. Do it in fifteen.\You seem eager.\Hilda-chan.\I don't get it.\Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan... response:	And that you would like to shoot her down.
context: Too slow. Do it in fifteen.\You seem eager.\Hilda-chan.\I don't get it.\Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down. response:	But someone has to accept her, or she'll always be alone.
context: You seem eager.\Hilda-chan.\I don't get it.\Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone. response:	That would be lonely, wouldn't it?
context: Hilda-chan.\I don't get it.\Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it? response:	We're all Normas, after all.
context: I don't get it.\Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all. response:	Besides, Ange-chan is a lot like how you used to be.
context: Why are you trying to help her?\Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be. response:	That's why I can't just leave her.
context: Are you being meddlesome again?\I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her. response:	Like me?
context: I know you girls can't forgive Ange-chan...\And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me? response:	That wretch?
context: And that you would like to shoot her down.\But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me?\That wretch? response:	I'll kill you, too.
context: But someone has to accept her, or she'll always be alone.\That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me?\That wretch?\I'll kill you, too. response:	Refueling, refueling.
context: That would be lonely, wouldn't it?\We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me?\That wretch?\I'll kill you, too.\Refueling, refueling. response:	Huh, Hilda?
context: We're all Normas, after all.\Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me?\That wretch?\I'll kill you, too.\Refueling, refueling.\Huh, Hilda? response:	Can you move now?
context: Besides, Ange-chan is a lot like how you used to be.\That's why I can't just leave her.\Like me?\That wretch?\I'll kill you, too.\Refueling, refueling.\Huh, Hilda?\Can you move now? response:	What are you doing?
context: That's why I can't just leave her.\Like me?\That wretch?\I'll kill you, too.\Refueling, refueling.\Huh, Hilda?\Can you move now?\What are you doing? response:	Repairs, I guess.
context: Like me?\That wretch?\I'll kill you, too.\Refueling, refueling.\Huh, Hilda?\Can you move now?\What are you doing?\Repairs, I guess. response:	You can fix it?
context: That wretch?\I'll kill you, too.\Refueling, refueling.\Huh, Hilda?\Can you move now?\What are you doing?\Repairs, I guess.\You can fix it? response:	Bits and pieces of Para-mail wash up here sometimes.
context: I'll kill you, too.\Refueling, refueling.\Huh, Hilda?\Can you move now?\What are you doing?\Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes. response:	I got the hang of it after studying them.
context: Refueling, refueling.\Huh, Hilda?\Can you move now?\What are you doing?\Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them. response:	Can you bring me that hex wrench?
context: Huh, Hilda?\Can you move now?\What are you doing?\Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench? response:	Why don't you just use Mana to move it?
context: Can you move now?\What are you doing?\Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it? response:	Why don't you?
context: What are you doing?\Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you? response:	Why do you know about Para-mail?
context: Repairs, I guess.\You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail? response:	What are you?
context: You can fix it?\Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail?\What are you? response:	I'm Tusk.
context: Bits and pieces of Para-mail wash up here sometimes.\I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail?\What are you?\I'm Tusk. response:	I'm just Tusk.
context: I got the hang of it after studying them.\Can you bring me that hex wrench?\Why don't you just use Mana to move it?\Why don't you?\Why do you know about Para-mail?\What are you?\I'm Tusk.\I'm just Tusk. response:	No, I mean
