context: Hopes and dreams are the power that moves humanity, response:	and keep the Earth turning!
context: How did Mom write songs?\Huh?\How?\The normal way?\She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together response:	if all the parts were already floating around in its head.
context: Huh?\How?\The normal way?\She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head. response:	But is that really all there is to it?
context: How?\The normal way?\She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it? response:	There must be more!
context: The normal way?\She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more! response:	Sorry, I'm only an expert at listening...
context: She'd sing, and then sing...\Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening... response:	But I don't think you need to force it.
context: Was the melody already in her head?\Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it. response:	Take your time.
context: Or did it come as she went along?\I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time. response:	You're probably right.
context: I mean, a cat could put a song together\if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time.\You're probably right. response:	Maybe I should talk to Shiho-san.
context: if all the parts were already floating around in its head.\But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time.\You're probably right.\Maybe I should talk to Shiho-san. response:	They went to school together, after all.
context: But is that really all there is to it?\There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time.\You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all. response:	Oh, right.
context: There must be more!\Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time.\You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right. response:	That's a good idea.
context: Sorry, I'm only an expert at listening...\But I don't think you need to force it.\Take your time.\You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right.\That's a good idea. response:	Episode 9 Turning White and Turning Red
context: But I don't think you need to force it.\Take your time.\You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red response:	There are other jobs out there that involve horses.
context: Take your time.\You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses. response:	Like?
context: You're probably right.\Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like? response:	Training.
context: Maybe I should talk to Shiho-san.\They went to school together, after all.\Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like?\Training. response:	There's no weight limit for that?
context: They went to school together, after all.\Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like?\Training.\There's no weight limit for that? response:	You're so insensitive.
context: Oh, right.\That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like?\Training.\There's no weight limit for that?\You're so insensitive. response:	Ow.
context: That's a good idea.\Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like?\Training.\There's no weight limit for that?\You're so insensitive.\Ow. response:	My weight's not an issue.
context: Episode 9 Turning White and Turning Red\There are other jobs out there that involve horses.\Like?\Training.\There's no weight limit for that?\You're so insensitive.\Ow.\My weight's not an issue. response:	I just can't picture myself being happy with
context: There are other jobs out there that involve horses.\Like?\Training.\There's no weight limit for that?\You're so insensitive.\Ow.\My weight's not an issue.\I just can't picture myself being happy with response:	other people riding the horses I raised.
context: Like?\Training.\There's no weight limit for that?\You're so insensitive.\Ow.\My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised. response:	That's understandable.
context: Training.\There's no weight limit for that?\You're so insensitive.\Ow.\My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable. response:	Sorry I'm late, folks.
context: There's no weight limit for that?\You're so insensitive.\Ow.\My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks. response:	I have an announcement!
context: You're so insensitive.\Ow.\My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks.\I have an announcement! response:	For the upcoming White Festival, our very own choir club...
context: Ow.\My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club... response:	And sometimes badminton club.
context: My weight's not an issue.\I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club. response:	Musical Drama
context: I just can't picture myself being happy with\other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama response:	A musical drama?
context: other people riding the horses I raised.\That's understandable.\Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama\A musical drama? response:	That's right.
context: That's understandable.\Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama\A musical drama?\That's right. response:	Obviously, singing is our top priority,
context: Sorry I'm late, folks.\I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama\A musical drama?\That's right.\Obviously, singing is our top priority, response:	but I want to include a solid story, dancing, great costumes, and a real stage!
context: I have an announcement!\For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama\A musical drama?\That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage! response:	Who'll do what?
context: For the upcoming White Festival, our very own choir club...\And sometimes badminton club.\Musical Drama\A musical drama?\That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what? response:	And how?
context: And sometimes badminton club.\Musical Drama\A musical drama?\That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how? response:	I'll be the scriptwriter.
context: Musical Drama\A musical drama?\That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how?\I'll be the scriptwriter. response:	And Wakana's already writing a song, right?
context: A musical drama?\That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right? response:	We can use that as our featured piece!
context: That's right.\Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece! response:	What?
context: Obviously, singing is our top priority,\but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece!\What? response:	You're writing a song?
context: but I want to include a solid story, dancing, great costumes, and a real stage!\Who'll do what?\And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece!\What?\You're writing a song? response:	That's amazing!
context: Who'll do what?\And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece!\What?\You're writing a song?\That's amazing! response:	I haven't written anything!
context: And how?\I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece!\What?\You're writing a song?\That's amazing!\I haven't written anything! response:	I don't even know if I can do it.
context: I'll be the scriptwriter.\And Wakana's already writing a song, right?\We can use that as our featured piece!\What?\You're writing a song?\That's amazing!\I haven't written anything!\I don't even know if I can do it. response:	Sawa, you'll handle choreography.
context: And Wakana's already writing a song, right?\We can use that as our featured piece!\What?\You're writing a song?\That's amazing!\I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography. response:	Choreography?!
context: We can use that as our featured piece!\What?\You're writing a song?\That's amazing!\I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?! response:	Sure. You've got the best moves.
context: What?\You're writing a song?\That's amazing!\I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves. response:	Tanaka and Wien can take care of the stage and props,
context: You're writing a song?\That's amazing!\I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props, response:	and we'll all pitch in to make costumes!
context: That's amazing!\I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes! response:	You sound pretty serious...
context: I haven't written anything!\I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious... response:	Of course!
context: I don't even know if I can do it.\Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious...\Of course! response:	Almost too serious.
context: Sawa, you'll handle choreography.\Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious...\Of course!\Almost too serious. response:	This'll cost a ton.
context: Choreography?!\Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious...\Of course!\Almost too serious.\This'll cost a ton. response:	Definitely. At least 10,000-20,000 yen.
context: Sure. You've got the best moves.\Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious...\Of course!\Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen. response:	Does the White Festival even give budgets that high?
context: Tanaka and Wien can take care of the stage and props,\and we'll all pitch in to make costumes!\You sound pretty serious...\Of course!\Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high? response:	I doubt it.
context: and we'll all pitch in to make costumes!\You sound pretty serious...\Of course!\Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it. response:	So then, you have other sources lined up?
context: You sound pretty serious...\Of course!\Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up? response:	That's what we're here to brainstorm!
context: Of course!\Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm! response:	Figures.
context: Almost too serious.\This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures. response:	Work these things out in advance.
context: This'll cost a ton.\Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures.\Work these things out in advance. response:	I don't mind singing,
context: Definitely. At least 10,000-20,000 yen.\Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures.\Work these things out in advance.\I don't mind singing, response:	but I'm not going to do any my love,
context: Does the White Festival even give budgets that high?\I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures.\Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love, response:	my heart, I'll die without you stuff.
context: I doubt it.\So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures.\Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff. response:	You asking for a kissing scene?
context: So then, you have other sources lined up?\That's what we're here to brainstorm!\Figures.\Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene? response:	As if!
context: That's what we're here to brainstorm!\Figures.\Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene?\As if! response:	Wien, say something!
context: Figures.\Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene?\As if!\Wien, say something! response:	Like what?
context: Work these things out in advance.\I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene?\As if!\Wien, say something!\Like what? response:	Anything but that!
context: I don't mind singing,\but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene?\As if!\Wien, say something!\Like what?\Anything but that! response:	Haven't you been listening and taking notes, like usual?
context: but I'm not going to do any my love,\my heart, I'll die without you stuff.\You asking for a kissing scene?\As if!\Wien, say something!\Like what?\Anything but that!\Haven't you been listening and taking notes, like usual? response:	No, I don't need notes anymore.
context: my heart, I'll die without you stuff.\You asking for a kissing scene?\As if!\Wien, say something!\Like what?\Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore. response:	Hey, Sawa, how busy is Shiho-san these days?
context: You asking for a kissing scene?\As if!\Wien, say something!\Like what?\Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days? response:	My mom?
context: As if!\Wien, say something!\Like what?\Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom? response:	No busier than usual.
context: Wien, say something!\Like what?\Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual. response:	Please take a look at the documents in front of you.
context: Like what?\Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual.\Please take a look at the documents in front of you. response:	Western Shopping District Event Planning
context: Anything but that!\Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning response:	Let's make this summer a hot one!
context: Haven't you been listening and taking notes, like usual?\No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one! response:	A comparison of the district's revenue
context: No, I don't need notes anymore.\Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue response:	between this summer and last
context: Hey, Sawa, how busy is Shiho-san these days?\My mom?\No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last response:	indicates we're having a rather rough year.
context: My mom?\No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year. response:	Basically, we're in quite a tight spot.
context: No busier than usual.\Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot. response:	Sure, but that's just a sign of the times.
context: Please take a look at the documents in front of you.\Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times. response:	It's tough out there.
context: Western Shopping District Event Planning\Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there. response:	And we're not getting any younger.
context: Let's make this summer a hot one!\A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger. response:	Sakazaki-san's in the hospital...
context: A comparison of the district's revenue\between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital... response:	He went for a full check-up.
context: between this summer and last\indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up. response:	Well, he does eat an awful lot.
context: indicates we're having a rather rough year.\Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot. response:	Could you please refrain from personal conversations?
context: Basically, we're in quite a tight spot.\Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations? response:	It's fine.
context: Sure, but that's just a sign of the times.\It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine. response:	We don't need an explanation, we can just read it here.
context: It's tough out there.\And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here. response:	But I thought I should give you a rundown, before we started strategizing...
context: And we're not getting any younger.\Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing... response:	No need.
context: Sakazaki-san's in the hospital...\He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need. response:	If we all put in a little elbow grease, it'll all work out.
context: He went for a full check-up.\Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out. response:	Nothing beats honest effort.
context: Well, he does eat an awful lot.\Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort. response:	By the way, have you heard about Eikodo's girl?
context: Could you please refrain from personal conversations?\It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl? response:	Word is, she's wonderful.
context: It's fine.\We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful. response:	How about local superheroes?
context: We don't need an explanation, we can just read it here.\But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes? response:	Local superheroes?
context: But I thought I should give you a rundown, before we started strategizing...\No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes?\Local superheroes? response:	Oh, I understand.
context: No need.\If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes?\Local superheroes?\Oh, I understand. response:	You mean mascots?
context: If we all put in a little elbow grease, it'll all work out.\Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes?\Local superheroes?\Oh, I understand.\You mean mascots? response:	We need more than just people in costumes.
context: Nothing beats honest effort.\By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes?\Local superheroes?\Oh, I understand.\You mean mascots?\We need more than just people in costumes. response:	We need superheroes!
context: By the way, have you heard about Eikodo's girl?\Word is, she's wonderful.\How about local superheroes?\Local superheroes?\Oh, I understand.\You mean mascots?\We need more than just people in costumes.\We need superheroes! response:	Like the ones in groups of red, white, yellow, and green.
context: Word is, she's wonderful.\How about local superheroes?\Local superheroes?\Oh, I understand.\You mean mascots?\We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green. response:	Can you please clarify what you're suggesting?
context: How about local superheroes?\Local superheroes?\Oh, I understand.\You mean mascots?\We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting? response:	They could do So-and-So Superhero! So-and-So Ranger! moves,
context: Local superheroes?\Oh, I understand.\You mean mascots?\We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves, response:	and hand out store flyers.
context: Oh, I understand.\You mean mascots?\We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers. response:	Like a sandwich board campaign?
context: You mean mascots?\We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign? response:	That's a pretty good idea, Shiho-san!
context: We need more than just people in costumes.\We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san! response:	Yes, yes.
context: We need superheroes!\Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes. response:	I've already got an idea for the costumes,
context: Like the ones in groups of red, white, yellow, and green.\Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes, response:	so all that's left is to choose our heroes.
context: Can you please clarify what you're suggesting?\They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes. response:	Boy, am I exhausted these days...
context: They could do So-and-So Superhero! So-and-So Ranger! moves,\and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days... response:	I can't shake these headaches...
context: and hand out store flyers.\Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches... response:	I need at least three volunteers,
context: Like a sandwich board campaign?\That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers, response:	My back...
context: That's a pretty good idea, Shiho-san!\Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers,\My back... response:	though I'd prefer five.
context: Yes, yes.\I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers,\My back...\though I'd prefer five. response:	Who'd like to give our shopping district a
context: I've already got an idea for the costumes,\so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers,\My back...\though I'd prefer five.\Who'd like to give our shopping district a response:	Oh, excuse me.
context: so all that's left is to choose our heroes.\Boy, am I exhausted these days...\I can't shake these headaches...\I need at least three volunteers,\My back...\though I'd prefer five.\Who'd like to give our shopping district a\Oh, excuse me. response:	Hi, Mom.
