context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: Hey step up step up!\Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind\The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah! response:	Hey Guess Who is back!?
context: Proof of Rightness\I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind\The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!? response:	Hey Guess Who is back!?
context: I'm falling down because of a twist of fate\The harmony we had is in the past\Still left behind\The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!? response:	The roulette points to tomorrow
context: The harmony we had is in the past\Still left behind\The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow response:	Hey Guess Who is back!?
context: Still left behind\The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!? response:	Let the light shine
context: The scent of you is stuck in my head\Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine response:	Hey Guess Who is back!?
context: Can't shake it\Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!? response:	In the dark maze
context: Waiting just isn't enough anymore, Yai yah!\Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!?\In the dark maze response:	Hey Guess Who is back!?
context: Hey Guess Who is back!?\Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!? response:	Hey Guess Who is back!?
context: Hey Guess Who is back!?\The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!? response:	Until we seize the hope in front of us
context: The roulette points to tomorrow\Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us response:	To tell you the truth, when we were interrogating
context: Hey Guess Who is back!?\Let the light shine\Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating response:	the two Eye of the Midnight Sun members,
context: Let the light shine\Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members, response:	they told us one more thing.
context: Hey Guess Who is back!?\In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing. response:	Asta, do you remember the stone tablet back at their hideout
context: In the dark maze\Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout response:	when you were taken by them?
context: Hey Guess Who is back!?\Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them? response:	That thing...
context: Hey Guess Who is back!?\Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing... response:	They call the stones that were set into it magic stones.
context: Until we seize the hope in front of us\To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing...\They call the stones that were set into it magic stones. response:	They believe that if they collect all of them,
context: To tell you the truth, when we were interrogating\the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them, response:	they will be reborn into their true forms,
context: the two Eye of the Midnight Sun members,\they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms, response:	which are linked closely to mana, and gain enormous power.
context: they told us one more thing.\Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power. response:	There are three magic stones left.
context: Asta, do you remember the stone tablet back at their hideout\when you were taken by them?\That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left. response:	They know the location of one of them.
context: when you were taken by them?\That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them. response:	Yeah? And where's that?
context: That thing...\They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them.\Yeah? And where's that? response:	In a strong magic region...
context: They call the stones that were set into it magic stones.\They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them.\Yeah? And where's that?\In a strong magic region... response:	The Underwater Temple.
context: They believe that if they collect all of them,\they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them.\Yeah? And where's that?\In a strong magic region...\The Underwater Temple. response:	So you want us to get there before the Eye of the Midnight Sun does
context: they will be reborn into their true forms,\which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them.\Yeah? And where's that?\In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does response:	and snatch the magic stone or whatever?
context: which are linked closely to mana, and gain enormous power.\There are three magic stones left.\They know the location of one of them.\Yeah? And where's that?\In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever? response:	That's right.
context: There are three magic stones left.\They know the location of one of them.\Yeah? And where's that?\In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right. response:	This is an important mission. The best squad for the job
context: They know the location of one of them.\Yeah? And where's that?\In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job response:	is the one with lots of members who aren't restricted by familial or social status...
context: Yeah? And where's that?\In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status... response:	Which means your Black Bulls, Yami.
context: In a strong magic region...\The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami. response:	Will you do it?
context: The Underwater Temple.\So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it? response:	I dealt with you in the end.
context: So you want us to get there before the Eye of the Midnight Sun does\and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end. response:	Hopefully, you can pass on now.
context: and snatch the magic stone or whatever?\That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now. response:	Thank you from the bottom of my heart for saving our Underwater Temple!
context: That's right.\This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple! response:	Thank you! Thank you!
context: This is an important mission. The best squad for the job\is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you! response:	All right, we'll be taking it.
context: is the one with lots of members who aren't restricted by familial or social status...\Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it. response:	This concludes our mission.
context: Which means your Black Bulls, Yami.\Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission. response:	All of you...
context: Will you do it?\I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission.\All of you... response:	Well done.
context: I dealt with you in the end.\Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission.\All of you...\Well done. response:	The Black Bulls were given a special mission by the Wizard King
context: Hopefully, you can pass on now.\Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission.\All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King response:	in which they fought hard against a terrifying enemy, obtained a magic stone,
context: Thank you from the bottom of my heart for saving our Underwater Temple!\Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission.\All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone, response:	and finally returned safely, without losing a single member.
context: Thank you! Thank you!\All right, we'll be taking it.\This concludes our mission.\All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member. response:	Great job, everyone!
context: All right, we'll be taking it.\This concludes our mission.\All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone! response:	You're the most beat-up of all of us.
context: This concludes our mission.\All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us. response:	I'm so tired...
context: All of you...\Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us.\I'm so tired... response:	Ah, Marie... I'm finally back on land where you are.
context: Well done.\The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are. response:	I'm breathing the same air as Marie now...
context: The Black Bulls were given a special mission by the Wizard King\in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now... response:	It's munchy time!
context: in which they fought hard against a terrifying enemy, obtained a magic stone,\and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time! response:	My tummy always has room for fish and meat!
context: and finally returned safely, without losing a single member.\Great job, everyone!\You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat! response:	Nothing beats a drink, or a full bottle, after a hard day's work!
context: Great job, everyone!\You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work! response:	The glory goes to all of us Black Bulls, doesn't it?
context: You're the most beat-up of all of us.\I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it? response:	We'll get a little closer to positive stars again.
context: I'm so tired...\Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again. response:	Maybe we're not a lost cause after all!
context: Ah, Marie... I'm finally back on land where you are.\I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all! response:	I say we might be getting closer,
context: I'm breathing the same air as Marie now...\It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer, response:	but we're clearly still below every other Magic Knight squad.
context: It's munchy time!\My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad. response:	Hey, look.
context: My tummy always has room for fish and meat!\Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look. response:	Oh, yeah. I forgot he wasn't with us.
context: Nothing beats a drink, or a full bottle, after a hard day's work!\The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us. response:	Gordon... I totally forgot about him.
context: The glory goes to all of us Black Bulls, doesn't it?\We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him. response:	Hey, someone go talk to him.
context: We'll get a little closer to positive stars again.\Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him. response:	You guys are so mean.
context: Maybe we're not a lost cause after all!\I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean. response:	Is he sad?
context: I say we might be getting closer,\but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean.\Is he sad? response:	I can't believe you left me behind.
context: but we're clearly still below every other Magic Knight squad.\Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean.\Is he sad?\I can't believe you left me behind. response:	Nah, I think he's pissed. He's, like, mumbling something.
context: Hey, look.\Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean.\Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something. response:	I wanted to go, too.
context: Oh, yeah. I forgot he wasn't with us.\Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean.\Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too. response:	I was looking forward to going so much.
context: Gordon... I totally forgot about him.\Hey, someone go talk to him.\You guys are so mean.\Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much. response:	Isn't he always mumbling?
context: Hey, someone go talk to him.\You guys are so mean.\Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling? response:	No idea... I have no idea what he's thinking.
context: You guys are so mean.\Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking. response:	I even bought sunscreen and a parasol.
context: Is he sad?\I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol. response:	And you left me behind...
context: I can't believe you left me behind.\Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind... response:	I wanted to help at the Underwater Temple.
context: Nah, I think he's pissed. He's, like, mumbling something.\I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple. response:	I wanted to fight alongside everyone else...
context: I wanted to go, too.\I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else... response:	Gordon Agrippa.
context: I was looking forward to going so much.\Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa. response:	He's a loner who just wants friends, but he can't seem to make any.
context: Isn't he always mumbling?\No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any. response:	No one even brought any gifts...
context: No idea... I have no idea what he's thinking.\I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts... response:	Tell me what happened at the Underwater Temple.
context: I even bought sunscreen and a parasol.\And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple. response:	I want to know what you all did.
context: And you left me behind...\I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did. response:	I want to record everything...
context: I wanted to help at the Underwater Temple.\I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything... response:	Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.
context: I wanted to fight alongside everyone else...\Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King. response:	Charmy, you're coming with me. Bring the prisoners.
context: Gordon Agrippa.\He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners. response:	Will there be yummy food?!
context: He's a loner who just wants friends, but he can't seem to make any.\No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?! response:	Nope.
context: No one even brought any gifts...\Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope. response:	Finral, transport us there.
context: Tell me what happened at the Underwater Temple.\I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope.\Finral, transport us there. response:	Will there be pretty girls?!
context: I want to know what you all did.\I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope.\Finral, transport us there.\Will there be pretty girls?! response:	Nope.
context: I want to record everything...\Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope.\Finral, transport us there.\Will there be pretty girls?!\Nope. response:	D'oh.
context: Well, I'm not looking forward to this, but I'm gonna go report to the Wizard King.\Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope.\Finral, transport us there.\Will there be pretty girls?!\Nope.\D'oh. response:	Marie's an angel!
context: Charmy, you're coming with me. Bring the prisoners.\Will there be yummy food?!\Nope.\Finral, transport us there.\Will there be pretty girls?!\Nope.\D'oh.\Marie's an angel! response:	I-I wanna go, too! Please, sir, please!
context: Will there be yummy food?!\Nope.\Finral, transport us there.\Will there be pretty girls?!\Nope.\D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please! response:	You sure are full of energy.
context: Nope.\Finral, transport us there.\Will there be pretty girls?!\Nope.\D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy. response:	Hey, you need to get plenty of rest so you can heal up.
context: Finral, transport us there.\Will there be pretty girls?!\Nope.\D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up. response:	N-Not that I'm worried about you! Don't get the wrong idea!
context: Will there be pretty girls?!\Nope.\D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea! response:	What's the big idea, Noelle?!
context: Nope.\D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?! response:	You are pretty hurt. Just stay put, kid.
context: D'oh.\Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid. response:	Or so I'd like to say,
context: Marie's an angel!\I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say, response:	but I guess you were with me when the Wizard King gave us this mission.
context: I-I wanna go, too! Please, sir, please!\You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission. response:	Fine, come with.
context: You sure are full of energy.\Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with. response:	Yes, sir!
context: Hey, you need to get plenty of rest so you can heal up.\N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir! response:	Everyone else, make sure you get some rest...
context: N-Not that I'm worried about you! Don't get the wrong idea!\What's the big idea, Noelle?!\You are pretty hurt. Just stay put, kid.\Or so I'd like to say,\but I guess you were with me when the Wizard King gave us this mission.\Fine, come with.\Yes, sir!\Everyone else, make sure you get some rest... response:	Yeah, guess I don't need to tell you that.
