context: In a way, I can turn Jirou's stuff into my stuff! response:	Move it!
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	Oh, wow! What's this light?
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Oh, wow! What's this light? response:	You okay, Daidaimaru?
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Oh, wow! What's this light?\You okay, Daidaimaru? response:	Yeah.
context: Hey, God,\I'm your god\I'm your god\I think\I think\Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah. response:	It's weird.
context: I'm your god\I'm your god\I think\I think\Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah.\It's weird. response:	I feel more at peace somehow.
context: I'm your god\I think\I think\Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah.\It's weird.\I feel more at peace somehow. response:	It's like our nymph sister is giving me a hug and keeping me warm.
context: I think\I think\Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah.\It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm. response:	Dead Serious
context: I think\Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah.\It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious response:	Dead Serious
context: Oh, wow! What's this light?\You okay, Daidaimaru?\Yeah.\It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious response:	Dead Serious
context: You okay, Daidaimaru?\Yeah.\It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: Yeah.\It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: It's weird.\I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: I feel more at peace somehow.\It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: It's like our nymph sister is giving me a hug and keeping me warm.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	I must find Nanami.
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I must find Nanami. response:	Dead Serious
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I must find Nanami.\Dead Serious response:	Dead Serious
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I must find Nanami.\Dead Serious\Dead Serious response:	Dead Serious
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\I must find Nanami.\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: Dead Serious\Dead Serious\Dead Serious\I must find Nanami.\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	Dead Serious
context: Dead Serious\Dead Serious\I must find Nanami.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious response:	I am certain she is looking for me as we speak.
context: Dead Serious\I must find Nanami.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I am certain she is looking for me as we speak. response:	No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.
context: I must find Nanami.\Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul. response:	She asked me to give you this and said you'd know what to do.
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do. response:	Clever girl.
context: Dead Serious\Dead Serious\Dead Serious\Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl. response:	A land god's white talisman...
context: Dead Serious\Dead Serious\Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman... response:	I hid his soul somewhere within this compound
context: Dead Serious\Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound response:	where the crows cannot find it.
context: Dead Serious\I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it. response:	Where in the world did that bastard...
context: I am certain she is looking for me as we speak.\No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard... response:	Soujoubou
context: No, once she undid Jirou's barrier, she said she'd use a white talisman to find Master Soujoubou's soul.\She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard...\Soujoubou response:	Soujoubou
context: She asked me to give you this and said you'd know what to do.\Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard...\Soujoubou\Soujoubou response:	Soujoubou
context: Clever girl.\A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard...\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: A land god's white talisman...\I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard...\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: I hid his soul somewhere within this compound\where the crows cannot find it.\Where in the world did that bastard...\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: where the crows cannot find it.\Where in the world did that bastard...\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Where in the world did that bastard...\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	It's a dead end?
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\It's a dead end? response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\It's a dead end?\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\It's a dead end?\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\It's a dead end?\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\It's a dead end?\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\It's a dead end?\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\It's a dead end?\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: It's a dead end?\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	Soujoubou
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou response:	So it isn't here?
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\So it isn't here? response:	The God Receives a Romantic Confession
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\So it isn't here?\The God Receives a Romantic Confession response:	Move.
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\Soujoubou\So it isn't here?\The God Receives a Romantic Confession\Move. response:	A door?
context: Soujoubou\Soujoubou\Soujoubou\Soujoubou\So it isn't here?\The God Receives a Romantic Confession\Move.\A door? response:	It leads underground and has been sealed for seventeen years.
context: Soujoubou\Soujoubou\Soujoubou\So it isn't here?\The God Receives a Romantic Confession\Move.\A door?\It leads underground and has been sealed for seventeen years. response:	This is the only place in the compound that we would never tread.
context: Soujoubou\Soujoubou\So it isn't here?\The God Receives a Romantic Confession\Move.\A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread. response:	To think that bastard knew about it...
context: Soujoubou\So it isn't here?\The God Receives a Romantic Confession\Move.\A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it... response:	Wait!
context: So it isn't here?\The God Receives a Romantic Confession\Move.\A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait! response:	I'm coming too.
context: The God Receives a Romantic Confession\Move.\A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait!\I'm coming too. response:	Honestly,
context: Move.\A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait!\I'm coming too.\Honestly, response:	I should probably wait for Tomoe and the others,
context: A door?\It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait!\I'm coming too.\Honestly,\I should probably wait for Tomoe and the others, response:	but I'm not about to let Jirou go in there alone.
context: It leads underground and has been sealed for seventeen years.\This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait!\I'm coming too.\Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone. response:	This seems to go a long way down.
context: This is the only place in the compound that we would never tread.\To think that bastard knew about it...\Wait!\I'm coming too.\Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down. response:	Why did it get sealed off?
context: To think that bastard knew about it...\Wait!\I'm coming too.\Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down.\Why did it get sealed off? response:	Seventeen years ago, there was an accident,
context: Wait!\I'm coming too.\Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down.\Why did it get sealed off?\Seventeen years ago, there was an accident, response:	and one crow was disabled for life.
context: I'm coming too.\Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down.\Why did it get sealed off?\Seventeen years ago, there was an accident,\and one crow was disabled for life. response:	This is the cave of the thunderbolt beast of Kurama.
context: Honestly,\I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down.\Why did it get sealed off?\Seventeen years ago, there was an accident,\and one crow was disabled for life.\This is the cave of the thunderbolt beast of Kurama. response:	You would be wise to fear its wrath.
context: I should probably wait for Tomoe and the others,\but I'm not about to let Jirou go in there alone.\This seems to go a long way down.\Why did it get sealed off?\Seventeen years ago, there was an accident,\and one crow was disabled for life.\This is the cave of the thunderbolt beast of Kurama.\You would be wise to fear its wrath. response:	When you say disabled for life, do you mean...
