context: My, my. She's much stronger than I had anticipated. response:	Honestly, I'm glad we're in the middle of the Calm.
context: tsukaemaeru yo shikkari\tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream response:	sore wa yume no akashi
context: tsukaemaeru yo shikkari\Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi response:	sore wa yume no akashi
context: Our mutual longing is\Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi response:	We're drawn closer as we begin to accept each other
context: Our mutual longing is\motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other response:	We're drawn closer as we begin to accept each other
context: motomeau kokoro\motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other response:	tagai wo uketomeru tabi ni hikareteku
context: motomeau kokoro\The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku response:	tagai wo uketomeru tabi ni hikareteku
context: The first step toward our dream\The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku response:	We won't need to spend our days in sadness anymore
context: The first step toward our dream\sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore response:	We won't need to spend our days in sadness anymore
context: sore wa yume no akashi\sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore response:	kanashii hibi wa mou iranai
context: sore wa yume no akashi\We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai response:	kanashii hibi wa mou iranai
context: We're drawn closer as we begin to accept each other\We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai response:	Because we'll have a great time together
context: We're drawn closer as we begin to accept each other\tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together response:	Because we'll have a great time together
context: tagai wo uketomeru tabi ni hikareteku\tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together response:	tagai wo uketomete ikiru yorokobi ni
context: tagai wo uketomeru tabi ni hikareteku\We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni response:	tagai wo uketomete ikiru yorokobi ni
context: We won't need to spend our days in sadness anymore\We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni response:	That I'm sure the two of us will
context: We won't need to spend our days in sadness anymore\kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will response:	That I'm sure the two of us will
context: kanashii hibi wa mou iranai\kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will response:	kitto kitto futari
context: kanashii hibi wa mou iranai\Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari response:	kitto kitto futari
context: Because we'll have a great time together\Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari response:	Learn to appreciate
context: Because we'll have a great time together\tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate response:	Learn to appreciate
context: tagai wo uketomete ikiru yorokobi ni\tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate response:	mezameru yo
context: tagai wo uketomete ikiru yorokobi ni\That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo response:	mezameru yo
context: That I'm sure the two of us will\That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo response:	What matters is that I've finally found you
context: That I'm sure the two of us will\kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you response:	What matters is that I've finally found you
context: kitto kitto futari\kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you response:	mayoi nagara mo kimi wo mitsuketa yo
context: kitto kitto futari\Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo response:	mayoi nagara mo kimi wo mitsuketa yo
context: Learn to appreciate\Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo response:	Senpai!
context: Learn to appreciate\mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai! response:	Senpai, you've finally woken up!
context: mezameru yo\mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up! response:	Ai-chan!
context: mezameru yo\What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up!\Ai-chan! response:	It's quite the troublemaker, isn't it?
context: What matters is that I've finally found you\What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it? response:	Big Bro!
context: What matters is that I've finally found you\mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro! response:	I know! You don't need to worry.
context: mayoi nagara mo kimi wo mitsuketa yo\mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry. response:	Be careful!
context: mayoi nagara mo kimi wo mitsuketa yo\Senpai!\Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry.\Be careful! response:	Keep your eyes on the darn thing!
context: Senpai!\Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing! response:	Yakiimo!
context: Senpai, you've finally woken up!\Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing!\Yakiimo! response:	Silver Bamboo
context: Ai-chan!\It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo response:	Silver Bamboo
context: It's quite the troublemaker, isn't it?\Big Bro!\I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo\Silver Bamboo response:	To think I just had this upgraded to an anti-demon gun...
context: Big Bro!\I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun... response:	This puts me in quite a bind.
context: I know! You don't need to worry.\Be careful!\Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind. response:	You seem to be enjoying yourself despite that.
context: Be careful!\Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that. response:	Really? That's good to hear.
context: Keep your eyes on the darn thing!\Yakiimo!\Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear. response:	I will not let things go as you had hoped!
context: Yakiimo!\Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped! response:	I see.
context: Silver Bamboo\Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped!\I see. response:	I manipulated the light particles.
context: Silver Bamboo\To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped!\I see.\I manipulated the light particles. response:	I've been conducting research on various topics, you see.
context: To think I just had this upgraded to an anti-demon gun...\This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped!\I see.\I manipulated the light particles.\I've been conducting research on various topics, you see. response:	Is the Exterminator's Society backing you?
context: This puts me in quite a bind.\You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped!\I see.\I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you? response:	Senpai...
context: You seem to be enjoying yourself despite that.\Really? That's good to hear.\I will not let things go as you had hoped!\I see.\I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai... response:	Ayaka-san!
context: Really? That's good to hear.\I will not let things go as you had hoped!\I see.\I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai...\Ayaka-san! response:	Izumi-san!
context: I will not let things go as you had hoped!\I see.\I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai...\Ayaka-san!\Izumi-san! response:	Senpai...
context: I see.\I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai...\Ayaka-san!\Izumi-san!\Senpai... response:	Mitsuki!
context: I manipulated the light particles.\I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai...\Ayaka-san!\Izumi-san!\Senpai...\Mitsuki! response:	Start shrinking the Cage! Don't allow any gaps!
context: I've been conducting research on various topics, you see.\Is the Exterminator's Society backing you?\Senpai...\Ayaka-san!\Izumi-san!\Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps! response:	Make sure it doesn't waver!
context: Is the Exterminator's Society backing you?\Senpai...\Ayaka-san!\Izumi-san!\Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver! response:	Concentrate! Maintain its current strength!
context: Senpai...\Ayaka-san!\Izumi-san!\Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength! response:	Got it!
context: Ayaka-san!\Izumi-san!\Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it! response:	Aren't demons supposed to become weaker during the Calm?
context: Izumi-san!\Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm? response:	Normally, that demon would have given a Class A Exterminator a hard time.
context: Senpai...\Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time. response:	I bet some Exterminator bit off more than he could chew and attracted it,
context: Mitsuki!\Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it, response:	thinking he could beat it during the Calm.
context: Start shrinking the Cage! Don't allow any gaps!\Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm. response:	Thank you...
context: Make sure it doesn't waver!\Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you... response:	Yakiimo.
context: Concentrate! Maintain its current strength!\Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you...\Yakiimo. response:	Izumi-neesama...
context: Got it!\Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you...\Yakiimo.\Izumi-neesama... response:	The door's locked.
context: Aren't demons supposed to become weaker during the Calm?\Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you...\Yakiimo.\Izumi-neesama...\The door's locked. response:	Doesn't look like he's come back yet.
context: Normally, that demon would have given a Class A Exterminator a hard time.\I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you...\Yakiimo.\Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet. response:	Allow me...
context: I bet some Exterminator bit off more than he could chew and attracted it,\thinking he could beat it during the Calm.\Thank you...\Yakiimo.\Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet.\Allow me... response:	But why did Akihito transform into a demon?
context: thinking he could beat it during the Calm.\Thank you...\Yakiimo.\Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon? response:	When he was unconscious, Ayaka-san told me
context: Thank you...\Yakiimo.\Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me response:	that his human half had grown terribly weak.
context: Yakiimo.\Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak. response:	Even though his demon half has been weakened by the Calm,
context: Izumi-neesama...\The door's locked.\Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm, response:	his human half might be even weaker right now!
context: The door's locked.\Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now! response:	It seems that his demon half has taken control as a result.
context: Doesn't look like he's come back yet.\Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result. response:	Right.
context: Allow me...\But why did Akihito transform into a demon?\When he was unconscious, Ayaka-san told me\that his human half had grown terribly weak.\Even though his demon half has been weakened by the Calm,\his human half might be even weaker right now!\It seems that his demon half has taken control as a result.\Right. response:	That would explain why Akihito-kun's demon form was weaker than it had been in the past.
