context: Uprisings are breaking out all over Sistina. response:	What good will it do for the people to make a commotion?
context: The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family? response:	I'd never end up like
context: It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like response:	I know!
context: How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know! response:	But I don't want to take any chance of becoming a father who's lost two sons.
context: No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons. response:	All right.
context: Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right. response:	I'll be leaving as soon as I'm ready.
context: Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready. response:	Is suppression really the only way to deal with this?
context: Salvador only took a few hundred men, and because of that, he perished.\If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this? response:	It's too late to be saying such things.
context: If I were to lose you, too, what will become of the Rossini family?\I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things. response:	Our family forced our subjects into submission, and eliminated anyone who rebelled.
context: I'd never end up like\I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled. response:	That's how we've always ruled this country.
context: I know!\But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country. response:	If we were to ease our grip now, we would only be destroyed.
context: But I don't want to take any chance of becoming a father who's lost two sons.\All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed. response:	You're right.
context: All right.\I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right. response:	But we have the Omerta flag.
context: I'll be leaving as soon as I'm ready.\Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag. response:	I'm certain that Dorni will get revenge for Salvador.
context: Is suppression really the only way to deal with this?\It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador. response:	Theo Cornaro.
context: It's too late to be saying such things.\Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro. response:	I swear I'll make you pay for this crime with your life!
context: Our family forced our subjects into submission, and eliminated anyone who rebelled.\That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life! response:	Why did you come here?
context: That's how we've always ruled this country.\If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here? response:	I don't have anywhere else to go.
context: If we were to ease our grip now, we would only be destroyed.\You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go. response:	Even if I go to the Rossini house, Salvador is not there.
context: You're right.\But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there. response:	You were indeed a favorite of his.
context: But we have the Omerta flag.\I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his. response:	Salvador. He was such a fine man!
context: I'm certain that Dorni will get revenge for Salvador.\Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man! response:	He was passionate, and had a lust for all kinds of pleasures,
context: Theo Cornaro.\I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures, response:	and never asked any questions about me!
context: I swear I'll make you pay for this crime with your life!\Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me! response:	So why aren't you heading back to the city?
context: Why did you come here?\I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city? response:	Because Salvador ordered me to kill the chamberlain who's accompanying Theo.
context: I don't have anywhere else to go.\Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo. response:	And I haven't fulfilled that yet.
context: Even if I go to the Rossini house, Salvador is not there.\You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet. response:	Is that what they call the Way of the Assassin?
context: You were indeed a favorite of his.\Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin? response:	Sooner or later, Phederico will be sending his forces to defeat Theo.
context: Salvador. He was such a fine man!\He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo. response:	If the battle draws near, both Theo Cornaro and his mage will have their hands tied.
context: He was passionate, and had a lust for all kinds of pleasures,\and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied. response:	That's when I intend to lure him out.
context: and never asked any questions about me!\So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out. response:	Can you beat him?
context: So why aren't you heading back to the city?\Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him? response:	I don't know. For one thing, he has those werewolf kids with him.
context: Because Salvador ordered me to kill the chamberlain who's accompanying Theo.\And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him. response:	Werewolf?
context: And I haven't fulfilled that yet.\Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf? response:	Yes. Those twins.
context: Is that what they call the Way of the Assassin?\Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins. response:	Wait, could they be...
context: Sooner or later, Phederico will be sending his forces to defeat Theo.\If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins.\Wait, could they be... response:	Then would you like me to wrest those two away from that chamberlain for you?
context: If the battle draws near, both Theo Cornaro and his mage will have their hands tied.\That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you? response:	You think you can do it?
context: That's when I intend to lure him out.\Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it? response:	Of course I can! Those two will definitely be coming after me.
context: Can you beat him?\I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me. response:	I'll kill the werewolves, and you'll kill the chamberlain.
context: I don't know. For one thing, he has those werewolf kids with him.\Werewolf?\Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain. response:	When that's done, I want you to kill Theo and Siluca.
context: Werewolf?\Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca. response:	So this is like vengeance for Salvador?
context: Yes. Those twins.\Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador? response:	That will be part of it, of course.
context: Wait, could they be...\Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course. response:	But I've always had a hatred for those two.
context: Then would you like me to wrest those two away from that chamberlain for you?\You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two. response:	Just looking at them, you can tell that they trust each other!
context: You think you can do it?\Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other! response:	It makes me vomit.
context: Of course I can! Those two will definitely be coming after me.\I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit. response:	Looking good! Louder, please!
context: I'll kill the werewolves, and you'll kill the chamberlain.\When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please! response:	A good number of soldiers have shown up.
context: When that's done, I want you to kill Theo and Siluca.\So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up. response:	Yeah. It feels totally different than before we fought Salvador.
context: So this is like vengeance for Salvador?\That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador. response:	I'm getting the sense that everyone's hearts are being moved, more and more.
context: That will be part of it, of course.\But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more. response:	Yes.
context: But I've always had a hatred for those two.\Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes. response:	Someday, I'd like to build a castle right here.
context: Just looking at them, you can tell that they trust each other!\It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here. response:	A small one will be fine.
context: It makes me vomit.\Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here.\A small one will be fine. response:	No matter how high my court rank may be by then, I would want to rule this village myself.
context: Looking good! Louder, please!\A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself. response:	That sounds good.
context: A good number of soldiers have shown up.\Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good. response:	To make that happen, we need to bring an end to the fighting on the continent.
context: Yeah. It feels totally different than before we fought Salvador.\I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent. response:	And before we do that, we must overthrow the Rossinis.
context: I'm getting the sense that everyone's hearts are being moved, more and more.\Yes.\Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis. response:	Yeah.
context: Yes.\Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah. response:	Excuse me.
context: Someday, I'd like to build a castle right here.\A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me. response:	The forces led by Dorni Rossini have left, and are on their way here.
context: A small one will be fine.\No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here. response:	Just as we thought, they're coming.
context: No matter how high my court rank may be by then, I would want to rule this village myself.\That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming. response:	I can't turn this village into a battlefield.
context: That sounds good.\To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield. response:	Let's counter them.
context: To make that happen, we need to bring an end to the fighting on the continent.\And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them. response:	Is that him?
context: And before we do that, we must overthrow the Rossinis.\Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them.\Is that him? response:	It's her!
context: Yeah.\Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them.\Is that him?\It's her! response:	The Black Witch who murdered Mother is nearby!
context: Excuse me.\The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them.\Is that him?\It's her!\The Black Witch who murdered Mother is nearby! response:	Is something wrong?
context: The forces led by Dorni Rossini have left, and are on their way here.\Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them.\Is that him?\It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong? response:	Please forgive me, but we have a personal matter to take care of.
context: Just as we thought, they're coming.\I can't turn this village into a battlefield.\Let's counter them.\Is that him?\It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of. response:	We three will be away for a while.
context: I can't turn this village into a battlefield.\Let's counter them.\Is that him?\It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while. response:	All right. Whatever you do, be careful.
context: Let's counter them.\Is that him?\It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful. response:	Thank you very much.
context: Is that him?\It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much. response:	Is something wrong with Irvin and the twins?
context: It's her!\The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins? response:	They went to eliminate some elements that might thwart us in this battle.
context: The Black Witch who murdered Mother is nearby!\Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle. response:	I see.
context: Is something wrong?\Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see. response:	I believe the man in the center is Dorni Rossini.
context: Please forgive me, but we have a personal matter to take care of.\We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini. response:	Looks like it.
context: We three will be away for a while.\All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini.\Looks like it. response:	After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.
context: All right. Whatever you do, be careful.\Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble. response:	As long as the Rossini family rules, we'll be plundered, and killed for no good reason.
context: Thank you very much.\Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason. response:	There's no other domain but Sistina being governed this way.
context: Is something wrong with Irvin and the twins?\They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way. response:	But we all rose up!
context: They went to eliminate some elements that might thwart us in this battle.\I see.\I believe the man in the center is Dorni Rossini.\Looks like it.\After losing Salvador, if he should lose Dorni next, the Rossini's iron rule should begin to crumble.\As long as the Rossini family rules, we'll be plundered, and killed for no good reason.\There's no other domain but Sistina being governed this way.\But we all rose up! response:	We'll overcome fear with courage, and find hope in the depths of despair.
