context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed. response:	However, a number of rebels have escaped.
context: As you may know,\this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan. response:	With Gilbert gone,
context: this peace signing is an important ceremony\that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone, response:	you want to push the trouble on his older brother instead, huh?
context: that will affect the future of the entire continent.\I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh? response:	There is no doubt that the opposition will come to disrupt the peace negotiations.
context: I would like to be prepared for any unexpected situations.\And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations. response:	Do you have any ideas about what they're planning to do?
context: And now that the army special forces have disbanded,\we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do? response:	In three days,
context: we will be shorthanded in an emergency.\But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days, response:	the completed transcontinental railroad will carry envoys and civilian Dolls
context: But fortunately, your unit is still fully operational.\What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls response:	from Distery to Gardarik as a symbol of peace.
context: What's more, the navy is perfectly suited for this plan.\With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace. response:	I sense potential risks here. We must avoid another war at all costs.
context: With Gilbert gone,\you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs. response:	You are free to use any units in the vicinity.
context: you want to push the trouble on his older brother instead, huh?\There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity. response:	You have to stop them.
context: There is no doubt that the opposition will come to disrupt the peace negotiations.\Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them. response:	Peace, huh?
context: Do you have any ideas about what they're planning to do?\In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them.\Peace, huh? response:	Young lady, are you sure you want me to drop you off in Distery?
context: In three days,\the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery? response:	If I can resupply, I could take you all the way to Leiden, you know.
context: the completed transcontinental railroad will carry envoys and civilian Dolls\from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know. response:	Considering what you've just been through...
context: from Distery to Gardarik as a symbol of peace.\I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through... response:	Well, let me know if you change your mind.
context: I sense potential risks here. We must avoid another war at all costs.\You are free to use any units in the vicinity.\You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind. response:	They're all on edge.
context: You are free to use any units in the vicinity.\You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge. response:	It shows just how important this mission must be.
context: You have to stop them.\Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be. response:	So, our job will be to accompany this special envoy to Gardarik,
context: Peace, huh?\Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik, response:	and take part in the public peace treaty exchange?
context: Young lady, are you sure you want me to drop you off in Distery?\If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange? response:	Yes. Once that's over...
context: If I can resupply, I could take you all the way to Leiden, you know.\Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over... response:	that will finally put an end to the war.
context: Considering what you've just been through...\Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war. response:	E- Excuse me! You must be with CH Postal Company.
context: Well, let me know if you change your mind.\They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company. response:	Yes.
context: They're all on edge.\It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes. response:	Please allow me to announce our upcoming schedule.
context: It shows just how important this mission must be.\So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule. response:	Our ship departed the Port of Leiden at 1100 hours.
context: So, our job will be to accompany this special envoy to Gardarik,\and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours. response:	We will travel north up the Rentler River via Nahahar,
context: and take part in the public peace treaty exchange?\Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar, response:	using the canals from Machtig,
context: Yes. Once that's over...\that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig, response:	which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.
context: that will finally put an end to the war.\E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow. response:	We will have you and the special envoy
context: E- Excuse me! You must be with CH Postal Company.\Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy response:	board a special train which will be waiting for you there.
context: Yes.\Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there. response:	We are taking you part of the way by ship for your safety.
context: Please allow me to announce our upcoming schedule.\Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety. response:	Thank you.
context: Our ship departed the Port of Leiden at 1100 hours.\We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you. response:	Didn't the president of your company come here with you?
context: We will travel north up the Rentler River via Nahahar,\using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you? response:	Retiring from service as soon as the war ended. What a disgrace.
context: using the canals from Machtig,\which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace. response:	And just who are you?
context: which schedules us to arrive at Distery in Eckstreme at 1200 hours tomorrow.\We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you? response:	C- Captain Bougainvillea!
context: We will have you and the special envoy\board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea! response:	Bougainvillea?
context: board a special train which will be waiting for you there.\We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea!\Bougainvillea? response:	Isn't that the name of Violet's major?
context: We are taking you part of the way by ship for your safety.\Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major? response:	I am his older brother.
context: Thank you.\Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother. response:	What do you want?
context: Didn't the president of your company come here with you?\Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother.\What do you want? response:	Leave us.
context: Retiring from service as soon as the war ended. What a disgrace.\And just who are you?\C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother.\What do you want?\Leave us. response:	Yes, sir!
context: And just who are you?\C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother.\What do you want?\Leave us.\Yes, sir! response:	My mission is to protect you until we reach our destination
context: C- Captain Bougainvillea!\Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother.\What do you want?\Leave us.\Yes, sir!\My mission is to protect you until we reach our destination response:	and ensure the signing ceremony is a success.
context: Bougainvillea?\Isn't that the name of Violet's major?\I am his older brother.\What do you want?\Leave us.\Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success. response:	Are you the only civilian Doll?
context: Isn't that the name of Violet's major?\I am his older brother.\What do you want?\Leave us.\Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll? response:	Yes.
context: I am his older brother.\What do you want?\Leave us.\Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes. response:	If you're asking about Violet, she won't be coming this time.
context: What do you want?\Leave us.\Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time. response:	That is for the best.
context: Leave us.\Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best. response:	In any case,
context: Yes, sir!\My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case, response:	is she still working as a Doll?
context: My mission is to protect you until we reach our destination\and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case,\is she still working as a Doll? response:	That sorry excuse for a human being.
context: and ensure the signing ceremony is a success.\Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case,\is she still working as a Doll?\That sorry excuse for a human being. response:	Just hold on-
context: Are you the only civilian Doll?\Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case,\is she still working as a Doll?\That sorry excuse for a human being.\Just hold on- response:	Yes, she might be flawed,
context: Yes.\If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case,\is she still working as a Doll?\That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed, response:	but she's still trying her best.
context: If you're asking about Violet, she won't be coming this time.\That is for the best.\In any case,\is she still working as a Doll?\That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed,\but she's still trying her best. response:	There are even people she's saved with her letters.
context: That is for the best.\In any case,\is she still working as a Doll?\That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters. response:	What?
context: In any case,\is she still working as a Doll?\That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters.\What? response:	Violet...
context: is she still working as a Doll?\That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters.\What?\Violet... response:	writes wonderful letters.
context: That sorry excuse for a human being.\Just hold on-\Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters.\What?\Violet...\writes wonderful letters. response:	They slip right into a person's heart.
context: Just hold on-\Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters.\What?\Violet...\writes wonderful letters.\They slip right into a person's heart. response:	Her letters allow people to be true to themselves.
context: Yes, she might be flawed,\but she's still trying her best.\There are even people she's saved with her letters.\What?\Violet...\writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves. response:	Did you make it in time?
context: but she's still trying her best.\There are even people she's saved with her letters.\What?\Violet...\writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time? response:	The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.
context: There are even people she's saved with her letters.\What?\Violet...\writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived. response:	Thank you for traveling all this way.
context: What?\Violet...\writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way. response:	Sir.
context: Violet...\writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir. response:	I'm grateful to you, Brigadier General Merkulov,
context: writes wonderful letters.\They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov, response:	not only for saving me in Intense,
context: They slip right into a person's heart.\Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense, response:	but also for rescuing me from the POW camp.
context: Her letters allow people to be true to themselves.\Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp. response:	Intense, huh?
context: Did you make it in time?\The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh? response:	I'll never forget that...
context: The 1,041 Gardarik soldiers who escaped from the POW camp have arrived.\Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that... response:	humiliation.
context: Thank you for traveling all this way.\Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that...\humiliation. response:	Furthermore, our diversionary tactics were a success.
context: Sir.\I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success. response:	The southern fools likely believe we were wiped out in Ctrigall.
context: I'm grateful to you, Brigadier General Merkulov,\not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall. response:	Very good.
context: not only for saving me in Intense,\but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good. response:	We will take this opportunity to destroy transportation
context: but also for rescuing me from the POW camp.\Intense, huh?\I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation response:	between the north and south,
context: Intense, huh?\I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation\between the north and south, response:	and use the confusion to retake Intense.
context: I'll never forget that...\humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense. response:	That's the railroad.
context: humiliation.\Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense.\That's the railroad. response:	You can follow this all the way to Leidenschaftlich.
context: Furthermore, our diversionary tactics were a success.\The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich. response:	This railroad also allows food and resources to enter my country.
context: The southern fools likely believe we were wiped out in Ctrigall.\Very good.\We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country. response:	It brings peace to the north and south.
context: Very good.\We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south. response:	Peace.
context: We will take this opportunity to destroy transportation\between the north and south,\and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace. response:	Yeah. We won't have to fight anymore.
context: between the north and south,\and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore. response:	Then I'll be busy with all the extra work coming in!
context: and use the confusion to retake Intense.\That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in! response:	I might get to deliver one of your letters again.
context: That's the railroad.\You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again. response:	Dad!
context: You can follow this all the way to Leidenschaftlich.\This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad! response:	You're back!
context: This railroad also allows food and resources to enter my country.\It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad!\You're back! response:	I'm home.
context: It brings peace to the north and south.\Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad!\You're back!\I'm home. response:	I hope she'll be back soon.
context: Peace.\Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad!\You're back!\I'm home.\I hope she'll be back soon. response:	Fires broke out along the railway yesterday.
context: Yeah. We won't have to fight anymore.\Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad!\You're back!\I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday. response:	Do you know where?
context: Then I'll be busy with all the extra work coming in!\I might get to deliver one of your letters again.\Dad!\You're back!\I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where? response:	I'll have them check.
context: I might get to deliver one of your letters again.\Dad!\You're back!\I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where?\I'll have them check. response:	So, they've made their move.
context: Dad!\You're back!\I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where?\I'll have them check.\So, they've made their move. response:	The Grandezza Bridge.
context: You're back!\I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where?\I'll have them check.\So, they've made their move.\The Grandezza Bridge. response:	This was the final piece to complete the connection between the north and south.
context: I'm home.\I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where?\I'll have them check.\So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south. response:	Intense.
context: I hope she'll be back soon.\Fires broke out along the railway yesterday.\Do you know where?\I'll have them check.\So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense. response:	What the hell?
context: Fires broke out along the railway yesterday.\Do you know where?\I'll have them check.\So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense.\What the hell? response:	Is it a fire?
context: Do you know where?\I'll have them check.\So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense.\What the hell?\Is it a fire? response:	No!
context: I'll have them check.\So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense.\What the hell?\Is it a fire?\No! response:	Those are signs of an explosion!
context: So, they've made their move.\The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense.\What the hell?\Is it a fire?\No!\Those are signs of an explosion! response:	Send a message to the brigadier general that our infiltration was successful.
context: The Grandezza Bridge.\This was the final piece to complete the connection between the north and south.\Intense.\What the hell?\Is it a fire?\No!\Those are signs of an explosion!\Send a message to the brigadier general that our infiltration was successful. response:	Affirmative.
