context: I can't believe you're a spy. response:	There was no other way to get across the Wall.
context: I'll deceive you,\the world...\and...\even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command, response:	the Kingdom of Albion became the greatest world power since the Roman Empire.
context: the world...\and...\even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire. response:	However,
context: and...\even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However, response:	revolution split the kingdom into East and West,
context: even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West, response:	with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion. response:	Ten years later, London became the front-line of a secret war fought between the nations' spies.
context: The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies. response:	How did you like this morning's tea, Your Highness?
context: has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness? response:	I was just in the mood for some Nuwara Eliya.
context: With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya. response:	You know me so well, Beatrice.
context: the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice. response:	Today, you're expected to attend the send-off for the Crown Prince at 10.
context: However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10. response:	Then you will be participating in the inaugural meeting of the Life Improvement Society,
context: revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society, response:	and reading a message on behalf of Her Majesty the Queen.
context: with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen. response:	Thank you, Beatrice.
context: Ten years later, London became the front-line of a secret war fought between the nations' spies.\How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice. response:	And...
context: How did you like this morning's tea, Your Highness?\I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And... response:	I'm sorry.
context: I was just in the mood for some Nuwara Eliya.\You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And...\I'm sorry. response:	For making that decision about Ange without talking to you.
context: You know me so well, Beatrice.\Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And...\I'm sorry.\For making that decision about Ange without talking to you. response:	I'm against it.
context: Today, you're expected to attend the send-off for the Crown Prince at 10.\Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And...\I'm sorry.\For making that decision about Ange without talking to you.\I'm against it. response:	Those people are spies!
context: Then you will be participating in the inaugural meeting of the Life Improvement Society,\and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And...\I'm sorry.\For making that decision about Ange without talking to you.\I'm against it.\Those people are spies! response:	Their job is to trick and deceive people.
context: and reading a message on behalf of Her Majesty the Queen.\Thank you, Beatrice.\And...\I'm sorry.\For making that decision about Ange without talking to you.\I'm against it.\Those people are spies!\Their job is to trick and deceive people. response:	We can't trust them!
context: Thank you, Beatrice.\And...\I'm sorry.\For making that decision about Ange without talking to you.\I'm against it.\Those people are spies!\Their job is to trick and deceive people.\We can't trust them! response:	But they do say, The enemy of my enemy is my friend.
context: And...\I'm sorry.\For making that decision about Ange without talking to you.\I'm against it.\Those people are spies!\Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend. response:	Anyway, Your Highness, I will protect you, just like I always have...
context: I'm sorry.\For making that decision about Ange without talking to you.\I'm against it.\Those people are spies!\Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have... response:	Princess, you in there?
context: For making that decision about Ange without talking to you.\I'm against it.\Those people are spies!\Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there? response:	Wow, I didn't think your room would be so plain.
context: I'm against it.\Those people are spies!\Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain. response:	Wh-where are your manners?! You don't have an appointment!
context: Those people are spies!\Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment! response:	I'm visiting a friend. Don't be so uptight.
context: Their job is to trick and deceive people.\We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight. response:	A friend?!
context: We can't trust them!\But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?! response:	We're all fellow students here, aren't we?
context: But they do say, The enemy of my enemy is my friend.\Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we? response:	Maybe on the surface, but...!
context: Anyway, Your Highness, I will protect you, just like I always have...\Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...! response:	If we're going to be friends, we'll need a reason.
context: Princess, you in there?\Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason. response:	What should our story be?
context: Wow, I didn't think your room would be so plain.\Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be? response:	We grew up together on the Black Lizard Planet.
context: Wh-where are your manners?! You don't have an appointment!\I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet. response:	No!
context: I'm visiting a friend. Don't be so uptight.\A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet.\No! response:	What about cross-dressing?
context: A friend?!\We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet.\No!\What about cross-dressing? response:	We know the Princess' unspeakable secret!
context: We're all fellow students here, aren't we?\Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet.\No!\What about cross-dressing?\We know the Princess' unspeakable secret! response:	Certainly not!
context: Maybe on the surface, but...!\If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet.\No!\What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not! response:	Why would Her Highness do something so indecent?!
context: If we're going to be friends, we'll need a reason.\What should our story be?\We grew up together on the Black Lizard Planet.\No!\What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?! response:	Then back to the Black Lizard Planet idea...
context: What should our story be?\We grew up together on the Black Lizard Planet.\No!\What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea... response:	No!
context: We grew up together on the Black Lizard Planet.\No!\What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No! response:	Absolutely not!
context: No!\What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No!\Absolutely not! response:	Club room?
context: What about cross-dressing?\We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No!\Absolutely not!\Club room? response:	If we tell everyone it's for our club, we can get away with all kinds of things.
context: We know the Princess' unspeakable secret!\Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No!\Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things. response:	We'll figure out exactly what club it is later.
context: Certainly not!\Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No!\Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later. response:	Oof!
context: Why would Her Highness do something so indecent?!\Then back to the Black Lizard Planet idea...\No!\Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof! response:	Are they all... real?
context: Then back to the Black Lizard Planet idea...\No!\Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof!\Are they all... real? response:	You did all this yourself, Dorothy?
context: No!\Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof!\Are they all... real?\You did all this yourself, Dorothy? response:	Are you impressed with me now?
context: Absolutely not!\Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof!\Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now? response:	Yes, I'll come to you next time I'm making an anteater hutch.
context: Club room?\If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof!\Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch. response:	Nice work getting the safety off.
context: If we tell everyone it's for our club, we can get away with all kinds of things.\We'll figure out exactly what club it is later.\Oof!\Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off. response:	Your Highness!
context: We'll figure out exactly what club it is later.\Oof!\Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness! response:	And you lot!
context: Oof!\Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness!\And you lot! response:	Bringing Her Highness into such a dangerous place...!
context: Are they all... real?\You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...! response:	What are you thinking?!
context: You did all this yourself, Dorothy?\Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?! response:	The truth is, we have orders from Control.
context: Are you impressed with me now?\Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control. response:	You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?
context: Yes, I'll come to you next time I'm making an anteater hutch.\Nice work getting the safety off.\Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom? response:	Our orders are to board HMS Gloucester
context: Nice work getting the safety off.\Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester response:	and recover the printing plates for the Commonwealth Pound.
context: Your Highness!\And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound. response:	Why would the Royal Air Force have plates for Commonwealth currency?
context: And you lot!\Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency? response:	They were stolen.
context: Bringing Her Highness into such a dangerous place...!\What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen. response:	The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.
context: What are you thinking?!\The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability. response:	That's where Princess comes in.
context: The truth is, we have orders from Control.\You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in. response:	We need you to board the Gloucester and create an opening for us to stow away.
context: You mean from the director of the Commonwealth spies who are infiltrating the Kingdom?\Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away. response:	So this is my first mission.
context: Our orders are to board HMS Gloucester\and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission. response:	No! I won't let her do anything so dangerous!
context: and recover the printing plates for the Commonwealth Pound.\Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous! response:	Don't worry.
context: Why would the Royal Air Force have plates for Commonwealth currency?\They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry. response:	If the worst should happen...
context: They were stolen.\The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen... response:	I'll take her place.
context: The Duke of Normandy plans to mass-produce pound notes in the colonies to create financial instability.\That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen...\I'll take her place. response:	In that case, our beginner has nothing to worry about.
context: That's where Princess comes in.\We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about. response:	It's true. It's like I'm looking in a mirror.
context: We need you to board the Gloucester and create an opening for us to stow away.\So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror. response:	Your Highness!
context: So this is my first mission.\No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness! response:	How can you be so calm?!
context: No! I won't let her do anything so dangerous!\Don't worry.\If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?! response:	These people are-
context: Don't worry.\If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?!\These people are- response:	Beatrice!
context: If the worst should happen...\I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?!\These people are-\Beatrice! response:	Excuse me!
context: I'll take her place.\In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?!\These people are-\Beatrice!\Excuse me! response:	What was THAT all about?
context: In that case, our beginner has nothing to worry about.\It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?!\These people are-\Beatrice!\Excuse me!\What was THAT all about? response:	There was a mechanism in her throat.
context: It's true. It's like I'm looking in a mirror.\Your Highness!\How can you be so calm?!\These people are-\Beatrice!\Excuse me!\What was THAT all about?\There was a mechanism in her throat. response:	Beatrice's father is known for being fanatical about machines.
context: Your Highness!\How can you be so calm?!\These people are-\Beatrice!\Excuse me!\What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines. response:	Possessed by machines himself,
context: How can you be so calm?!\These people are-\Beatrice!\Excuse me!\What was THAT all about?\There was a mechanism in her throat.\Beatrice's father is known for being fanatical about machines.\Possessed by machines himself, response:	he eventually began to experiment on his own daughter.
