context: Saito? response:	I wonder what happened.
context: I never thought I'd be\able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too.\Skin...\I know! Let's have a party here.\A party?\Yeah. response:	I've been wanting to invite Guiche
context: able to take a hot spring bath over here.\It's really good for your skin, right?\There was one back in my village, too.\Skin...\I know! Let's have a party here.\A party?\Yeah.\I've been wanting to invite Guiche response:	and the others once we settled down a bit,
context: It's really good for your skin, right?\There was one back in my village, too.\Skin...\I know! Let's have a party here.\A party?\Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit, response:	but since we're all here, let's go for a dip.
context: There was one back in my village, too.\Skin...\I know! Let's have a party here.\A party?\Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip. response:	What?! Get in it together?!
context: Skin...\I know! Let's have a party here.\A party?\Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?! response:	This is going to be fun. Yeah!
context: I know! Let's have a party here.\A party?\Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah! response:	Trouble at the Outdoor Bath
context: A party?\Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath response:	Friends, please lend me your ears!
context: Yeah.\I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears! response:	The second in command of our
context: I've been wanting to invite Guiche\and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our response:	Order of the Undine Knights
context: and the others once we settled down a bit,\but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights response:	and the new lord of De Ornieres, Saito,
context: but since we're all here, let's go for a dip.\What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito, response:	has invited us to a grand opening party.
context: What?! Get in it together?!\This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party. response:	Furthermore, apparently
context: This is going to be fun. Yeah!\Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently response:	there's this thing called a hot spring on his land.
context: Trouble at the Outdoor Bath\Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land. response:	That's something like a bath, right?
context: Friends, please lend me your ears!\The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right? response:	According to Saito's letter,
context: The second in command of our\Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter, response:	it's customary in a hot spring to
context: Order of the Undine Knights\and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to response:	interact in the nude.
context: and the new lord of De Ornieres, Saito,\has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to\interact in the nude. response:	In the nude... That means, of course...
context: has invited us to a grand opening party.\Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course... response:	Long live the Order of the Undine Knights!
context: Furthermore, apparently\there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights! response:	I heard that your skin gets so
context: there's this thing called a hot spring on his land.\That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so response:	unbelievably beautiful after a hot spring visit
context: That's something like a bath, right?\According to Saito's letter,\it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit response:	that you can make any man yours.
context: According to Saito's letter,\it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours. response:	Then Jean will finally be mine.
context: it's customary in a hot spring to\interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine. response:	Tiffa!
context: interact in the nude.\In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine.\Tiffa! response:	You're going to the party, too, right?
context: In the nude... That means, of course...\Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right? response:	Yes.
context: Long live the Order of the Undine Knights!\I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right?\Yes. response:	I'll be able to see Saito soon...
context: I heard that your skin gets so\unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right?\Yes.\I'll be able to see Saito soon... response:	So there's only one tub?
context: unbelievably beautiful after a hot spring visit\that you can make any man yours.\Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right?\Yes.\I'll be able to see Saito soon...\So there's only one tub? response:	We're going to get in at different times.
context: that you can make any man yours.\Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right?\Yes.\I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times. response:	First the women go in, then the guys go in.
context: Then Jean will finally be mine.\Tiffa!\You're going to the party, too, right?\Yes.\I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in. response:	This truly is any man's dream.
context: Tiffa!\You're going to the party, too, right?\Yes.\I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream. response:	Hey!
context: You're going to the party, too, right?\Yes.\I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream.\Hey! response:	You totally just pictured the other girls.
context: Yes.\I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream.\Hey!\You totally just pictured the other girls. response:	Of course not. Why would I do that?
context: I'll be able to see Saito soon...\So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream.\Hey!\You totally just pictured the other girls.\Of course not. Why would I do that? response:	Screw this hot spring. I'm not getting in.
context: So there's only one tub?\We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream.\Hey!\You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in. response:	Then it's all for nothing.
context: We're going to get in at different times.\First the women go in, then the guys go in.\This truly is any man's dream.\Hey!\You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing. response:	It was my dream to
context: First the women go in, then the guys go in.\This truly is any man's dream.\Hey!\You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to response:	get in a hot spring together with someone I love.
context: This truly is any man's dream.\Hey!\You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love. response:	T-Together?!
context: Hey!\You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love.\T-Together?! response:	Yeah. Get in with me, Louise!
context: You totally just pictured the other girls.\Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise! response:	A-A-Are you crazy?!
context: Of course not. Why would I do that?\Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?! response:	I'd be so embarrassed, I'd die!
context: Screw this hot spring. I'm not getting in.\Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die! response:	Tabitha...
context: Then it's all for nothing.\It was my dream to\get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha... response:	Tabitha!
context: It was my dream to\get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha...\Tabitha! response:	Wait up, Tabitha.
context: get in a hot spring together with someone I love.\T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha...\Tabitha!\Wait up, Tabitha. response:	I just wanted to thank you for before.
context: T-Together?!\Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha...\Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before. response:	What are you talking about?
context: Yeah. Get in with me, Louise!\A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha...\Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about? response:	Thanks to you,
context: A-A-Are you crazy?!\I'd be so embarrassed, I'd die!\Tabitha...\Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about?\Thanks to you, response:	I was able to make up with Saito.
context: I'd be so embarrassed, I'd die!\Tabitha...\Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about?\Thanks to you,\I was able to make up with Saito. response:	Really, thank you.
context: Tabitha...\Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about?\Thanks to you,\I was able to make up with Saito.\Really, thank you. response:	The next time something happens, I'm taking him.
context: Tabitha!\Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about?\Thanks to you,\I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him. response:	Tomorrow's finally the day!
context: Wait up, Tabitha.\I just wanted to thank you for before.\What are you talking about?\Thanks to you,\I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day! response:	Siesta, what are the plans for tomorrow?
context: I just wanted to thank you for before.\What are you talking about?\Thanks to you,\I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow? response:	Please rest assured.
context: What are you talking about?\Thanks to you,\I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured. response:	I'm going to prepare a feast true to its name.
context: Thanks to you,\I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name. response:	Tabitha?
context: I was able to make up with Saito.\Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha? response:	You haven't eaten anything.
context: Really, thank you.\The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything. response:	Is something wrong?
context: The next time something happens, I'm taking him.\Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything.\Is something wrong? response:	Thanks for the meal.
context: Tomorrow's finally the day!\Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything.\Is something wrong?\Thanks for the meal. response:	Unlike you, my sister eats like a bird.
context: Siesta, what are the plans for tomorrow?\Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything.\Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird. response:	If that's what it is.
context: Please rest assured.\I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything.\Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is. response:	But since the hot spring is finished,
context: I'm going to prepare a feast true to its name.\Tabitha?\You haven't eaten anything.\Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished, response:	I'd want her to get in, too.
context: Tabitha?\You haven't eaten anything.\Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too. response:	Ow!
context: You haven't eaten anything.\Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too.\Ow! response:	I can't believe you.
context: Is something wrong?\Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too.\Ow!\I can't believe you. response:	We have to get up early tomorrow.
context: Thanks for the meal.\Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too.\Ow!\I can't believe you.\We have to get up early tomorrow. response:	I'm going to bed.
context: Unlike you, my sister eats like a bird.\If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too.\Ow!\I can't believe you.\We have to get up early tomorrow.\I'm going to bed. response:	My foot...
context: If that's what it is.\But since the hot spring is finished,\I'd want her to get in, too.\Ow!\I can't believe you.\We have to get up early tomorrow.\I'm going to bed.\My foot... response:	I don't have time.
context: But since the hot spring is finished,\I'd want her to get in, too.\Ow!\I can't believe you.\We have to get up early tomorrow.\I'm going to bed.\My foot...\I don't have time. response:	If you know that, you have to lay your egg quickly!
context: I'd want her to get in, too.\Ow!\I can't believe you.\We have to get up early tomorrow.\I'm going to bed.\My foot...\I don't have time.\If you know that, you have to lay your egg quickly! response:	You won't get any more chances!
context: Ow!\I can't believe you.\We have to get up early tomorrow.\I'm going to bed.\My foot...\I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances! response:	Aren't you in love with him?!
context: I can't believe you.\We have to get up early tomorrow.\I'm going to bed.\My foot...\I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?! response:	Then...
context: We have to get up early tomorrow.\I'm going to bed.\My foot...\I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?!\Then... response:	I know.
context: I'm going to bed.\My foot...\I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?!\Then...\I know. response:	I didn't realize it got so late
context: My foot...\I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?!\Then...\I know.\I didn't realize it got so late response:	while we were getting ready for tomorrow.
context: I don't have time.\If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?!\Then...\I know.\I didn't realize it got so late\while we were getting ready for tomorrow. response:	Oh, Louise is already sleeping?
context: If you know that, you have to lay your egg quickly!\You won't get any more chances!\Aren't you in love with him?!\Then...\I know.\I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping? response:	Right now we're alone...
context: You won't get any more chances!\Aren't you in love with him?!\Then...\I know.\I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone... response:	Louise...
context: Aren't you in love with him?!\Then...\I know.\I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone...\Louise... response:	I've always wanted to do this.
context: Then...\I know.\I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone...\Louise...\I've always wanted to do this. response:	Don't worry,
context: I know.\I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone...\Louise...\I've always wanted to do this.\Don't worry, response:	I'll be gentle.
context: I didn't realize it got so late\while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone...\Louise...\I've always wanted to do this.\Don't worry,\I'll be gentle. response:	Louise.
context: while we were getting ready for tomorrow.\Oh, Louise is already sleeping?\Right now we're alone...\Louise...\I've always wanted to do this.\Don't worry,\I'll be gentle.\Louise. response:	That voice was...
context: Oh, Louise is already sleeping?\Right now we're alone...\Louise...\I've always wanted to do this.\Don't worry,\I'll be gentle.\Louise.\That voice was... response:	T-Tabitha?!
context: Right now we're alone...\Louise...\I've always wanted to do this.\Don't worry,\I'll be gentle.\Louise.\That voice was...\T-Tabitha?! response:	Please just keep going.
context: Louise...\I've always wanted to do this.\Don't worry,\I'll be gentle.\Louise.\That voice was...\T-Tabitha?!\Please just keep going. response:	Huh? But, you? Keep going?
context: I've always wanted to do this.\Don't worry,\I'll be gentle.\Louise.\That voice was...\T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going? response:	I want you
context: Don't worry,\I'll be gentle.\Louise.\That voice was...\T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going?\I want you response:	to have me.
context: I'll be gentle.\Louise.\That voice was...\T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going?\I want you\to have me. response:	Huh? But, wait, Tabit
context: Louise.\That voice was...\T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going?\I want you\to have me.\Huh? But, wait, Tabit response:	Saito, I know what I said earlier,
context: That voice was...\T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going?\I want you\to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier, response:	but I'll actually get in the hot spring, too.
context: T-Tabitha?!\Please just keep going.\Huh? But, you? Keep going?\I want you\to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too. response:	T-Tabitha?!
context: Please just keep going.\Huh? But, you? Keep going?\I want you\to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?! response:	Saito?
context: Huh? But, you? Keep going?\I want you\to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito? response:	Yes!
context: I want you\to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito?\Yes! response:	Care to explain?
context: to have me.\Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito?\Yes!\Care to explain? response:	It's not what you think! I mistook her for you and...
context: Huh? But, wait, Tabit\Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito?\Yes!\Care to explain?\It's not what you think! I mistook her for you and... response:	Mistook?
context: Saito, I know what I said earlier,\but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito?\Yes!\Care to explain?\It's not what you think! I mistook her for you and...\Mistook? response:	I mean, just like you, her chest is...
context: but I'll actually get in the hot spring, too.\T-Tabitha?!\Saito?\Yes!\Care to explain?\It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is... response:	What about her chest?!
context: T-Tabitha?!\Saito?\Yes!\Care to explain?\It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is...\What about her chest?! response:	No, I mean, wait!
context: Saito?\Yes!\Care to explain?\It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait! response:	This is a what you call an unfortunate accident.
context: Yes!\Care to explain?\It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident. response:	L-Louise?!
context: Care to explain?\It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?! response:	Anyone who's like me is out!
context: It's not what you think! I mistook her for you and...\Mistook?\I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out! response:	Since I'm his master, naturally I'm by his side.
context: Mistook?\I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side. response:	Since I'm his maid...
context: I mean, just like you, her chest is...\What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid... response:	I don't think this will work.
context: What about her chest?!\No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work. response:	How about we settle it with rock paper scissors?
context: No, I mean, wait!\This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors? response:	Why are you in charge of this?
context: This is a what you call an unfortunate accident.\L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this? response:	Um... So...
context: L-Louise?!\Anyone who's like me is out!\Since I'm his master, naturally I'm by his side.\Since I'm his maid...\I don't think this will work.\How about we settle it with rock paper scissors?\Why are you in charge of this?\Um... So... response:	What?!
