context: It's here! response:	It's here! Here! Here! Here! Here!
context: Oh, Suruga.\Tell us later.\IT'S HERE!\What is?\The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model! response:	The Aloof Ace
context: Tell us later.\IT'S HERE!\What is?\The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace response:	Ain't it awesome?
context: IT'S HERE!\What is?\The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace\Ain't it awesome? response:	Did they level up the unit's firepower?
context: What is?\The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower? response:	It also has superior mobility.
context: The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility. response:	It's big and black...
context: New dried sea-ear wrapped around squid?\NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility.\It's big and black... response:	And sparkly...
context: NO! It's a new AHSMB!\It's the new AHSMB model!\The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility.\It's big and black...\And sparkly... response:	What type of review is that?
context: It's the new AHSMB model!\The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility.\It's big and black...\And sparkly...\What type of review is that? response:	As part of the New Self-Maintenance Plan,
context: The Aloof Ace\Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility.\It's big and black...\And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan, response:	Black 6 used our AHSMB data as the foundation-
context: Ain't it awesome?\Did they level up the unit's firepower?\It also has superior mobility.\It's big and black...\And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation- response:	So, who's gonna pilot this puppy?
context: Did they level up the unit's firepower?\It also has superior mobility.\It's big and black...\And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy? response:	Your underclassman.
context: It also has superior mobility.\It's big and black...\And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman. response:	This would is your new team member, Kuroki Ange.
context: It's big and black...\And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange. response:	A hot guy!
context: And sparkly...\What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy! response:	A hot girl!
context: What type of review is that?\As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl! response:	Which is it?
context: As part of the New Self-Maintenance Plan,\Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl!\Which is it? response:	Ange, allow me to introduce the members of Team Rabbits.
context: Black 6 used our AHSMB data as the foundation-\So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits. response:	This is your leader, Izuru.
context: So, who's gonna pilot this puppy?\Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru. response:	And this is Asagi, Suruga, Kei and Tamaki.
context: Your underclassman.\This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki. response:	It-it's...a pleasure to meet you...
context: This would is your new team member, Kuroki Ange.\A hot guy!\A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you... response:	Sirs.
context: A hot guy!\A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs. response:	Have you worked out Black 6's pit crew?
context: A hot girl!\Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew? response:	Black 6's pilot will be its pit crew.
context: Which is it?\Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew. response:	It's so highly automated that it doesn't require a specialized pit crew.
context: Ange, allow me to introduce the members of Team Rabbits.\This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew. response:	Naturally, the ground crew will handle its regular maintenance.
context: This is your leader, Izuru.\And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance. response:	Makes sense...
context: And this is Asagi, Suruga, Kei and Tamaki.\It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense... response:	If we're going to mass produce AHSMBs,
context: It-it's...a pleasure to meet you...\Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs, response:	we have to simplify maintenance first.
context: Sirs.\Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first. response:	Currently, the AHSMB are the
context: Have you worked out Black 6's pit crew?\Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the response:	only thing that can fight on par with the Wulgaru.
context: Black 6's pilot will be its pit crew.\It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru. response:	We worked ourselves to the bone to get this new model done ASAP.
context: It's so highly automated that it doesn't require a specialized pit crew.\Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP. response:	You don't look happy.
context: Naturally, the ground crew will handle its regular maintenance.\Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy. response:	Well, yeah...
context: Makes sense...\If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah... response:	This means you'll have to send an increasing
context: If we're going to mass produce AHSMBs,\we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah...\This means you'll have to send an increasing response:	number of your students to the frontlines.
context: we have to simplify maintenance first.\Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines. response:	Hasn't the new pilot arrived?
context: Currently, the AHSMB are the\only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived? response:	I'll introduce you later.
context: only thing that can fight on par with the Wulgaru.\We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later. response:	But I'm worried about how everyone is going to take to this new kid...
context: We worked ourselves to the bone to get this new model done ASAP.\You don't look happy.\Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid... response:	He called us, Sirs!
context: You don't look happy.\Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs! response:	Dang, we've gotta be sure to teach her all of the ins and outs!
context: Well, yeah...\This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs! response:	So, is that a male or a female?
context: This means you'll have to send an increasing\number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female? response:	Are you curious?
context: number of your students to the frontlines.\Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious? response:	Nah, I couldn't care less.
context: Hasn't the new pilot arrived?\I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious?\Nah, I couldn't care less. response:	A welcoming party...
context: I'll introduce you later.\But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious?\Nah, I couldn't care less.\A welcoming party... response:	Why don't we hold a welcoming party to help
context: But I'm worried about how everyone is going to take to this new kid...\He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious?\Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help response:	the new recruit feel at home?
context: He called us, Sirs!\Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious?\Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home? response:	Why should we?
context: Dang, we've gotta be sure to teach her all of the ins and outs!\So, is that a male or a female?\Are you curious?\Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we? response:	Why not?
context: So, is that a male or a female?\Are you curious?\Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we?\Why not? response:	I think it's a good idea, Izuru.
context: Are you curious?\Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we?\Why not?\I think it's a good idea, Izuru. response:	Totally!
context: Nah, I couldn't care less.\A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we?\Why not?\I think it's a good idea, Izuru.\Totally! response:	I'm in!
context: A welcoming party...\Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we?\Why not?\I think it's a good idea, Izuru.\Totally!\I'm in! response:	I'll bake the cake!
context: Why don't we hold a welcoming party to help\the new recruit feel at home?\Why should we?\Why not?\I think it's a good idea, Izuru.\Totally!\I'm in!\I'll bake the cake! response:	Putting the cake aside, I should go invite Ange.
context: the new recruit feel at home?\Why should we?\Why not?\I think it's a good idea, Izuru.\Totally!\I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange. response:	Why are you putting that aside? Well?
context: Why should we?\Why not?\I think it's a good idea, Izuru.\Totally!\I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well? response:	We're holding it right now?
context: Why not?\I think it's a good idea, Izuru.\Totally!\I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now? response:	I'll go get him!
context: I think it's a good idea, Izuru.\Totally!\I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now?\I'll go get him! response:	Same!
context: Totally!\I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now?\I'll go get him!\Same! response:	No, this role should go to...
context: I'm in!\I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now?\I'll go get him!\Same!\No, this role should go to... response:	I should ask him for a fresh take on my series!
context: I'll bake the cake!\Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now?\I'll go get him!\Same!\No, this role should go to...\I should ask him for a fresh take on my series! response:	Uh, um, Officer Ange!
context: Putting the cake aside, I should go invite Ange.\Why are you putting that aside? Well?\We're holding it right now?\I'll go get him!\Same!\No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange! response:	Do you have a minute...?
context: Why are you putting that aside? Well?\We're holding it right now?\I'll go get him!\Same!\No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...? response:	Why don't you come in?
context: We're holding it right now?\I'll go get him!\Same!\No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in? response:	Sir, have a seat...
context: I'll go get him!\Same!\No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in?\Sir, have a seat... response:	Uh, so I was thinking-
context: Same!\No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in?\Sir, have a seat...\Uh, so I was thinking- response:	Right! I was thinking the same thing.
context: No, this role should go to...\I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in?\Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing. response:	Let's...
context: I should ask him for a fresh take on my series!\Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in?\Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing.\Let's... response:	One what?
context: Uh, um, Officer Ange!\Do you have a minute...?\Why don't you come in?\Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing.\Let's...\One what? response:	A mock battle.
context: Do you have a minute...?\Why don't you come in?\Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing.\Let's...\One what?\A mock battle. response:	What?!
context: Why don't you come in?\Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing.\Let's...\One what?\A mock battle.\What?! response:	I've been following your battles at the academy.
context: Sir, have a seat...\Uh, so I was thinking-\Right! I was thinking the same thing.\Let's...\One what?\A mock battle.\What?!\I've been following your battles at the academy. response:	I'd love to personally duel each of you.
context: Uh, so I was thinking-\Right! I was thinking the same thing.\Let's...\One what?\A mock battle.\What?!\I've been following your battles at the academy.\I'd love to personally duel each of you. response:	Please!
context: Right! I was thinking the same thing.\Let's...\One what?\A mock battle.\What?!\I've been following your battles at the academy.\I'd love to personally duel each of you.\Please! response:	Why the heck are you two holding a mock battle?!
context: Let's...\One what?\A mock battle.\What?!\I've been following your battles at the academy.\I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?! response:	It just sorta worked out that way...
context: One what?\A mock battle.\What?!\I've been following your battles at the academy.\I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way... response:	How did it work out that way?
context: A mock battle.\What?!\I've been following your battles at the academy.\I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way? response:	Hey, it's all cool!
context: What?!\I've been following your battles at the academy.\I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool! response:	I've been wanting to see Black 6 in action!
context: I've been following your battles at the academy.\I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action! response:	I can't believe you agreed to that without authorization!
context: I'd love to personally duel each of you.\Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization! response:	But I couldn't turn him down!
context: Please!\Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down! response:	A mock battle?
context: Why the heck are you two holding a mock battle?!\It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle? response:	Right. They'd like to see the
context: It just sorta worked out that way...\How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle?\Right. They'd like to see the response:	new recruit's abilities before entering actual combat.
context: How did it work out that way?\Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat. response:	Very well.
context: Hey, it's all cool!\I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well. response:	Are you sure?
context: I've been wanting to see Black 6 in action!\I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well.\Are you sure? response:	I wanted to confirm the new AHSMB model's maneuverability myself.
context: I can't believe you agreed to that without authorization!\But I couldn't turn him down!\A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself. response:	Now we get to see what he's got, huh?
context: But I couldn't turn him down!\A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh? response:	Hang in there, Ange!
context: A mock battle?\Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange! response:	Good luck, Ange!
context: Right. They'd like to see the\new recruit's abilities before entering actual combat.\Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange! response:	Best of luck, Izuru...
context: new recruit's abilities before entering actual combat.\Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru... response:	How do you fight in a mo-
context: Very well.\Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo- response:	Mock battle, start!
context: Are you sure?\I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start! response:	Wow, she's good!
context: I wanted to confirm the new AHSMB model's maneuverability myself.\Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start!\Wow, she's good! response:	Impressive!
context: Now we get to see what he's got, huh?\Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start!\Wow, she's good!\Impressive! response:	Too cool!
context: Hang in there, Ange!\Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start!\Wow, she's good!\Impressive!\Too cool! response:	What the heck?! She's taking this too seriously!
context: Good luck, Ange!\Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start!\Wow, she's good!\Impressive!\Too cool!\What the heck?! She's taking this too seriously! response:	What's with this onslaught?!
context: Best of luck, Izuru...\How do you fight in a mo-\Mock battle, start!\Wow, she's good!\Impressive!\Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?! response:	She's fast!
context: How do you fight in a mo-\Mock battle, start!\Wow, she's good!\Impressive!\Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast! response:	He's overpowering Izuru...
context: Mock battle, start!\Wow, she's good!\Impressive!\Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast!\He's overpowering Izuru... response:	Officer... Ange...?
context: Wow, she's good!\Impressive!\Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast!\He's overpowering Izuru...\Officer... Ange...? response:	You were great.
context: Impressive!\Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast!\He's overpowering Izuru...\Officer... Ange...?\You were great. response:	It's reassuring to know that we have a pilot like
context: Too cool!\What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast!\He's overpowering Izuru...\Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like response:	you on the team.
context: What the heck?! She's taking this too seriously!\What's with this onslaught?!\She's fast!\He's overpowering Izuru...\Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like\you on the team. response:	Honestly, I was dropping by your room to invite
context: What's with this onslaught?!\She's fast!\He's overpowering Izuru...\Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite response:	you to a welcoming party.
context: She's fast!\He's overpowering Izuru...\Officer... Ange...?\You were great.\It's reassuring to know that we have a pilot like\you on the team.\Honestly, I was dropping by your room to invite\you to a welcoming party. response:	If you like-
