context: Wonderful, simply wonderful! response:	Corner her, no matter what!
context: Karen's data... under assessment.\Got to move out.\Damn it...\No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too. response:	Here it is.
context: Got to move out.\Damn it...\No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too.\Here it is. response:	Phew, it's done.
context: Damn it...\No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too.\Here it is.\Phew, it's done. response:	I can't fire inside the room.
context: No, no. The Alpha engine.\Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too.\Here it is.\Phew, it's done.\I can't fire inside the room. response:	Be calm.
context: Dead, they are all dead.\Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too.\Here it is.\Phew, it's done.\I can't fire inside the room.\Be calm. response:	Calm down.
context: Got it. I'll come tomorrow.\Dead, this one is dead.\This one, too.\Here it is.\Phew, it's done.\I can't fire inside the room.\Be calm.\Calm down. response:	You're just bothering me too much!
context: Dead, this one is dead.\This one, too.\Here it is.\Phew, it's done.\I can't fire inside the room.\Be calm.\Calm down.\You're just bothering me too much! response:	Are you a stalker or something? Stop following me!
context: This one, too.\Here it is.\Phew, it's done.\I can't fire inside the room.\Be calm.\Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me! response:	Oh, that's it.
context: Here it is.\Phew, it's done.\I can't fire inside the room.\Be calm.\Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it. response:	Just stop it!
context: Phew, it's done.\I can't fire inside the room.\Be calm.\Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it! response:	Oops, it's so hard to keep myself calm.
context: I can't fire inside the room.\Be calm.\Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm. response:	According to Dr. Shasiem,
context: Be calm.\Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem, response:	the first machine having its own intelligence
context: Calm down.\You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence response:	was X11, one of Xaxa's products.
context: You're just bothering me too much!\Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products. response:	X11 was a domestic companion robot designed for parents
context: Are you a stalker or something? Stop following me!\Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents response:	who had lost their children.
context: Oh, that's it.\Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children. response:	The machines began their attack on humans five years ago, on Christmas day.
context: Just stop it!\Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day. response:	Human society was destroyed in just five years
context: Oops, it's so hard to keep myself calm.\According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years response:	and machines with intelligence began to dominate the world.
context: According to Dr. Shasiem,\the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world. response:	Dr. Shasiem urged the world to destroy the machines,
context: the first machine having its own intelligence\was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines, response:	but nobody agreed.
context: was X11, one of Xaxa's products.\X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed. response:	And town after town was attacked and destroyed.
context: X11 was a domestic companion robot designed for parents\who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed. response:	Dr. Shasiem organized a resistance group called Eleven to defeat the machines.
context: who had lost their children.\The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines. response:	Every I hear a gunshot somewhere, and someone dies.
context: The machines began their attack on humans five years ago, on Christmas day.\Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies. response:	Once we see death every day,
context: Human society was destroyed in just five years\and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day, response:	I don't know why, but we no longer fear it.
context: and machines with intelligence began to dominate the world.\Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it. response:	Instead, I wake up in the morning, thinking thank goodness, I'm still alive.
context: Dr. Shasiem urged the world to destroy the machines,\but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive. response:	Eating breakfast, taking a shower those things have become more important.
context: but nobody agreed.\And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important. response:	Eleven
context: And town after town was attacked and destroyed.\Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven response:	What is it?
context: Dr. Shasiem organized a resistance group called Eleven to defeat the machines.\Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven\What is it? response:	Didn't we have a promise that
context: Every I hear a gunshot somewhere, and someone dies.\Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven\What is it?\Didn't we have a promise that response:	robots never gun down humans in reserve areas.
context: Once we see death every day,\I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven\What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas. response:	You are right.
context: I don't know why, but we no longer fear it.\Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven\What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right. response:	You know, machines fired their guns at a girl for real...
context: Instead, I wake up in the morning, thinking thank goodness, I'm still alive.\Eating breakfast, taking a shower those things have become more important.\Eleven\What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real... response:	Your side had begun subversive acts against the machines.
context: Eating breakfast, taking a shower those things have become more important.\Eleven\What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines. response:	Give the resistance activities some slack.
context: Eleven\What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack. response:	So many of us are gunned down every day.
context: What is it?\Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day. response:	Those humans who attempt to resist have potential.
context: Didn't we have a promise that\robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential. response:	It is a program of evolution.
context: robots never gun down humans in reserve areas.\You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution. response:	You're right. This is all about evolution.
context: You are right.\You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution. response:	You are an accomplice.
context: You know, machines fired their guns at a girl for real...\Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice. response:	Right again,
context: Your side had begun subversive acts against the machines.\Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice.\Right again, response:	but no destruction in the reserve areas, okay?
context: Give the resistance activities some slack.\So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice.\Right again,\but no destruction in the reserve areas, okay? response:	I will convey your message.
context: So many of us are gunned down every day.\Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice.\Right again,\but no destruction in the reserve areas, okay?\I will convey your message. response:	In order to restore beautiful oceans and mountains,
context: Those humans who attempt to resist have potential.\It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice.\Right again,\but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains, response:	we must thin out the humans.
context: It is a program of evolution.\You're right. This is all about evolution.\You are an accomplice.\Right again,\but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans. response:	Only then can we create a society where machines are in control.
context: You're right. This is all about evolution.\You are an accomplice.\Right again,\but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control. response:	Yes, I agreed to that part.
context: You are an accomplice.\Right again,\but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part. response:	But all that was assuming the machines evolved correctly.
context: Right again,\but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly. response:	There are bound to be errors in any evolution.
context: but no destruction in the reserve areas, okay?\I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution. response:	Is that not true of both humans and machines?
context: I will convey your message.\In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines? response:	Yup, I think so.
context: In order to restore beautiful oceans and mountains,\we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so. response:	You know that.
context: we must thin out the humans.\Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so.\You know that. response:	You wanted to become human, after all.
context: Only then can we create a society where machines are in control.\Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so.\You know that.\You wanted to become human, after all. response:	And you let the machines evolve in that direction.
context: Yes, I agreed to that part.\But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so.\You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction. response:	You're becoming bad humans, aren't you not?
context: But all that was assuming the machines evolved correctly.\There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so.\You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not? response:	It wasn't my intention
context: There are bound to be errors in any evolution.\Is that not true of both humans and machines?\Yup, I think so.\You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention response:	to wipe out the human race and create a purely machine world.
context: Is that not true of both humans and machines?\Yup, I think so.\You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world. response:	Understood.
context: Yup, I think so.\You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood. response:	Hey, old man!
context: You know that.\You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood.\Hey, old man! response:	Huh?
context: You wanted to become human, after all.\And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood.\Hey, old man!\Huh? response:	Gimme that one kilogram beef chuck, will ya?
context: And you let the machines evolve in that direction.\You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood.\Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya? response:	Thank you for the business.
context: You're becoming bad humans, aren't you not?\It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood.\Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business. response:	I love this cut of meat.
context: It wasn't my intention\to wipe out the human race and create a purely machine world.\Understood.\Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat. response:	Damn, I bet those machines can't taste anything.
context: to wipe out the human race and create a purely machine world.\Understood.\Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything. response:	They want to copy whatever we do.
context: Understood.\Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do. response:	It's been a while. How's everything with you?
context: Hey, old man!\Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you? response:	Not too bad...
context: Huh?\Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad... response:	I guess.
context: Gimme that one kilogram beef chuck, will ya?\Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad...\I guess. response:	Don't push yourself too hard, though I guess there's no point in telling you that.
context: Thank you for the business.\I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that. response:	Have you received it?
context: I love this cut of meat.\Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it? response:	Yes, I have.
context: Damn, I bet those machines can't taste anything.\They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have. response:	Prime Kobe Beef.
context: They want to copy whatever we do.\It's been a while. How's everything with you?\Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have.\Prime Kobe Beef. response:	Kind of disappointed to think the machines'd eat these.
context: It's been a while. How's everything with you?\Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these. response:	Gimme some of them.
context: Not too bad...\I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them. response:	I'll wrap them for you later.
context: I guess.\Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later. response:	Salmon?
context: Don't push yourself too hard, though I guess there's no point in telling you that.\Have you received it?\Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later.\Salmon? response:	No, it's an underwater action-suit.
context: Have you received it?\Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit. response:	It inflates with air.
context: Yes, I have.\Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit.\It inflates with air. response:	You can shrink it, too.
context: Prime Kobe Beef.\Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too. response:	Take it.
context: Kind of disappointed to think the machines'd eat these.\Gimme some of them.\I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too.\Take it. response:	What?
context: Gimme some of them.\I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too.\Take it.\What? response:	Is this a joke?
context: I'll wrap them for you later.\Salmon?\No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too.\Take it.\What?\Is this a joke? response:	They really want you to join Eleven.
context: Salmon?\No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too.\Take it.\What?\Is this a joke?\They really want you to join Eleven. response:	You must be Karen.
context: No, it's an underwater action-suit.\It inflates with air.\You can shrink it, too.\Take it.\What?\Is this a joke?\They really want you to join Eleven.\You must be Karen. response:	You must be Xiaogang.
context: It inflates with air.\You can shrink it, too.\Take it.\What?\Is this a joke?\They really want you to join Eleven.\You must be Karen.\You must be Xiaogang. response:	Nice to meet you.
