context: Hey, bro! response:	Yes, sir.
context: It's not easy, though.\Tuna, huh?\Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work. response:	That's not fair, Yuki, pretending you're the only good one!
context: Tuna, huh?\Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one! response:	What, you got a problem with that? Huh?
context: Horrified Splash\Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh? response:	Listen up, Yuki. I have something to tell you.
context: Yuki, you're quite tan.\Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you. response:	I should be able to leave the hospital by the end of the week.
context: Well, I've been running around on a boat all day.\Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week. response:	Really?
context: Haru, not so much.\Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really? response:	Hooray!
context: Huh? I'm tan, too.\It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really?\Hooray! response:	Yuki, let's celebrate!
context: It's because you're always skipping work.\That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really?\Hooray!\Yuki, let's celebrate! response:	It's all right.
context: That's not fair, Yuki, pretending you're the only good one!\What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really?\Hooray!\Yuki, let's celebrate!\It's all right. response:	Celebrate!
context: What, you got a problem with that? Huh?\Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really?\Hooray!\Yuki, let's celebrate!\It's all right.\Celebrate! response:	You don't need to do anything special.
context: Listen up, Yuki. I have something to tell you.\I should be able to leave the hospital by the end of the week.\Really?\Hooray!\Yuki, let's celebrate!\It's all right.\Celebrate!\You don't need to do anything special. response:	Golden Cat Cup
context: I should be able to leave the hospital by the end of the week.\Really?\Hooray!\Yuki, let's celebrate!\It's all right.\Celebrate!\You don't need to do anything special.\Golden Cat Cup response:	Tuna
context: Really?\Hooray!\Yuki, let's celebrate!\It's all right.\Celebrate!\You don't need to do anything special.\Golden Cat Cup\Tuna response:	I see.
context: Hooray!\Yuki, let's celebrate!\It's all right.\Celebrate!\You don't need to do anything special.\Golden Cat Cup\Tuna\I see. response:	That's great.
context: Yuki, let's celebrate!\It's all right.\Celebrate!\You don't need to do anything special.\Golden Cat Cup\Tuna\I see.\That's great. response:	Yuki and I are going to celebrate Keito's return.
context: It's all right.\Celebrate!\You don't need to do anything special.\Golden Cat Cup\Tuna\I see.\That's great.\Yuki and I are going to celebrate Keito's return. response:	Celebrate, huh?
context: Celebrate!\You don't need to do anything special.\Golden Cat Cup\Tuna\I see.\That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh? response:	Are you going to give her a present?
context: You don't need to do anything special.\Golden Cat Cup\Tuna\I see.\That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present? response:	Yeah, I was thinking fish.
context: Golden Cat Cup\Tuna\I see.\That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish. response:	Fish?
context: Tuna\I see.\That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish.\Fish? response:	I want to catch something myself for her to eat.
context: I see.\That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat. response:	Good idea.
context: That's great.\Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat.\Good idea. response:	What do you want to catch? I'll help you.
context: Yuki and I are going to celebrate Keito's return.\Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you. response:	Tuna.
context: Celebrate, huh?\Are you going to give her a present?\Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you.\Tuna. response:	Seriously?!
context: Are you going to give her a present?\Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you.\Tuna.\Seriously?! response:	Tuna's great!
context: Yeah, I was thinking fish.\Fish?\I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you.\Tuna.\Seriously?!\Tuna's great! response:	Grandma loves tuna,
context: Fish?\I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you.\Tuna.\Seriously?!\Tuna's great!\Grandma loves tuna, response:	and I'd like to try catching one at least once.
context: I want to catch something myself for her to eat.\Good idea.\What do you want to catch? I'll help you.\Tuna.\Seriously?!\Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once. response:	Tuna fishing, huh?
context: Good idea.\What do you want to catch? I'll help you.\Tuna.\Seriously?!\Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh? response:	He's carefree, isn't he?
context: What do you want to catch? I'll help you.\Tuna.\Seriously?!\Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he? response:	In Enoshima
context: Tuna.\Seriously?!\Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima response:	In Enoshima
context: Seriously?!\Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima\In Enoshima response:	Yamada, we read your report.
context: Tuna's great!\Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima\In Enoshima\Yamada, we read your report. response:	It's a strange incident.
context: Grandma loves tuna,\and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima\In Enoshima\Yamada, we read your report.\It's a strange incident. response:	When I asked the local police about it...
context: and I'd like to try catching one at least once.\Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima\In Enoshima\Yamada, we read your report.\It's a strange incident.\When I asked the local police about it... response:	they said the surfers...
context: Tuna fishing, huh?\He's carefree, isn't he?\In Enoshima\In Enoshima\Yamada, we read your report.\It's a strange incident.\When I asked the local police about it...\they said the surfers... response:	didn't seem to be lying.
context: He's carefree, isn't he?\In Enoshima\In Enoshima\Yamada, we read your report.\It's a strange incident.\When I asked the local police about it...\they said the surfers...\didn't seem to be lying. response:	We have already received information regarding the incident.
context: In Enoshima\In Enoshima\Yamada, we read your report.\It's a strange incident.\When I asked the local police about it...\they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident. response:	Of course, this incident deals
context: In Enoshima\Yamada, we read your report.\It's a strange incident.\When I asked the local police about it...\they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals response:	with neither aircraft nor sea vessels.
context: Yamada, we read your report.\It's a strange incident.\When I asked the local police about it...\they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels. response:	When they came to their senses, time had passed...
context: It's a strange incident.\When I asked the local police about it...\they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed... response:	and they had moved to a different location.
context: When I asked the local police about it...\they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location. response:	I believe it may have something to do with Bermuda Syndrome.
context: they said the surfers...\didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome. response:	Yamada, we did not instruct you to investigate this incident.
context: didn't seem to be lying.\We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident. response:	I know, but...
context: We have already received information regarding the incident.\Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but... response:	Continue your assignment.
context: Of course, this incident deals\with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment. response:	Duck!
context: with neither aircraft nor sea vessels.\When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment.\Duck! response:	Duck!
context: When they came to their senses, time had passed...\and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment.\Duck!\Duck! response:	Enoshima...
context: and they had moved to a different location.\I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment.\Duck!\Duck!\Enoshima... response:	Kamikakushi.
context: I believe it may have something to do with Bermuda Syndrome.\Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment.\Duck!\Duck!\Enoshima...\Kamikakushi. response:	Kamikakushi?
context: Yamada, we did not instruct you to investigate this incident.\I know, but...\Continue your assignment.\Duck!\Duck!\Enoshima...\Kamikakushi.\Kamikakushi? response:	You might want to ask Grandpa about that.
context: I know, but...\Continue your assignment.\Duck!\Duck!\Enoshima...\Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that. response:	Grandpa?
context: Continue your assignment.\Duck!\Duck!\Enoshima...\Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that.\Grandpa? response:	My grandfather.
context: Duck!\Duck!\Enoshima...\Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that.\Grandpa?\My grandfather. response:	He's the head priest of this shrine.
context: Duck!\Enoshima...\Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that.\Grandpa?\My grandfather.\He's the head priest of this shrine. response:	He's also the town mayor.
context: Enoshima...\Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that.\Grandpa?\My grandfather.\He's the head priest of this shrine.\He's also the town mayor. response:	What is it?
context: Kamikakushi.\Kamikakushi?\You might want to ask Grandpa about that.\Grandpa?\My grandfather.\He's the head priest of this shrine.\He's also the town mayor.\What is it? response:	Nothing, you just look quite different.
context: Kamikakushi?\You might want to ask Grandpa about that.\Grandpa?\My grandfather.\He's the head priest of this shrine.\He's also the town mayor.\What is it?\Nothing, you just look quite different. response:	Really? Do I look good?
context: You might want to ask Grandpa about that.\Grandpa?\My grandfather.\He's the head priest of this shrine.\He's also the town mayor.\What is it?\Nothing, you just look quite different.\Really? Do I look good? response:	It's a little strange.
context: Grandpa?\My grandfather.\He's the head priest of this shrine.\He's also the town mayor.\What is it?\Nothing, you just look quite different.\Really? Do I look good?\It's a little strange. response:	You're one to talk.
context: My grandfather.\He's the head priest of this shrine.\He's also the town mayor.\What is it?\Nothing, you just look quite different.\Really? Do I look good?\It's a little strange.\You're one to talk. response:	Is that him?
context: He's the head priest of this shrine.\He's also the town mayor.\What is it?\Nothing, you just look quite different.\Really? Do I look good?\It's a little strange.\You're one to talk.\Is that him? response:	Yeah, that's Grandpa.
context: He's also the town mayor.\What is it?\Nothing, you just look quite different.\Really? Do I look good?\It's a little strange.\You're one to talk.\Is that him?\Yeah, that's Grandpa. response:	Grandpa!
context: What is it?\Nothing, you just look quite different.\Really? Do I look good?\It's a little strange.\You're one to talk.\Is that him?\Yeah, that's Grandpa.\Grandpa! response:	Akira-kun wants to ask you about the Kamikakushi.
context: Nothing, you just look quite different.\Really? Do I look good?\It's a little strange.\You're one to talk.\Is that him?\Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi. response:	Akira-kun, be careful.
context: Really? Do I look good?\It's a little strange.\You're one to talk.\Is that him?\Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful. response:	The trick is not to interrupt him.
context: It's a little strange.\You're one to talk.\Is that him?\Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him. response:	Bye-bye, Tapioca!
context: You're one to talk.\Is that him?\Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca! response:	There's an old legend of this island...
context: Is that him?\Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island... response:	about a dragon who would spirit
context: Yeah, that's Grandpa.\Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit response:	people away, and the goddess who subdued him.
context: Grandpa!\Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him. response:	A dragon and a goddess?
context: Akira-kun wants to ask you about the Kamikakushi.\Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess? response:	You think it's a load of bull, don't you?
context: Akira-kun, be careful.\The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you? response:	Not at all. But, this dragon...
context: The trick is not to interrupt him.\Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon... response:	What does it represent?
context: Bye-bye, Tapioca!\There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent? response:	The dragon's a dragon.
context: There's an old legend of this island...\about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent?\The dragon's a dragon. response:	But dragons are creatures of fantasy.
context: about a dragon who would spirit\people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy. response:	I don't think so.
context: people away, and the goddess who subdued him.\A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so. response:	The dragon was real.
context: A dragon and a goddess?\You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so.\The dragon was real. response:	He really did spirit people away.
context: You think it's a load of bull, don't you?\Not at all. But, this dragon...\What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so.\The dragon was real.\He really did spirit people away. response:	It just happens to be peaceful now.
context: Not at all. But, this dragon...\What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so.\The dragon was real.\He really did spirit people away.\It just happens to be peaceful now. response:	But lately, I've been getting a strange feeling.
context: What does it represent?\The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so.\The dragon was real.\He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling. response:	I hope it's just my imagination.
context: The dragon's a dragon.\But dragons are creatures of fantasy.\I don't think so.\The dragon was real.\He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination. response:	By the way, you.
context: But dragons are creatures of fantasy.\I don't think so.\The dragon was real.\He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you. response:	Yes?
context: I don't think so.\The dragon was real.\He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you.\Yes? response:	I bet you like fish with whiskers.
context: The dragon was real.\He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you.\Yes?\I bet you like fish with whiskers. response:	Like catfish!
context: He really did spirit people away.\It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you.\Yes?\I bet you like fish with whiskers.\Like catfish! response:	Amazing!
context: It just happens to be peaceful now.\But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you.\Yes?\I bet you like fish with whiskers.\Like catfish!\Amazing! response:	I hate jokes... so much.
context: But lately, I've been getting a strange feeling.\I hope it's just my imagination.\By the way, you.\Yes?\I bet you like fish with whiskers.\Like catfish!\Amazing!\I hate jokes... so much. response:	Catfish.
context: I hope it's just my imagination.\By the way, you.\Yes?\I bet you like fish with whiskers.\Like catfish!\Amazing!\I hate jokes... so much.\Catfish. response:	We're fishing for tuna today.
context: By the way, you.\Yes?\I bet you like fish with whiskers.\Like catfish!\Amazing!\I hate jokes... so much.\Catfish.\We're fishing for tuna today. response:	What is this?
context: Yes?\I bet you like fish with whiskers.\Like catfish!\Amazing!\I hate jokes... so much.\Catfish.\We're fishing for tuna today.\What is this? response:	It's a fishing belt.
context: I bet you like fish with whiskers.\Like catfish!\Amazing!\I hate jokes... so much.\Catfish.\We're fishing for tuna today.\What is this?\It's a fishing belt. response:	It'll support your rod.
context: Like catfish!\Amazing!\I hate jokes... so much.\Catfish.\We're fishing for tuna today.\What is this?\It's a fishing belt.\It'll support your rod. response:	Tuna are big.
context: Amazing!\I hate jokes... so much.\Catfish.\We're fishing for tuna today.\What is this?\It's a fishing belt.\It'll support your rod.\Tuna are big. response:	Without one of these, they'll take your rod.
context: I hate jokes... so much.\Catfish.\We're fishing for tuna today.\What is this?\It's a fishing belt.\It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod. response:	Really?
context: Catfish.\We're fishing for tuna today.\What is this?\It's a fishing belt.\It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod.\Really? response:	We'll use these lures. Pencil bait.
context: We're fishing for tuna today.\What is this?\It's a fishing belt.\It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait. response:	Pencil, pencil!
context: What is this?\It's a fishing belt.\It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait.\Pencil, pencil! response:	That's right.
context: It's a fishing belt.\It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait.\Pencil, pencil!\That's right. response:	Because of its simple, pencil-like shape,
context: It'll support your rod.\Tuna are big.\Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait.\Pencil, pencil!\That's right.\Because of its simple, pencil-like shape, response:	just reeling it won't create enough action.
context: Tuna are big.\Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait.\Pencil, pencil!\That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action. response:	Wave your rod down like this to make it sink into the ocean.
context: Without one of these, they'll take your rod.\Really?\We'll use these lures. Pencil bait.\Pencil, pencil!\That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean. response:	Make it seem like bait by letting it swim a little,
context: Really?\We'll use these lures. Pencil bait.\Pencil, pencil!\That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little, response:	before pulling it up to the surface.
context: We'll use these lures. Pencil bait.\Pencil, pencil!\That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface. response:	That's what you call jerking.
context: Pencil, pencil!\That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking. response:	Do this repeatedly to lure the tuna to you.
context: That's right.\Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you. response:	If you do it right, the tuna will go for it
context: Because of its simple, pencil-like shape,\just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it response:	when you bring it to the surface.
context: just reeling it won't create enough action.\Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface. response:	Give it a try.
context: Wave your rod down like this to make it sink into the ocean.\Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try. response:	Enoshima bowl!
context: Make it seem like bait by letting it swim a little,\before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try.\Enoshima bowl! response:	The most important part of tuna fishing is accurate casting.
context: before pulling it up to the surface.\That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting. response:	What are you doing?
context: That's what you call jerking.\Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing? response:	Tuna are cautious, so you cannot approach them easily.
context: Do this repeatedly to lure the tuna to you.\If you do it right, the tuna will go for it\when you bring it to the surface.\Give it a try.\Enoshima bowl!\The most important part of tuna fishing is accurate casting.\What are you doing?\Tuna are cautious, so you cannot approach them easily. response:	To avoid missing your only chance, you must cast accurately.
