context: The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: in entering a relay with me at the next tournament?\I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself.\Don't resist the water. response:	We accept one another.
context: I only do freestyle.\That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself.\Don't resist the water.\We accept one another. response:	Yeah...
context: That's right, I don't care about swimming faster times.\All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself.\Don't resist the water.\We accept one another.\Yeah... response:	There was some funky stuff going through my head back then.
context: All I want is to feel the water.\With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself.\Don't resist the water.\We accept one another.\Yeah...\There was some funky stuff going through my head back then. response:	There's an old saying my late grandma taught me.
context: With my skin, my eyes, my soul...\To never doubt what it makes me feel.\Believe in myself.\Don't resist the water.\We accept one another.\Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me. response:	When you're ten, they call you a prodigy.
context: To never doubt what it makes me feel.\Believe in myself.\Don't resist the water.\We accept one another.\Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy. response:	When you're fifteen, they call you a genius.
context: Believe in myself.\Don't resist the water.\We accept one another.\Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius. response:	Once you hit twenty, you're just an ordinary person.
context: Don't resist the water.\We accept one another.\Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person. response:	About three years until I'm ordinary.
context: We accept one another.\Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary. response:	Man...
context: Yeah...\There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man... response:	I can't wait to be ordinary.
context: There was some funky stuff going through my head back then.\There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man...\I can't wait to be ordinary. response:	Reunion at the Starting Block!
context: There's an old saying my late grandma taught me.\When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man...\I can't wait to be ordinary.\Reunion at the Starting Block! response:	Good morning, Tamura-san.
context: When you're ten, they call you a prodigy.\When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man...\I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san. response:	Good morning, Makoto-chan.
context: When you're fifteen, they call you a genius.\Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man...\I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan. response:	Take this with you.
context: Once you hit twenty, you're just an ordinary person.\About three years until I'm ordinary.\Man...\I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you. response:	Oh, thanks.
context: About three years until I'm ordinary.\Man...\I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you.\Oh, thanks. response:	See ya around!
context: Man...\I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you.\Oh, thanks.\See ya around! response:	Take care now.
context: I can't wait to be ordinary.\Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you.\Oh, thanks.\See ya around!\Take care now. response:	Good morning.
context: Reunion at the Starting Block!\Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you.\Oh, thanks.\See ya around!\Take care now.\Good morning. response:	Oh, come on...
context: Good morning, Tamura-san.\Good morning, Makoto-chan.\Take this with you.\Oh, thanks.\See ya around!\Take care now.\Good morning.\Oh, come on... response:	Excuse me.
context: Good morning, Makoto-chan.\Take this with you.\Oh, thanks.\See ya around!\Take care now.\Good morning.\Oh, come on...\Excuse me. response:	Naturally, he's here.
context: Take this with you.\Oh, thanks.\See ya around!\Take care now.\Good morning.\Oh, come on...\Excuse me.\Naturally, he's here. response:	I'm coming in.
context: Oh, thanks.\See ya around!\Take care now.\Good morning.\Oh, come on...\Excuse me.\Naturally, he's here.\I'm coming in. response:	Good morning, Haru-chan.
context: See ya around!\Take care now.\Good morning.\Oh, come on...\Excuse me.\Naturally, he's here.\I'm coming in.\Good morning, Haru-chan. response:	I told you to lay off the -chan.
context: Take care now.\Good morning.\Oh, come on...\Excuse me.\Naturally, he's here.\I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan. response:	You were in the bath with your swimsuit on again?
context: Good morning.\Oh, come on...\Excuse me.\Naturally, he's here.\I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again? response:	Buzz off.
context: Oh, come on...\Excuse me.\Naturally, he's here.\I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off. response:	You're gonna be late.
context: Excuse me.\Naturally, he's here.\I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late. response:	That's my line.
context: Naturally, he's here.\I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late.\That's my line. response:	Wait, why are you grilling fish?!
context: I'm coming in.\Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late.\That's my line.\Wait, why are you grilling fish?! response:	I haven't had breakfast.
context: Good morning, Haru-chan.\I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late.\That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast. response:	And you're wearing an apron over a swimsuit.
context: I told you to lay off the -chan.\You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late.\That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit. response:	Aren't you cold?
context: You were in the bath with your swimsuit on again?\Buzz off.\You're gonna be late.\That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold? response:	I don't want to get oil on my swimsuit.
context: Buzz off.\You're gonna be late.\That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit. response:	Toast and fish?
context: You're gonna be late.\That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish? response:	So?
context: That's my line.\Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish?\So? response:	Why did you come get me?
context: Wait, why are you grilling fish?!\I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish?\So?\Why did you come get me? response:	You didn't show up for the opening assembly yesterday.
context: I haven't had breakfast.\And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish?\So?\Why did you come get me?\You didn't show up for the opening assembly yesterday. response:	I called in sick.
context: And you're wearing an apron over a swimsuit.\Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish?\So?\Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick. response:	Do you know which class you're in, then?
context: Aren't you cold?\I don't want to get oil on my swimsuit.\Toast and fish?\So?\Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then? response:	We're in the same class again.
context: I don't want to get oil on my swimsuit.\Toast and fish?\So?\Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then?\We're in the same class again. response:	Class 1.
context: Toast and fish?\So?\Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then?\We're in the same class again.\Class 1. response:	We've got a new lady as our homeroom teacher.
context: So?\Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then?\We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher. response:	They already gave her a nickname.
context: Why did you come get me?\You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then?\We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname. response:	She teaches classical literature,
context: You didn't show up for the opening assembly yesterday.\I called in sick.\Do you know which class you're in, then?\We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature, response:	but she's a little on the odd side.
context: I called in sick.\Do you know which class you're in, then?\We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side. response:	It needs to get warmer so I can swim in the ocean.
context: Do you know which class you're in, then?\We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean. response:	I hope it gets warmer soon so you can swim.
context: We're in the same class again.\Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim. response:	Mr. Tadokoro Junichi.
context: Class 1.\We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi. response:	Here.
context: We've got a new lady as our homeroom teacher.\They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here. response:	Miss Tezuka Kaori.
context: They already gave her a nickname.\She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori. response:	Here.
context: She teaches classical literature,\but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori.\Here. response:	Nanase Haruka
context: but she's a little on the odd side.\It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori.\Here.\Nanase Haruka response:	Um...
context: It needs to get warmer so I can swim in the ocean.\I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori.\Here.\Nanase Haruka\Um... response:	Miss Nanase Haruka.
context: I hope it gets warmer soon so you can swim.\Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori.\Here.\Nanase Haruka\Um...\Miss Nanase Haruka. response:	I'm used to being mistaken for a girl.
context: Mr. Tadokoro Junichi.\Here.\Miss Tezuka Kaori.\Here.\Nanase Haruka\Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl. response:	Ma'am, Haruka's a guy.
context: Here.\Miss Tezuka Kaori.\Here.\Nanase Haruka\Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy. response:	Oh, you're right!
context: Miss Tezuka Kaori.\Here.\Nanase Haruka\Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right! response:	I'm sorry, Nanase-kun.
context: Here.\Nanase Haruka\Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun. response:	No worries.
context: Nanase Haruka\Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun.\No worries. response:	You were absent yesterday, right?
context: Um...\Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right? response:	I'm Amakata Miho, your new homeroom teacher.
context: Miss Nanase Haruka.\I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher. response:	Nice to meet you.
context: I'm used to being mistaken for a girl.\Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you. response:	I heard Miss Ama-chan is from this area.
context: Ma'am, Haruka's a guy.\Oh, you're right!\I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area. response:	She went to college in Tokyo and found a job there,
context: Oh, you're right!\I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there, response:	but she came back after her dream fell through.
context: I'm sorry, Nanase-kun.\No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through. response:	What was her dream?
context: No worries.\You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream? response:	Beats me. Maybe she wanted to go into music?
context: You were absent yesterday, right?\I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music? response:	We're supposed to be learning from a woman
context: I'm Amakata Miho, your new homeroom teacher.\Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman response:	who became a teacher as plan B?
context: Nice to meet you.\I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B? response:	I want to go home.
context: I heard Miss Ama-chan is from this area.\She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home. response:	So, lunch...
context: She went to college in Tokyo and found a job there,\but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home.\So, lunch... response:	Wanna eat on the roof?
context: but she came back after her dream fell through.\What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home.\So, lunch...\Wanna eat on the roof? response:	He needs to get a clue.
context: What was her dream?\Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home.\So, lunch...\Wanna eat on the roof?\He needs to get a clue. response:	Gou, what are you doing? Hurry up!
context: Beats me. Maybe she wanted to go into music?\We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home.\So, lunch...\Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up! response:	Hold on!
context: We're supposed to be learning from a woman\who became a teacher as plan B?\I want to go home.\So, lunch...\Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on! response:	And don't call me Gou!
context: who became a teacher as plan B?\I want to go home.\So, lunch...\Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou! response:	Sorry!
context: I want to go home.\So, lunch...\Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou!\Sorry! response:	I didn't bring lunch.
context: So, lunch...\Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou!\Sorry!\I didn't bring lunch. response:	Go buy something, then?
context: Wanna eat on the roof?\He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou!\Sorry!\I didn't bring lunch.\Go buy something, then? response:	Or do you want some of this?
context: He needs to get a clue.\Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou!\Sorry!\I didn't bring lunch.\Go buy something, then?\Or do you want some of this? response:	Squid.
context: Gou, what are you doing? Hurry up!\Hold on!\And don't call me Gou!\Sorry!\I didn't bring lunch.\Go buy something, then?\Or do you want some of this?\Squid. response:	Haru-chan! Mako-chan!
context: Hold on!\And don't call me Gou!\Sorry!\I didn't bring lunch.\Go buy something, then?\Or do you want some of this?\Squid.\Haru-chan! Mako-chan! response:	It's been forever!
context: And don't call me Gou!\Sorry!\I didn't bring lunch.\Go buy something, then?\Or do you want some of this?\Squid.\Haru-chan! Mako-chan!\It's been forever! response:	I'll be joining you here at Iwatobi High School.
context: Sorry!\I didn't bring lunch.\Go buy something, then?\Or do you want some of this?\Squid.\Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School. response:	Mako-chan?
context: I didn't bring lunch.\Go buy something, then?\Or do you want some of this?\Squid.\Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan? response:	Haru-chan?
context: Go buy something, then?\Or do you want some of this?\Squid.\Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan? response:	Nagisa?!
context: Or do you want some of this?\Squid.\Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan?\Nagisa?! response:	How many years has it been?
context: Squid.\Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan?\Nagisa?!\How many years has it been? response:	I don't think I saw you after the swimming club was shut down.
context: Haru-chan! Mako-chan!\It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan?\Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down. response:	Yep, because I went to a different school.
context: It's been forever!\I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan?\Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school. response:	There are cherry blossom trees next to the pool!
context: I'll be joining you here at Iwatobi High School.\Mako-chan?\Haru-chan?\Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool! response:	Weren't there cherry blossom trees next to the pool
context: Mako-chan?\Haru-chan?\Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool response:	at your grade school, Haru-chan?
context: Haru-chan?\Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan? response:	Can you stop calling me that?
context: Nagisa?!\How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that? response:	But that's your name, Haru-chan.
context: How many years has it been?\I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan. response:	But that pool is old and not in use.
context: I don't think I saw you after the swimming club was shut down.\Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use. response:	There's no swim club, either.
context: Yep, because I went to a different school.\There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either. response:	Where do you swim, then?
context: There are cherry blossom trees next to the pool!\Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then? response:	I quit swimming competitively.
context: Weren't there cherry blossom trees next to the pool\at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then?\I quit swimming competitively. response:	What?!
context: at your grade school, Haru-chan?\Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then?\I quit swimming competitively.\What?! response:	Why'd you quit?!
context: Can you stop calling me that?\But that's your name, Haru-chan.\But that pool is old and not in use.\There's no swim club, either.\Where do you swim, then?\I quit swimming competitively.\What?!\Why'd you quit?! response:	I was all excited about getting to swim with you again in high school!
