context: It's a castle. response:	Someone's fighting?
context: He's back!\Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed... response:	You were... We were betrayed by that man.
context: Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man. response:	And cast aside like some tool.
context: Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool. response:	No!
context: Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool.\No! response:	You're lying... You're lying. That must be a lie.
context: What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie. response:	Everything you're saying has to be a lie!
context: Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie! response:	Where is Kiritsugu?
context: and Kiritsugu would keep her safe.\Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu? response:	I'll be okay... I can manage on my own.
context: Betrayed...\You were... We were betrayed by that man.\And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own. response:	I'll be okay by myself.
context: You were... We were betrayed by that man.\And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself. response:	They say that he died.
context: And cast aside like some tool.\No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died. response:	They say that the traitor died.
context: No!\You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died.\They say that the traitor died. response:	They say he thought only of himself until his end,
context: You're lying... You're lying. That must be a lie.\Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died.\They say that the traitor died.\They say he thought only of himself until his end, response:	never even coming back for us.
context: Everything you're saying has to be a lie!\Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died.\They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us. response:	I don't care.
context: Where is Kiritsugu?\I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died.\They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us.\I don't care. response:	That has nothing to do with me.
context: I'll be okay... I can manage on my own.\I'll be okay by myself.\They say that he died.\They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us.\I don't care.\That has nothing to do with me. response:	I've decided to live my life by myself.
context: I'll be okay by myself.\They say that he died.\They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us.\I don't care.\That has nothing to do with me.\I've decided to live my life by myself. response:	But it does have to do with you.
context: They say that he died.\They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us.\I don't care.\That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you. response:	Because he had a child.
context: They say that the traitor died.\They say he thought only of himself until his end,\never even coming back for us.\I don't care.\That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you.\Because he had a child. response:	That man had a family.
context: They say he thought only of himself until his end,\never even coming back for us.\I don't care.\That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you.\Because he had a child.\That man had a family. response:	A family other than me.
context: never even coming back for us.\I don't care.\That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you.\Because he had a child.\That man had a family.\A family other than me. response:	A family? My little brother?
context: I don't care.\That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you.\Because he had a child.\That man had a family.\A family other than me.\A family? My little brother? response:	Yes, I know you'll be able to kill each other.
context: That has nothing to do with me.\I've decided to live my life by myself.\But it does have to do with you.\Because he had a child.\That man had a family.\A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other. response:	You'll be able to kill each other soon.
context: I've decided to live my life by myself.\But it does have to do with you.\Because he had a child.\That man had a family.\A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon. response:	After all, the Greater Grail's flame was not extinguished.
context: But it does have to do with you.\Because he had a child.\That man had a family.\A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished. response:	The battle ended without resolution, so it will soon resume.
context: Because he had a child.\That man had a family.\A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume. response:	I can't wait.
context: That man had a family.\A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait. response:	I can't wait, Illyasviel!
context: A family other than me.\A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel! response:	That gives you a reason to live, just like that human, right?
context: A family? My little brother?\Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right? response:	It hurts... It hurts...
context: Yes, I know you'll be able to kill each other.\You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts... response:	I don't want to do this anymore.
context: You'll be able to kill each other soon.\After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore. response:	Why does my body have to be opened up every day?
context: After all, the Greater Grail's flame was not extinguished.\The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day? response:	They should just quit the stupid Holy Grail War...
context: The battle ended without resolution, so it will soon resume.\I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War... response:	We cannot.
context: I can't wait.\I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot. response:	After all, it is our purpose.
context: I can't wait, Illyasviel!\That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose. response:	The miracle that occurred a thousand years ago.
context: That gives you a reason to live, just like that human, right?\It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago. response:	We were created in order to replicate it.
context: It hurts... It hurts...\I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it. response:	Magic?
context: I don't want to do this anymore.\Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic? response:	Humanity's salvation?
context: Why does my body have to be opened up every day?\They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic?\Humanity's salvation? response:	That will only bring happiness to humans.
context: They should just quit the stupid Holy Grail War...\We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic?\Humanity's salvation?\That will only bring happiness to humans. response:	What are we living for?
context: We cannot.\After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic?\Humanity's salvation?\That will only bring happiness to humans.\What are we living for? response:	We have no concept of happiness.
context: After all, it is our purpose.\The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic?\Humanity's salvation?\That will only bring happiness to humans.\What are we living for?\We have no concept of happiness. response:	Because we are just tools.
context: The miracle that occurred a thousand years ago.\We were created in order to replicate it.\Magic?\Humanity's salvation?\That will only bring happiness to humans.\What are we living for?\We have no concept of happiness.\Because we are just tools. response:	We are the ones used, not the users.
context: We were created in order to replicate it.\Magic?\Humanity's salvation?\That will only bring happiness to humans.\What are we living for?\We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users. response:	Even Elder Acht has probably never experienced joy.
context: Magic?\Humanity's salvation?\That will only bring happiness to humans.\What are we living for?\We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy. response:	Yes. We are all nothing but tools to activate the Holy Grail.
context: Humanity's salvation?\That will only bring happiness to humans.\What are we living for?\We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail. response:	To that end, we have suffered for a thousand years.
context: That will only bring happiness to humans.\What are we living for?\We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years. response:	And then, they finally achieved you.
context: What are we living for?\We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you. response:	Achieved me?
context: We have no concept of happiness.\Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me? response:	Yes, you are the Einzberns' crowning achievement,
context: Because we are just tools.\We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement, response:	the end result of the techniques that created us.
context: We are the ones used, not the users.\Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us. response:	No matter how much time passes,
context: Even Elder Acht has probably never experienced joy.\Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes, response:	they will never be able to create one that surpasses you.
context: Yes. We are all nothing but tools to activate the Holy Grail.\To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you. response:	So if you are defeated, they will all give up.
context: To that end, we have suffered for a thousand years.\And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up. response:	Elder Acht will probably turn off the power source himself.
context: And then, they finally achieved you.\Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself. response:	Because they will have their answer.
context: Achieved me?\Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer. response:	That we are relics of the past.
context: Yes, you are the Einzberns' crowning achievement,\the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past. response:	Everyone will give up?
context: the end result of the techniques that created us.\No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past.\Everyone will give up? response:	You'll all end your own lives?
context: No matter how much time passes,\they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past.\Everyone will give up?\You'll all end your own lives? response:	Yes, the factory called the Einzberns
context: they will never be able to create one that surpasses you.\So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past.\Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns response:	will abandon their millennial research.
context: So if you are defeated, they will all give up.\Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past.\Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research. response:	With a smile on their faces,
context: Elder Acht will probably turn off the power source himself.\Because they will have their answer.\That we are relics of the past.\Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces, response:	saying they gave it their best, but it was all for naught.
context: Because they will have their answer.\That we are relics of the past.\Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught. response:	That isn't right!
context: That we are relics of the past.\Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right! response:	You're all alive! Why do you have to die?
context: Everyone will give up?\You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die? response:	Shouldn't I be the only one to die, the one who's gonna fight?!
context: You'll all end your own lives?\Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?! response:	Do not mourn us, sweet child.
context: Yes, the factory called the Einzberns\will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child. response:	Even if everything was futile, we do not mind.
context: will abandon their millennial research.\With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind. response:	Even if we cannot be saved, we will finally be freed of our obligations.
context: With a smile on their faces,\saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations. response:	Duty, duty... It's always duty!
context: saying they gave it their best, but it was all for naught.\That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty! response:	Who do the Einzberns think they are?
context: That isn't right!\You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are? response:	We never had identities of our own!
context: You're all alive! Why do you have to die?\Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own! response:	I am Sella, and starting today, I will be looking after you.
context: Shouldn't I be the only one to die, the one who's gonna fight?!\Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you. response:	And this is Leysritt, who has been assigned to protect you.
context: Do not mourn us, sweet child.\Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you. response:	I-Illya... Nice to meet you.
context: Even if everything was futile, we do not mind.\Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you. response:	Please forgive her. Leysritt's link is not yet complete
context: Even if we cannot be saved, we will finally be freed of our obligations.\Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete response:	I don't care.
context: Duty, duty... It's always duty!\Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care. response:	Making introductions is pointless.
context: Who do the Einzberns think they are?\We never had identities of our own!\I am Sella, and starting today, I will be looking after you.\And this is Leysritt, who has been assigned to protect you.\I-Illya... Nice to meet you.\Please forgive her. Leysritt's link is not yet complete\I don't care.\Making introductions is pointless. response:	You're all the same, anyway.
