context: So, um, Yuuki... response:	Hi.
context: You're from ONLO?\Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me? response:	You shoot devils.
context: Yanagi asked me to help you with some counseling.\I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils. response:	I only kill devils.
context: I was already here on business, so I figured I might as well.\It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils.\I only kill devils. response:	I don't kill humans.
context: It is her. She's the one who shot Anzai.\But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils.\I only kill devils.\I don't kill humans. response:	But devils are human!
context: But back there...\Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils.\I only kill devils.\I don't kill humans.\But devils are human! response:	You're an advocate?
context: Don't fight me, and I'll make sure you get back unharmed.\I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils.\I only kill devils.\I don't kill humans.\But devils are human!\You're an advocate? response:	I'm not that ambitious. I just...
context: I don't want to hurt you. Just do as I say.\Why be nice to me?\You shoot devils.\I only kill devils.\I don't kill humans.\But devils are human!\You're an advocate?\I'm not that ambitious. I just... response:	You just don't know.
context: Why be nice to me?\You shoot devils.\I only kill devils.\I don't kill humans.\But devils are human!\You're an advocate?\I'm not that ambitious. I just...\You just don't know. response:	About their lust, or their brutality.
context: You shoot devils.\I only kill devils.\I don't kill humans.\But devils are human!\You're an advocate?\I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality. response:	How they transform.
context: I only kill devils.\I don't kill humans.\But devils are human!\You're an advocate?\I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality.\How they transform. response:	I know all about it.
context: I don't kill humans.\But devils are human!\You're an advocate?\I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality.\How they transform.\I know all about it. response:	I don't mean intellectually.
context: But devils are human!\You're an advocate?\I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality.\How they transform.\I know all about it.\I don't mean intellectually. response:	You've never had any of it directed at-
context: You're an advocate?\I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality.\How they transform.\I know all about it.\I don't mean intellectually.\You've never had any of it directed at- response:	Yes, I have!
context: I'm not that ambitious. I just...\You just don't know.\About their lust, or their brutality.\How they transform.\I know all about it.\I don't mean intellectually.\You've never had any of it directed at-\Yes, I have! response:	The guy I like...
context: You just don't know.\About their lust, or their brutality.\How they transform.\I know all about it.\I don't mean intellectually.\You've never had any of it directed at-\Yes, I have!\The guy I like... response:	he's a devil.
context: About their lust, or their brutality.\How they transform.\I know all about it.\I don't mean intellectually.\You've never had any of it directed at-\Yes, I have!\The guy I like...\he's a devil. response:	It was a silent night
context: How they transform.\I know all about it.\I don't mean intellectually.\You've never had any of it directed at-\Yes, I have!\The guy I like...\he's a devil.\It was a silent night response:	Eclipse was beginnin'
context: I know all about it.\I don't mean intellectually.\You've never had any of it directed at-\Yes, I have!\The guy I like...\he's a devil.\It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: I don't mean intellectually.\You've never had any of it directed at-\Yes, I have!\The guy I like...\he's a devil.\It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: You've never had any of it directed at-\Yes, I have!\The guy I like...\he's a devil.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: Yes, I have!\The guy I like...\he's a devil.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: The guy I like...\he's a devil.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: he's a devil.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	Chaser
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Chaser response:	Inferiority complex.
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Chaser\Inferiority complex. response:	Have you felt like you have one?
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Chaser\Inferiority complex.\Have you felt like you have one? response:	When devils date humans, they tend to be more conscious of how ugly they feel as devils.
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\Chaser\Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils. response:	They're not comfortable unless they always have a sedative on hand.
context: Licking each other's wounds\Defining each other's life\Thirsting for love\Chaser\Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand. response:	They subconsciously avoid communication with non-devils
context: Defining each other's life\Thirsting for love\Chaser\Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils response:	and eventually lose all faith in themselves.
context: Thirsting for love\Chaser\Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves. response:	Are you talking about me?
context: Chaser\Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me? response:	If you feel like I am, maybe I am.
context: Inferiority complex.\Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am. response:	Was that young lady your girlfriend? She's cute.
context: Have you felt like you have one?\When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute. response:	Stay here.
context: When devils date humans, they tend to be more conscious of how ugly they feel as devils.\They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here. response:	It's not safe out there.
context: They're not comfortable unless they always have a sedative on hand.\They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there. response:	No.
context: They subconsciously avoid communication with non-devils\and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there.\No. response:	Too cute to let outside, eh?
context: and eventually lose all faith in themselves.\Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there.\No.\Too cute to let outside, eh? response:	You don't think you're being a little overprotective?
context: Are you talking about me?\If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there.\No.\Too cute to let outside, eh?\You don't think you're being a little overprotective? response:	I just...
context: If you feel like I am, maybe I am.\Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there.\No.\Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just... response:	I just don't want to put her in any danger, that's all.
context: Was that young lady your girlfriend? She's cute.\Stay here.\It's not safe out there.\No.\Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all. response:	That's all?
context: Stay here.\It's not safe out there.\No.\Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all.\That's all? response:	If that's all, I don't know why you were so scared the second she pushed back.
context: It's not safe out there.\No.\Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back. response:	What are you afraid of, Yuuki Anzai?
context: No.\Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai? response:	I'm...
context: Too cute to let outside, eh?\You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm... response:	scared of the devil inside me.
context: You don't think you're being a little overprotective?\I just...\I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me. response:	You shouldn't trust devils.
context: I just...\I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me.\You shouldn't trust devils. response:	No matter how much you like this guy, all he likes is your blood.
context: I just don't want to put her in any danger, that's all.\That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood. response:	I tried to give him my blood and it made him angry.
context: That's all?\If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry. response:	Well, that's progress. You identified one of your problems.
context: If that's all, I don't know why you were so scared the second she pushed back.\What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems. response:	I've always been well aware of that problem.
context: What are you afraid of, Yuuki Anzai?\I'm...\scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem. response:	You knew, but you didn't do anything.
context: I'm...\scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything. response:	Can you really call that well aware?
context: scared of the devil inside me.\You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware? response:	Then why do you think you're scared?
context: You shouldn't trust devils.\No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared? response:	Why?
context: No matter how much you like this guy, all he likes is your blood.\I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared?\Why? response:	Because I'm a devil, obviously.
context: I tried to give him my blood and it made him angry.\Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared?\Why?\Because I'm a devil, obviously. response:	Oh, man, I'm hungry.
context: Well, that's progress. You identified one of your problems.\I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared?\Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry. response:	Long time no see, Kleemann.
context: I've always been well aware of that problem.\You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared?\Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann. response:	You're the doctor who told me to deal with bloodlust by jerking off!
context: You knew, but you didn't do anything.\Can you really call that well aware?\Then why do you think you're scared?\Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off! response:	What? Just a- What?
context: Can you really call that well aware?\Then why do you think you're scared?\Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What? response:	Just a- What?
context: Then why do you think you're scared?\Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What? response:	From your attitude, I guess you ran away.
context: Why?\Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What?\From your attitude, I guess you ran away. response:	I'm surprised you made it out.
context: Because I'm a devil, obviously.\Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out. response:	ONLO must be going nuts about now.
context: Oh, man, I'm hungry.\Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now. response:	Hey. Tell me more about-
context: Long time no see, Kleemann.\You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about- response:	Look at him, Anzai.
context: You're the doctor who told me to deal with bloodlust by jerking off!\What? Just a- What?\Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai. response:	This is an example of someone who isn't afraid of his devil side.
context: What? Just a- What?\Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side. response:	He doesn't worry about if he's a devil or a human.
context: Just a- What?\From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human. response:	But it's not like he was born with that attitude.
context: From your attitude, I guess you ran away.\I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude. response:	There's only one thing that makes it possible for him to be so unconcerned.
context: I'm surprised you made it out.\ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned. response:	He has learned to control the devil inside him.
context: ONLO must be going nuts about now.\Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him. response:	Get out.
context: Hey. Tell me more about-\Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out. response:	They know this car's license number. I have to find another one.
context: Look at him, Anzai.\This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one. response:	You should see a doctor.
context: This is an example of someone who isn't afraid of his devil side.\He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one.\You should see a doctor. response:	A hostage, worried about her kidnapper?
context: He doesn't worry about if he's a devil or a human.\But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper? response:	Nothing bothers you, does it?
context: But it's not like he was born with that attitude.\There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it? response:	A friend of mine disobeyed orders to help me.
context: There's only one thing that makes it possible for him to be so unconcerned.\He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me. response:	They might kill him.
context: He has learned to control the devil inside him.\Get out.\They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him. response:	They already did kill another one of our own.
context: Get out.\They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own. response:	Our leader has no mercy.
context: They know this car's license number. I have to find another one.\You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own.\Our leader has no mercy. response:	If I don't save him soon, it will be too late.
context: You should see a doctor.\A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late. response:	Why don't you report them, and get the police to help?
context: A hostage, worried about her kidnapper?\Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help? response:	The police?
context: Nothing bothers you, does it?\A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police? response:	They never helped me before, and they won't now.
context: A friend of mine disobeyed orders to help me.\They might kill him.\They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now. response:	So, you're saying...
context: They might kill him.\They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now.\So, you're saying... response:	I should drink blood and build up a tolerance like him?
context: They already did kill another one of our own.\Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him? response:	Drinking blood isn't important.
context: Our leader has no mercy.\If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important. response:	Different things will work better for different people.
context: If I don't save him soon, it will be too late.\Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people. response:	What happens to you when you transform?
context: Why don't you report them, and get the police to help?\The police?\They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform? response:	What situations lead to a transformation?
context: The police?\They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation? response:	You need to have exact answers to those questions.
context: They never helped me before, and they won't now.\So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions. response:	So that you're not paralyzed with fear.
context: So, you're saying...\I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear. response:	Yanagi told me...
context: I should drink blood and build up a tolerance like him?\Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me... response:	you're so afraid of transforming you can't get anywhere near your girlfriend.
context: Drinking blood isn't important.\Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend. response:	What?
context: Different things will work better for different people.\What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What? response:	So first, you need to know yourself.
context: What happens to you when you transform?\What situations lead to a transformation?\You need to have exact answers to those questions.\So that you're not paralyzed with fear.\Yanagi told me...\you're so afraid of transforming you can't get anywhere near your girlfriend.\What?\So first, you need to know yourself. response:	Especially if you want to face your girlfriend and protect her.
