context: Don't drop the pressure! response:	If we stop, it's all over!
context: What you need to survive...\It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo!\Are you okay?!\Yeah.\I owe you.\You...! response:	Twenty years ago...
context: It's not some tool that will keep you hidden and safe.\It's the power to fight the Corpses without fear.\Shingo!\Are you okay?!\Yeah.\I owe you.\You...!\Twenty years ago... response:	They abandoned their pride and fellow man...
context: It's the power to fight the Corpses without fear.\Shingo!\Are you okay?!\Yeah.\I owe you.\You...!\Twenty years ago...\They abandoned their pride and fellow man... response:	Use it.
context: Shingo!\Are you okay?!\Yeah.\I owe you.\You...!\Twenty years ago...\They abandoned their pride and fellow man...\Use it. response:	Use it!
context: Are you okay?!\Yeah.\I owe you.\You...!\Twenty years ago...\They abandoned their pride and fellow man...\Use it.\Use it! response:	The suicide bag!
context: Yeah.\I owe you.\You...!\Twenty years ago...\They abandoned their pride and fellow man...\Use it.\Use it!\The suicide bag! response:	Hurry up!
context: I owe you.\You...!\Twenty years ago...\They abandoned their pride and fellow man...\Use it.\Use it!\The suicide bag!\Hurry up! response:	Show us what you're made of!
context: You...!\Twenty years ago...\They abandoned their pride and fellow man...\Use it.\Use it!\The suicide bag!\Hurry up!\Show us what you're made of! response:	Don't be a disgrace!
context: Twenty years ago...\They abandoned their pride and fellow man...\Use it.\Use it!\The suicide bag!\Hurry up!\Show us what you're made of!\Don't be a disgrace! response:	What are you doing?!
context: They abandoned their pride and fellow man...\Use it.\Use it!\The suicide bag!\Hurry up!\Show us what you're made of!\Don't be a disgrace!\What are you doing?! response:	Pull it! Pull it!!!
context: Use it.\Use it!\The suicide bag!\Hurry up!\Show us what you're made of!\Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!! response:	Can we really be proud of our survival... that's predicated on sacrificed our own?
context: Use it!\The suicide bag!\Hurry up!\Show us what you're made of!\Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own? response:	And we lose not only the lives of our friends.
context: The suicide bag!\Hurry up!\Show us what you're made of!\Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends. response:	Their lives aren't all we lose.
context: Hurry up!\Show us what you're made of!\Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose. response:	That's why...
context: Show us what you're made of!\Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why... response:	Mother...
context: Don't be a disgrace!\What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why...\Mother... response:	Damn it!
context: What are you doing?!\Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why...\Mother...\Damn it! response:	I want the power to defeat the Corpses.
context: Pull it! Pull it!!!\Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why...\Mother...\Damn it!\I want the power to defeat the Corpses. response:	I'm... so close!
context: Can we really be proud of our survival... that's predicated on sacrificed our own?\And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why...\Mother...\Damn it!\I want the power to defeat the Corpses.\I'm... so close! response:	You're awake?
context: And we lose not only the lives of our friends.\Their lives aren't all we lose.\That's why...\Mother...\Damn it!\I want the power to defeat the Corpses.\I'm... so close!\You're awake? response:	The Warriors held them off.
context: Their lives aren't all we lose.\That's why...\Mother...\Damn it!\I want the power to defeat the Corpses.\I'm... so close!\You're awake?\The Warriors held them off. response:	You can go back to sleep.
context: That's why...\Mother...\Damn it!\I want the power to defeat the Corpses.\I'm... so close!\You're awake?\The Warriors held them off.\You can go back to sleep. response:	For now.
context: Mother...\Damn it!\I want the power to defeat the Corpses.\I'm... so close!\You're awake?\The Warriors held them off.\You can go back to sleep.\For now. response:	Did...
context: Damn it!\I want the power to defeat the Corpses.\I'm... so close!\You're awake?\The Warriors held them off.\You can go back to sleep.\For now.\Did... response:	Hey, did you hear?
context: I want the power to defeat the Corpses.\I'm... so close!\You're awake?\The Warriors held them off.\You can go back to sleep.\For now.\Did...\Hey, did you hear? response:	They said the supplies are late.
context: I'm... so close!\You're awake?\The Warriors held them off.\You can go back to sleep.\For now.\Did...\Hey, did you hear?\They said the supplies are late. response:	I guess the front line fell back again.
context: You're awake?\The Warriors held them off.\You can go back to sleep.\For now.\Did...\Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again. response:	How long is this place going to last?
context: The Warriors held them off.\You can go back to sleep.\For now.\Did...\Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last? response:	Stop it, don't say that!
context: You can go back to sleep.\For now.\Did...\Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that! response:	What if a Warriors heard you?!
context: For now.\Did...\Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?! response:	Hey there, hero!
context: Did...\Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero! response:	Running late?
context: Hey, did you hear?\They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero!\Running late? response:	Watch your calculation.
context: They said the supplies are late.\I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero!\Running late?\Watch your calculation. response:	Plate 3 needs more adhesive.
context: I guess the front line fell back again.\How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero!\Running late?\Watch your calculation.\Plate 3 needs more adhesive. response:	Heeey, Ikoma!
context: How long is this place going to last?\Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero!\Running late?\Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma! response:	How did yesterday go?
context: Stop it, don't say that!\What if a Warriors heard you?!\Hey there, hero!\Running late?\Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go? response:	No good.
context: What if a Warriors heard you?!\Hey there, hero!\Running late?\Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go?\No good. response:	It should have plenty of pressure, but...
context: Hey there, hero!\Running late?\Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go?\No good.\It should have plenty of pressure, but... response:	What's wrong with using normal lead shots again?
context: Running late?\Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go?\No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again? response:	Because then it'd be the same as the Warrior's steam guns.
context: Watch your calculation.\Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go?\No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns. response:	It will just get repelled by the Corpse's heart cage.
context: Plate 3 needs more adhesive.\Heeey, Ikoma!\How did yesterday go?\No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage. response:	That's why we need jet bullets.
context: Heeey, Ikoma!\How did yesterday go?\No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets. response:	We need more penetrating power!
context: How did yesterday go?\No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power! response:	And you're going to use that to fight the Corpses instead of the Warriors?
context: No good.\It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors? response:	You must be insane or something...
context: It should have plenty of pressure, but...\What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something... response:	Did you up the explosives?
context: What's wrong with using normal lead shots again?\Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives? response:	Come on, because you just increased the cavity in the last tune-up.
context: Because then it'd be the same as the Warrior's steam guns.\It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up. response:	That's it, Takumi!
context: It will just get repelled by the Corpse's heart cage.\That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi! response:	Why did I skip a step?
context: That's why we need jet bullets.\We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step? response:	Where are you going?
context: We need more penetrating power!\And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step?\Where are you going? response:	I'm going home to start over.
context: And you're going to use that to fight the Corpses instead of the Warriors?\You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step?\Where are you going?\I'm going home to start over. response:	Hey, hey!
context: You must be insane or something...\Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step?\Where are you going?\I'm going home to start over.\Hey, hey! response:	At least finish your work here first...
context: Did you up the explosives?\Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step?\Where are you going?\I'm going home to start over.\Hey, hey!\At least finish your work here first... response:	Hey, it's Ayame-sama.
context: Come on, because you just increased the cavity in the last tune-up.\That's it, Takumi!\Why did I skip a step?\Where are you going?\I'm going home to start over.\Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama. response:	From the Yomokawa family?
context: That's it, Takumi!\Why did I skip a step?\Where are you going?\I'm going home to start over.\Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family? response:	I like to check everything myself.
context: Why did I skip a step?\Where are you going?\I'm going home to start over.\Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself. response:	Oh, isn't it Ayame-sama.
context: Where are you going?\I'm going home to start over.\Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama. response:	How can we help you?
context: I'm going home to start over.\Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you? response:	It's my father's steam gun.
context: Hey, hey!\At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun. response:	It's having some problems, so I was hoping someone could take a look.
context: At least finish your work here first...\Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look. response:	We would be happy to.
context: Hey, it's Ayame-sama.\From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to. response:	Ayame-sama.
context: From the Yomokawa family?\I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama. response:	She is beautiful.
context: I like to check everything myself.\Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama.\She is beautiful. response:	She is the Warriors princess.
context: Oh, isn't it Ayame-sama.\How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama.\She is beautiful.\She is the Warriors princess. response:	Ikoma!
context: How can we help you?\It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama.\She is beautiful.\She is the Warriors princess.\Ikoma! response:	Come here and help Ayame-sama!
context: It's my father's steam gun.\It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama.\She is beautiful.\She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama! response:	Here's your chance, hero.
context: It's having some problems, so I was hoping someone could take a look.\We would be happy to.\Ayame-sama.\She is beautiful.\She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero. response:	Allow me to take that.
context: We would be happy to.\Ayame-sama.\She is beautiful.\She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that. response:	Do you want to become a hero?
context: Ayame-sama.\She is beautiful.\She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that.\Do you want to become a hero? response:	I just don't like having to run away.
context: She is beautiful.\She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that.\Do you want to become a hero?\I just don't like having to run away. response:	Ayame-sama...
context: She is the Warriors princess.\Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that.\Do you want to become a hero?\I just don't like having to run away.\Ayame-sama... response:	The west gate is opening!
context: Ikoma!\Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that.\Do you want to become a hero?\I just don't like having to run away.\Ayame-sama...\The west gate is opening! response:	The Iron Fortress is coming!
context: Come here and help Ayame-sama!\Here's your chance, hero.\Allow me to take that.\Do you want to become a hero?\I just don't like having to run away.\Ayame-sama...\The west gate is opening!\The Iron Fortress is coming! response:	The Iron Fortress should be coming tomorrow.
context: Here's your chance, hero.\Allow me to take that.\Do you want to become a hero?\I just don't like having to run away.\Ayame-sama...\The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow. response:	Let's go.
context: Allow me to take that.\Do you want to become a hero?\I just don't like having to run away.\Ayame-sama...\The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go. response:	The Iron Fortress?
context: Do you want to become a hero?\I just don't like having to run away.\Ayame-sama...\The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress? response:	The Tree Fortress is supposed to come tonight.
context: I just don't like having to run away.\Ayame-sama...\The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight. response:	Two Railfort s in one day...?
context: Ayame-sama...\The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...? response:	Father, wasn't the Iron Fortress supposed to arrive tomorrow?
context: The west gate is opening!\The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow? response:	Hayatani Station has been lost.
context: The Iron Fortress is coming!\The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost. response:	With less stops to make, of course it would arrive earlier.
context: The Iron Fortress should be coming tomorrow.\Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier. response:	No way...
context: Let's go.\The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way... response:	Get the inspection box!
context: The Iron Fortress?\The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box! response:	I wonder if anyone's been bitten.
context: The Tree Fortress is supposed to come tonight.\Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box!\I wonder if anyone's been bitten. response:	That's what they're about to find out.
context: Two Railfort s in one day...?\Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out. response:	They search for bite marks to determine if they have been infected by a Corpse.
context: Father, wasn't the Iron Fortress supposed to arrive tomorrow?\Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse. response:	If they find one, they throw them in jail.
context: Hayatani Station has been lost.\With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail. response:	It's what the authorities always do.
context: With less stops to make, of course it would arrive earlier.\No way...\Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do. response:	Well of course they do.
context: No way...\Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do. response:	Well, yeah, can you blame them?
context: Get the inspection box!\I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them? response:	That one might be infected.
context: I wonder if anyone's been bitten.\That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them?\That one might be infected. response:	They could be incubating the infection.
context: That's what they're about to find out.\They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection. response:	All right, start the maintenance!
context: They search for bite marks to determine if they have been infected by a Corpse.\If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection.\All right, start the maintenance! response:	Hey, look!
context: If they find one, they throw them in jail.\It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection.\All right, start the maintenance!\Hey, look! response:	Just the carotid artery is thicker.
context: It's what the authorities always do.\Well of course they do.\Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection.\All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker. response:	So the virus really does pass through here.
context: Well of course they do.\Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection.\All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here. response:	Hey!
context: Well, yeah, can you blame them?\That one might be infected.\They could be incubating the infection.\All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here.\Hey! response:	It's rare to find this good of a specimen.
context: That one might be infected.\They could be incubating the infection.\All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen. response:	You're breaking the rules!
context: They could be incubating the infection.\All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen.\You're breaking the rules! response:	This isn't some curse.
context: All right, start the maintenance!\Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse. response:	We both know it!
context: Hey, look!\Just the carotid artery is thicker.\So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse.\We both know it! response:	We know that this isn't some curse.
context: Just the carotid artery is thicker.\So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse.\We both know it!\We know that this isn't some curse. response:	What?
context: So the virus really does pass through here.\Hey!\It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse.\We both know it!\We know that this isn't some curse.\What? response:	Some kid of a bigwig?
context: Hey!\It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse.\We both know it!\We know that this isn't some curse.\What?\Some kid of a bigwig? response:	What is it?
context: It's rare to find this good of a specimen.\You're breaking the rules!\This isn't some curse.\We both know it!\We know that this isn't some curse.\What?\Some kid of a bigwig?\What is it? response:	Oh, nothing.
context: You're breaking the rules!\This isn't some curse.\We both know it!\We know that this isn't some curse.\What?\Some kid of a bigwig?\What is it?\Oh, nothing. response:	Hey!
context: This isn't some curse.\We both know it!\We know that this isn't some curse.\What?\Some kid of a bigwig?\What is it?\Oh, nothing.\Hey! response:	You there, kid!
context: We both know it!\We know that this isn't some curse.\What?\Some kid of a bigwig?\What is it?\Oh, nothing.\Hey!\You there, kid! response:	The exit is the other way.
context: We know that this isn't some curse.\What?\Some kid of a bigwig?\What is it?\Oh, nothing.\Hey!\You there, kid!\The exit is the other way. response:	Even children have to go through inspect
context: What?\Some kid of a bigwig?\What is it?\Oh, nothing.\Hey!\You there, kid!\The exit is the other way.\Even children have to go through inspect response:	Only a fool would judge a book by its cover.
context: Some kid of a bigwig?\What is it?\Oh, nothing.\Hey!\You there, kid!\The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover. response:	It's what my brother always told me, Mustache-san.
context: What is it?\Oh, nothing.\Hey!\You there, kid!\The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san. response:	Wh-What did you say?!
context: Oh, nothing.\Hey!\You there, kid!\The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?! response:	Enough.
context: Hey!\You there, kid!\The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough. response:	She is my guest.
context: You there, kid!\The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough.\She is my guest. response:	My lord!
context: The exit is the other way.\Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough.\She is my guest.\My lord! response:	Are you the boss here?
context: Even children have to go through inspect\Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough.\She is my guest.\My lord!\Are you the boss here? response:	I am Kensho, head of the Yomokawa Family.
context: Only a fool would judge a book by its cover.\It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough.\She is my guest.\My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family. response:	Yomokawa-dono, thank you for your hospitality.
context: It's what my brother always told me, Mustache-san.\Wh-What did you say?!\Enough.\She is my guest.\My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality. response:	Shimon-sama, I presume?
context: Wh-What did you say?!\Enough.\She is my guest.\My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume? response:	I have read your letter.
context: Enough.\She is my guest.\My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter. response:	We would like to take you to our mansion first.
context: She is my guest.\My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first. response:	They're not going to be inspected?
context: My lord!\Are you the boss here?\I am Kensho, head of the Yomokawa Family.\Yomokawa-dono, thank you for your hospitality.\Shimon-sama, I presume?\I have read your letter.\We would like to take you to our mansion first.\They're not going to be inspected? response:	What is going on?
