context: TS response:	SCRIPT
context: The cars aren't moving!\The train's stopped.\Hurry!\Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange.\I just wound it. response:	Again...
context: The train's stopped.\Hurry!\Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange.\I just wound it.\Again... response:	Again!
context: Hurry!\Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange.\I just wound it.\Again...\Again! response:	Mayuri!
context: Take a back road or something!\That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange.\I just wound it.\Again...\Again!\Mayuri! response:	Shiina Mayuri was the one who died.
context: That's not really an option, sir.\Huh? Mayushii's watch isn't working...\That's strange.\I just wound it.\Again...\Again!\Mayuri!\Shiina Mayuri was the one who died. response:	Okabe-kun...
context: Huh? Mayushii's watch isn't working...\That's strange.\I just wound it.\Again...\Again!\Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun... response:	I mean, Okabe Rintarou has been captured.
context: That's strange.\I just wound it.\Again...\Again!\Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured. response:	No matter what I did,
context: I just wound it.\Again...\Again!\Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did, response:	no matter what I try,
context: Again...\Again!\Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try, response:	she dies.
context: Again!\Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try,\she dies. response:	It's like fate...
context: Mayuri!\Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try,\she dies.\It's like fate... response:	I see. So this is...
context: Shiina Mayuri was the one who died.\Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try,\she dies.\It's like fate...\I see. So this is... response:	No, there's nothing like that!
context: Okabe-kun...\I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try,\she dies.\It's like fate...\I see. So this is...\No, there's nothing like that! response:	The Organization... Steins Gate...
context: I mean, Okabe Rintarou has been captured.\No matter what I did,\no matter what I try,\she dies.\It's like fate...\I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate... response:	And fate!
context: No matter what I did,\no matter what I try,\she dies.\It's like fate...\I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate...\And fate! response:	There's no such thing!
context: no matter what I try,\she dies.\It's like fate...\I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate...\And fate!\There's no such thing! response:	OP
context: she dies.\It's like fate...\I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate...\And fate!\There's no such thing!\OP response:	suujuuoku mono kodou no kazu sae
context: It's like fate...\I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate...\And fate!\There's no such thing!\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: I see. So this is...\No, there's nothing like that!\The Organization... Steins Gate...\And fate!\There's no such thing!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: No, there's nothing like that!\The Organization... Steins Gate...\And fate!\There's no such thing!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: The Organization... Steins Gate...\And fate!\There's no such thing!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: And fate!\There's no such thing!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: There's no such thing!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Physically
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically response:	Necrosis
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically\Necrosis response:	Physically
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically\Necrosis\Physically response:	Physically
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically\Necrosis\Physically\Physically response:	Physically
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically\Necrosis\Physically\Physically\Physically response:	Physically
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Physically\Necrosis\Physically\Physically\Physically\Physically response:	Physically
context: Engulf me, a lonely observer\Physically\Necrosis\Physically\Physically\Physically\Physically\Physically response:	Physically
context: Physically\Necrosis\Physically\Physically\Physically\Physically\Physically\Physically response:	Physically
context: Necrosis\Physically\Physically\Physically\Physically\Physically\Physically\Physically response:	Necrosis
context: Physically\Physically\Physically\Physically\Physically\Physically\Physically\Necrosis response:	Necrosis
context: Physically\Physically\Physically\Physically\Physically\Physically\Necrosis\Necrosis response:	Necrosis
context: Physically\Physically\Physically\Physically\Physically\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Physically\Physically\Physically\Physically\Necrosis\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Physically\Physically\Physically\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Physically\Physically\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Physically\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis response:	Necrosis
context: Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis response:	What do you mean?
context: Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\What do you mean? response:	Explain!
context: Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\What do you mean?\Explain! response:	I just got to the individual character route.
context: Necrosis\Necrosis\Necrosis\Necrosis\Necrosis\What do you mean?\Explain!\I just got to the individual character route. response:	At least let me save
context: Necrosis\Necrosis\Necrosis\Necrosis\What do you mean?\Explain!\I just got to the individual character route.\At least let me save response:	I'll do it.
context: Necrosis\Necrosis\Necrosis\What do you mean?\Explain!\I just got to the individual character route.\At least let me save\I'll do it. response:	Just get out of Akihabara.
context: Necrosis\Necrosis\What do you mean?\Explain!\I just got to the individual character route.\At least let me save\I'll do it.\Just get out of Akihabara. response:	Got it?
context: Necrosis\What do you mean?\Explain!\I just got to the individual character route.\At least let me save\I'll do it.\Just get out of Akihabara.\Got it? response:	Okabe...
context: What do you mean?\Explain!\I just got to the individual character route.\At least let me save\I'll do it.\Just get out of Akihabara.\Got it?\Okabe... response:	It's after Mayuri's left.
context: Explain!\I just got to the individual character route.\At least let me save\I'll do it.\Just get out of Akihabara.\Got it?\Okabe...\It's after Mayuri's left. response:	It's just the same.
context: I just got to the individual character route.\At least let me save\I'll do it.\Just get out of Akihabara.\Got it?\Okabe...\It's after Mayuri's left.\It's just the same. response:	No matter how many times I try to save her,
context: At least let me save\I'll do it.\Just get out of Akihabara.\Got it?\Okabe...\It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her, response:	in the end...
context: I'll do it.\Just get out of Akihabara.\Got it?\Okabe...\It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her,\in the end... response:	Assistant
context: Just get out of Akihabara.\Got it?\Okabe...\It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her,\in the end...\Assistant response:	Did something happen?
context: Got it?\Okabe...\It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her,\in the end...\Assistant\Did something happen? response:	Did something happen?
context: Okabe...\It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her,\in the end...\Assistant\Did something happen?\Did something happen? response:	Tell me later, okay?
context: It's after Mayuri's left.\It's just the same.\No matter how many times I try to save her,\in the end...\Assistant\Did something happen?\Did something happen?\Tell me later, okay? response:	Even the message is the same.
context: It's just the same.\No matter how many times I try to save her,\in the end...\Assistant\Did something happen?\Did something happen?\Tell me later, okay?\Even the message is the same. response:	The message.
context: No matter how many times I try to save her,\in the end...\Assistant\Did something happen?\Did something happen?\Tell me later, okay?\Even the message is the same.\The message. response:	Shining Finger.
context: in the end...\Assistant\Did something happen?\Did something happen?\Tell me later, okay?\Even the message is the same.\The message.\Shining Finger. response:	I have new information regarding the time machine.
context: Assistant\Did something happen?\Did something happen?\Tell me later, okay?\Even the message is the same.\The message.\Shining Finger.\I have new information regarding the time machine. response:	I'd like to talk to you alone.
context: Did something happen?\Did something happen?\Tell me later, okay?\Even the message is the same.\The message.\Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone. response:	Don't move.
context: Did something happen?\Tell me later, okay?\Even the message is the same.\The message.\Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move. response:	Put your hands up.
context: Tell me later, okay?\Even the message is the same.\The message.\Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move.\Put your hands up. response:	Who are you people?!
context: Even the message is the same.\The message.\Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move.\Put your hands up.\Who are you people?! response:	Part-time job.
context: The message.\Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move.\Put your hands up.\Who are you people?!\Part-time job. response:	Arc rewrite.
context: Shining Finger.\I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move.\Put your hands up.\Who are you people?!\Part-time job.\Arc rewrite. response:	I know you're planning to attack the lab and kidnap us!
context: I have new information regarding the time machine.\I'd like to talk to you alone.\Don't move.\Put your hands up.\Who are you people?!\Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us! response:	How?
context: I'd like to talk to you alone.\Don't move.\Put your hands up.\Who are you people?!\Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How? response:	Because I've come from the future!
context: Don't move.\Put your hands up.\Who are you people?!\Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future! response:	Do you understand?
context: Put your hands up.\Who are you people?!\Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future!\Do you understand? response:	Now answer me!
context: Who are you people?!\Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future!\Do you understand?\Now answer me! response:	My phone...
context: Part-time job.\Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future!\Do you understand?\Now answer me!\My phone... response:	No!
context: Arc rewrite.\I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future!\Do you understand?\Now answer me!\My phone...\No! response:	Answer me now...
context: I know you're planning to attack the lab and kidnap us!\How?\Because I've come from the future!\Do you understand?\Now answer me!\My phone...\No!\Answer me now... response:	Are you with SERN?
context: How?\Because I've come from the future!\Do you understand?\Now answer me!\My phone...\No!\Answer me now...\Are you with SERN? response:	Rounder.
context: Because I've come from the future!\Do you understand?\Now answer me!\My phone...\No!\Answer me now...\Are you with SERN?\Rounder. response:	Rounder?
context: Do you understand?\Now answer me!\My phone...\No!\Answer me now...\Are you with SERN?\Rounder.\Rounder? response:	Our mission is to recover the IBN 5100.
context: Now answer me!\My phone...\No!\Answer me now...\Are you with SERN?\Rounder.\Rounder?\Our mission is to recover the IBN 5100. response:	You're the one who stole it!
context: My phone...\No!\Answer me now...\Are you with SERN?\Rounder.\Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it! response:	I don't know anything.
context: No!\Answer me now...\Are you with SERN?\Rounder.\Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything. response:	Don't try tricking me!
context: Answer me now...\Are you with SERN?\Rounder.\Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything.\Don't try tricking me! response:	You sent that D-mail...
context: Are you with SERN?\Rounder.\Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything.\Don't try tricking me!\You sent that D-mail... response:	I get it.
context: Rounder.\Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything.\Don't try tricking me!\You sent that D-mail...\I get it. response:	The world line changed,
context: Rounder?\Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything.\Don't try tricking me!\You sent that D-mail...\I get it.\The world line changed, response:	so she has no memory of sending that message.
context: Our mission is to recover the IBN 5100.\You're the one who stole it!\I don't know anything.\Don't try tricking me!\You sent that D-mail...\I get it.\The world line changed,\so she has no memory of sending that message. response:	Why do you plan to attack the lab?
context: You're the one who stole it!\I don't know anything.\Don't try tricking me!\You sent that D-mail...\I get it.\The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab? response:	The IBN 5100 isn't there anymore.
context: I don't know anything.\Don't try tricking me!\You sent that D-mail...\I get it.\The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore. response:	Too late.
context: Don't try tricking me!\You sent that D-mail...\I get it.\The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late. response:	Answer me!
context: You sent that D-mail...\I get it.\The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late.\Answer me! response:	Three reasons.
context: I get it.\The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late.\Answer me!\Three reasons. response:	One.
context: The world line changed,\so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late.\Answer me!\Three reasons.\One. response:	You've learned something you can't be allowed to know.
context: so she has no memory of sending that message.\Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late.\Answer me!\Three reasons.\One.\You've learned something you can't be allowed to know. response:	Two.
context: Why do you plan to attack the lab?\The IBN 5100 isn't there anymore.\Too late.\Answer me!\Three reasons.\One.\You've learned something you can't be allowed to know.\Two. response:	You made a time machine.
context: The IBN 5100 isn't there anymore.\Too late.\Answer me!\Three reasons.\One.\You've learned something you can't be allowed to know.\Two.\You made a time machine. response:	Three.
context: Too late.\Answer me!\Three reasons.\One.\You've learned something you can't be allowed to know.\Two.\You made a time machine.\Three. response:	You wanted to publicly announce it.
context: Answer me!\Three reasons.\One.\You've learned something you can't be allowed to know.\Two.\You made a time machine.\Three.\You wanted to publicly announce it. response:	You knew all that...
context: Three reasons.\One.\You've learned something you can't be allowed to know.\Two.\You made a time machine.\Three.\You wanted to publicly announce it.\You knew all that... response:	Does SERN know?
context: One.\You've learned something you can't be allowed to know.\Two.\You made a time machine.\Three.\You wanted to publicly announce it.\You knew all that...\Does SERN know? response:	My orders come from FB.
context: You've learned something you can't be allowed to know.\Two.\You made a time machine.\Three.\You wanted to publicly announce it.\You knew all that...\Does SERN know?\My orders come from FB. response:	FB?
context: Two.\You made a time machine.\Three.\You wanted to publicly announce it.\You knew all that...\Does SERN know?\My orders come from FB.\FB? response:	Is that an organization within SERN?
context: You made a time machine.\Three.\You wanted to publicly announce it.\You knew all that...\Does SERN know?\My orders come from FB.\FB?\Is that an organization within SERN? response:	FB is everything to me...
context: Three.\You wanted to publicly announce it.\You knew all that...\Does SERN know?\My orders come from FB.\FB?\Is that an organization within SERN?\FB is everything to me... response:	Where am I?
context: You wanted to publicly announce it.\You knew all that...\Does SERN know?\My orders come from FB.\FB?\Is that an organization within SERN?\FB is everything to me...\Where am I? response:	Don't move.
context: You knew all that...\Does SERN know?\My orders come from FB.\FB?\Is that an organization within SERN?\FB is everything to me...\Where am I?\Don't move. response:	Are you John Titor?
context: Does SERN know?\My orders come from FB.\FB?\Is that an organization within SERN?\FB is everything to me...\Where am I?\Don't move.\Are you John Titor? response:	You're the only person it could be...
context: My orders come from FB.\FB?\Is that an organization within SERN?\FB is everything to me...\Where am I?\Don't move.\Are you John Titor?\You're the only person it could be... response:	No!
context: FB?\Is that an organization within SERN?\FB is everything to me...\Where am I?\Don't move.\Are you John Titor?\You're the only person it could be...\No! response:	Where am I?
context: Is that an organization within SERN?\FB is everything to me...\Where am I?\Don't move.\Are you John Titor?\You're the only person it could be...\No!\Where am I? response:	The bomb threat has halted all the trains.
context: FB is everything to me...\Where am I?\Don't move.\Are you John Titor?\You're the only person it could be...\No!\Where am I?\The bomb threat has halted all the trains. response:	According to plan.
context: Where am I?\Don't move.\Are you John Titor?\You're the only person it could be...\No!\Where am I?\The bomb threat has halted all the trains.\According to plan. response:	Capture Makise Kurisu and Hashida Itaru.
context: Don't move.\Are you John Titor?\You're the only person it could be...\No!\Where am I?\The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru. response:	No one else is needed.
context: Are you John Titor?\You're the only person it could be...\No!\Where am I?\The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed. response:	Wait!
context: You're the only person it could be...\No!\Where am I?\The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait! response:	W-Wait!
context: No!\Where am I?\The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait!\W-Wait! response:	Please don't kill Mayuri!
context: Where am I?\The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait!\W-Wait!\Please don't kill Mayuri! response:	I'm sorry!
context: The bomb threat has halted all the trains.\According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait!\W-Wait!\Please don't kill Mayuri!\I'm sorry! response:	I was wrong!
context: According to plan.\Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait!\W-Wait!\Please don't kill Mayuri!\I'm sorry!\I was wrong! response:	I never wanted to expose SERN!
context: Capture Makise Kurisu and Hashida Itaru.\No one else is needed.\Wait!\W-Wait!\Please don't kill Mayuri!\I'm sorry!\I was wrong!\I never wanted to expose SERN! response:	I'll give you the time leap machine...
