context: Here comes another psychic. response:	What should we do with them, Dimple-san?
context: Cup Curry\I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something?\He is. response:	How can one person own a house like this?
context: I still don't know the details,\but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something?\He is.\How can one person own a house like this? response:	Get a load of all these shady-looking people.
context: but the client is a famously wealthy fellow.\We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something?\He is.\How can one person own a house like this?\Get a load of all these shady-looking people. response:	They're probably from the same field.
context: We're talking super rich.\He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something?\He is.\How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field. response:	Hey, you two.
context: He'll even pay for our taxi.\And yet we're taking a train?\So is this rich person the president of a company or something?\He is.\How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two. response:	Shinra Banshomaru-san.
context: And yet we're taking a train?\So is this rich person the president of a company or something?\He is.\How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san. response:	What the heck are you doing here?
context: So is this rich person the president of a company or something?\He is.\How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here? response:	Right back at you.
context: He is.\How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you. response:	Shinra-kun.
context: How can one person own a house like this?\Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you.\Shinra-kun. response:	Jodo-sama!
context: Get a load of all these shady-looking people.\They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you.\Shinra-kun.\Jodo-sama! response:	Jodo Kirin Rising Sun Spiritual Union President
context: They're probably from the same field.\Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you.\Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President response:	Who is that man?
context: Hey, you two.\Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you.\Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man? response:	He helped me with getting rid of an evil spirit once.
context: Shinra Banshomaru-san.\What the heck are you doing here?\Right back at you.\Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once. response:	This is Reigen Arataka, a freelance psychic.
context: What the heck are you doing here?\Right back at you.\Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic. response:	Ah, so this is the man...
context: Right back at you.\Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man... response:	The one who's been lying about getting rid of the Dragger?
context: Shinra-kun.\Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger? response:	Pleased to meet ya.
context: Jodo-sama!\Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya. response:	So that's Jodo?
context: Jodo Kirin Rising Sun Spiritual Union President\Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo? response:	Avoid eye contact!
context: Who is that man?\He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo?\Avoid eye contact! response:	What a creepy geezer!
context: He helped me with getting rid of an evil spirit once.\This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo?\Avoid eye contact!\What a creepy geezer! response:	It's them!
context: This is Reigen Arataka, a freelance psychic.\Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo?\Avoid eye contact!\What a creepy geezer!\It's them! response:	Having a rough time trying hhto get into the psychic bizhh
context: Ah, so this is the man...\The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo?\Avoid eye contact!\What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh response:	Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo
context: The one who's been lying about getting rid of the Dragger?\Pleased to meet ya.\So that's Jodo?\Avoid eye contact!\What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo response:	Are they going to get in my way again? But I'm running a legit business now!
context: Pleased to meet ya.\So that's Jodo?\Avoid eye contact!\What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now! response:	Here he comes.
context: So that's Jodo?\Avoid eye contact!\What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes. response:	It's the client.
context: Avoid eye contact!\What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client. response:	I thank all of you professionals for gathering here today.
context: What a creepy geezer!\It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client.\I thank all of you professionals for gathering here today. response:	Asagiri Holdings (Ltd.) CEO Asagiri Masashi
context: It's them!\Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi response:	I have no doubts that you are all true psychics.
context: Having a rough time trying hhto get into the psychic bizhh\Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics. response:	But whether any of you can save my daughter is a different matter entirely.
context: Former Upper Echelon Member of hhhhhhhClaw's Seventh Division Matsuo\Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely. response:	I ask that you keep what you're about to see a secret.
context: Are they going to get in my way again? But I'm running a legit business now!\Here he comes.\It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret. response:	This is my daughter, Asagiri Minori. She's fourteen years old.
context: Here he comes.\It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old. response:	She is behind a one-way mirror, so she cannot see us.
context: It's the client.\I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us. response:	She's the same age as Mob.
context: I thank all of you professionals for gathering here today.\Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob. response:	He has her locked up?
context: Asagiri Holdings (Ltd.) CEO Asagiri Masashi\I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up? response:	Isn't that going too far?
context: I have no doubts that you are all true psychics.\But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up?\Isn't that going too far? response:	At first, I didn't believe in spirits, either.
context: But whether any of you can save my daughter is a different matter entirely.\I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either. response:	But no matter how many counselors or mental health professionals we saw,
context: I ask that you keep what you're about to see a secret.\This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw, response:	there was no improvement.
context: This is my daughter, Asagiri Minori. She's fourteen years old.\She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement. response:	She's been possessed by an evil spirit.
context: She is behind a one-way mirror, so she cannot see us.\She's the same age as Mob.\He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit. response:	I'd like for you all to rid her of it.
context: She's the same age as Mob.\He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it. response:	What do you think?
context: He has her locked up?\Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think? response:	Right now, I'm not sensing anything.
context: Isn't that going too far?\At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything. response:	It's probably some mental disorder stemming from adolescence.
context: At first, I didn't believe in spirits, either.\But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence. response:	I do sense a faint sinister presence though...
context: But no matter how many counselors or mental health professionals we saw,\there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though... response:	And extremely nearby.
context: there was no improvement.\She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby. response:	No price is too high!
context: She's been possessed by an evil spirit.\I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby.\No price is too high! response:	I will have a special reward for whoever saves my daughter!
context: I'd like for you all to rid her of it.\What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter! response:	Very well.
context: What do you think?\Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter!\Very well. response:	Guess we'll take care of this in a jiffy once again.
context: Right now, I'm not sensing anything.\It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again. response:	What do you say, Mob? I'll be sure to give you a bonus.
context: It's probably some mental disorder stemming from adolescence.\I do sense a faint sinister presence though...\And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus. response:	A bonus... That's a first.
context: I do sense a faint sinister presence though...\And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first. response:	You've been underpaid this whole time.
context: And extremely nearby.\No price is too high!\I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time. response:	Hold it! You're not going to steal the march on us!
context: No price is too high!\I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us! response:	Namu
context: I will have a special reward for whoever saves my daughter!\Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu response:	Namu
context: Very well.\Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu\Namu response:	Who said you could decide?!
context: Guess we'll take care of this in a jiffy once again.\What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu\Namu\Who said you could decide?! response:	No fair!
context: What do you say, Mob? I'll be sure to give you a bonus.\A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu\Namu\Who said you could decide?!\No fair! response:	Let me do it!
context: A bonus... That's a first.\You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu\Namu\Who said you could decide?!\No fair!\Let me do it! response:	Everyone, please, calm down.
context: You've been underpaid this whole time.\Hold it! You're not going to steal the march on us!\Namu\Namu\Who said you could decide?!\No fair!\Let me do it!\Everyone, please, calm down. response:	How about we do rock-paper-scissors to decide?
context: Hold it! You're not going to steal the march on us!\Namu\Namu\Who said you could decide?!\No fair!\Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide? response:	Huh? Rock-paper-scissors?
context: Namu\Namu\Who said you could decide?!\No fair!\Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors? response:	I guess that's fair.
context: Namu\Who said you could decide?!\No fair!\Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair. response:	Sure.
context: Who said you could decide?!\No fair!\Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair.\Sure. response:	Yeah.
context: No fair!\Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair.\Sure.\Yeah. response:	All right, I'm gonna throw paper.
context: Let me do it!\Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair.\Sure.\Yeah.\All right, I'm gonna throw paper. response:	Huh?
context: Everyone, please, calm down.\How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair.\Sure.\Yeah.\All right, I'm gonna throw paper.\Huh? response:	Why are you telling us that?
context: How about we do rock-paper-scissors to decide?\Huh? Rock-paper-scissors?\I guess that's fair.\Sure.\Yeah.\All right, I'm gonna throw paper.\Huh?\Why are you telling us that? response:	Actually, I think I'll go with scissors.
context: Huh? Rock-paper-scissors?\I guess that's fair.\Sure.\Yeah.\All right, I'm gonna throw paper.\Huh?\Why are you telling us that?\Actually, I think I'll go with scissors. response:	Uh, no, really...
context: I guess that's fair.\Sure.\Yeah.\All right, I'm gonna throw paper.\Huh?\Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really... response:	Leave him be. That's just how he is.
context: Sure.\Yeah.\All right, I'm gonna throw paper.\Huh?\Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is. response:	So is he going to throw paper or scissors?
context: Yeah.\All right, I'm gonna throw paper.\Huh?\Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors? response:	First comes rock!
context: All right, I'm gonna throw paper.\Huh?\Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock! response:	Rock, paper,
context: Huh?\Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock!\Rock, paper, response:	scissors!
context: Why are you telling us that?\Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock!\Rock, paper,\scissors! response:	Reigen emerged victorious.
context: Actually, I think I'll go with scissors.\Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock!\Rock, paper,\scissors!\Reigen emerged victorious. response:	Wow, how did you do that?
context: Uh, no, really...\Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock!\Rock, paper,\scissors!\Reigen emerged victorious.\Wow, how did you do that? response:	Psychological Warfare
context: Leave him be. That's just how he is.\So is he going to throw paper or scissors?\First comes rock!\Rock, paper,\scissors!\Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare response:	Observation
context: So is he going to throw paper or scissors?\First comes rock!\Rock, paper,\scissors!\Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare\Observation response:	Line of Sight
context: First comes rock!\Rock, paper,\scissors!\Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare\Observation\Line of Sight response:	Their Hand Angles
context: Rock, paper,\scissors!\Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare\Observation\Line of Sight\Their Hand Angles response:	Scan their arms
context: scissors!\Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare\Observation\Line of Sight\Their Hand Angles\Scan their arms response:	Etc.
context: Reigen emerged victorious.\Wow, how did you do that?\Psychological Warfare\Observation\Line of Sight\Their Hand Angles\Scan their arms\Etc. response:	I will never lose to anyone in rock-paper-scissors.
context: Wow, how did you do that?\Psychological Warfare\Observation\Line of Sight\Their Hand Angles\Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors. response:	See ya, losers.
context: Psychological Warfare\Observation\Line of Sight\Their Hand Angles\Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers. response:	I never should've said I knew him.
context: Observation\Line of Sight\Their Hand Angles\Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him. response:	Please save my daughter.
context: Line of Sight\Their Hand Angles\Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him.\Please save my daughter. response:	I've got it.
context: Their Hand Angles\Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him.\Please save my daughter.\I've got it. response:	I can't provide the professional help she needs. Not on our first meeting, at that.
context: Scan their arms\Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him.\Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that. response:	All I can do here is approach this as a psychic.
context: Etc.\I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him.\Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic. response:	Hello there.
context: I will never lose to anyone in rock-paper-scissors.\See ya, losers.\I never should've said I knew him.\Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there. response:	Yes, like I always do.
context: See ya, losers.\I never should've said I knew him.\Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do. response:	Do you know why you're locked in here?
context: I never should've said I knew him.\Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do.\Do you know why you're locked in here? response:	I don't...
context: Please save my daughter.\I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do.\Do you know why you're locked in here?\I don't... response:	There's something wrong with Papa lately.
context: I've got it.\I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do.\Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately. response:	With your father?
context: I can't provide the professional help she needs. Not on our first meeting, at that.\All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do.\Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately.\With your father? response:	Lately, he's locked me up in here, strapped me down onto this bed,
context: All I can do here is approach this as a psychic.\Hello there.\Yes, like I always do.\Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed, response:	started glaring at me, and even hit me sometimes.
context: Hello there.\Yes, like I always do.\Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes. response:	That's notI mean, I didn't hit her hard...
context: Yes, like I always do.\Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard... response:	He's even brought around a bunch of adults
context: Do you know why you're locked in here?\I don't...\There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults response:	and had them touch me all over with their filthy, filthy hands.
context: I don't...\There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands. response:	Th-That's preposterous!
context: There's something wrong with Papa lately.\With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous! response:	You can't believe a word Dad says.
context: With your father?\Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says. response:	He's been acting so darn crazy lately, like he's possessed.
context: Lately, he's locked me up in here, strapped me down onto this bed,\started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed. response:	How so?
context: started glaring at me, and even hit me sometimes.\That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so? response:	He started saying that I've been cursed,
context: That's notI mean, I didn't hit her hard...\He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed, response:	or that my body's been taken over by a demon.
context: He's even brought around a bunch of adults\and had them touch me all over with their filthy, filthy hands.\Th-That's preposterous!\You can't believe a word Dad says.\He's been acting so darn crazy lately, like he's possessed.\How so?\He started saying that I've been cursed,\or that my body's been taken over by a demon. response:	I mean, I guess I was acting a little rebellious,
