context: I want to go back to that time again. response:	I want to become small again.
context: - Hey, Minami-kun? - Sorry!\Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face, response:	for girls,
context: Hey, what are you doing?\- Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls, response:	is a very happy thing, I think.
context: - Why did you come? - Let's not do this kind of thing.\Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think. response:	Even though I became small like this,
context: Hey, you sent her the divorce paper for sure, right?\I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think.\Even though I became small like this, response:	that kind of feeling doesn't change.
context: I sure did. When I called her the other day, she said she had already signed it.\Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change. response:	Eh?
context: Then why...?\Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change.\Eh? response:	Eh?
context: Timing and Subtitles brought to you by The My Little Lover Team @Viki.\To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change.\Eh?\Eh? response:	Ch... Chiyomi?
context: To be able to see beloved person's sleeping face,\for girls,\is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change.\Eh?\Eh?\Ch... Chiyomi? response:	Seriously?
context: for girls,\is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change.\Eh?\Eh?\Ch... Chiyomi?\Seriously? response:	This time,
context: is a very happy thing, I think.\Even though I became small like this,\that kind of feeling doesn't change.\Eh?\Eh?\Ch... Chiyomi?\Seriously?\This time, response:	I am like this...
context: Even though I became small like this,\that kind of feeling doesn't change.\Eh?\Eh?\Ch... Chiyomi?\Seriously?\This time,\I am like this... response:	It'll be okay.
context: that kind of feeling doesn't change.\Eh?\Eh?\Ch... Chiyomi?\Seriously?\This time,\I am like this...\It'll be okay. response:	Minami-kun.
context: Eh?\Eh?\Ch... Chiyomi?\Seriously?\This time,\I am like this...\It'll be okay.\Minami-kun. response:	I'll protect you.
context: Eh?\Ch... Chiyomi?\Seriously?\This time,\I am like this...\It'll be okay.\Minami-kun.\I'll protect you. response:	H- Hey.
context: Ch... Chiyomi?\Seriously?\This time,\I am like this...\It'll be okay.\Minami-kun.\I'll protect you.\H- Hey. response:	Hey, wait a minute.
context: Seriously?\This time,\I am like this...\It'll be okay.\Minami-kun.\I'll protect you.\H- Hey.\Hey, wait a minute. response:	It feels so cushiony here.
context: This time,\I am like this...\It'll be okay.\Minami-kun.\I'll protect you.\H- Hey.\Hey, wait a minute.\It feels so cushiony here. response:	Unexpectedly, she has...
context: I am like this...\It'll be okay.\Minami-kun.\I'll protect you.\H- Hey.\Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has... response:	I can't move!
context: It'll be okay.\Minami-kun.\I'll protect you.\H- Hey.\Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has...\I can't move! response:	I can't breathe.
context: Minami-kun.\I'll protect you.\H- Hey.\Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has...\I can't move!\I can't breathe. response:	Sorry, get me out of here.
context: I'll protect you.\H- Hey.\Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has...\I can't move!\I can't breathe.\Sorry, get me out of here. response:	I can't stay there after all.
context: H- Hey.\Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has...\I can't move!\I can't breathe.\Sorry, get me out of here.\I can't stay there after all. response:	Nomura!
context: Hey, wait a minute.\It feels so cushiony here.\Unexpectedly, she has...\I can't move!\I can't breathe.\Sorry, get me out of here.\I can't stay there after all.\Nomura! response:	Hey.
context: It feels so cushiony here.\Unexpectedly, she has...\I can't move!\I can't breathe.\Sorry, get me out of here.\I can't stay there after all.\Nomura!\Hey. response:	May I... kiss you?
context: Unexpectedly, she has...\I can't move!\I can't breathe.\Sorry, get me out of here.\I can't stay there after all.\Nomura!\Hey.\May I... kiss you? response:	Eh?
context: I can't move!\I can't breathe.\Sorry, get me out of here.\I can't stay there after all.\Nomura!\Hey.\May I... kiss you?\Eh? response:	But, I am small like this.
context: I can't breathe.\Sorry, get me out of here.\I can't stay there after all.\Nomura!\Hey.\May I... kiss you?\Eh?\But, I am small like this. response:	How cute.
context: Sorry, get me out of here.\I can't stay there after all.\Nomura!\Hey.\May I... kiss you?\Eh?\But, I am small like this.\How cute. response:	I feel like eating you.
context: I can't stay there after all.\Nomura!\Hey.\May I... kiss you?\Eh?\But, I am small like this.\How cute.\I feel like eating you. response:	She's gonna eat me!
context: Nomura!\Hey.\May I... kiss you?\Eh?\But, I am small like this.\How cute.\I feel like eating you.\She's gonna eat me! response:	Minami-kun, are you okay?
context: Hey.\May I... kiss you?\Eh?\But, I am small like this.\How cute.\I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay? response:	Yeah.
context: May I... kiss you?\Eh?\But, I am small like this.\How cute.\I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay?\Yeah. response:	I'm okay.
context: Eh?\But, I am small like this.\How cute.\I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay?\Yeah.\I'm okay. response:	Good morning, Minami-kun.
context: But, I am small like this.\How cute.\I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay?\Yeah.\I'm okay.\Good morning, Minami-kun. response:	Good morning.
context: How cute.\I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay?\Yeah.\I'm okay.\Good morning, Minami-kun.\Good morning. response:	My Little Lover - Minami Kun No Koibito
context: I feel like eating you.\She's gonna eat me!\Minami-kun, are you okay?\Yeah.\I'm okay.\Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito response:	N I am not good at talking in similitudesN
context: She's gonna eat me!\Minami-kun, are you okay?\Yeah.\I'm okay.\Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN response:	N So I can't do a good job telling a taleN
context: Minami-kun, are you okay?\Yeah.\I'm okay.\Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN response:	N But, I will tell you an amazing story N
context: Yeah.\I'm okay.\Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N response:	N that will fit in a pocketN
context: I'm okay.\Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN response:	N God played a trick N
context: Good morning, Minami-kun.\Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N response:	N And a dramatic time began N
context: Good morning.\My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N response:	N The shape of happiness N
context: My Little Lover - Minami Kun No Koibito\N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N\N The shape of happiness N response:	N you and I imagined N
context: N I am not good at talking in similitudesN\N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N\N The shape of happiness N\N you and I imagined N response:	N doesn't have a nameN
context: N So I can't do a good job telling a taleN\N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N\N The shape of happiness N\N you and I imagined N\N doesn't have a nameN response:	N it's okay N
context: N But, I will tell you an amazing story N\N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N\N The shape of happiness N\N you and I imagined N\N doesn't have a nameN\N it's okay N response:	N I will write words that won't be erased like a magic N
context: N that will fit in a pocketN\N God played a trick N\N And a dramatic time began N\N The shape of happiness N\N you and I imagined N\N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N response:	N and turn the page N
context: N God played a trick N\N And a dramatic time began N\N The shape of happiness N\N you and I imagined N\N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N response:	N It is like a sequel to the fairy tale N
context: N And a dramatic time began N\N The shape of happiness N\N you and I imagined N\N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N response:	N We can smile forever N
context: N The shape of happiness N\N you and I imagined N\N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N response:	N To a place over the rainbow N
context: N you and I imagined N\N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N response:	N Let's imagine N
context: N doesn't have a nameN\N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N response:	N a story with a happy ending N
context: N it's okay N\N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N response:	Amippe, were you able to get in touch with Horikiri-shi?
context: N I will write words that won't be erased like a magic N\N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi? response:	Ah... Well...
context: N and turn the page N\N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well... response:	Oh?
context: N It is like a sequel to the fairy tale N\N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh? response:	There isn't a person named Horikiri-san at our workshop.
context: N We can smile forever N\N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop. response:	No way. It is Horikiri Chiyomi. Chiyomi.
context: N To a place over the rainbow N\N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi. response:	Right. We don't have Horikiri-san or Chiyomi-san.
context: N Let's imagine N\N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san. response:	- Sorry. I forgot to do that. - Eh?
context: N a story with a happy ending N\Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh? response:	I'm sorry. I will e-mail her today again.
context: Amippe, were you able to get in touch with Horikiri-shi?\Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again. response:	I'll tell her that you are worried about her.
context: Ah... Well...\Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her. response:	I hope Horikiri-shi would contact me soon.
context: Oh?\There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon. response:	Sorry, may I go through?
context: There isn't a person named Horikiri-san at our workshop.\No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through? response:	Sorry.
context: No way. It is Horikiri Chiyomi. Chiyomi.\Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry. response:	Amippe... Riku...
context: Right. We don't have Horikiri-san or Chiyomi-san.\- Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry.\Amippe... Riku... response:	Did he see me?
context: - Sorry. I forgot to do that. - Eh?\I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry.\Amippe... Riku...\Did he see me? response:	It seems our eyes met just momentarily.
context: I'm sorry. I will e-mail her today again.\I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry.\Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily. response:	What's the matter?
context: I'll tell her that you are worried about her.\I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry.\Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily.\What's the matter? response:	Minami...
context: I hope Horikiri-shi would contact me soon.\Sorry, may I go through?\Sorry.\Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily.\What's the matter?\Minami... response:	Huh?
context: Sorry, may I go through?\Sorry.\Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily.\What's the matter?\Minami...\Huh? response:	Well...
context: Sorry.\Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily.\What's the matter?\Minami...\Huh?\Well... response:	It looks like her.
context: Amippe... Riku...\Did he see me?\It seems our eyes met just momentarily.\What's the matter?\Minami...\Huh?\Well...\It looks like her. response:	Did you really make this, Takagi-kun?
context: Did he see me?\It seems our eyes met just momentarily.\What's the matter?\Minami...\Huh?\Well...\It looks like her.\Did you really make this, Takagi-kun? response:	Yup.
context: It seems our eyes met just momentarily.\What's the matter?\Minami...\Huh?\Well...\It looks like her.\Did you really make this, Takagi-kun?\Yup. response:	Don't be so rough with it.
context: What's the matter?\Minami...\Huh?\Well...\It looks like her.\Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it. response:	Oh my...
context: Minami...\Huh?\Well...\It looks like her.\Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it.\Oh my... response:	What's with her?
context: Huh?\Well...\It looks like her.\Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it.\Oh my...\What's with her? response:	He got a figurine, too...?
context: Well...\It looks like her.\Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it.\Oh my...\What's with her?\He got a figurine, too...? response:	That looked so real.
context: It looks like her.\Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it.\Oh my...\What's with her?\He got a figurine, too...?\That looked so real. response:	Riku?
context: Did you really make this, Takagi-kun?\Yup.\Don't be so rough with it.\Oh my...\What's with her?\He got a figurine, too...?\That looked so real.\Riku? response:	Okay.
context: Yup.\Don't be so rough with it.\Oh my...\What's with her?\He got a figurine, too...?\That looked so real.\Riku?\Okay. response:	Come in.
context: Don't be so rough with it.\Oh my...\What's with her?\He got a figurine, too...?\That looked so real.\Riku?\Okay.\Come in. response:	Dad, it's me.
context: Oh my...\What's with her?\He got a figurine, too...?\That looked so real.\Riku?\Okay.\Come in.\Dad, it's me. response:	Ah, good timing, Sayori.
context: What's with her?\He got a figurine, too...?\That looked so real.\Riku?\Okay.\Come in.\Dad, it's me.\Ah, good timing, Sayori. response:	Ah...
context: He got a figurine, too...?\That looked so real.\Riku?\Okay.\Come in.\Dad, it's me.\Ah, good timing, Sayori.\Ah... response:	This is my daughter, Sayori.
context: That looked so real.\Riku?\Okay.\Come in.\Dad, it's me.\Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori. response:	Hi.
context: Riku?\Okay.\Come in.\Dad, it's me.\Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori.\Hi. response:	Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.
context: Okay.\Come in.\Dad, it's me.\Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital. response:	She will work at this hospital.
context: Come in.\Dad, it's me.\Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital. response:	Nice to meet you, Sayori-chan.
context: Dad, it's me.\Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan. response:	Nice to meet you.
context: Ah, good timing, Sayori.\Ah...\This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you. response:	Well then, Dr. Nomura. I'm leaving now.
context: Ah...\This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now. response:	Oh, okay.
context: This is my daughter, Sayori.\Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay. response:	Excuse me.
context: Hi.\Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me. response:	What's the matter? It's rare for you to come here.
context: Sayori, she is Dr. Koide Reiko, a visiting professor at Hokuryo University Hospital.\She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here. response:	Is there something you want me to buy?
context: She will work at this hospital.\Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy? response:	I don't want anything...
context: Nice to meet you, Sayori-chan.\Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything... response:	If you want something, you can just name it.
context: Nice to meet you.\Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it. response:	It's about Minami-kun...
context: Well then, Dr. Nomura. I'm leaving now.\Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it.\It's about Minami-kun... response:	Oh, about that.
context: Oh, okay.\Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it.\It's about Minami-kun...\Oh, about that. response:	Dad,
context: Excuse me.\What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it.\It's about Minami-kun...\Oh, about that.\Dad, response:	did you like Minami-kun's mom a long time ago?
context: What's the matter? It's rare for you to come here.\Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it.\It's about Minami-kun...\Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago? response:	What are you saying?
context: Is there something you want me to buy?\I don't want anything...\If you want something, you can just name it.\It's about Minami-kun...\Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago?\What are you saying? response:	I asked her to come work here because I've known her for long and wanted to help her,...
context: I don't want anything...\If you want something, you can just name it.\It's about Minami-kun...\Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,... response:	Dad...
context: If you want something, you can just name it.\It's about Minami-kun...\Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad... response:	But, my offer to recommend him to Takasu University, which you requested, was turned down.
context: It's about Minami-kun...\Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down. response:	It was turned down?
context: Oh, about that.\Dad,\did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down? response:	There is nothing I can say about it anymore.
context: Dad,\did you like Minami-kun's mom a long time ago?\What are you saying?\I asked her to come work here because I've known her for long and wanted to help her,...\Dad...\But, my offer to recommend him to Takasu University, which you requested, was turned down.\It was turned down?\There is nothing I can say about it anymore. response:	Sayori.
