context: I feel bad for doing that to Iroha. response:	If you're going to feel guilty, you shouldn't have rejected her.
context: I got all excited...\That surprised me.\I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever... response:	Not from me. From you.
context: That surprised me.\I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you. response:	Huh?
context: I thought you weren't the type to\get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you.\Huh? response:	Of course I'd be moved after seeing that.
context: get caught up in what's going on around you.\I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you.\Huh?\Of course I'd be moved after seeing that. response:	Seeing what?
context: I was surprised, too.\I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you.\Huh?\Of course I'd be moved after seeing that.\Seeing what? response:	I'm starting to want the real thing, too.
context: I was expecting more indifference.\Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you.\Huh?\Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too. response:	You were listening?
context: Huh? I thought you were trying to look like a love-struck fool,\but were actually pretty clever...\Not from me. From you.\Huh?\Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too.\You were listening? response:	Your voice was perfectly audible through the door.
context: but were actually pretty clever...\Not from me. From you.\Huh?\Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door. response:	Forget about that.
context: Not from me. From you.\Huh?\Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door.\Forget about that. response:	I won't.
context: Huh?\Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door.\Forget about that.\I won't. response:	I can't forget it.
context: Of course I'd be moved after seeing that.\Seeing what?\I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door.\Forget about that.\I won't.\I can't forget it. response:	That's why I tried to take a step forward today.
context: Seeing what?\I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door.\Forget about that.\I won't.\I can't forget it.\That's why I tried to take a step forward today. response:	Well, um, you know...
context: I'm starting to want the real thing, too.\You were listening?\Your voice was perfectly audible through the door.\Forget about that.\I won't.\I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know... response:	Don't let it get to you.
context: You were listening?\Your voice was perfectly audible through the door.\Forget about that.\I won't.\I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you. response:	It's not your fault or anything.
context: Your voice was perfectly audible through the door.\Forget about that.\I won't.\I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you.\It's not your fault or anything. response:	What is this? Are you taking advantage of my heartbreak to hit on me?
context: Forget about that.\I won't.\I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me? response:	I'm sorry. I still can't.
context: I won't.\I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't. response:	No, I'm not.
context: I can't forget it.\That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not. response:	Besides, it's not over yet!
context: That's why I tried to take a step forward today.\Well, um, you know...\Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet! response:	In fact, this is the most effective way to approach Hayama-senpai!
context: Well, um, you know...\Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai! response:	Everyone will sympathize with me,
context: Don't let it get to you.\It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me, response:	and other girls won't go near him!
context: It's not your fault or anything.\What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him! response:	O-Okay...
context: What is this? Are you taking advantage of my heartbreak to hit on me?\I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him!\O-Okay... response:	And you know what else?
context: I'm sorry. I still can't.\No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him!\O-Okay...\And you know what else? response:	It'll make people curious about the girl he rejected.
context: No, I'm not.\Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him!\O-Okay...\And you know what else?\It'll make people curious about the girl he rejected. response:	People will feel sorry for me!
context: Besides, it's not over yet!\In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him!\O-Okay...\And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me! response:	So this defeat is part of the overall strategy.
context: In fact, this is the most effective way to approach Hayama-senpai!\Everyone will sympathize with me,\and other girls won't go near him!\O-Okay...\And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy. response:	To make the next phase
context: Everyone will sympathize with me,\and other girls won't go near him!\O-Okay...\And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase response:	proceed... effectively...
context: and other girls won't go near him!\O-Okay...\And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively... response:	You're really something.
context: O-Okay...\And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively...\You're really something. response:	It's your fault this happened to me, you know.
context: And you know what else?\It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively...\You're really something.\It's your fault this happened to me, you know. response:	Well, the student council president thing is, but the rest...
context: It'll make people curious about the girl he rejected.\People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively...\You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest... response:	You'd better take responsibility.
context: People will feel sorry for me!\So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively...\You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility. response:	My Teen Romantic Comedy SNAFU TOO!
context: So this defeat is part of the overall strategy.\To make the next phase\proceed... effectively...\You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO! response:	So, um, why did you call us all here?
context: To make the next phase\proceed... effectively...\You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here? response:	To confirm our objective and discuss the future.
context: proceed... effectively...\You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future. response:	Okay...
context: You're really something.\It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay... response:	The plan currently in place is, frankly, impossible.
context: It's your fault this happened to me, you know.\Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible. response:	Even if we pull it off, only a small part will be successful.
context: Well, the student council president thing is, but the rest...\You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful. response:	For all the ideas they threw out, it'll end up being a pretty dull event.
context: You'd better take responsibility.\My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event. response:	What do you think we should do to prevent that?
context: My Teen Romantic Comedy SNAFU TOO!\So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that? response:	Uh... I don't know...
context: So, um, why did you call us all here?\To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know... response:	The problem lies in those meetings.
context: To confirm our objective and discuss the future.\Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings. response:	We've pulled a lot of opinions together,
context: Okay...\The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together, response:	but no one has made any actual decisions.
context: The plan currently in place is, frankly, impossible.\Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions. response:	So let's have a proper meeting, with none of the colluding.
context: Even if we pull it off, only a small part will be successful.\For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding. response:	We'll oppose, confront, and deny proposals.
context: For all the ideas they threw out, it'll end up being a pretty dull event.\What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals. response:	We'll make it clear which ideas have won.
context: What do you think we should do to prevent that?\Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won. response:	That kind of meeting.
context: Uh... I don't know...\The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting. response:	Uh... What do you think?
context: The problem lies in those meetings.\We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think? response:	I think... it's better if we don't make waves.
context: We've pulled a lot of opinions together,\but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves. response:	And I think it'll be difficult to bring up counter-proposals at this point.
context: but no one has made any actual decisions.\So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point. response:	That's true...
context: So let's have a proper meeting, with none of the colluding.\We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true... response:	But we'll do it.
context: We'll oppose, confront, and deny proposals.\We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it. response:	I personally don't want this event to be dull.
context: We'll make it clear which ideas have won.\That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it.\I personally don't want this event to be dull. response:	Mihama Library Takasu Community Center
context: That kind of meeting.\Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center response:	That may be true...
context: Uh... What do you think?\I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true... response:	But personally, I think I'd really like to put on a play.
context: I think... it's better if we don't make waves.\And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play. response:	If the audience can see both your musical performance and our play,
context: And I think it'll be difficult to bring up counter-proposals at this point.\That's true...\But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play, response:	it's a really good deal for them, right?
context: That's true...\But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right? response:	But if we separate, it would weaken our synergetic effect,
context: But we'll do it.\I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect, response:	and it doubles the risk...
context: I personally don't want this event to be dull.\Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk... response:	That's true.
context: Mihama Library Takasu Community Center\That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true. response:	But don't we also have a budget to consider, as well?
context: That may be true...\But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well? response:	Let's all think about that together.
context: But personally, I think I'd really like to put on a play.\If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together. response:	That's what this meeting is for.
context: If the audience can see both your musical performance and our play,\it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for. response:	I agree.
context: it's a really good deal for them, right?\But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for.\I agree. response:	Agreed, agreed.
context: But if we separate, it would weaken our synergetic effect,\and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for.\I agree.\Agreed, agreed. response:	That's the thing!
context: and it doubles the risk...\That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for.\I agree.\Agreed, agreed.\That's the thing! response:	Um, can I ask something?
context: That's true.\But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for.\I agree.\Agreed, agreed.\That's the thing!\Um, can I ask something? response:	What's your reason for opposing the two-part event structure?
context: But don't we also have a budget to consider, as well?\Let's all think about that together.\That's what this meeting is for.\I agree.\Agreed, agreed.\That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure? response:	Well, it's not that I oppose it.
context: Let's all think about that together.\That's what this meeting is for.\I agree.\Agreed, agreed.\That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it. response:	I just think if we all share our visions, we'll bring a sense of unity to this.
context: That's what this meeting is for.\I agree.\Agreed, agreed.\That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this. response:	I think the joint event framework is a must for building a positive image, too.
context: I agree.\Agreed, agreed.\That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too. response:	Is it necessary to do it jointly?
context: Agreed, agreed.\That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly? response:	Of course. By doing it jointly,
context: That's the thing!\Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly, response:	we create group synergy and make the event bigger
context: Um, can I ask something?\What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger response:	There's no synergy here at all.
context: What's your reason for opposing the two-part event structure?\Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all. response:	And if we keep this up, we'll never achieve anything big.
context: Well, it's not that I oppose it.\I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big. response:	So why are you still hung up on the form it takes?
context: I just think if we all share our visions, we'll bring a sense of unity to this.\I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes? response:	We've reached a consensus,
context: I think the joint event framework is a must for building a positive image, too.\Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus, response:	and we've shared our ideas for the ground design.
context: Is it necessary to do it jointly?\Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design. response:	I agree.
context: Of course. By doing it jointly,\we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design.\I agree. response:	That's the thing!
context: we create group synergy and make the event bigger\There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design.\I agree.\That's the thing! response:	That's true.
context: There's no synergy here at all.\And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design.\I agree.\That's the thing!\That's true. response:	You're wrong.
context: And if we keep this up, we'll never achieve anything big.\So why are you still hung up on the form it takes?\We've reached a consensus,\and we've shared our ideas for the ground design.\I agree.\That's the thing!\That's true.\You're wrong. response:	I know because I had the conceited idea in my head that I could do it.
