context: Lottery response:	Nice try!
context: True Friends\Cheer up.\That's cute, too.\Second Prize\This isn't it.\Congratulations!\We have a first prize winner!\I don't want it. response:	Certificate
context: Cheer up.\That's cute, too.\Second Prize\This isn't it.\Congratulations!\We have a first prize winner!\I don't want it.\Certificate response:	This is a real nuisance.
context: That's cute, too.\Second Prize\This isn't it.\Congratulations!\We have a first prize winner!\I don't want it.\Certificate\This is a real nuisance. response:	Thank you.
context: Second Prize\This isn't it.\Congratulations!\We have a first prize winner!\I don't want it.\Certificate\This is a real nuisance.\Thank you. response:	Free Accommodation Coupon
context: This isn't it.\Congratulations!\We have a first prize winner!\I don't want it.\Certificate\This is a real nuisance.\Thank you.\Free Accommodation Coupon response:	Nonoka
context: Congratulations!\We have a first prize winner!\I don't want it.\Certificate\This is a real nuisance.\Thank you.\Free Accommodation Coupon\Nonoka response:	I wonder if she'll come.
context: We have a first prize winner!\I don't want it.\Certificate\This is a real nuisance.\Thank you.\Free Accommodation Coupon\Nonoka\I wonder if she'll come. response:	Oh, Souta.
context: I don't want it.\Certificate\This is a real nuisance.\Thank you.\Free Accommodation Coupon\Nonoka\I wonder if she'll come.\Oh, Souta. response:	This is a rare sight, seeing you help at home.
context: Certificate\This is a real nuisance.\Thank you.\Free Accommodation Coupon\Nonoka\I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home. response:	Not as rare as someone who'd go help at someone else's shop, like you.
context: This is a real nuisance.\Thank you.\Free Accommodation Coupon\Nonoka\I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you. response:	They wanted me to. What was I supposed to say?
context: Thank you.\Free Accommodation Coupon\Nonoka\I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say? response:	Koharu wanted you to. What were you supposed to say?
context: Free Accommodation Coupon\Nonoka\I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say? response:	Shut up!
context: Nonoka\I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up! response:	I have to get ready to move out.
context: I wonder if she'll come.\Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out. response:	Today's my last day.
context: Oh, Souta.\This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out.\Today's my last day. response:	Sure, sure.
context: This is a rare sight, seeing you help at home.\Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out.\Today's my last day.\Sure, sure. response:	Where'd you get those?
context: Not as rare as someone who'd go help at someone else's shop, like you.\They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out.\Today's my last day.\Sure, sure.\Where'd you get those? response:	Free Lodging Coupon
context: They wanted me to. What was I supposed to say?\Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out.\Today's my last day.\Sure, sure.\Where'd you get those?\Free Lodging Coupon response:	The lady from the hotel came and invited us.
context: Koharu wanted you to. What were you supposed to say?\Shut up!\I have to get ready to move out.\Today's my last day.\Sure, sure.\Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us. response:	Going to the hot springs would be nice once in a while, huh?
context: Shut up!\I have to get ready to move out.\Today's my last day.\Sure, sure.\Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh? response:	I don't have one for you.
context: I have to get ready to move out.\Today's my last day.\Sure, sure.\Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you. response:	Why would I go with you?
context: Today's my last day.\Sure, sure.\Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you? response:	I wouldn't even ask.
context: Sure, sure.\Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you?\I wouldn't even ask. response:	Who would go with their own sister?
context: Where'd you get those?\Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you?\I wouldn't even ask.\Who would go with their own sister? response:	What a pain.
context: Free Lodging Coupon\The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you?\I wouldn't even ask.\Who would go with their own sister?\What a pain. response:	Well now that we agree on something, go away.
context: The lady from the hotel came and invited us.\Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you?\I wouldn't even ask.\Who would go with their own sister?\What a pain.\Well now that we agree on something, go away. response:	You're getting in the way of business.
context: Going to the hot springs would be nice once in a while, huh?\I don't have one for you.\Why would I go with you?\I wouldn't even ask.\Who would go with their own sister?\What a pain.\Well now that we agree on something, go away.\You're getting in the way of business. response:	Oh, yeah.
context: I don't have one for you.\Why would I go with you?\I wouldn't even ask.\Who would go with their own sister?\What a pain.\Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah. response:	Koharu, can I ask you for a favor?
context: Why would I go with you?\I wouldn't even ask.\Who would go with their own sister?\What a pain.\Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor? response:	No changes today, either.
context: I wouldn't even ask.\Who would go with their own sister?\What a pain.\Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either. response:	Shione!
context: Who would go with their own sister?\What a pain.\Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either.\Shione! response:	Noel.
context: What a pain.\Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either.\Shione!\Noel. response:	Hey, Shione, look! Shione
context: Well now that we agree on something, go away.\You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either.\Shione!\Noel.\Hey, Shione, look! Shione response:	The hot springs?
context: You're getting in the way of business.\Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either.\Shione!\Noel.\Hey, Shione, look! Shione\The hot springs? response:	Yeah.
context: Oh, yeah.\Koharu, can I ask you for a favor?\No changes today, either.\Shione!\Noel.\Hey, Shione, look! Shione\The hot springs?\Yeah. response:	An acquaintance gave me these.
context: Koharu, can I ask you for a favor?\No changes today, either.\Shione!\Noel.\Hey, Shione, look! Shione\The hot springs?\Yeah.\An acquaintance gave me these. response:	She told me I should invite you.
context: No changes today, either.\Shione!\Noel.\Hey, Shione, look! Shione\The hot springs?\Yeah.\An acquaintance gave me these.\She told me I should invite you. response:	Me?
context: Shione!\Noel.\Hey, Shione, look! Shione\The hot springs?\Yeah.\An acquaintance gave me these.\She told me I should invite you.\Me? response:	Yeah, you, Nonoka.
context: Noel.\Hey, Shione, look! Shione\The hot springs?\Yeah.\An acquaintance gave me these.\She told me I should invite you.\Me?\Yeah, you, Nonoka. response:	Who?
context: Hey, Shione, look! Shione\The hot springs?\Yeah.\An acquaintance gave me these.\She told me I should invite you.\Me?\Yeah, you, Nonoka.\Who? response:	Someone I know?
context: The hot springs?\Yeah.\An acquaintance gave me these.\She told me I should invite you.\Me?\Yeah, you, Nonoka.\Who?\Someone I know? response:	Um...
context: Yeah.\An acquaintance gave me these.\She told me I should invite you.\Me?\Yeah, you, Nonoka.\Who?\Someone I know?\Um... response:	I-I can't tell you.
context: An acquaintance gave me these.\She told me I should invite you.\Me?\Yeah, you, Nonoka.\Who?\Someone I know?\Um...\I-I can't tell you. response:	I can't take that from someone I don't really even know.
context: She told me I should invite you.\Me?\Yeah, you, Nonoka.\Who?\Someone I know?\Um...\I-I can't tell you.\I can't take that from someone I don't really even know. response:	Not at all.
context: Me?\Yeah, you, Nonoka.\Who?\Someone I know?\Um...\I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all. response:	In fact she's really straightforward and easy to get to know.
context: Yeah, you, Nonoka.\Who?\Someone I know?\Um...\I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know. response:	Do you mean
context: Who?\Someone I know?\Um...\I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean response:	Here.
context: Someone I know?\Um...\I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean\Here. response:	Next weekend.
context: Um...\I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean\Here.\Next weekend. response:	I'll be waiting.
context: I-I can't tell you.\I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean\Here.\Next weekend.\I'll be waiting. response:	Okay.
context: I can't take that from someone I don't really even know.\Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean\Here.\Next weekend.\I'll be waiting.\Okay. response:	The hot springs, huh?
context: Not at all.\In fact she's really straightforward and easy to get to know.\Do you mean\Here.\Next weekend.\I'll be waiting.\Okay.\The hot springs, huh? response:	What should I do with the rest of these coupons?
context: In fact she's really straightforward and easy to get to know.\Do you mean\Here.\Next weekend.\I'll be waiting.\Okay.\The hot springs, huh?\What should I do with the rest of these coupons? response:	Huh, what's that?
context: Do you mean\Here.\Next weekend.\I'll be waiting.\Okay.\The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that? response:	Oh, Yuzuki, want to come to the hot springs with us?
context: Here.\Next weekend.\I'll be waiting.\Okay.\The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us? response:	The hot springs?
context: Next weekend.\I'll be waiting.\Okay.\The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs? response:	I was just thinking about going!
context: I'll be waiting.\Okay.\The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going! response:	Koharu.
context: Okay.\The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going!\Koharu. response:	What's up?
context: The hot springs, huh?\What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going!\Koharu.\What's up? response:	Do you have any coupons left?
context: What should I do with the rest of these coupons?\Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going!\Koharu.\What's up?\Do you have any coupons left? response:	Noel.
context: Huh, what's that?\Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going!\Koharu.\What's up?\Do you have any coupons left?\Noel. response:	Good timing.
context: Oh, Yuzuki, want to come to the hot springs with us?\The hot springs?\I was just thinking about going!\Koharu.\What's up?\Do you have any coupons left?\Noel.\Good timing. response:	The hot springs
context: The hot springs?\I was just thinking about going!\Koharu.\What's up?\Do you have any coupons left?\Noel.\Good timing.\The hot springs response:	Nonoka, listen!
context: I was just thinking about going!\Koharu.\What's up?\Do you have any coupons left?\Noel.\Good timing.\The hot springs\Nonoka, listen! response:	What is it?
context: Koharu.\What's up?\Do you have any coupons left?\Noel.\Good timing.\The hot springs\Nonoka, listen!\What is it? response:	I can go to the hot springs.
context: What's up?\Do you have any coupons left?\Noel.\Good timing.\The hot springs\Nonoka, listen!\What is it?\I can go to the hot springs. response:	Shione invited me.
context: Do you have any coupons left?\Noel.\Good timing.\The hot springs\Nonoka, listen!\What is it?\I can go to the hot springs.\Shione invited me. response:	We're going to the hot springs together on her next break.
context: Noel.\Good timing.\The hot springs\Nonoka, listen!\What is it?\I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break. response:	Good for you.
context: Good timing.\The hot springs\Nonoka, listen!\What is it?\I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break.\Good for you. response:	Have fun.
context: The hot springs\Nonoka, listen!\What is it?\I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break.\Good for you.\Have fun. response:	Call from Nonoka
context: Nonoka, listen!\What is it?\I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break.\Good for you.\Have fun.\Call from Nonoka response:	Take care of the shop for a bit.
context: What is it?\I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break.\Good for you.\Have fun.\Call from Nonoka\Take care of the shop for a bit. response:	Oh, here.
context: I can go to the hot springs.\Shione invited me.\We're going to the hot springs together on her next break.\Good for you.\Have fun.\Call from Nonoka\Take care of the shop for a bit.\Oh, here. response:	What?
context: Shione invited me.\We're going to the hot springs together on her next break.\Good for you.\Have fun.\Call from Nonoka\Take care of the shop for a bit.\Oh, here.\What? response:	Oh, so Noel couldn't come?
context: We're going to the hot springs together on her next break.\Good for you.\Have fun.\Call from Nonoka\Take care of the shop for a bit.\Oh, here.\What?\Oh, so Noel couldn't come? response:	But you can come, right, Nonoka?
context: Good for you.\Have fun.\Call from Nonoka\Take care of the shop for a bit.\Oh, here.\What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka? response:	Oh, good.
context: Have fun.\Call from Nonoka\Take care of the shop for a bit.\Oh, here.\What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good. response:	I'll ask Koharu what to do about the rest of the coupons.
context: Call from Nonoka\Take care of the shop for a bit.\Oh, here.\What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons. response:	Maybe there's someone she wants to invite.
context: Take care of the shop for a bit.\Oh, here.\What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite. response:	I wouldn't mind just the three of us, but...
context: Oh, here.\What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but... response:	I see, she has some left.
context: What?\Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left. response:	I'm busy anyway.
context: Oh, so Noel couldn't come?\But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway. response:	Oh, Koharu?
context: But you can come, right, Nonoka?\Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway.\Oh, Koharu? response:	Next weekend?
context: Oh, good.\I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway.\Oh, Koharu?\Next weekend? response:	Yeah, I'm free.
context: I'll ask Koharu what to do about the rest of the coupons.\Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway.\Oh, Koharu?\Next weekend?\Yeah, I'm free. response:	There's leftover curry in the fridge.
context: Maybe there's someone she wants to invite.\I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway.\Oh, Koharu?\Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge. response:	Heat it up if you're going to have it.
context: I wouldn't mind just the three of us, but...\I see, she has some left.\I'm busy anyway.\Oh, Koharu?\Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it. response:	Put it on low heat so it doesn't splatter.
context: I see, she has some left.\I'm busy anyway.\Oh, Koharu?\Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter. response:	I know how to make it, too, you know.
context: I'm busy anyway.\Oh, Koharu?\Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know. response:	Still, you have to eat your salad.
context: Oh, Koharu?\Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad. response:	You're too fussy about food.
context: Next weekend?\Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food. response:	Yeah, got it.
context: Yeah, I'm free.\There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it. response:	And don't leave the dishes out once you're done eating.
context: There's leftover curry in the fridge.\Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating. response:	It gets really hard to wash them.
context: Heat it up if you're going to have it.\Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them. response:	You should go.
context: Put it on low heat so it doesn't splatter.\I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go. response:	Look at the time!
context: I know how to make it, too, you know.\Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go.\Look at the time! response:	I'm going!
context: Still, you have to eat your salad.\You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go.\Look at the time!\I'm going! response:	Take care.
context: You're too fussy about food.\Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go.\Look at the time!\I'm going!\Take care. response:	Kiriyako Hot Springs Hotel
context: Yeah, got it.\And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go.\Look at the time!\I'm going!\Take care.\Kiriyako Hot Springs Hotel response:	I need to tell her today.
context: And don't leave the dishes out once you're done eating.\It gets really hard to wash them.\You should go.\Look at the time!\I'm going!\Take care.\Kiriyako Hot Springs Hotel\I need to tell her today. response:	I have to be ready.
context: It gets really hard to wash them.\You should go.\Look at the time!\I'm going!\Take care.\Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready. response:	Thanks for waiting.
context: You should go.\Look at the time!\I'm going!\Take care.\Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready.\Thanks for waiting. response:	You're late.
context: Look at the time!\I'm going!\Take care.\Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready.\Thanks for waiting.\You're late. response:	Sorry.
context: I'm going!\Take care.\Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready.\Thanks for waiting.\You're late.\Sorry. response:	I was worried about leaving Dad by himself.
context: Take care.\Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready.\Thanks for waiting.\You're late.\Sorry.\I was worried about leaving Dad by himself. response:	Where's Koharu?
context: Kiriyako Hot Springs Hotel\I need to tell her today.\I have to be ready.\Thanks for waiting.\You're late.\Sorry.\I was worried about leaving Dad by himself.\Where's Koharu? response:	She should be here soon.
context: I need to tell her today.\I have to be ready.\Thanks for waiting.\You're late.\Sorry.\I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon. response:	I'm glad we aren't really late.
context: I have to be ready.\Thanks for waiting.\You're late.\Sorry.\I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon.\I'm glad we aren't really late. response:	What's wrong?
context: Thanks for waiting.\You're late.\Sorry.\I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon.\I'm glad we aren't really late.\What's wrong? response:	Th-There's something I want to tell you before we go.
context: You're late.\Sorry.\I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon.\I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go. response:	Um...
context: Sorry.\I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon.\I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go.\Um... response:	Sorry I'm late.
context: I was worried about leaving Dad by himself.\Where's Koharu?\She should be here soon.\I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go.\Um...\Sorry I'm late. response:	You're early.
context: Where's Koharu?\She should be here soon.\I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go.\Um...\Sorry I'm late.\You're early. response:	I don't think I'm early.
context: She should be here soon.\I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go.\Um...\Sorry I'm late.\You're early.\I don't think I'm early. response:	Don't be in such a rush.
context: I'm glad we aren't really late.\What's wrong?\Th-There's something I want to tell you before we go.\Um...\Sorry I'm late.\You're early.\I don't think I'm early.\Don't be in such a rush. response:	S-Sorry, I'll come later next time.
context: What's wrong?\Th-There's something I want to tell you before we go.\Um...\Sorry I'm late.\You're early.\I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time. response:	H-How's the shop? It's a weekend.
context: Th-There's something I want to tell you before we go.\Um...\Sorry I'm late.\You're early.\I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend. response:	Don't worry, I took care of it.
context: Um...\Sorry I'm late.\You're early.\I don't think I'm early.\Don't be in such a rush.\S-Sorry, I'll come later next time.\H-How's the shop? It's a weekend.\Don't worry, I took care of it. response:	Okay, let's go.
