context: Yeah, I'm fine. response:	I'm eating properly.
context: There's no hurry.\What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two?\Nonoka is...\What're you doing? response:	Togawa-san's not here yet.
context: What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two?\Nonoka is...\What're you doing?\Togawa-san's not here yet. response:	Jeez.
context: We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two?\Nonoka is...\What're you doing?\Togawa-san's not here yet.\Jeez. response:	Don't you all want to win?
context: I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two?\Nonoka is...\What're you doing?\Togawa-san's not here yet.\Jeez.\Don't you all want to win? response:	I think I'm happy just having fun.
context: Don't mess with orienteering!\And where are the other two?\Nonoka is...\What're you doing?\Togawa-san's not here yet.\Jeez.\Don't you all want to win?\I think I'm happy just having fun. response:	Nonoka!
context: And where are the other two?\Nonoka is...\What're you doing?\Togawa-san's not here yet.\Jeez.\Don't you all want to win?\I think I'm happy just having fun.\Nonoka! response:	You're the group leader. You have to call Shione.
context: Nonoka is...\What're you doing?\Togawa-san's not here yet.\Jeez.\Don't you all want to win?\I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione. response:	Idiots.
context: What're you doing?\Togawa-san's not here yet.\Jeez.\Don't you all want to win?\I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione.\Idiots. response:	All right, third one down.
context: Togawa-san's not here yet.\Jeez.\Don't you all want to win?\I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione.\Idiots.\All right, third one down. response:	So, where's the next place?
context: Jeez.\Don't you all want to win?\I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione.\Idiots.\All right, third one down.\So, where's the next place? response:	Oh, I know this place.
context: Don't you all want to win?\I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione.\Idiots.\All right, third one down.\So, where's the next place?\Oh, I know this place. response:	It's behind the hotel by my house.
context: I think I'm happy just having fun.\Nonoka!\You're the group leader. You have to call Shione.\Idiots.\All right, third one down.\So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house. response:	Oh, yeah.
context: Nonoka!\You're the group leader. You have to call Shione.\Idiots.\All right, third one down.\So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah. response:	I think my shop is a checkpoint, too.
context: You're the group leader. You have to call Shione.\Idiots.\All right, third one down.\So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too. response:	My parents met with the teachers.
context: Idiots.\All right, third one down.\So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers. response:	Umm...
context: All right, third one down.\So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm... response:	Right, let's go.
context: So, where's the next place?\Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm...\Right, let's go. response:	Yuzuki, you shouldn't rush it. You'll run out of energy.
context: Oh, I know this place.\It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy. response:	Isn't this cheating?
context: It's behind the hotel by my house.\Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating? response:	It's just a home field advantage.
context: Oh, yeah.\I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage. response:	We've been living here with that stupid saucer this whole time.
context: I think my shop is a checkpoint, too.\My parents met with the teachers.\Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time. response:	We deserve this privilege!
context: My parents met with the teachers.\Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege! response:	Privilege?
context: Umm...\Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege? response:	Besides,
context: Right, let's go.\Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege?\Besides, response:	they have the same conditions.
context: Yuzuki, you shouldn't rush it. You'll run out of energy.\Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege?\Besides,\they have the same conditions. response:	What are you going on about?
context: Isn't this cheating?\It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege?\Besides,\they have the same conditions.\What are you going on about? response:	I'm not going to lose!
context: It's just a home field advantage.\We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege?\Besides,\they have the same conditions.\What are you going on about?\I'm not going to lose! response:	She's rushing ahead again.
context: We've been living here with that stupid saucer this whole time.\We deserve this privilege!\Privilege?\Besides,\they have the same conditions.\What are you going on about?\I'm not going to lose!\She's rushing ahead again. response:	We're enemies for now, so we'll be going.
context: We deserve this privilege!\Privilege?\Besides,\they have the same conditions.\What are you going on about?\I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going. response:	See you.
context: Privilege?\Besides,\they have the same conditions.\What are you going on about?\I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going.\See you. response:	Don't you guys need this checkpoint, too?
context: Besides,\they have the same conditions.\What are you going on about?\I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too? response:	We were planning to go there later!
context: they have the same conditions.\What are you going on about?\I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too?\We were planning to go there later! response:	Objective confirmed!
context: What are you going on about?\I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed! response:	I'll go report!
context: I'm not going to lose!\She's rushing ahead again.\We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed!\I'll go report! response:	I'm technically the group leader.
context: She's rushing ahead again.\We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed!\I'll go report!\I'm technically the group leader. response:	It's okay.
context: We're enemies for now, so we'll be going.\See you.\Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed!\I'll go report!\I'm technically the group leader.\It's okay. response:	Part of your duty as the leader is to make use of enthusiastic troops.
context: See you.\Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed!\I'll go report!\I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops. response:	That's true.
context: Don't you guys need this checkpoint, too?\We were planning to go there later!\Objective confirmed!\I'll go report!\I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true. response:	Thanks, Koharu.
context: We were planning to go there later!\Objective confirmed!\I'll go report!\I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu. response:	Motorboats
context: Objective confirmed!\I'll go report!\I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu.\Motorboats response:	If I'm not mistaken...
context: I'll go report!\I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu.\Motorboats\If I'm not mistaken... response:	She's totally avoiding me.
context: I'm technically the group leader.\It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu.\Motorboats\If I'm not mistaken...\She's totally avoiding me. response:	Did something happen with Shione?
context: It's okay.\Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu.\Motorboats\If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione? response:	I can't think of anything I might have done.
context: Part of your duty as the leader is to make use of enthusiastic troops.\That's true.\Thanks, Koharu.\Motorboats\If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done. response:	Guys, hurry up. Let's go to the next one!
context: That's true.\Thanks, Koharu.\Motorboats\If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one! response:	We're running now.
context: Thanks, Koharu.\Motorboats\If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now. response:	The enemy is right there!
context: Motorboats\If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there! response:	Aren't we at Koharu's place yet?
context: If I'm not mistaken...\She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there!\Aren't we at Koharu's place yet? response:	You know where I live, don't you?
context: She's totally avoiding me.\Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you? response:	You should have paced yourself.
context: Did something happen with Shione?\I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself. response:	Oh, goddess.
context: I can't think of anything I might have done.\Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself.\Oh, goddess. response:	It's that thing's fault!
context: Guys, hurry up. Let's go to the next one!\We're running now.\The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself.\Oh, goddess.\It's that thing's fault! response:	It's taking my strength!
context: We're running now.\The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself.\Oh, goddess.\It's that thing's fault!\It's taking my strength! response:	With some mysterious, invisible something.
context: The enemy is right there!\Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself.\Oh, goddess.\It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something. response:	You seem fine still.
context: Aren't we at Koharu's place yet?\You know where I live, don't you?\You should have paced yourself.\Oh, goddess.\It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something.\You seem fine still. response:	Anyway, it's not my fault.
context: You know where I live, don't you?\You should have paced yourself.\Oh, goddess.\It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault. response:	It's all the saucer's fault!
context: You should have paced yourself.\Oh, goddess.\It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault! response:	You're right.
context: Oh, goddess.\It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault!\You're right. response:	Hey, can I ask you something?
context: It's that thing's fault!\It's taking my strength!\With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault!\You're right.\Hey, can I ask you something? response:	Togawa-san.
context: It's taking my strength!\With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault!\You're right.\Hey, can I ask you something?\Togawa-san. response:	Shione-san!
context: With some mysterious, invisible something.\You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault!\You're right.\Hey, can I ask you something?\Togawa-san.\Shione-san! response:	I can hear you.
context: You seem fine still.\Anyway, it's not my fault.\It's all the saucer's fault!\You're right.\Hey, can I ask you something?\Togawa-san.\Shione-san!\I can hear you. response:	That's good.
context: Anyway, it's not my fault.\It's all the saucer's fault!\You're right.\Hey, can I ask you something?\Togawa-san.\Shione-san!\I can hear you.\That's good. response:	Do you need something?
context: It's all the saucer's fault!\You're right.\Hey, can I ask you something?\Togawa-san.\Shione-san!\I can hear you.\That's good.\Do you need something? response:	Not really,
context: You're right.\Hey, can I ask you something?\Togawa-san.\Shione-san!\I can hear you.\That's good.\Do you need something?\Not really, response:	but you know, I haven't had a chance to talk to you much yet.
context: Hey, can I ask you something?\Togawa-san.\Shione-san!\I can hear you.\That's good.\Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet. response:	Why did you say that thing when we first met?
context: Togawa-san.\Shione-san!\I can hear you.\That's good.\Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met? response:	Why did you bother coming back now?
context: Shione-san!\I can hear you.\That's good.\Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now? response:	I don't like you.
context: I can hear you.\That's good.\Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you. response:	Hey, Shione-san!
context: That's good.\Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you.\Hey, Shione-san! response:	Try calling me by my first name again.
context: Do you need something?\Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you.\Hey, Shione-san!\Try calling me by my first name again. response:	Try it.
context: Not really,\but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you.\Hey, Shione-san!\Try calling me by my first name again.\Try it. response:	Wh-What?
context: but you know, I haven't had a chance to talk to you much yet.\Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you.\Hey, Shione-san!\Try calling me by my first name again.\Try it.\Wh-What? response:	I'll slap you.
context: Why did you say that thing when we first met?\Why did you bother coming back now?\I don't like you.\Hey, Shione-san!\Try calling me by my first name again.\Try it.\Wh-What?\I'll slap you. response:	Why?
context: Why did you bother coming back now?\I don't like you.\Hey, Shione-san!\Try calling me by my first name again.\Try it.\Wh-What?\I'll slap you.\Why? response:	Are you okay?
context: I don't like you.\Hey, Shione-san!\Try calling me by my first name again.\Try it.\Wh-What?\I'll slap you.\Why?\Are you okay? response:	Yeah.
context: Hey, Shione-san!\Try calling me by my first name again.\Try it.\Wh-What?\I'll slap you.\Why?\Are you okay?\Yeah. response:	I don't think it's your fault.
context: Try calling me by my first name again.\Try it.\Wh-What?\I'll slap you.\Why?\Are you okay?\Yeah.\I don't think it's your fault. response:	Shione's not really the talkative type to begin with.
context: Try it.\Wh-What?\I'll slap you.\Why?\Are you okay?\Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with. response:	She wasn't like that when she was little, though.
context: Wh-What?\I'll slap you.\Why?\Are you okay?\Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though. response:	Have you known her for a while?
context: I'll slap you.\Why?\Are you okay?\Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while? response:	Yeah, Shione was born in this town, too.
context: Why?\Are you okay?\Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too. response:	Come on, what are you doing? Hurry!
context: Are you okay?\Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry! response:	That's it.
context: Yeah.\I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it. response:	I don't want to be hated when I don't even know why.
context: I don't think it's your fault.\Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why. response:	Koharu, thanks for worrying for me.
context: Shione's not really the talkative type to begin with.\She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me. response:	I'm still going to try to be friends with Shione-san.
context: She wasn't like that when she was little, though.\Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san. response:	So I'm going to go again.
context: Have you known her for a while?\Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again. response:	Okay, good luck.
context: Yeah, Shione was born in this town, too.\Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck. response:	Shiihara Shop
context: Come on, what are you doing? Hurry!\That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck.\Shiihara Shop response:	Hey, Togawa-san,
context: That's it.\I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck.\Shiihara Shop\Hey, Togawa-san, response:	I heard you lived here a long time ago.
context: I don't want to be hated when I don't even know why.\Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck.\Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago. response:	I did, too.
context: Koharu, thanks for worrying for me.\I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck.\Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too. response:	I was little, so I don't remember about it, though.
context: I'm still going to try to be friends with Shione-san.\So I'm going to go again.\Okay, good luck.\Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though. response:	I knew it.
context: So I'm going to go again.\Okay, good luck.\Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though.\I knew it. response:	Shione-san?
context: Okay, good luck.\Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though.\I knew it.\Shione-san? response:	Nonoka.
context: Shiihara Shop\Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though.\I knew it.\Shione-san?\Nonoka. response:	Y-Yes?
context: Hey, Togawa-san,\I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though.\I knew it.\Shione-san?\Nonoka.\Y-Yes? response:	You're an eyesore.
context: I heard you lived here a long time ago.\I did, too.\I was little, so I don't remember about it, though.\I knew it.\Shione-san?\Nonoka.\Y-Yes?\You're an eyesore. response:	Disappear.
context: I did, too.\I was little, so I don't remember about it, though.\I knew it.\Shione-san?\Nonoka.\Y-Yes?\You're an eyesore.\Disappear. response:	Without a trace.
context: I was little, so I don't remember about it, though.\I knew it.\Shione-san?\Nonoka.\Y-Yes?\You're an eyesore.\Disappear.\Without a trace. response:	And here's our promise.
context: I knew it.\Shione-san?\Nonoka.\Y-Yes?\You're an eyesore.\Disappear.\Without a trace.\And here's our promise. response:	What happened?
context: Shione-san?\Nonoka.\Y-Yes?\You're an eyesore.\Disappear.\Without a trace.\And here's our promise.\What happened? response:	It's nothing.
context: Nonoka.\Y-Yes?\You're an eyesore.\Disappear.\Without a trace.\And here's our promise.\What happened?\It's nothing. response:	Yeah?
context: Y-Yes?\You're an eyesore.\Disappear.\Without a trace.\And here's our promise.\What happened?\It's nothing.\Yeah? response:	All right, then.
context: You're an eyesore.\Disappear.\Without a trace.\And here's our promise.\What happened?\It's nothing.\Yeah?\All right, then. response:	We're finally here!
context: Disappear.\Without a trace.\And here's our promise.\What happened?\It's nothing.\Yeah?\All right, then.\We're finally here! response:	I'll go report to the teacher.
context: Without a trace.\And here's our promise.\What happened?\It's nothing.\Yeah?\All right, then.\We're finally here!\I'll go report to the teacher. response:	Oh, okay, thanks.
context: And here's our promise.\What happened?\It's nothing.\Yeah?\All right, then.\We're finally here!\I'll go report to the teacher.\Oh, okay, thanks. response:	Sensei, hurry, stamp!
context: What happened?\It's nothing.\Yeah?\All right, then.\We're finally here!\I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp! response:	Noel?
context: It's nothing.\Yeah?\All right, then.\We're finally here!\I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp!\Noel? response:	What're you up to?
context: Yeah?\All right, then.\We're finally here!\I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp!\Noel?\What're you up to? response:	Nonoka!
context: All right, then.\We're finally here!\I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp!\Noel?\What're you up to?\Nonoka! response:	Oh, my.
context: We're finally here!\I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp!\Noel?\What're you up to?\Nonoka!\Oh, my. response:	Noel!
context: I'll go report to the teacher.\Oh, okay, thanks.\Sensei, hurry, stamp!\Noel?\What're you up to?\Nonoka!\Oh, my.\Noel! response:	I'm sorry, monster-san!
context: Oh, okay, thanks.\Sensei, hurry, stamp!\Noel?\What're you up to?\Nonoka!\Oh, my.\Noel!\I'm sorry, monster-san! response:	Noel, are you all right?
context: Sensei, hurry, stamp!\Noel?\What're you up to?\Nonoka!\Oh, my.\Noel!\I'm sorry, monster-san!\Noel, are you all right? response:	Here, wipe your face.
context: Noel?\What're you up to?\Nonoka!\Oh, my.\Noel!\I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face. response:	Nonoka!
context: What're you up to?\Nonoka!\Oh, my.\Noel!\I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face.\Nonoka! response:	Noel.
context: Nonoka!\Oh, my.\Noel!\I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face.\Nonoka!\Noel. response:	Nonoka, are you done with school yet?
context: Oh, my.\Noel!\I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face.\Nonoka!\Noel.\Nonoka, are you done with school yet? response:	No, I'm doing extracurricular work.
context: Noel!\I'm sorry, monster-san!\Noel, are you all right?\Here, wipe your face.\Nonoka!\Noel.\Nonoka, are you done with school yet?\No, I'm doing extracurricular work. response:	After school?
