context: Kurahara? response:	Run with the Wind
context: Kakeru.\Kakeru.\Kakeru!\Don't forget that we're here.\What did he do?\Hey, what are you doing?\Get your stuff on the bus!\Yes, sir! response:	We'll show you just how serious we are at the qualifier.
context: Kakeru.\Kakeru!\Don't forget that we're here.\What did he do?\Hey, what are you doing?\Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier. response:	Oh, right.
context: Kakeru!\Don't forget that we're here.\What did he do?\Hey, what are you doing?\Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right. response:	You first-years will be too busy with chores to watch the race.
context: Don't forget that we're here.\What did he do?\Hey, what are you doing?\Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race. response:	Start by becoming regulars on your team.
context: What did he do?\Hey, what are you doing?\Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team. response:	Good luck.
context: Hey, what are you doing?\Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck. response:	And Then Start Running
context: Get your stuff on the bus!\Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck.\And Then Start Running response:	Your time hasn't even improved by ten seconds!
context: Yes, sir!\We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds! response:	What kind of training have you been doing?
context: We'll show you just how serious we are at the qualifier.\Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing? response:	Sorry!
context: Oh, right.\You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry! response:	Aren't you a scholarship student?
context: You first-years will be too busy with chores to watch the race.\Start by becoming regulars on your team.\Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry!\Aren't you a scholarship student? response:	Your only option is to do well at running.
context: Start by becoming regulars on your team.\Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry!\Aren't you a scholarship student?\Your only option is to do well at running. response:	Go run ten more kilometers!
context: Good luck.\And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry!\Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers! response:	Yes, sir!
context: And Then Start Running\Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry!\Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir! response:	The same goes for the rest of you.
context: Your time hasn't even improved by ten seconds!\What kind of training have you been doing?\Sorry!\Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you. response:	Results are everything for runners.
context: What kind of training have you been doing?\Sorry!\Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you.\Results are everything for runners. response:	I won't allow any weakness!
context: Sorry!\Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness! response:	Yes, sir!
context: Aren't you a scholarship student?\Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness!\Yes, sir! response:	Kurahara.
context: Your only option is to do well at running.\Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness!\Yes, sir!\Kurahara. response:	Hey, Kurahara.
context: Go run ten more kilometers!\Yes, sir!\The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness!\Yes, sir!\Kurahara.\Hey, Kurahara. response:	These men are prefectural officials.
context: Yes, sir!\The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness!\Yes, sir!\Kurahara.\Hey, Kurahara.\These men are prefectural officials. response:	You won with a huge lead.
context: The same goes for the rest of you.\Results are everything for runners.\I won't allow any weakness!\Yes, sir!\Kurahara.\Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead. response:	Thank you.
context: Results are everything for runners.\I won't allow any weakness!\Yes, sir!\Kurahara.\Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead.\Thank you. response:	You must be a top runner nationally, as well.
context: I won't allow any weakness!\Yes, sir!\Kurahara.\Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead.\Thank you.\You must be a top runner nationally, as well. response:	You can really see the results of your coaching.
context: Yes, sir!\Kurahara.\Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead.\Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching. response:	I'm just blessed with talented runners.
context: Kurahara.\Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead.\Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners. response:	We're looking forward to this year's prefectural and national races.
context: Hey, Kurahara.\These men are prefectural officials.\You won with a huge lead.\Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races. response:	I hope we can meet your expectations.
context: These men are prefectural officials.\You won with a huge lead.\Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations. response:	Apparently, they want me to speak at a party about fostering athletes.
context: You won with a huge lead.\Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes. response:	I've asked the coaches to manage your training schedule, so don't worry.
context: Thank you.\You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry. response:	Yes, sir.
context: You must be a top runner nationally, as well.\You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir. response:	It's all thanks to what you've achieved.
context: You can really see the results of your coaching.\I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved. response:	Hey, you! Don't walk so slowly!
context: I'm just blessed with talented runners.\We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly! response:	Look sharp!
context: We're looking forward to this year's prefectural and national races.\I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp! response:	Don't damage Sendai Josei High School's dignity!
context: I hope we can meet your expectations.\Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity! response:	We'll be doing high-altitude training.
context: Apparently, they want me to speak at a party about fostering athletes.\I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training. response:	We'll be able to enjoy the scenery.
context: I've asked the coaches to manage your training schedule, so don't worry.\Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery. response:	Seems gentle. Right?
context: Yes, sir.\It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right? response:	What?
context: It's all thanks to what you've achieved.\Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right?\What? response:	The ground seems like it'll be gentle on our knees.
context: Hey, you! Don't walk so slowly!\Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees. response:	Your leg hurts?
context: Look sharp!\Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees.\Your leg hurts? response:	Can't you come up with a better excuse?
context: Don't damage Sendai Josei High School's dignity!\We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse? response:	Everyone has an injury or two they're working through.
context: We'll be doing high-altitude training.\We'll be able to enjoy the scenery.\Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through. response:	Runners improve their times despite them. Run!
context: We'll be able to enjoy the scenery.\Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run! response:	Yes, sir!
context: Seems gentle. Right?\What?\The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir! response:	I'll be cutting everyone who doesn't do well.
context: What?\The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well. response:	Prepare yourselves!
context: The ground seems like it'll be gentle on our knees.\Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves! response:	He doesn't get it.
context: Your leg hurts?\Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it. response:	It can't be helped. He's a first-year.
context: Can't you come up with a better excuse?\Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year. response:	Tell him he only needs to try when he's watching.
context: Everyone has an injury or two they're working through.\Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching. response:	You tell him.
context: Runners improve their times despite them. Run!\Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him. response:	He won't listen to me.
context: Yes, sir!\I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me. response:	After all, he's a scholarship student.
context: I'll be cutting everyone who doesn't do well.\Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me.\After all, he's a scholarship student. response:	If you can't do it,
context: Prepare yourselves!\He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me.\After all, he's a scholarship student.\If you can't do it, response:	I don't think you have to run.
context: He doesn't get it.\It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me.\After all, he's a scholarship student.\If you can't do it,\I don't think you have to run. response:	Have you ever suffered an injury?
context: It can't be helped. He's a first-year.\Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me.\After all, he's a scholarship student.\If you can't do it,\I don't think you have to run.\Have you ever suffered an injury? response:	Didn't think so.
context: Tell him he only needs to try when he's watching.\You tell him.\He won't listen to me.\After all, he's a scholarship student.\If you can't do it,\I don't think you have to run.\Have you ever suffered an injury?\Didn't think so. response:	Hey!
context: You tell him.\He won't listen to me.\After all, he's a scholarship student.\If you can't do it,\I don't think you have to run.\Have you ever suffered an injury?\Didn't think so.\Hey! response:	Hey.
context: He won't listen to me.\After all, he's a scholarship student.\If you can't do it,\I don't think you have to run.\Have you ever suffered an injury?\Didn't think so.\Hey!\Hey. response:	It's Hana.
context: After all, he's a scholarship student.\If you can't do it,\I don't think you have to run.\Have you ever suffered an injury?\Didn't think so.\Hey!\Hey.\It's Hana. response:	Hey!
context: If you can't do it,\I don't think you have to run.\Have you ever suffered an injury?\Didn't think so.\Hey!\Hey.\It's Hana.\Hey! response:	I see meat.
context: I don't think you have to run.\Have you ever suffered an injury?\Didn't think so.\Hey!\Hey.\It's Hana.\Hey!\I see meat. response:	Those bags are full of meat.
context: Have you ever suffered an injury?\Didn't think so.\Hey!\Hey.\It's Hana.\Hey!\I see meat.\Those bags are full of meat. response:	I'll cook dinner tonight!
context: Didn't think so.\Hey!\Hey.\It's Hana.\Hey!\I see meat.\Those bags are full of meat.\I'll cook dinner tonight! response:	No, wait!
context: Hey!\Hey.\It's Hana.\Hey!\I see meat.\Those bags are full of meat.\I'll cook dinner tonight!\No, wait! response:	Wait, wait!
context: Hey.\It's Hana.\Hey!\I see meat.\Those bags are full of meat.\I'll cook dinner tonight!\No, wait!\Wait, wait! response:	You're on bathroom duty tonight.
context: It's Hana.\Hey!\I see meat.\Those bags are full of meat.\I'll cook dinner tonight!\No, wait!\Wait, wait!\You're on bathroom duty tonight. response:	Use your head.
context: Hey!\I see meat.\Those bags are full of meat.\I'll cook dinner tonight!\No, wait!\Wait, wait!\You're on bathroom duty tonight.\Use your head. response:	Quit surrounding Hana, you sweaty pigs!
context: I see meat.\Those bags are full of meat.\I'll cook dinner tonight!\No, wait!\Wait, wait!\You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs! response:	What's wrong?
context: Those bags are full of meat.\I'll cook dinner tonight!\No, wait!\Wait, wait!\You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong? response:	Isn't it a little soon for you to be tired?
context: I'll cook dinner tonight!\No, wait!\Wait, wait!\You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired? response:	Yes!
context: No, wait!\Wait, wait!\You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired?\Yes! response:	There's plenty more!
context: Wait, wait!\You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired?\Yes!\There's plenty more! response:	My special crunchy liver and leek stir fry contains tons of vegetables!
context: You're on bathroom duty tonight.\Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired?\Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables! response:	Thanks for the meal!
context: Use your head.\Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired?\Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal! response:	That's it. They're making me feel great.
context: Quit surrounding Hana, you sweaty pigs!\What's wrong?\Isn't it a little soon for you to be tired?\Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great. response:	Do you want to quit the team?
context: What's wrong?\Isn't it a little soon for you to be tired?\Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team? response:	Look at all of you.
context: Isn't it a little soon for you to be tired?\Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you. response:	If you can't be useful here, you won't be useful anywhere.
context: Yes!\There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere. response:	Your life will be decided here.
context: There's plenty more!\My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here. response:	Do you understand that? Do you?
context: My special crunchy liver and leek stir fry contains tons of vegetables!\Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you? response:	Yes, sir!
context: Thanks for the meal!\That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you?\Yes, sir! response:	I don't know how fast you were in the boonies,
context: That's it. They're making me feel great.\Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies, response:	but here we coach based on years of theory.
context: Do you want to quit the team?\Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory. response:	If you can't keep up, it's because you're not good enough.
context: Look at all of you.\If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough. response:	Yes, sir.
context: If you can't be useful here, you won't be useful anywhere.\Your life will be decided here.\Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir. response:	I can't hear you!
context: Your life will be decided here.\Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you! response:	You don't get it, do you?
context: Do you understand that? Do you?\Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you!\You don't get it, do you? response:	Yes, sir!
context: Yes, sir!\I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you!\You don't get it, do you?\Yes, sir! response:	Listen up. Imagine you're racing for your life!
context: I don't know how fast you were in the boonies,\but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you!\You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life! response:	Yes, sir!
context: but here we coach based on years of theory.\If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you!\You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir! response:	Don't forget that you're representing a prestigious school!
context: If you can't keep up, it's because you're not good enough.\Yes, sir.\I can't hear you!\You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school! response:	Yes, sir!
context: Yes, sir.\I can't hear you!\You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir! response:	Leave behind those who can't run!
context: I can't hear you!\You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run! response:	We don't have time for them!
context: You don't get it, do you?\Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run!\We don't have time for them! response:	Yes, sir!
context: Yes, sir!\Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run!\We don't have time for them!\Yes, sir! response:	You can't handle it?
context: Listen up. Imagine you're racing for your life!\Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run!\We don't have time for them!\Yes, sir!\You can't handle it? response:	This year... This time, I don't think I'll be able to.
context: Yes, sir!\Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run!\We don't have time for them!\Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to. response:	But by next year
context: Don't forget that you're representing a prestigious school!\Yes, sir!\Leave behind those who can't run!\We don't have time for them!\Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year response:	You can't close the gap that quickly.
context: Yes, sir!\Leave behind those who can't run!\We don't have time for them!\Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly. response:	Everyone's pouring their blood, sweat, and tears into practice
context: Leave behind those who can't run!\We don't have time for them!\Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice response:	every day while you're resting.
context: We don't have time for them!\Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting. response:	Don't worry.
context: Yes, sir!\You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry. response:	The team will manage without you.
context: You can't handle it?\This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry.\The team will manage without you. response:	Get yourself healed up and find a new path.
context: This year... This time, I don't think I'll be able to.\But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry.\The team will manage without you.\Get yourself healed up and find a new path. response:	Please! I'm here on a track scholarship!
context: But by next year\You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry.\The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship! response:	If I quit the team, I won't have anything!
context: You can't close the gap that quickly.\Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry.\The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything! response:	Please let me run! Please!
context: Everyone's pouring their blood, sweat, and tears into practice\every day while you're resting.\Don't worry.\The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please! response:	Please!
context: every day while you're resting.\Don't worry.\The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please!\Please! response:	Please! Please!
context: Don't worry.\The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please!\Please!\Please! Please! response:	It's time. Let's get started.
context: The team will manage without you.\Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please!\Please!\Please! Please!\It's time. Let's get started. response:	Yes, sir. To the track!
context: Get yourself healed up and find a new path.\Please! I'm here on a track scholarship!\If I quit the team, I won't have anything!\Please let me run! Please!\Please!\Please! Please!\It's time. Let's get started.\Yes, sir. To the track! response:	Yes, sir!
