context: Cou-sama, are you awake? response:	I am... but it's not time to get up!
context: How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes!\H-Hello.\I'm Galette's hero, Rebecca. response:	Today Rebecca is Galette's Hero.
context: So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes!\H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero. response:	Well, the Ex Machina is a replica.
context: Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes!\H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica. response:	But her cuteness is quite real!
context: Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes!\H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real! response:	Thank you.
context: Then come, my Hero!\Yes!\H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you. response:	Rebecca-sama is really cute.
context: Yes!\H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute. response:	Nanami-dono and Rebecca-dono
context: H-Hello.\I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono response:	do look good in those outfits.
context: I'm Galette's hero, Rebecca.\Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits. response:	That means our Hero
context: Today Rebecca is Galette's Hero.\Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero response:	is Pastillage's Hero for the day, right?
context: Well, the Ex Machina is a replica.\But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right? response:	Indeed.
context: But her cuteness is quite real!\Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right?\Indeed. response:	That means that he'll have to wear the costume, right?
context: Thank you.\Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right? response:	Indeed...
context: Rebecca-sama is really cute.\Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right?\Indeed... response:	Magical Beam!
context: Nanami-dono and Rebecca-dono\do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right?\Indeed...\Magical Beam! response:	That's not good!
context: do look good in those outfits.\That means our Hero\is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right?\Indeed...\Magical Beam!\That's not good! response:	No, actually it's not bad.
context: That means our Hero\is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right?\Indeed...\Magical Beam!\That's not good!\No, actually it's not bad. response:	Indeed.
context: is Pastillage's Hero for the day, right?\Indeed.\That means that he'll have to wear the costume, right?\Indeed...\Magical Beam!\That's not good!\No, actually it's not bad.\Indeed. response:	It's borderline in many respects!
context: Indeed.\That means that he'll have to wear the costume, right?\Indeed...\Magical Beam!\That's not good!\No, actually it's not bad.\Indeed.\It's borderline in many respects! response:	Sorry for the wait.
context: That means that he'll have to wear the costume, right?\Indeed...\Magical Beam!\That's not good!\No, actually it's not bad.\Indeed.\It's borderline in many respects!\Sorry for the wait. response:	Huh? What's wrong?
context: Indeed...\Magical Beam!\That's not good!\No, actually it's not bad.\Indeed.\It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong? response:	Oh, that suits you quite well.
context: Magical Beam!\That's not good!\No, actually it's not bad.\Indeed.\It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well. response:	I'm glad... really glad...
context: That's not good!\No, actually it's not bad.\Indeed.\It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad... response:	If you think about it,
context: No, actually it's not bad.\Indeed.\It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad...\If you think about it, response:	this was the only thing that makes sense.
context: Indeed.\It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad...\If you think about it,\this was the only thing that makes sense. response:	You look good, Sink!
context: It's borderline in many respects!\Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad...\If you think about it,\this was the only thing that makes sense.\You look good, Sink! response:	Huh? Thanks...
context: Sorry for the wait.\Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad...\If you think about it,\this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks... response:	I guess the Heroes are all going to go home soon.
context: Huh? What's wrong?\Oh, that suits you quite well.\I'm glad... really glad...\If you think about it,\this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon. response:	Well, I heard they're coming back very soon.
context: Oh, that suits you quite well.\I'm glad... really glad...\If you think about it,\this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon. response:	Earth, that brings back memories...
context: I'm glad... really glad...\If you think about it,\this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories... response:	Couldn't I go with them while they're over there?
context: If you think about it,\this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there? response:	Why do you want to go?
context: this was the only thing that makes sense.\You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go? response:	Isn't that obvious?
context: You look good, Sink!\Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious? response:	To check out the body types and
context: Huh? Thanks...\I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious?\To check out the body types and response:	underwear of the girls over there.
context: I guess the Heroes are all going to go home soon.\Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious?\To check out the body types and\underwear of the girls over there. response:	I couldn't quite hear you. What did you say?
context: Well, I heard they're coming back very soon.\Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious?\To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say? response:	Nothing.
context: Earth, that brings back memories...\Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious?\To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing. response:	I thought so.
context: Couldn't I go with them while they're over there?\Why do you want to go?\Isn't that obvious?\To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing.\I thought so. response:	That's that, so please enjoy tonight's Final Stage!
context: Why do you want to go?\Isn't that obvious?\To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage! response:	Everybody, great work!
context: Isn't that obvious?\To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work! response:	Yup.
context: To check out the body types and\underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup. response:	Great work!
context: underwear of the girls over there.\I couldn't quite hear you. What did you say?\Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup.\Great work! response:	Huh? Noir?
context: I couldn't quite hear you. What did you say?\Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup.\Great work!\Huh? Noir? response:	Rico, Noir, and I are going out for a bit.
context: Nothing.\I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup.\Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit. response:	Should I bring you somewhere?
context: I thought so.\That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup.\Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere? response:	No, we're fine.
context: That's that, so please enjoy tonight's Final Stage!\Everybody, great work!\Yup.\Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine. response:	The Skyer can handle us three just fine.
context: Everybody, great work!\Yup.\Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine. response:	All right. We'll be back before Millihi-nee's live performance.
context: Yup.\Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance. response:	Be careful.
context: Great work!\Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful. response:	Skyer, go!
context: Huh? Noir?\Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go! response:	Bye bye!
context: Rico, Noir, and I are going out for a bit.\Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go!\Bye bye! response:	Okay, should we go to the stage, too?
context: Should I bring you somewhere?\No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go!\Bye bye!\Okay, should we go to the stage, too? response:	Yeah.
context: No, we're fine.\The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go!\Bye bye!\Okay, should we go to the stage, too?\Yeah. response:	Agreed.
context: The Skyer can handle us three just fine.\All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go!\Bye bye!\Okay, should we go to the stage, too?\Yeah.\Agreed. response:	Biometric data confirmed for the rightful heir to Pastillage
context: All right. We'll be back before Millihi-nee's live performance.\Be careful.\Skyer, go!\Bye bye!\Okay, should we go to the stage, too?\Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage response:	and the Heavenly Spear Crimaris is present.
context: Be careful.\Skyer, go!\Bye bye!\Okay, should we go to the stage, too?\Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present. response:	Opening doors.
context: Skyer, go!\Bye bye!\Okay, should we go to the stage, too?\Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors. response:	This is the legendary treasure vault
context: Bye bye!\Okay, should we go to the stage, too?\Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault response:	under Castle Eschenbach,
context: Okay, should we go to the stage, too?\Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault\under Castle Eschenbach, response:	the pride of Pastillage that's both
context: Yeah.\Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both response:	an ancient place and a giant maze.
context: Agreed.\Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze. response:	I have heard stories,
context: Biometric data confirmed for the rightful heir to Pastillage\and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories, response:	but this is the first time I've ever been inside!
context: and the Heavenly Spear Crimaris is present.\Opening doors.\This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside! response:	You both mentioned before that you
context: Opening doors.\This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you response:	wanted to explore this place.
context: This is the legendary treasure vault\under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place. response:	That was when we were quite young.
context: under Castle Eschenbach,\the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place.\That was when we were quite young. response:	You remembered?!
context: the pride of Pastillage that's both\an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place.\That was when we were quite young.\You remembered?! response:	It's my motto to never forget or break promises,
context: an ancient place and a giant maze.\I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place.\That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises, response:	but you'll have to be careful.
context: I have heard stories,\but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place.\That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful. response:	This vault is filled with traps to catch intruders.
context: but this is the first time I've ever been inside!\You both mentioned before that you\wanted to explore this place.\That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders. response:	But those are only on lower floors.
context: You both mentioned before that you\wanted to explore this place.\That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors. response:	The ones on the first floor are all deactivated.
context: wanted to explore this place.\That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated. response:	Oh, Cou-sama!
context: That was when we were quite young.\You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama! response:	Don't scare me like that!
context: You remembered?!\It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that! response:	But you have some business down here as well, right?
context: It's my motto to never forget or break promises,\but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right? response:	Yes. I wanted to fetch an item
context: but you'll have to be careful.\This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item response:	that I wanted to give Rebecca for the return ritual.
context: This vault is filled with traps to catch intruders.\But those are only on lower floors.\The ones on the first floor are all deactivated.\Oh, Cou-sama!\Don't scare me like that!\But you have some business down here as well, right?\Yes. I wanted to fetch an item\that I wanted to give Rebecca for the return ritual. response:	I've stored some mementos down here.
