context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: A-Yin's artifact?\Where did you find it?\Did you see him?\Let me explain first.\Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East. response:	She told me she found this fan on Mount Junji.
context: Where did you find it?\Did you see him?\Let me explain first.\Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji. response:	Mount Junji?
context: Did you see him?\Let me explain first.\Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji? response:	Li Jing, have you ever been to Mount Junji of the Far East?
context: Let me explain first.\Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East? response:	My fellow disciples and I sometimes go to the mortal realm for fun.
context: Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun. response:	We always go there.
context: I did not find him.\I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there. response:	Mount Junji?
context: I only met a mortal woman in Zhong Rong State\at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji? response:	Mount Junji. How come I didn't think of that?
context: at the foot of Mount Junji of the Far East.\She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that? response:	Li Jing, what did you say?
context: She told me she found this fan on Mount Junji.\Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say? response:	I'm going to see A-Yin.
context: Mount Junji?\Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin. response:	Li Jing!
context: Li Jing, have you ever been to Mount Junji of the Far East?\My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing! response:	Ghost Lord! Ghost Lord!
context: My fellow disciples and I sometimes go to the mortal realm for fun.\We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord! response:	Your Majesty, save me.
context: We always go there.\Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me. response:	You didn't kneel to greet me. You've violated the palace rules.
context: Mount Junji?\Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules. response:	The Ghost Lord can't save you.
context: Mount Junji. How come I didn't think of that?\Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you. response:	- I had not seen Her Highness. - Shut up.
context: Li Jing, what did you say?\I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up. response:	Enough.
context: I'm going to see A-Yin.\Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough. response:	Didn't I tell you not to come to the hot spring?
context: Li Jing!\Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring? response:	- Why can't I come here? - You are the queen.
context: Ghost Lord! Ghost Lord!\Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen. response:	You have to remember your status.
context: Your Majesty, save me.\You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status. response:	You know I am your main wife.
context: You didn't kneel to greet me. You've violated the palace rules.\The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife. response:	In these 70,000 years, how many times have you visited my quarters?
context: The Ghost Lord can't save you.\- I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters? response:	As your main wife, I still have not born a heir.
context: - I had not seen Her Highness. - Shut up.\Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir. response:	What does the Ghost Tribe think of me?
context: Enough.\Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me? response:	The matter of a heir can be left up to fate.
context: Didn't I tell you not to come to the hot spring?\- Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate. response:	Your Majesty!
context: - Why can't I come here? - You are the queen.\You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty! response:	I have an important task to handle.
context: You have to remember your status.\You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle. response:	Behave yourself in the palace.
context: You know I am your main wife.\In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle.\Behave yourself in the palace. response:	Are you going to the mortal realm again?
context: In these 70,000 years, how many times have you visited my quarters?\As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again? response:	Do I answer to you?
context: As your main wife, I still have not born a heir.\What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you? response:	It's been 70,000 years.
context: What does the Ghost Tribe think of me?\The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years. response:	Do you not remember back at Kunlun Mountain-
context: The matter of a heir can be left up to fate.\Your Majesty!\I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain- response:	Enough.
context: Your Majesty!\I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough. response:	Don't mention Kunlun Mountain to me.
context: I have an important task to handle.\Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me. response:	Why can't I?
context: Behave yourself in the palace.\Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me.\Why can't I? response:	It's been 70,000 years. He's been missing for 70,000 years.
context: Are you going to the mortal realm again?\Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years. response:	What does Si Yin have that I don't?
context: Do I answer to you?\It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't? response:	Remember your status.
context: It's been 70,000 years.\Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status. response:	It's said the hero, suited in a helmet and armor of gold
context: Do you not remember back at Kunlun Mountain-\Enough.\Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold response:	was impervious as he brandished his spear.
context: Enough.\Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear. response:	Good...
context: Don't mention Kunlun Mountain to me.\Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good... response:	At this very moment, three arrows were heard swishing toward him.
context: Why can't I?\It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him. response:	With a single somersault, the hero landed on the roof.
context: It's been 70,000 years. He's been missing for 70,000 years.\What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof. response:	Good...
context: What does Si Yin have that I don't?\Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good... response:	And just as quickly, the hero leaped into the clouds.
context: Remember your status.\It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds. response:	And disappeared into the dark of the night.
context: It's said the hero, suited in a helmet and armor of gold\was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night. response:	Good...
context: was impervious as he brandished his spear.\Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good... response:	Mo Yuan?
context: Good...\At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good...\Mo Yuan? response:	I am the Celestial Tribe's Crown Prince, Ye Hua.
context: At this very moment, three arrows were heard swishing toward him.\With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua. response:	Ghost Lord Li Jing greets Your Highness.
context: With a single somersault, the hero landed on the roof.\Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness. response:	You are Ghost Lord Li Jing?
context: Good...\And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing? response:	Please forgive my rudeness.
context: And just as quickly, the hero leaped into the clouds.\And disappeared into the dark of the night.\Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness. response:	Your Highness looks very similar to Mo Yuan.
context: And disappeared into the dark of the night.\Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan. response:	It's no bother.
context: Good...\Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother. response:	Do you know this is restricted land of the Celestial Tribe?
context: Mo Yuan?\I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe? response:	The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.
context: I am the Celestial Tribe's Crown Prince, Ye Hua.\Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years. response:	After I killed it
context: Ghost Lord Li Jing greets Your Highness.\You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it response:	this place was made into the Celestial Tribe's restricted area.
context: You are Ghost Lord Li Jing?\Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area. response:	I am sorry, Your Highness.
context: Please forgive my rudeness.\Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness. response:	I did not know I trespassed on to restricted land.
context: Your Highness looks very similar to Mo Yuan.\It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land. response:	There is nobody on Mount Junji. You need not search anymore.
context: It's no bother.\Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore. response:	Does Your Highness know why I am here?
context: Do you know this is restricted land of the Celestial Tribe?\The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here? response:	The Jade Purity Fan of Kunlun you're holding
context: The Scarlet Flame Golden Lion endangered Zhong Rong State for ten years.\After I killed it\this place was made into the Celestial Tribe's restricted area.\I am sorry, Your Highness.\I did not know I trespassed on to restricted land.\There is nobody on Mount Junji. You need not search anymore.\Does Your Highness know why I am here?\The Jade Purity Fan of Kunlun you're holding response:	is a Kunlun Mountain artifact.
