context: You're late, even though you're the one who called us out. response:	I've received orders from above.
context: I'll go.\Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive, response:	we're to kill him.
context: Tomorrow. Sixteen hundred hours at the usual place.\Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him. response:	The west side is completely open.
context: Yeah, that isn't like him.\Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him.\The west side is completely open. response:	Got it. Your cue will be when the alarm starts to sound.
context: Hold it, Hei.\To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound. response:	Hey!
context: To tell you the truth, I've received orders as well.\Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey! response:	What's with that expression? Did they inject truth serum into you?
context: Orders?\To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you? response:	You better not have forgotten who I am.
context: To be precise, you and I have received orders.\If Huang cannot kill the captive,\we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am. response:	Have they already noticed?
context: If Huang cannot kill the captive,\we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed? response:	Where's the guru?
context: we're to kill him.\The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed?\Where's the guru? response:	Tell us where she is!
context: The west side is completely open.\Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed?\Where's the guru?\Tell us where she is! response:	The guru isn't here.
context: Got it. Your cue will be when the alarm starts to sound.\Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed?\Where's the guru?\Tell us where she is!\The guru isn't here. response:	On a slope two hundred meters north of here lies a deserted village.
context: Hey!\What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed?\Where's the guru?\Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village. response:	She's in one of those houses.
context: What's with that expression? Did they inject truth serum into you?\You better not have forgotten who I am.\Have they already noticed?\Where's the guru?\Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses. response:	It'll be hard to miss since she'll be surrounded by guards.
context: You better not have forgotten who I am.\Have they already noticed?\Where's the guru?\Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards. response:	It's me.
context: Have they already noticed?\Where's the guru?\Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me. response:	The guru's tired. Make it short.
context: Where's the guru?\Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short. response:	I know. I just came to confirm whether she'll secure more dolls.
context: Tell us where she is!\The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls. response:	Let's go. We're going to act as decoys until Hei reaches the guru.
context: The guru isn't here.\On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru. response:	This way.
context: On a slope two hundred meters north of here lies a deserted village.\She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way. response:	It's you.
context: She's in one of those houses.\It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you. response:	If you retreat without saying a word, I won't go after you.
context: It'll be hard to miss since she'll be surrounded by guards.\It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you.\If you retreat without saying a word, I won't go after you. response:	If you came to kill Arma, I won't be able to turn a blind eye.
context: It's me.\The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye. response:	They're pretty tough for a religious cult.
context: The guru's tired. Make it short.\I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult. response:	Unfortunately, I'm not allowed to kill you without Amber's permission.
context: I know. I just came to confirm whether she'll secure more dolls.\Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission. response:	She wants to recruit you as a member.
context: Let's go. We're going to act as decoys until Hei reaches the guru.\This way.\It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member. response:	Quite an honor.
context: This way.\It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor. response:	Why don't you accompany me without making a scene?
context: It's you.\If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene? response:	I refuse.
context: If you retreat without saying a word, I won't go after you.\If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene?\I refuse. response:	Come in. I know you're out there.
context: If you came to kill Arma, I won't be able to turn a blind eye.\They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there. response:	It isn't a trap. Come in.
context: They're pretty tough for a religious cult.\Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there.\It isn't a trap. Come in. response:	Aren't you going to go after him?
context: Unfortunately, I'm not allowed to kill you without Amber's permission.\She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him? response:	Forget about it.
context: She wants to recruit you as a member.\Quite an honor.\Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it. response:	Isn't he after the guru?
context: Quite an honor.\Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it.\Isn't he after the guru? response:	Transporting the dolls is our top priority.
context: Why don't you accompany me without making a scene?\I refuse.\Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority. response:	I'll find another route to secure the rest.
context: I refuse.\Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest. response:	Did the negotiations with the guru fall apart?
context: Come in. I know you're out there.\It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart? response:	Fall apart? She's useless.
context: It isn't a trap. Come in.\Aren't you going to go after him?\Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless. response:	She no longer serves any purpose.
context: Aren't you going to go after him?\Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose. response:	Two more... What a troublesome remuneration.
context: Forget about it.\Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration. response:	My cholesterol level is going up.
context: Isn't he after the guru?\Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up. response:	You're a frightening woman.
context: Transporting the dolls is our top priority.\I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman. response:	You sent a chill down my spine a moment ago.
context: I'll find another route to secure the rest.\Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago. response:	It reminded me of that night.
context: Did the negotiations with the guru fall apart?\Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night. response:	You became close to me, as planned,
context: Fall apart? She's useless.\She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned, response:	in order to acquire information that Isozaki and I had found.
context: She no longer serves any purpose.\Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found. response:	What are you going to do?
context: Two more... What a troublesome remuneration.\My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do? response:	What do you mean by that?
context: My cholesterol level is going up.\You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that? response:	Are you willing to let this relationship drag on?
context: You're a frightening woman.\You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on? response:	I don't mind.
context: You sent a chill down my spine a moment ago.\It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind. response:	It's not like I have any relatives who would bug me about it.
context: It reminded me of that night.\You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it. response:	What are you trying to say? Were you thinking about tying the knot?
context: You became close to me, as planned,\in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot? response:	I-Idiot.
context: in order to acquire information that Isozaki and I had found.\What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot. response:	I thought so. You're not the type of person who'd do something like that.
context: What are you going to do?\What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that. response:	It's not an issue about what kind of person I am.
context: What do you mean by that?\Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am. response:	I get it. You're worried about a conflict of interests.
context: Are you willing to let this relationship drag on?\I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests. response:	It isn't like that!
context: I don't mind.\It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that! response:	You know... I don't have a very good-looking face or anything,
context: It's not like I have any relatives who would bug me about it.\What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything, response:	and I'm barely home when I'm after a suspect.
context: What are you trying to say? Were you thinking about tying the knot?\I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect. response:	It's fine.
context: I-Idiot.\I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine. response:	If you're okay with me, Kiyopii,
context: I thought so. You're not the type of person who'd do something like that.\It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii, response:	I'd be... really happy.
context: It's not an issue about what kind of person I am.\I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy. response:	Idiot.
context: I get it. You're worried about a conflict of interests.\It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot. response:	Are you all right?
context: It isn't like that!\You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot.\Are you all right? response:	This is the first time I've seen you drunk, Kiyopii.
context: You know... I don't have a very good-looking face or anything,\and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii. response:	No, I'm not drunk.
context: and I'm barely home when I'm after a suspect.\It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk. response:	Hey! Be careful!
context: It's fine.\If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful! response:	I'm always careful. Come on, sit down.
context: If you're okay with me, Kiyopii,\I'd be... really happy.\Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down. response:	It looks like I don't have a choice.
context: I'd be... really happy.\Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice. response:	Did I make you happy enough to get drunk?
context: Idiot.\Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk? response:	Idiot. I'm not saying this because I'm drunk,
context: Are you all right?\This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk, response:	even though I am.
context: This is the first time I've seen you drunk, Kiyopii.\No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am. response:	Which is it?
context: No, I'm not drunk.\Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it? response:	Hey, stay with me.
context: Hey! Be careful!\I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it?\Hey, stay with me. response:	Don't betray me.
context: I'm always careful. Come on, sit down.\It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it?\Hey, stay with me.\Don't betray me. response:	Kiyopii.
context: It looks like I don't have a choice.\Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it?\Hey, stay with me.\Don't betray me.\Kiyopii. response:	I want to ask you something.
context: Did I make you happy enough to get drunk?\Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it?\Hey, stay with me.\Don't betray me.\Kiyopii.\I want to ask you something. response:	I wondered why you would ask me about the photo Isozaki and I saw.
context: Idiot. I'm not saying this because I'm drunk,\even though I am.\Which is it?\Hey, stay with me.\Don't betray me.\Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw. response:	I can't recall anything that happened after that,
context: even though I am.\Which is it?\Hey, stay with me.\Don't betray me.\Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that, response:	but it looks like I told you everything.
context: Which is it?\Hey, stay with me.\Don't betray me.\Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything. response:	You disappeared from my sight a few days after that incident.
context: Hey, stay with me.\Don't betray me.\Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident. response:	Why did you kill Isozaki?
context: Don't betray me.\Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki? response:	Isozaki's wife had her memory erased by the government.
context: Kiyopii.\I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government. response:	All of her memories about Isozaki vanished.
context: I want to ask you something.\I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished. response:	Do you understand? Isozaki was erased twice.
context: I wondered why you would ask me about the photo Isozaki and I saw.\I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice. response:	Once from this world, and once from the memories of the woman he loved.
context: I can't recall anything that happened after that,\but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved. response:	It's all your fault.
context: but it looks like I told you everything.\You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault. response:	The man called Isozaki hid his actual identity from you.
context: You disappeared from my sight a few days after that incident.\Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you. response:	What?
context: Why did you kill Isozaki?\Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you.\What? response:	The group of illegal aliens you were going after
context: Isozaki's wife had her memory erased by the government.\All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after response:	consisted of the cult's founding members.
context: All of her memories about Isozaki vanished.\Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after\consisted of the cult's founding members. response:	Isozaki was secretly connected to them.
context: Do you understand? Isozaki was erased twice.\Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them. response:	What did you say?
context: Once from this world, and once from the memories of the woman he loved.\It's all your fault.\The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say? response:	The photo you found that day
context: It's all your fault.\The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say?\The photo you found that day response:	was of Arma's actual appearance.
context: The man called Isozaki hid his actual identity from you.\What?\The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say?\The photo you found that day\was of Arma's actual appearance. response:	Come inside.
context: What?\The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say?\The photo you found that day\was of Arma's actual appearance.\Come inside. response:	You're the contractor from that night.
context: The group of illegal aliens you were going after\consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say?\The photo you found that day\was of Arma's actual appearance.\Come inside.\You're the contractor from that night. response:	Isozaki was determined to destroy the evidence.
context: consisted of the cult's founding members.\Isozaki was secretly connected to them.\What did you say?\The photo you found that day\was of Arma's actual appearance.\Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence. response:	He pretended to report it to his superiors, but he actually hid the photo.
context: Isozaki was secretly connected to them.\What did you say?\The photo you found that day\was of Arma's actual appearance.\Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo. response:	That's ridiculous!
context: What did you say?\The photo you found that day\was of Arma's actual appearance.\Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous! response:	At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.
context: The photo you found that day\was of Arma's actual appearance.\Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult. response:	That's why...
context: was of Arma's actual appearance.\Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why... response:	Is that why you approached me?
context: Come inside.\You're the contractor from that night.\Isozaki was determined to destroy the evidence.\He pretended to report it to his superiors, but he actually hid the photo.\That's ridiculous!\At that time, it was unknown whether it was you or Isozaki who was the spy for the cult.\That's why...\Is that why you approached me? response:	Is that your true appearance?
