context: I guess I'm hungry' response:	I'll have to apologize to Kero-chan for eating without him.
context: Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use. response:	What kind of house are they looking for?
context: around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for? response:	One with a large yard and a balcony'
context: Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony' response:	This could be good.
context: and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony'\This could be good. response:	I'll have to make arrangements.
context: But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony'\This could be good.\I'll have to make arrangements. response:	But you really surprised me.
context: finding sets around here must be hard.\Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony'\This could be good.\I'll have to make arrangements.\But you really surprised me. response:	You never said anything about the movie, Onii-chan.
context: Onii-chan's class has been looking,\but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony'\This could be good.\I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan. response:	He probably didn't want you to know about it.
context: but they haven't had much luck finding a house they could use.\What kind of house are they looking for?\One with a large yard and a balcony'\This could be good.\I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it. response:	Oh? Why?
context: What kind of house are they looking for?\One with a large yard and a balcony'\This could be good.\I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why? response:	More tea, please.
context: One with a large yard and a balcony'\This could be good.\I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why?\More tea, please. response:	Ok.
context: This could be good.\I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why?\More tea, please.\Ok. response:	Oh!
context: I'll have to make arrangements.\But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why?\More tea, please.\Ok.\Oh! response:	Wait a minute, ok?
context: But you really surprised me.\You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why?\More tea, please.\Ok.\Oh!\Wait a minute, ok? response:	' Nice trick!' Quiet, you.
context: You never said anything about the movie, Onii-chan.\He probably didn't want you to know about it.\Oh? Why?\More tea, please.\Ok.\Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you. response:	What's wrong?
context: He probably didn't want you to know about it.\Oh? Why?\More tea, please.\Ok.\Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong? response:	I'm a little tired, all of a sudden.
context: Oh? Why?\More tea, please.\Ok.\Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden. response:	It's ok. I always get tired after tea.
context: More tea, please.\Ok.\Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea. response:	Yuki'
context: Ok.\Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki' response:	Things can't stay this way.
context: Oh!\Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki'\Things can't stay this way. response:	I know' You'
context: Wait a minute, ok?\' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki'\Things can't stay this way.\I know' You' response:	Sorry for making you wait!
context: ' Nice trick!' Quiet, you.\What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki'\Things can't stay this way.\I know' You'\Sorry for making you wait! response:	Ah, Sakura-chan. Could I have some more tea as well?
context: What's wrong?\I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki'\Things can't stay this way.\I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well? response:	Sure!
context: I'm a little tired, all of a sudden.\It's ok. I always get tired after tea.\Yuki'\Things can't stay this way.\I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure! response:	I'll go get the cake.
context: It's ok. I always get tired after tea.\Yuki'\Things can't stay this way.\I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake. response:	Ok. Thank you.
context: Yuki'\Things can't stay this way.\I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake.\Ok. Thank you. response:	Thanks.
context: Things can't stay this way.\I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake.\Ok. Thank you.\Thanks. response:	Eh?
context: I know' You'\Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake.\Ok. Thank you.\Thanks.\Eh? response:	Is something wrong?
context: Sorry for making you wait!\Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake.\Ok. Thank you.\Thanks.\Eh?\Is something wrong? response:	I must be imagining things'
context: Ah, Sakura-chan. Could I have some more tea as well?\Sure!\I'll go get the cake.\Ok. Thank you.\Thanks.\Eh?\Is something wrong?\I must be imagining things' response:	What? You'll let me film here?
context: Sure!\I'll go get the cake.\Ok. Thank you.\Thanks.\Eh?\Is something wrong?\I must be imagining things'\What? You'll let me film here? response:	I thought you'd say no, so I didn't ask.
context: I'll go get the cake.\Ok. Thank you.\Thanks.\Eh?\Is something wrong?\I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask. response:	Consider it a gift for you, Ruby Moon.
context: Ok. Thank you.\Thanks.\Eh?\Is something wrong?\I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon. response:	Wow! Thank you!
context: Thanks.\Eh?\Is something wrong?\I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you! response:	However, I'd have thought you'd be more suited to acting than directing.
context: Eh?\Is something wrong?\I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing. response:	But directing is the best!
context: Is something wrong?\I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best! response:	I make the orders, and everyone has to do
context: I must be imagining things'\What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do response:	what I tell them! It's so much fun!
context: What? You'll let me film here?\I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun! response:	I see.
context: I thought you'd say no, so I didn't ask.\Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see. response:	Tomorrow everyone will be so happy!
context: Consider it a gift for you, Ruby Moon.\Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy! response:	Ok, back in a bit!
context: Wow! Thank you!\However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy!\Ok, back in a bit! response:	I'm sorry Spinnel. You'll have to stay out of sight.
context: However, I'd have thought you'd be more suited to acting than directing.\But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight. response:	I guess I can't really avoid it, can I?
context: But directing is the best!\I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I? response:	Is it really ok?
context: I make the orders, and everyone has to do\what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok? response:	The new Card Mistress
context: what I tell them! It's so much fun!\I see.\Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress response:	may find out our secrets?
context: I see.\Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress\may find out our secrets? response:	It'll be alright, if we watch what we say.
context: Tomorrow everyone will be so happy!\Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say. response:	Sakura-san can be quite naive at times.
context: Ok, back in a bit!\I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times. response:	However, her brother is not.
context: I'm sorry Spinnel. You'll have to stay out of sight.\I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not. response:	He is very strong.
context: I guess I can't really avoid it, can I?\Is it really ok?\The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong. response:	I have a use for him.
context: Is it really ok?\The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong.\I have a use for him. response:	As well as Yue's other form.
context: The new Card Mistress\may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong.\I have a use for him.\As well as Yue's other form. response:	How are things over there?
context: may find out our secrets?\It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong.\I have a use for him.\As well as Yue's other form.\How are things over there? response:	My, you're slow! Hurry up! I want to start shooting as soon as possible.
context: It'll be alright, if we watch what we say.\Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong.\I have a use for him.\As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible. response:	Are those props ready, yet?
context: Sakura-san can be quite naive at times.\However, her brother is not.\He is very strong.\I have a use for him.\As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet? response:	Sorry! Not yet!
context: However, her brother is not.\He is very strong.\I have a use for him.\As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet! response:	Well, hurry up, then. We're going to need that in a bit!
context: He is very strong.\I have a use for him.\As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit! response:	You over there! Keep it up!
context: I have a use for him.\As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up! response:	Hello. Are you an actor, too?
context: As well as Yue's other form.\How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too? response:	N-No. I wouldn't have come.
context: How are things over there?\My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come. response:	But Daidouji said'
context: My, you're slow! Hurry up! I want to start shooting as soon as possible.\Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said' response:	She asked you here to cheer Sakura on?
context: Are those props ready, yet?\Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on? response:	Sakura will be wearing traditional clothes, right?
context: Sorry! Not yet!\Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right? response:	They should look good on her.
context: Well, hurry up, then. We're going to need that in a bit!\You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her. response:	I'
context: You over there! Keep it up!\Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her.\I' response:	CUUUTE!!! Looks nice!
context: Hello. Are you an actor, too?\N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her.\I'\CUUUTE!!! Looks nice! response:	They look really good on you! Wow!
context: N-No. I wouldn't have come.\But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her.\I'\CUUUTE!!! Looks nice!\They look really good on you! Wow! response:	SAKURA-CHAAN!!
context: But Daidouji said'\She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her.\I'\CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!! response:	You look so cute!
context: She asked you here to cheer Sakura on?\Sakura will be wearing traditional clothes, right?\They should look good on her.\I'\CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute! response:	I knew you'd be perfect for the part. Thanks for coming!
context: Sakura will be wearing traditional clothes, right?\They should look good on her.\I'\CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming! response:	I'll do my best!
context: They should look good on her.\I'\CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best! response:	You look very nice.
context: I'\CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice. response:	Do I?
context: CUUUTE!!! Looks nice!\They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice.\Do I? response:	This is your debut, right?
context: They look really good on you! Wow!\SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice.\Do I?\This is your debut, right? response:	Yes! I do this scene and one later on.
context: SAKURA-CHAAN!!\You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice.\Do I?\This is your debut, right?\Yes! I do this scene and one later on. response:	This is such a beautiful house!
context: You look so cute!\I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice.\Do I?\This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house! response:	It looks like it should be in a movie!
context: I knew you'd be perfect for the part. Thanks for coming!\I'll do my best!\You look very nice.\Do I?\This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie! response:	Thank you very much.
context: I'll do my best!\You look very nice.\Do I?\This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much. response:	So, three of you live here?
context: You look very nice.\Do I?\This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much.\So, three of you live here? response:	Yes.
context: Do I?\This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much.\So, three of you live here?\Yes. response:	I wonder who lived here before.
context: This is your debut, right?\Yes! I do this scene and one later on.\This is such a beautiful house!\It looks like it should be in a movie!\Thank you very much.\So, three of you live here?\Yes.\I wonder who lived here before. response:	Three foreigners,
