context: Central Flognarde is well into fall. response:	There was a short panic that occurred after the Heroes return,
context: Rebecca-sama!\Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning.\Good morning.\So this is what we're taking, Rico-chan.\Indeed. response:	You've got a lot of stuff.
context: Here we are!\Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning.\Good morning.\So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff. response:	Do I?
context: Morning, everyone.\Morning, Shinku, Rico-chan.\Good morning.\Good morning.\So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff.\Do I? response:	Exploration tools, lunches, change of clothes...
context: Morning, Shinku, Rico-chan.\Good morning.\Good morning.\So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes... response:	It's all needed.
context: Good morning.\Good morning.\So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes...\It's all needed. response:	And things to play with.
context: Good morning.\So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with. response:	Yukki! Shh!
context: So this is what we're taking, Rico-chan.\Indeed.\You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with.\Yukki! Shh! response:	This is supposed to be an academic research trip.
context: Indeed.\You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip. response:	That's right.
context: You've got a lot of stuff.\Do I?\Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip.\That's right. response:	Biscotti and Pastillage are doing a joint research project.
context: Do I?\Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project. response:	That's right.
context: Exploration tools, lunches, change of clothes...\It's all needed.\And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project.\That's right. response:	And when that's done, we're going into a natural hot springs.
context: It's all needed.\And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs. response:	Last time we went, we found a great hot springs spot.
context: And things to play with.\Yukki! Shh!\This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot. response:	I can't wait!
context: Yukki! Shh!\This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait! response:	I wish Eclair could've come.
context: This is supposed to be an academic research trip.\That's right.\Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come. response:	She says we'll meet her before the sun sets.
context: That's right.\Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets. response:	She's with Cou-sama right now, right?
context: Biscotti and Pastillage are doing a joint research project.\That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right? response:	Yeah.
context: That's right.\And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah. response:	When we meet up, Eclair will guide Cou-sama.
context: And when that's done, we're going into a natural hot springs.\Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama. response:	Right.
context: Last time we went, we found a great hot springs spot.\I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama.\Right. response:	Now then, let's get going.
context: I can't wait!\I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going. response:	Yeah!
context: I wish Eclair could've come.\She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going.\Yeah! response:	The wind feels so good.
context: She says we'll meet her before the sun sets.\She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going.\Yeah!\The wind feels so good. response:	Yes.
context: She's with Cou-sama right now, right?\Yeah.\When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going.\Yeah!\The wind feels so good.\Yes. response:	Sorry to ask you to come with me.
context: Yeah.\When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going.\Yeah!\The wind feels so good.\Yes.\Sorry to ask you to come with me. response:	No, I was planning to go to Pastillage anyway.
context: When we meet up, Eclair will guide Cou-sama.\Right.\Now then, let's get going.\Yeah!\The wind feels so good.\Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway. response:	As a way of saying thanks,
context: Right.\Now then, let's get going.\Yeah!\The wind feels so good.\Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks, response:	I'll let you pet my tail, specially!
context: Now then, let's get going.\Yeah!\The wind feels so good.\Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially! response:	Well?
context: Yeah!\The wind feels so good.\Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially!\Well? response:	Come on, go ahead!
context: The wind feels so good.\Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially!\Well?\Come on, go ahead! response:	No, I'm not worthy.
context: Yes.\Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially!\Well?\Come on, go ahead!\No, I'm not worthy. response:	Well, let's finish up our job today
context: Sorry to ask you to come with me.\No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially!\Well?\Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today response:	and go to the hot springs with the others.
context: No, I was planning to go to Pastillage anyway.\As a way of saying thanks,\I'll let you pet my tail, specially!\Well?\Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others. response:	Yeah!
context: As a way of saying thanks,\I'll let you pet my tail, specially!\Well?\Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others.\Yeah! response:	Let's do our best!
context: I'll let you pet my tail, specially!\Well?\Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others.\Yeah!\Let's do our best! response:	It's bright red!
context: Well?\Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others.\Yeah!\Let's do our best!\It's bright red! response:	It's really pretty!
context: Come on, go ahead!\No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others.\Yeah!\Let's do our best!\It's bright red!\It's really pretty! response:	Isn't it amazing?
context: No, I'm not worthy.\Well, let's finish up our job today\and go to the hot springs with the others.\Yeah!\Let's do our best!\It's bright red!\It's really pretty!\Isn't it amazing? response:	This is Biscotti's famous crimson highway.
context: Well, let's finish up our job today\and go to the hot springs with the others.\Yeah!\Let's do our best!\It's bright red!\It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway. response:	The tree spirits are singing an autumn song.
context: and go to the hot springs with the others.\Yeah!\Let's do our best!\It's bright red!\It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song. response:	This place is the best area to take autumn walks.
context: Yeah!\Let's do our best!\It's bright red!\It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks. response:	The trees leave nuts and berries behind before they lose their lives.
context: Let's do our best!\It's bright red!\It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives. response:	At this time of year you can gets lots of nuts, berries, and seeds.
context: It's bright red!\It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds. response:	I see.
context: It's really pretty!\Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see. response:	Thanks to that, honey buzzards and big animals are able to get ready for winter...
context: Isn't it amazing?\This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter... response:	And the animals are able to enjoy the blessings of fall.
context: This is Biscotti's famous crimson highway.\The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall. response:	That's just like Earth.
context: The tree spirits are singing an autumn song.\This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth. response:	Yeah.
context: This place is the best area to take autumn walks.\The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah. response:	The winter and fall spirits in Biscotti and Pastillage are very active.
context: The trees leave nuts and berries behind before they lose their lives.\At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active. response:	In winter, it turns into snow.
context: At this time of year you can gets lots of nuts, berries, and seeds.\I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow. response:	But in Galette the winter spirits don't do much.
context: I see.\Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much. response:	It doesn't get that cold in winter,
context: Thanks to that, honey buzzards and big animals are able to get ready for winter...\And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter, response:	but the people of Galette don't enjoy snow very much.
context: And the animals are able to enjoy the blessings of fall.\That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much. response:	Galette looks forward to spending winter indoors where it's warm.
context: That's just like Earth.\Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm. response:	I really know how they feel!
context: Yeah.\The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel! response:	Okay, if we go to where the path splits on this road,
context: The winter and fall spirits in Biscotti and Pastillage are very active.\In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road, response:	we're almost there.
context: In winter, it turns into snow.\But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there. response:	Let's hurry there.
context: But in Galette the winter spirits don't do much.\It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there. response:	Okay.
context: It doesn't get that cold in winter,\but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there.\Okay. response:	Rico, we're heading to a mine, right?
context: but the people of Galette don't enjoy snow very much.\Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there.\Okay.\Rico, we're heading to a mine, right? response:	Yup.
context: Galette looks forward to spending winter indoors where it's warm.\I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there.\Okay.\Rico, we're heading to a mine, right?\Yup. response:	That's where the crystals for Crystal Magic are produced,
context: I really know how they feel!\Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there.\Okay.\Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced, response:	and there are a lot of crystals
context: Okay, if we go to where the path splits on this road,\we're almost there.\Let's hurry there.\Okay.\Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals response:	growing in between the trees, streams and waterfalls...
context: we're almost there.\Let's hurry there.\Okay.\Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls... response:	The scenery is beautiful, and the place seems like something out of a fairy tale.
context: Let's hurry there.\Okay.\Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale. response:	We've only been there once, but it was wonderful.
context: Okay.\Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful. response:	Yes.
context: Rico, we're heading to a mine, right?\Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes. response:	I'm sure you two will both like it.
context: Yup.\That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it. response:	This is...
context: That's where the crystals for Crystal Magic are produced,\and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it.\This is... response:	Amazing.
context: and there are a lot of crystals\growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it.\This is...\Amazing. response:	People don't come here,
context: growing in between the trees, streams and waterfalls...\The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it.\This is...\Amazing.\People don't come here, response:	so it's a little hard to walk around some places,
context: The scenery is beautiful, and the place seems like something out of a fairy tale.\We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it.\This is...\Amazing.\People don't come here,\so it's a little hard to walk around some places, response:	but I'm sure you'll be fine, Shinku.
context: We've only been there once, but it was wonderful.\Yes.\I'm sure you two will both like it.\This is...\Amazing.\People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku. response:	Yeah.
context: Yes.\I'm sure you two will both like it.\This is...\Amazing.\People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah. response:	You can fly, Rebecca-sama, so there's no problem for you.
context: I'm sure you two will both like it.\This is...\Amazing.\People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you. response:	Yup!
context: This is...\Amazing.\People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup! response:	Okay, work first!
context: Amazing.\People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first! response:	Let's get ready!
context: People don't come here,\so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first!\Let's get ready! response:	Okay, so the way to investigate is what I just explained.
context: so it's a little hard to walk around some places,\but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained. response:	Okay, we're going to check the amount and purity of the crystal ore here!
context: but I'm sure you'll be fine, Shinku.\Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here! response:	Okay!
context: Yeah.\You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay! response:	I'll look from the sky.
context: You can fly, Rebecca-sama, so there's no problem for you.\Yup!\Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky. response:	Mercurius!
context: Yup!\Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky.\Mercurius! response:	Broom Mode!
context: Okay, work first!\Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky.\Mercurius!\Broom Mode! response:	Princess, want to go with me!
context: Let's get ready!\Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky.\Mercurius!\Broom Mode!\Princess, want to go with me! response:	I will!
context: Okay, so the way to investigate is what I just explained.\Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky.\Mercurius!\Broom Mode!\Princess, want to go with me!\I will! response:	Okay, bye!
context: Okay, we're going to check the amount and purity of the crystal ore here!\Okay!\I'll look from the sky.\Mercurius!\Broom Mode!\Princess, want to go with me!\I will!\Okay, bye! response:	Bye!
context: Okay!\I'll look from the sky.\Mercurius!\Broom Mode!\Princess, want to go with me!\I will!\Okay, bye!\Bye! response:	This purity is far greater than I anticipated.
context: I'll look from the sky.\Mercurius!\Broom Mode!\Princess, want to go with me!\I will!\Okay, bye!\Bye!\This purity is far greater than I anticipated. response:	So is this!
context: Mercurius!\Broom Mode!\Princess, want to go with me!\I will!\Okay, bye!\Bye!\This purity is far greater than I anticipated.\So is this! response:	What are you using this ore for?
context: Broom Mode!\Princess, want to go with me!\I will!\Okay, bye!\Bye!\This purity is far greater than I anticipated.\So is this!\What are you using this ore for? response:	They're usually used to activate crystal magic.
context: Princess, want to go with me!\I will!\Okay, bye!\Bye!\This purity is far greater than I anticipated.\So is this!\What are you using this ore for?\They're usually used to activate crystal magic. response:	Yeah?
context: I will!\Okay, bye!\Bye!\This purity is far greater than I anticipated.\So is this!\What are you using this ore for?\They're usually used to activate crystal magic.\Yeah? response:	Yes, for example,
context: Okay, bye!\Bye!\This purity is far greater than I anticipated.\So is this!\What are you using this ore for?\They're usually used to activate crystal magic.\Yeah?\Yes, for example, response:	this white crystal is very important for making circuits in crystal magic machines...
context: Bye!\This purity is far greater than I anticipated.\So is this!\What are you using this ore for?\They're usually used to activate crystal magic.\Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines... response:	And...
context: This purity is far greater than I anticipated.\So is this!\What are you using this ore for?\They're usually used to activate crystal magic.\Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And... response:	That red crystal can be turned into parts that amplify your power.
context: So is this!\What are you using this ore for?\They're usually used to activate crystal magic.\Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power. response:	Their growth rate is impressive, too!
context: What are you using this ore for?\They're usually used to activate crystal magic.\Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too! response:	Even with nature-friendly gathering methods we could get plenty!
context: They're usually used to activate crystal magic.\Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty! response:	Really?
context: Yeah?\Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really? response:	Shinku.
context: Yes, for example,\this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku. response:	These crystals grow off the power of the land.
context: this white crystal is very important for making circuits in crystal magic machines...\And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku.\These crystals grow off the power of the land. response:	Thus, we only take the part that naturally grows, and don't take the whole thing.
context: And...\That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing. response:	That's called nature-friendly gathering.
context: That red crystal can be turned into parts that amplify your power.\Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering. response:	We don't disrupt the natural order.
context: Their growth rate is impressive, too!\Even with nature-friendly gathering methods we could get plenty!\Really?\Shinku.\These crystals grow off the power of the land.\Thus, we only take the part that naturally grows, and don't take the whole thing.\That's called nature-friendly gathering.\We don't disrupt the natural order. response:	We just take a little bit of the blessings of the land.
