context: Were you on it? response:	Hey, I'm in Class 3.
context: You think we'll get some first-years?\I hope we get lots!\Really?\Want me to try it on you?\Sure.\It's curling up...\LINE!\Can you give me your LINE ID? response:	Looking forward to working with you.
context: I hope we get lots!\Really?\Want me to try it on you?\Sure.\It's curling up...\LINE!\Can you give me your LINE ID?\Looking forward to working with you. response:	Please and thank you
context: Really?\Want me to try it on you?\Sure.\It's curling up...\LINE!\Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you response:	No one else knows, but Azumi-kun and I have started dating.
context: Want me to try it on you?\Sure.\It's curling up...\LINE!\Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating. response:	First Half: The Road So Far
context: Sure.\It's curling up...\LINE!\Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far response:	Akanecchi's up next.
context: It's curling up...\LINE!\Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next. response:	Go for it, Akanecchi!
context: LINE!\Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi! response:	I really don't want to.
context: Can you give me your LINE ID?\Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to. response:	Go embarrass yourself.
context: Looking forward to working with you.\Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself. response:	Dazai said, Be laughed at. Be laughed at, and become strong.
context: Please and thank you\No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong. response:	I don't really want to get laughed at, though.
context: No one else knows, but Azumi-kun and I have started dating.\First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though. response:	Set...
context: First Half: The Road So Far\Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set... response:	He got passed.
context: Akanecchi's up next.\Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set...\He got passed. response:	No good.
context: Go for it, Akanecchi!\I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set...\He got passed.\No good. response:	Hey, have you seen my potato mascot around here?
context: I really don't want to.\Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set...\He got passed.\No good.\Hey, have you seen my potato mascot around here? response:	Huh?
context: Go embarrass yourself.\Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set...\He got passed.\No good.\Hey, have you seen my potato mascot around here?\Huh? response:	Potato? You mean that thing?
context: Dazai said, Be laughed at. Be laughed at, and become strong.\I don't really want to get laughed at, though.\Set...\He got passed.\No good.\Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing? response:	Yeah.
context: I don't really want to get laughed at, though.\Set...\He got passed.\No good.\Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing?\Yeah. response:	This is bad, isn't it?
context: Set...\He got passed.\No good.\Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing?\Yeah.\This is bad, isn't it? response:	It's bad.
context: He got passed.\No good.\Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing?\Yeah.\This is bad, isn't it?\It's bad. response:	Potato?
context: No good.\Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing?\Yeah.\This is bad, isn't it?\It's bad.\Potato? response:	Is this yours, Mizuno-san?
context: Hey, have you seen my potato mascot around here?\Huh?\Potato? You mean that thing?\Yeah.\This is bad, isn't it?\It's bad.\Potato?\Is this yours, Mizuno-san? response:	How?!
context: Huh?\Potato? You mean that thing?\Yeah.\This is bad, isn't it?\It's bad.\Potato?\Is this yours, Mizuno-san?\How?! response:	I found it in the storage room.
context: Potato? You mean that thing?\Yeah.\This is bad, isn't it?\It's bad.\Potato?\Is this yours, Mizuno-san?\How?!\I found it in the storage room. response:	Thank goodness!
context: Yeah.\This is bad, isn't it?\It's bad.\Potato?\Is this yours, Mizuno-san?\How?!\I found it in the storage room.\Thank goodness! response:	I get so nervous without this.
context: This is bad, isn't it?\It's bad.\Potato?\Is this yours, Mizuno-san?\How?!\I found it in the storage room.\Thank goodness!\I get so nervous without this. response:	I even messed up today, you know?
context: It's bad.\Potato?\Is this yours, Mizuno-san?\How?!\I found it in the storage room.\Thank goodness!\I get so nervous without this.\I even messed up today, you know? response:	I really don't like being in front of people.
context: Potato?\Is this yours, Mizuno-san?\How?!\I found it in the storage room.\Thank goodness!\I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people. response:	It's so embarrassing, but I really like running, so...
context: Is this yours, Mizuno-san?\How?!\I found it in the storage room.\Thank goodness!\I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so... response:	I'm hopeless, right?
context: How?!\I found it in the storage room.\Thank goodness!\I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right? response:	N-No, you're not...
context: I found it in the storage room.\Thank goodness!\I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not... response:	You don't need to be embarrassed.
context: Thank goodness!\I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed. response:	I think... you're fine the way you are.
context: I get so nervous without this.\I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are. response:	Okay, time's up.
context: I even messed up today, you know?\I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up. response:	The literature club has a superstition.
context: I really don't like being in front of people.\It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition. response:	Pick out a book at random,
context: It's so embarrassing, but I really like running, so...\I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition.\Pick out a book at random, response:	and that book will give you the perfect life advice for your situation.
context: I'm hopeless, right?\N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation. response:	At the very least, I don't believe romance comes down to chance.
context: N-No, you're not...\You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance. response:	I believe it comes down to volition.
context: You don't need to be embarrassed.\I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition. response:	Really?
context: I think... you're fine the way you are.\Okay, time's up.\The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really? response:	Is your track meet coming up?
context: Okay, time's up.\The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really?\Is your track meet coming up? response:	Yup, on Sunday
context: The literature club has a superstition.\Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really?\Is your track meet coming up?\Yup, on Sunday response:	I have practice on Sunday.
context: Pick out a book at random,\and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really?\Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday. response:	I'm going to the shrine on Sunday, so I'll pray for you
context: and that book will give you the perfect life advice for your situation.\At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really?\Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you response:	Please and thank you
context: At the very least, I don't believe romance comes down to chance.\I believe it comes down to volition.\Really?\Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you response:	He should just ask her out.
context: I believe it comes down to volition.\Really?\Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out. response:	Hira?
context: Really?\Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out.\Hira? response:	I doubt Akane would turn him down.
context: Is your track meet coming up?\Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out.\Hira?\I doubt Akane would turn him down. response:	Hey, is there a guy that you like?
context: Yup, on Sunday\I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out.\Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like? response:	I want to ask, but...
context: I have practice on Sunday.\I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out.\Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but... response:	Wasn't that girl awesome?
context: I'm going to the shrine on Sunday, so I'll pray for you\Please and thank you\He should just ask her out.\Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome? response:	Who?
context: Please and thank you\He should just ask her out.\Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome?\Who? response:	I made up my mind.
context: He should just ask her out.\Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome?\Who?\I made up my mind. response:	I'm gonna train like mad.
context: Hira?\I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome?\Who?\I made up my mind.\I'm gonna train like mad. response:	Oh?
context: I doubt Akane would turn him down.\Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome?\Who?\I made up my mind.\I'm gonna train like mad.\Oh? response:	Starting tomorrow.
context: Hey, is there a guy that you like?\I want to ask, but...\Wasn't that girl awesome?\Who?\I made up my mind.\I'm gonna train like mad.\Oh?\Starting tomorrow. response:	But the school trip's coming up.
context: I want to ask, but...\Wasn't that girl awesome?\Who?\I made up my mind.\I'm gonna train like mad.\Oh?\Starting tomorrow.\But the school trip's coming up. response:	Are you going to train in Kyoto?
context: Wasn't that girl awesome?\Who?\I made up my mind.\I'm gonna train like mad.\Oh?\Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto? response:	The meet's over
context: Who?\I made up my mind.\I'm gonna train like mad.\Oh?\Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over response:	Good idea!
context: I made up my mind.\I'm gonna train like mad.\Oh?\Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over\Good idea! response:	Seriously?
context: I'm gonna train like mad.\Oh?\Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over\Good idea!\Seriously? response:	Thank you very much.
context: Oh?\Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over\Good idea!\Seriously?\Thank you very much. response:	Thank you very much.
context: Starting tomorrow.\But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over\Good idea!\Seriously?\Thank you very much.\Thank you very much. response:	Well done.
context: But the school trip's coming up.\Are you going to train in Kyoto?\The meet's over\Good idea!\Seriously?\Thank you very much.\Thank you very much.\Well done. response:	Mizuno-san.
context: Are you going to train in Kyoto?\The meet's over\Good idea!\Seriously?\Thank you very much.\Thank you very much.\Well done.\Mizuno-san. response:	Oh, um...
context: The meet's over\Good idea!\Seriously?\Thank you very much.\Thank you very much.\Well done.\Mizuno-san.\Oh, um... response:	Is that...
context: Good idea!\Seriously?\Thank you very much.\Thank you very much.\Well done.\Mizuno-san.\Oh, um...\Is that... response:	This is, uh...
context: Seriously?\Thank you very much.\Thank you very much.\Well done.\Mizuno-san.\Oh, um...\Is that...\This is, uh... response:	For the Kawagoe Festival?
context: Thank you very much.\Thank you very much.\Well done.\Mizuno-san.\Oh, um...\Is that...\This is, uh...\For the Kawagoe Festival? response:	Yeah.
context: Thank you very much.\Well done.\Mizuno-san.\Oh, um...\Is that...\This is, uh...\For the Kawagoe Festival?\Yeah. response:	Wow!
context: Well done.\Mizuno-san.\Oh, um...\Is that...\This is, uh...\For the Kawagoe Festival?\Yeah.\Wow! response:	Are you in the march?
context: Mizuno-san.\Oh, um...\Is that...\This is, uh...\For the Kawagoe Festival?\Yeah.\Wow!\Are you in the march? response:	Awesome!
context: Oh, um...\Is that...\This is, uh...\For the Kawagoe Festival?\Yeah.\Wow!\Are you in the march?\Awesome! response:	Nah, it's nothing.
context: Is that...\This is, uh...\For the Kawagoe Festival?\Yeah.\Wow!\Are you in the march?\Awesome!\Nah, it's nothing. response:	So, um, how was the meet?
context: This is, uh...\For the Kawagoe Festival?\Yeah.\Wow!\Are you in the march?\Awesome!\Nah, it's nothing.\So, um, how was the meet? response:	I set a new personal best.
context: For the Kawagoe Festival?\Yeah.\Wow!\Are you in the march?\Awesome!\Nah, it's nothing.\So, um, how was the meet?\I set a new personal best. response:	Nice!
context: Yeah.\Wow!\Are you in the march?\Awesome!\Nah, it's nothing.\So, um, how was the meet?\I set a new personal best.\Nice! response:	Congrats.
context: Wow!\Are you in the march?\Awesome!\Nah, it's nothing.\So, um, how was the meet?\I set a new personal best.\Nice!\Congrats. response:	Thanks.
context: Are you in the march?\Awesome!\Nah, it's nothing.\So, um, how was the meet?\I set a new personal best.\Nice!\Congrats.\Thanks. response:	I was wondering how you did.
context: Awesome!\Nah, it's nothing.\So, um, how was the meet?\I set a new personal best.\Nice!\Congrats.\Thanks.\I was wondering how you did. response:	My battery died...
context: Nah, it's nothing.\So, um, how was the meet?\I set a new personal best.\Nice!\Congrats.\Thanks.\I was wondering how you did.\My battery died... response:	I was on my way home, thinking you might be here...
context: So, um, how was the meet?\I set a new personal best.\Nice!\Congrats.\Thanks.\I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here... response:	And I found you.
context: I set a new personal best.\Nice!\Congrats.\Thanks.\I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here...\And I found you. response:	This is weird.
context: Nice!\Congrats.\Thanks.\I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here...\And I found you.\This is weird. response:	Who was it that translated I love you as Isn't the moon beautiful tonight?
context: Congrats.\Thanks.\I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here...\And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight? response:	Was it Dazai Osamu or Natsume Souseki?
context: Thanks.\I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here...\And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki? response:	The moon...
context: I was wondering how you did.\My battery died...\I was on my way home, thinking you might be here...\And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon... response:	Huh? The moon?
context: My battery died...\I was on my way home, thinking you might be here...\And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon? response:	I know. It's so pretty.
context: I was on my way home, thinking you might be here...\And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon?\I know. It's so pretty. response:	Would you go out with me?
context: And I found you.\This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon?\I know. It's so pretty.\Would you go out with me? response:	Middle School Dating
context: This is weird.\Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon?\I know. It's so pretty.\Would you go out with me?\Middle School Dating response:	Curly-kun!
context: Who was it that translated I love you as Isn't the moon beautiful tonight?\Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon?\I know. It's so pretty.\Would you go out with me?\Middle School Dating\Curly-kun! response:	Hey!
context: Was it Dazai Osamu or Natsume Souseki?\The moon...\Huh? The moon?\I know. It's so pretty.\Would you go out with me?\Middle School Dating\Curly-kun!\Hey! response:	We're friends now.
context: The moon...\Huh? The moon?\I know. It's so pretty.\Would you go out with me?\Middle School Dating\Curly-kun!\Hey!\We're friends now. response:	You told me Curly-kun's cool, so...
context: Huh? The moon?\I know. It's so pretty.\Would you go out with me?\Middle School Dating\Curly-kun!\Hey!\We're friends now.\You told me Curly-kun's cool, so... response:	Akane!
context: I know. It's so pretty.\Would you go out with me?\Middle School Dating\Curly-kun!\Hey!\We're friends now.\You told me Curly-kun's cool, so...\Akane! response:	Akane.
context: Would you go out with me?\Middle School Dating\Curly-kun!\Hey!\We're friends now.\You told me Curly-kun's cool, so...\Akane!\Akane. response:	Let's pick out gifts for the club members.
context: Middle School Dating\Curly-kun!\Hey!\We're friends now.\You told me Curly-kun's cool, so...\Akane!\Akane.\Let's pick out gifts for the club members. response:	Good idea.
context: Curly-kun!\Hey!\We're friends now.\You told me Curly-kun's cool, so...\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea. response:	Keychains?
context: Hey!\We're friends now.\You told me Curly-kun's cool, so...\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\Keychains? response:	Snacks for the boys.
context: We're friends now.\You told me Curly-kun's cool, so...\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\Keychains?\Snacks for the boys. response:	Curly-kun.
context: You told me Curly-kun's cool, so...\Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\Keychains?\Snacks for the boys.\Curly-kun. response:	Pick one.
context: Akane!\Akane.\Let's pick out gifts for the club members.\Good idea.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one. response:	Me?
context: Akane.\Let's pick out gifts for the club members.\Good idea.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me? response:	What kind do boys like?
context: Let's pick out gifts for the club members.\Good idea.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like? response:	Um...
context: Good idea.\Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um... response:	I think the bigger one.
context: Keychains?\Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one. response:	That's it!
context: Snacks for the boys.\Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it! response:	We're choosing gifts for our club.
context: Curly-kun.\Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club. response:	Oh, really?
context: Pick one.\Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really? response:	Yeah. You know how guys eat a lot.
context: Me?\What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot. response:	What do you like?
context: What kind do boys like?\Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like? response:	Me?
context: Um...\I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me? response:	Yeah. For reference.
context: I think the bigger one.\That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference. response:	Anything.
context: That's it!\We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything. response:	Really?
context: We're choosing gifts for our club.\Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really? response:	So, who's next?
context: Oh, really?\Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really?\So, who's next? response:	Akanecchi.
context: Yeah. You know how guys eat a lot.\What do you like?\Me?\Yeah. For reference.\Anything.\Really?\So, who's next?\Akanecchi. response:	Me?
context: What do you like?\Me?\Yeah. For reference.\Anything.\Really?\So, who's next?\Akanecchi.\Me? response:	You have someone, don't you?
context: Me?\Yeah. For reference.\Anything.\Really?\So, who's next?\Akanecchi.\Me?\You have someone, don't you? response:	If you're curious about someone, that counts, too.
context: Yeah. For reference.\Anything.\Really?\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too. response:	There is someone I'm curious about.
context: Anything.\Really?\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about. response:	Who? Who? Who? Who? Who? Who?
context: Really?\So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who? response:	Hira?
context: So, who's next?\Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira? response:	Did he ask you out?
context: Akanecchi.\Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out? response:	Hira's cool.
context: Me?\You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool. response:	You should go out with him.
context: You have someone, don't you?\If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him. response:	Just like that?
context: If you're curious about someone, that counts, too.\There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that? response:	No, I...
context: There is someone I'm curious about.\Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I... response:	That was close.
context: Who? Who? Who? Who? Who? Who?\Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close. response:	The teacher was right there.
context: Hira?\Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there. response:	That scared me.
context: Did he ask you out?\Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me. response:	Why are you guys here?
context: Hira's cool.\You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here? response:	Azumi-kun: What're you up to?
context: You should go out with him.\Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Azumi-kun: What're you up to? response:	Why not?
context: Just like that?\No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Azumi-kun: What're you up to?\Why not? response:	What's the problem?
context: No, I...\That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Azumi-kun: What're you up to?\Why not?\What's the problem? response:	We're going to be the ones to get yelled at.
context: That was close.\The teacher was right there.\That scared me.\Why are you guys here?\Azumi-kun: What're you up to?\Why not?\What's the problem?\We're going to be the ones to get yelled at. response:	If you want, tomorrow at 12:00 in front of Doimaru Department Store
context: The teacher was right there.\That scared me.\Why are you guys here?\Azumi-kun: What're you up to?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store response:	Why so cold?
context: That scared me.\Why are you guys here?\Azumi-kun: What're you up to?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold? response:	We don't want you here.
context: Why are you guys here?\Azumi-kun: What're you up to?\Why not?\What's the problem?\We're going to be the ones to get yelled at.\If you want, tomorrow at 12:00 in front of Doimaru Department Store\Why so cold?\We don't want you here. response:	Come on, we're already here.
