context: It hurts!! response:	No! I messed up the cake again!
context: I feel envy.\Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great? response:	Occasionally like that is good.
context: Here. Thanks.\Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good. response:	My my, I look real cool!
context: Come to think of it, where's that bath sponge?\Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool! response:	I hope Sakura-chan is having a nice chat with Mei Lin'
context: Oh, Kero's at Tomoyo-chan's house.\Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin' response:	Oh, this is so good!
context: Geez' Kicking' me out\coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good! response:	This too!
context: coz that girl is staying' over.\Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too! response:	This one too!
context: Well, this is probably much more fun for me!\I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too!\This one too! response:	I'm so envious!
context: I got so much to eat, and the food is so good here. Isn't that great?\Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too!\This one too!\I'm so envious! response:	I'll have to push myself to finish them all!
context: Occasionally like that is good.\My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too!\This one too!\I'm so envious!\I'll have to push myself to finish them all! response:	This is so good.
context: My my, I look real cool!\I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too!\This one too!\I'm so envious!\I'll have to push myself to finish them all!\This is so good. response:	It'll be such a waste if I don't finish all of it.
context: I hope Sakura-chan is having a nice chat with Mei Lin'\Oh, this is so good!\This too!\This one too!\I'm so envious!\I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it. response:	You know,
context: Oh, this is so good!\This too!\This one too!\I'm so envious!\I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it.\You know, response:	Li-kun is a very good cook too.
context: This too!\This one too!\I'm so envious!\I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too. response:	I guess.
context: This one too!\I'm so envious!\I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too.\I guess. response:	I don't think Li-kun thinks that
context: I'm so envious!\I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that response:	you're a bother, you know?
context: I'll have to push myself to finish them all!\This is so good.\It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that\you're a bother, you know? response:	Because he's always worried about you.
context: This is so good.\It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you. response:	Whether it's at school,
context: It'll be such a waste if I don't finish all of it.\You know,\Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you.\Whether it's at school, response:	or when we're capturing the cards.
context: You know,\Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards. response:	I know.
context: Li-kun is a very good cook too.\I guess.\I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards.\I know. response:	I know that.
context: I guess.\I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards.\I know.\I know that. response:	I know'
context: I don't think Li-kun thinks that\you're a bother, you know?\Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards.\I know.\I know that.\I know' response:	Two mailboxes? Which one is true?
context: you're a bother, you know?\Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards.\I know.\I know that.\I know'\Two mailboxes? Which one is true? response:	I know.
context: Because he's always worried about you.\Whether it's at school,\or when we're capturing the cards.\I know.\I know that.\I know'\Two mailboxes? Which one is true?\I know. response:	It it's different than what I want.
context: Whether it's at school,\or when we're capturing the cards.\I know.\I know that.\I know'\Two mailboxes? Which one is true?\I know.\It it's different than what I want. response:	Hey, since when did you start liking that guy?
context: or when we're capturing the cards.\I know.\I know that.\I know'\Two mailboxes? Which one is true?\I know.\It it's different than what I want.\Hey, since when did you start liking that guy? response:	Hm' Eh'
context: I know.\I know that.\I know'\Two mailboxes? Which one is true?\I know.\It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh' response:	He was Touya's classmate,
context: I know that.\I know'\Two mailboxes? Which one is true?\I know.\It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate, response:	and he came over' And'
context: I know'\Two mailboxes? Which one is true?\I know.\It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate,\and he came over' And' response:	And you have a crush on him?
context: Two mailboxes? Which one is true?\I know.\It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate,\and he came over' And'\And you have a crush on him? response:	Wh' What about you?
context: I know.\It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate,\and he came over' And'\And you have a crush on him?\Wh' What about you? response:	For me' it wasn't exactly like a crush'
context: It it's different than what I want.\Hey, since when did you start liking that guy?\Hm' Eh'\He was Touya's classmate,\and he came over' And'\And you have a crush on him?\Wh' What about you?\For me' it wasn't exactly like a crush' response:	In Hong Kong, I lived very close to Shao Lan.
