context: 48 Days Until the Prefectural Tournament! response:	Gou-chan, you're still doing those?
context: 52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going!\Honestly... response:	Man!
context: Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going!\Honestly...\Man! response:	This is such a pain.
context: Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going!\Honestly...\Man!\This is such a pain. response:	What's this?
context: I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going!\Honestly...\Man!\This is such a pain.\What's this? response:	This is...
context: Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going!\Honestly...\Man!\This is such a pain.\What's this?\This is... response:	Look at this!
context: Stop talking and start practicing!\Get going!\Honestly...\Man!\This is such a pain.\What's this?\This is...\Look at this! response:	Trial in Open Water!
context: Get going!\Honestly...\Man!\This is such a pain.\What's this?\This is...\Look at this!\Trial in Open Water! response:	Our new tracksuits arrived!
context: Honestly...\Man!\This is such a pain.\What's this?\This is...\Look at this!\Trial in Open Water!\Our new tracksuits arrived! response:	The jackets are nice,
context: Man!\This is such a pain.\What's this?\This is...\Look at this!\Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice, response:	Iwatobi Swim Club
context: This is such a pain.\What's this?\This is...\Look at this!\Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club response:	but what is that thing on the T-shirt?
context: What's this?\This is...\Look at this!\Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt? response:	That's the secret Iwatobi-chan version.
context: This is...\Look at this!\Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version. response:	Since you were against putting Iwatobi-chan on our tracksuits.
context: Look at this!\Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits. response:	What, so there's a secret version?
context: Trial in Open Water!\Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version? response:	Well, let's get started.
context: Our new tracksuits arrived!\The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started. response:	Before we begin practice,
context: The jackets are nice,\Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started.\Before we begin practice, response:	let's review the events we'll be entering at prefecturals.
context: Iwatobi Swim Club\but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals. response:	I'll be swimming the 100 m and 200 m backstroke.
context: but what is that thing on the T-shirt?\That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke. response:	What are you doing, Nagisa?
context: That's the secret Iwatobi-chan version.\Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa? response:	I'm swimming breast.
context: Since you were against putting Iwatobi-chan on our tracksuits.\What, so there's a secret version?\Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast. response:	I'm thinking both the 100 and 200.
context: What, so there's a secret version?\Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200. response:	And Haru?
context: Well, let's get started.\Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru? response:	I only swim free.
context: Before we begin practice,\let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru?\I only swim free. response:	Shouldn't have bothered to ask.
context: let's review the events we'll be entering at prefecturals.\I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru?\I only swim free.\Shouldn't have bothered to ask. response:	Rei?
context: I'll be swimming the 100 m and 200 m backstroke.\What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru?\I only swim free.\Shouldn't have bothered to ask.\Rei? response:	I can only swim butterfly.
context: What are you doing, Nagisa?\I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru?\I only swim free.\Shouldn't have bothered to ask.\Rei?\I can only swim butterfly. response:	That's right!
context: I'm swimming breast.\I'm thinking both the 100 and 200.\And Haru?\I only swim free.\Shouldn't have bothered to ask.\Rei?\I can only swim butterfly.\That's right! response:	Anyway, it's been a while since we've competed,
context: I'm thinking both the 100 and 200.\And Haru?\I only swim free.\Shouldn't have bothered to ask.\Rei?\I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed, response:	so stamina will be an issue.
context: And Haru?\I only swim free.\Shouldn't have bothered to ask.\Rei?\I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue. response:	I recommend sticking to short distances.
context: I only swim free.\Shouldn't have bothered to ask.\Rei?\I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances. response:	So we have our lineup for individual events.
context: Shouldn't have bothered to ask.\Rei?\I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events. response:	That leaves the relay.
context: Rei?\I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay. response:	I guess we can wait to make that decision.
context: I can only swim butterfly.\That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision. response:	Keep that in mind while we're practicing
context: That's right!\Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing response:	You won't believe this!
context: Anyway, it's been a while since we've competed,\so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this! response:	I found something amazing!
context: so stamina will be an issue.\I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this!\I found something amazing! response:	Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island
context: I recommend sticking to short distances.\So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island response:	Iwatobi High School Swim Club
context: So we have our lineup for individual events.\That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club response:	Summer Training Camp from Hell on a Deserted Island...
context: That leaves the relay.\I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island... response:	Hell?
context: I guess we can wait to make that decision.\Keep that in mind while we're practicing\You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell? response:	Deserted island?
context: Keep that in mind while we're practicing\You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island? response:	Sounds fun!
context: You won't believe this!\I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island?\Sounds fun! response:	This took place several decades ago,
context: I found something amazing!\Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island?\Sounds fun!\This took place several decades ago, response:	when Iwatobi still had a swim club!
context: Iwatobi High School Swim Club Summer Training Camp from Hell on a Deserted Island\Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island?\Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club! response:	So what's your point?
context: Iwatobi High School Swim Club\Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island?\Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point? response:	We should steal their training regimen and hold
context: Summer Training Camp from Hell on a Deserted Island...\Hell?\Deserted island?\Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold response:	a summer training camp on a deserted island!
context: Hell?\Deserted island?\Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island! response:	To prepare for prefecturals!
context: Deserted island?\Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals! response:	Too much effort.
context: Sounds fun!\This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort. response:	This is no time for complaining!
context: This took place several decades ago,\when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort.\This is no time for complaining! response:	Look at the training regimen they used!
context: when Iwatobi still had a swim club!\So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort.\This is no time for complaining!\Look at the training regimen they used! response:	They swam long distances in the ocean.
context: So what's your point?\We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort.\This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean. response:	From one deserted island to the next.
context: We should steal their training regimen and hold\a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort.\This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next. response:	Don't you think this training is perfect for building stamina?
context: a summer training camp on a deserted island!\To prepare for prefecturals!\Too much effort.\This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina? response:	The ocean...
context: To prepare for prefecturals!\Too much effort.\This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean... response:	Yep, the ocean!
context: Too much effort.\This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean! response:	We should participate in the same
context: This is no time for complaining!\Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean!\We should participate in the same response:	training regimen that our storied swim club used!
context: Look at the training regimen they used!\They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used! response:	Our swim club was storied?
context: They swam long distances in the ocean.\From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied? response:	Yep, look what I found.
context: From one deserted island to the next.\Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found. response:	Sixth place in the Iwatobi Junior Tournament.
context: Don't you think this training is perfect for building stamina?\The ocean...\Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament. response:	Weak.
context: The ocean...\Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak. response:	Anyway!
context: Yep, the ocean!\We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway! response:	Right now, the Iwatobi Swim Club needs stamina!
context: We should participate in the same\training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina! response:	And summer is the perfect time to hold a training camp!
context: training regimen that our storied swim club used!\Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp! response:	In the ocean! On deserted islands!
context: Our swim club was storied?\Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands! response:	Wait, I don't see how deserted islands are relevant here.
context: Yep, look what I found.\Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here. response:	But it's more exciting when you add deserted islands.
context: Sixth place in the Iwatobi Junior Tournament.\Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands. response:	I know, right? So let's hold a training camp!
context: Weak.\Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp! response:	Your decision, Captain?
context: Anyway!\Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain? response:	Huh?
context: Right now, the Iwatobi Swim Club needs stamina!\And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain?\Huh? response:	Oh...
context: And summer is the perfect time to hold a training camp!\In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain?\Huh?\Oh... response:	I guess it's a good idea
context: In the ocean! On deserted islands!\Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain?\Huh?\Oh...\I guess it's a good idea response:	to hold a training camp to prepare for prefecturals.
context: Wait, I don't see how deserted islands are relevant here.\But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain?\Huh?\Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals. response:	Hurray! It's settled, then!
context: But it's more exciting when you add deserted islands.\I know, right? So let's hold a training camp!\Your decision, Captain?\Huh?\Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then! response:	Yippee!
context: I know, right? So let's hold a training camp!\Your decision, Captain?\Huh?\Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee! response:	Faculty Office
context: Your decision, Captain?\Huh?\Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee!\Faculty Office response:	The club doesn't have the money for that.
context: Huh?\Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee!\Faculty Office\The club doesn't have the money for that. response:	Then we could ask our generous advisor to pay for it!
context: Oh...\I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee!\Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it! response:	I'm not that generous!
context: I guess it's a good idea\to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee!\Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous! response:	Besides, people only get that lucky in TV shows and manga.
context: to hold a training camp to prepare for prefecturals.\Hurray! It's settled, then!\Yippee!\Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga. response:	The Irish playwright, George Bernard Shaw, said it best.
context: Hurray! It's settled, then!\Yippee!\Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best. response:	The book that has had the most influence on my life
context: Yippee!\Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life response:	is my checkbook.
context: Faculty Office\The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook. response:	But I really want to go to a deserted island with everyone.
context: The club doesn't have the money for that.\Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone. response:	If the school won't pay for it, we can try to pay for it ourselves.
context: Then we could ask our generous advisor to pay for it!\I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves. response:	I can't afford it.
context: I'm not that generous!\Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it. response:	We had to pay for the tracksuits ourselves,
context: Besides, people only get that lucky in TV shows and manga.\The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves, response:	and I bought a non-speedo swimsuit.
context: The Irish playwright, George Bernard Shaw, said it best.\The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit. response:	I also bought a swimsuit.
context: The book that has had the most influence on my life\is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit. response:	Same here.
context: is my checkbook.\But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here. response:	Rei-kun needed a swimsuit,
context: But I really want to go to a deserted island with everyone.\If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit, response:	but the rest of you didn't need to buy one.
context: If the school won't pay for it, we can try to pay for it ourselves.\I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one. response:	Especially not Haruka-senpai.
context: I can't afford it.\We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai. response:	All of your swimsuits look the same.
context: We had to pay for the tracksuits ourselves,\and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same. response:	They fit differently.
context: and I bought a non-speedo swimsuit.\I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently. response:	We could all find part-time jobs.
context: I also bought a swimsuit.\Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs. response:	It's too late for that.
context: Same here.\Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs.\It's too late for that. response:	Unfortunately, it looks like this plan's a bust.
context: Rei-kun needed a swimsuit,\but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust. response:	Wait.
context: but the rest of you didn't need to buy one.\Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait. response:	I'll think of something.
context: Especially not Haruka-senpai.\All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something. response:	There should be a way to hold a camp without needing money.
context: All of your swimsuits look the same.\They fit differently.\We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something.\There should be a way to hold a camp without needing money. response:	Mako-chan's getting serious!
context: They fit differently.\We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious! response:	We can count on our captain!
context: We could all find part-time jobs.\It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain! response:	Whatcha doing, big brother?
context: It's too late for that.\Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother? response:	Are you going camping? I wanna come!
context: Unfortunately, it looks like this plan's a bust.\Wait.\I'll think of something.\There should be a way to hold a camp without needing money.\Mako-chan's getting serious!\We can count on our captain!\Whatcha doing, big brother?\Are you going camping? I wanna come! response:	I've got a training camp with Haru and everyone else.
