context: Those Awaiting a Star Part 3 response:	I want you to deliver that book to someone for me.
context: The master's books are all so impressive.\When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I...\The master told me...\that you were going to get married.\Congratulations.\Is that all you're going to say? response:	What more could I say?
context: When they say bookworm, they must mean people like you.\Not as much as you.\Hey, I...\The master told me...\that you were going to get married.\Congratulations.\Is that all you're going to say?\What more could I say? response:	My happiest moments are when I'm reading the last page of a book.
context: Not as much as you.\Hey, I...\The master told me...\that you were going to get married.\Congratulations.\Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book. response:	The story ends.
context: Hey, I...\The master told me...\that you were going to get married.\Congratulations.\Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends. response:	But it makes me feel as though it's going to go on somewhere.
context: The master told me...\that you were going to get married.\Congratulations.\Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere. response:	You can borrow this.
context: that you were going to get married.\Congratulations.\Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this. response:	Mayumi-san.
context: Congratulations.\Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san. response:	Please don't forget to give it back.
context: Is that all you're going to say?\What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san.\Please don't forget to give it back. response:	I was just a lowly student.
context: What more could I say?\My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san.\Please don't forget to give it back.\I was just a lowly student. response:	She was the daughter of the wealthy family I was indebted to.
context: My happiest moments are when I'm reading the last page of a book.\The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san.\Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to. response:	I never thought our relationship would ever bear fruit.
context: The story ends.\But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san.\Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit. response:	But...
context: But it makes me feel as though it's going to go on somewhere.\You can borrow this.\Mayumi-san.\Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But... response:	Wait for me on the final platform
context: You can borrow this.\Mayumi-san.\Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform response:	She extended her hand to me.
context: Mayumi-san.\Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform\She extended her hand to me. response:	I had no choice but to go to her.
context: Please don't forget to give it back.\I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her. response:	No matter what.
context: I was just a lowly student.\She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her.\No matter what. response:	I have to go to her.
context: She was the daughter of the wealthy family I was indebted to.\I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her.\No matter what.\I have to go to her. response:	I have to go.
context: I never thought our relationship would ever bear fruit.\But...\Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her.\No matter what.\I have to go to her.\I have to go. response:	I have to go.
context: But...\Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her.\No matter what.\I have to go to her.\I have to go.\I have to go. response:	I have to go!
context: Wait for me on the final platform\She extended her hand to me.\I had no choice but to go to her.\No matter what.\I have to go to her.\I have to go.\I have to go.\I have to go! response:	I was drawn to this library.
context: She extended her hand to me.\I had no choice but to go to her.\No matter what.\I have to go to her.\I have to go.\I have to go.\I have to go!\I was drawn to this library. response:	And I became a captive.
context: I had no choice but to go to her.\No matter what.\I have to go to her.\I have to go.\I have to go.\I have to go!\I was drawn to this library.\And I became a captive. response:	I don't even know how long I've been here now.
context: No matter what.\I have to go to her.\I have to go.\I have to go.\I have to go!\I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now. response:	But...
context: I have to go to her.\I have to go.\I have to go.\I have to go!\I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now.\But... response:	You reminded me.
context: I have to go.\I have to go.\I have to go!\I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now.\But...\You reminded me. response:	When you smiled and said you like the last page of a book.
context: I have to go.\I have to go!\I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now.\But...\You reminded me.\When you smiled and said you like the last page of a book. response:	To her...
context: I have to go!\I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now.\But...\You reminded me.\When you smiled and said you like the last page of a book.\To her... response:	To Niikura Mayumi-san.
context: I was drawn to this library.\And I became a captive.\I don't even know how long I've been here now.\But...\You reminded me.\When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san. response:	Hatori-san.
context: And I became a captive.\I don't even know how long I've been here now.\But...\You reminded me.\When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san.\Hatori-san. response:	There's no one else I can ask.
context: I don't even know how long I've been here now.\But...\You reminded me.\When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask. response:	Now, go.
context: But...\You reminded me.\When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask.\Now, go. response:	Please.
context: You reminded me.\When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask.\Now, go.\Please. response:	Now, hurry.
context: When you smiled and said you like the last page of a book.\To her...\To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask.\Now, go.\Please.\Now, hurry. response:	No one will ever wander into here again.
context: To her...\To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask.\Now, go.\Please.\Now, hurry.\No one will ever wander into here again. response:	Niikura
context: To Niikura Mayumi-san.\Hatori-san.\There's no one else I can ask.\Now, go.\Please.\Now, hurry.\No one will ever wander into here again.\Niikura response:	Um...
context: Hatori-san.\There's no one else I can ask.\Now, go.\Please.\Now, hurry.\No one will ever wander into here again.\Niikura\Um... response:	Are you Niikura Mayumi-san?
context: There's no one else I can ask.\Now, go.\Please.\Now, hurry.\No one will ever wander into here again.\Niikura\Um...\Are you Niikura Mayumi-san? response:	Um...
context: Now, go.\Please.\Now, hurry.\No one will ever wander into here again.\Niikura\Um...\Are you Niikura Mayumi-san?\Um... response:	My great-grandma?
context: Please.\Now, hurry.\No one will ever wander into here again.\Niikura\Um...\Are you Niikura Mayumi-san?\Um...\My great-grandma? response:	You're from this neighborhood, right?
context: Now, hurry.\No one will ever wander into here again.\Niikura\Um...\Are you Niikura Mayumi-san?\Um...\My great-grandma?\You're from this neighborhood, right? response:	Grandma Mayumi's in the hospital right now.
context: No one will ever wander into here again.\Niikura\Um...\Are you Niikura Mayumi-san?\Um...\My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now. response:	You know the huge hospital by the river?
context: Niikura\Um...\Are you Niikura Mayumi-san?\Um...\My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river? response:	She's there.
context: Um...\Are you Niikura Mayumi-san?\Um...\My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there. response:	What did you need?
context: Are you Niikura Mayumi-san?\Um...\My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there.\What did you need? response:	We just got here yesterday.
context: Um...\My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there.\What did you need?\We just got here yesterday. response:	We don't really know our way around.
context: My great-grandma?\You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there.\What did you need?\We just got here yesterday.\We don't really know our way around. response:	If you need something...
context: You're from this neighborhood, right?\Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there.\What did you need?\We just got here yesterday.\We don't really know our way around.\If you need something... response:	Hey!
context: Grandma Mayumi's in the hospital right now.\You know the huge hospital by the river?\She's there.\What did you need?\We just got here yesterday.\We don't really know our way around.\If you need something...\Hey! response:	Niikura-san?
context: You know the huge hospital by the river?\She's there.\What did you need?\We just got here yesterday.\We don't really know our way around.\If you need something...\Hey!\Niikura-san? response:	With all due respect, how are you two related?
context: She's there.\What did you need?\We just got here yesterday.\We don't really know our way around.\If you need something...\Hey!\Niikura-san?\With all due respect, how are you two related? response:	I'm sorry, I can't tell you her room number unless you're related.
context: What did you need?\We just got here yesterday.\We don't really know our way around.\If you need something...\Hey!\Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related. response:	Niikura-san?
context: We just got here yesterday.\We don't really know our way around.\If you need something...\Hey!\Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san? response:	I think her grandchildren's families were coming to visit today.
context: We don't really know our way around.\If you need something...\Hey!\Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today. response:	Oh, really?
context: If you need something...\Hey!\Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really? response:	Come on, then.
context: Hey!\Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then. response:	Come.
context: Niikura-san?\With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then.\Come. response:	Niikura Mayumi
context: With all due respect, how are you two related?\I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then.\Come.\Niikura Mayumi response:	Niikura-san.
context: I'm sorry, I can't tell you her room number unless you're related.\Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then.\Come.\Niikura Mayumi\Niikura-san. response:	You're out of bed again.
context: Niikura-san?\I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then.\Come.\Niikura Mayumi\Niikura-san.\You're out of bed again. response:	I'm so bored.
context: I think her grandchildren's families were coming to visit today.\Oh, really?\Come on, then.\Come.\Niikura Mayumi\Niikura-san.\You're out of bed again.\I'm so bored. response:	I've read all the books I brought with me.
context: Oh, really?\Come on, then.\Come.\Niikura Mayumi\Niikura-san.\You're out of bed again.\I'm so bored.\I've read all the books I brought with me. response:	Your great-granddaughter's here.
context: Come on, then.\Come.\Niikura Mayumi\Niikura-san.\You're out of bed again.\I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here. response:	Already?
context: Come.\Niikura Mayumi\Niikura-san.\You're out of bed again.\I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here.\Already? response:	She's here early.
context: Niikura Mayumi\Niikura-san.\You're out of bed again.\I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here.\Already?\She's here early. response:	Weren't you going to eat lunch first?
context: Niikura-san.\You're out of bed again.\I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here.\Already?\She's here early.\Weren't you going to eat lunch first? response:	You're...
context: You're out of bed again.\I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here.\Already?\She's here early.\Weren't you going to eat lunch first?\You're... response:	What can I do for you?
context: I'm so bored.\I've read all the books I brought with me.\Your great-granddaughter's here.\Already?\She's here early.\Weren't you going to eat lunch first?\You're...\What can I do for you? response:	Are you Niikura Mayumi-san?
context: I've read all the books I brought with me.\Your great-granddaughter's here.\Already?\She's here early.\Weren't you going to eat lunch first?\You're...\What can I do for you?\Are you Niikura Mayumi-san? response:	I am.
context: Your great-granddaughter's here.\Already?\She's here early.\Weren't you going to eat lunch first?\You're...\What can I do for you?\Are you Niikura Mayumi-san?\I am. response:	Spring Will Be Missed
context: Already?\She's here early.\Weren't you going to eat lunch first?\You're...\What can I do for you?\Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed response:	My...
context: She's here early.\Weren't you going to eat lunch first?\You're...\What can I do for you?\Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed\My... response:	This book... Where did you...
context: Weren't you going to eat lunch first?\You're...\What can I do for you?\Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed\My...\This book... Where did you... response:	There's no mistake.
context: You're...\What can I do for you?\Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed\My...\This book... Where did you...\There's no mistake. response:	This is my book.
context: What can I do for you?\Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed\My...\This book... Where did you...\There's no mistake.\This is my book. response:	This is our book.
context: Are you Niikura Mayumi-san?\I am.\Spring Will Be Missed\My...\This book... Where did you...\There's no mistake.\This is my book.\This is our book. response:	Are you his granddaughter?
context: I am.\Spring Will Be Missed\My...\This book... Where did you...\There's no mistake.\This is my book.\This is our book.\Are you his granddaughter? response:	His great -granddaughter?
context: Spring Will Be Missed\My...\This book... Where did you...\There's no mistake.\This is my book.\This is our book.\Are you his granddaughter?\His great -granddaughter? response:	Is he doing well?
context: My...\This book... Where did you...\There's no mistake.\This is my book.\This is our book.\Are you his granddaughter?\His great -granddaughter?\Is he doing well? response:	I'm sorry.
context: This book... Where did you...\There's no mistake.\This is my book.\This is our book.\Are you his granddaughter?\His great -granddaughter?\Is he doing well?\I'm sorry. response:	I'm sorry.
context: There's no mistake.\This is my book.\This is our book.\Are you his granddaughter?\His great -granddaughter?\Is he doing well?\I'm sorry.\I'm sorry. response:	I'm sorry.
context: This is my book.\This is our book.\Are you his granddaughter?\His great -granddaughter?\Is he doing well?\I'm sorry.\I'm sorry.\I'm sorry. response:	I'm so happy.
context: This is our book.\Are you his granddaughter?\His great -granddaughter?\Is he doing well?\I'm sorry.\I'm sorry.\I'm sorry.\I'm so happy. response:	I'm really happy.
context: Are you his granddaughter?\His great -granddaughter?\Is he doing well?\I'm sorry.\I'm sorry.\I'm sorry.\I'm so happy.\I'm really happy. response:	He never did come to me,
context: His great -granddaughter?\Is he doing well?\I'm sorry.\I'm sorry.\I'm sorry.\I'm so happy.\I'm really happy.\He never did come to me, response:	but he did fulfill his promise.
context: Is he doing well?\I'm sorry.\I'm sorry.\I'm sorry.\I'm so happy.\I'm really happy.\He never did come to me,\but he did fulfill his promise. response:	He gave this book back to me.
context: I'm sorry.\I'm sorry.\I'm sorry.\I'm so happy.\I'm really happy.\He never did come to me,\but he did fulfill his promise.\He gave this book back to me. response:	So I'm happy.
context: I'm sorry.\I'm sorry.\I'm so happy.\I'm really happy.\He never did come to me,\but he did fulfill his promise.\He gave this book back to me.\So I'm happy. response:	Thank you.
context: I'm sorry.\I'm so happy.\I'm really happy.\He never did come to me,\but he did fulfill his promise.\He gave this book back to me.\So I'm happy.\Thank you. response:	Let me get a good look at your face.
context: I'm so happy.\I'm really happy.\He never did come to me,\but he did fulfill his promise.\He gave this book back to me.\So I'm happy.\Thank you.\Let me get a good look at your face. response:	Come over here.
context: I'm really happy.\He never did come to me,\but he did fulfill his promise.\He gave this book back to me.\So I'm happy.\Thank you.\Let me get a good look at your face.\Come over here. response:	What's your name?
context: He never did come to me,\but he did fulfill his promise.\He gave this book back to me.\So I'm happy.\Thank you.\Let me get a good look at your face.\Come over here.\What's your name? response:	Hatori Chise.
context: but he did fulfill his promise.\He gave this book back to me.\So I'm happy.\Thank you.\Let me get a good look at your face.\Come over here.\What's your name?\Hatori Chise. response:	What a beautiful name.
context: He gave this book back to me.\So I'm happy.\Thank you.\Let me get a good look at your face.\Come over here.\What's your name?\Hatori Chise.\What a beautiful name. response:	Thank you, Hatori Chise-san.
context: So I'm happy.\Thank you.\Let me get a good look at your face.\Come over here.\What's your name?\Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san. response:	Grandma, shouldn't you be asleep?
context: Thank you.\Let me get a good look at your face.\Come over here.\What's your name?\Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep? response:	Grandmama, look!
context: Let me get a good look at your face.\Come over here.\What's your name?\Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look! response:	I got second rank in swimming!
context: Come over here.\What's your name?\Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming! response:	I got third rank!
context: What's your name?\Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming!\I got third rank! response:	Hurry up and get better, Grandmama.
context: Hatori Chise.\What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama. response:	Um, hey...
context: What a beautiful name.\Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama.\Um, hey... response:	Let's go to the pool.
context: Thank you, Hatori Chise-san.\Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool. response:	Did a girl come by?
context: Grandma, shouldn't you be asleep?\Grandmama, look!\I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool.\Did a girl come by? response:	Red hair, about this tall.
context: Grandmama, look!\I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool.\Did a girl come by?\Red hair, about this tall. response:	Ow.
context: I got second rank in swimming!\I got third rank!\Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool.\Did a girl come by?\Red hair, about this tall.\Ow. response:	What was that for?
context: I got third rank!\Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool.\Did a girl come by?\Red hair, about this tall.\Ow.\What was that for? response:	Let's go already.
context: Hurry up and get better, Grandmama.\Um, hey...\Let's go to the pool.\Did a girl come by?\Red hair, about this tall.\Ow.\What was that for?\Let's go already. response:	Hey, are we really going to the forest today?
context: Um, hey...\Let's go to the pool.\Did a girl come by?\Red hair, about this tall.\Ow.\What was that for?\Let's go already.\Hey, are we really going to the forest today? response:	Are you scared?
context: Let's go to the pool.\Did a girl come by?\Red hair, about this tall.\Ow.\What was that for?\Let's go already.\Hey, are we really going to the forest today?\Are you scared? response:	It's not my fault if we get lost.
context: Did a girl come by?\Red hair, about this tall.\Ow.\What was that for?\Let's go already.\Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost. response:	We won't!
context: Red hair, about this tall.\Ow.\What was that for?\Let's go already.\Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost.\We won't! response:	The Lonely Little Star
context: Ow.\What was that for?\Let's go already.\Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost.\We won't!\The Lonely Little Star response:	I gave her the book.
context: What was that for?\Let's go already.\Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost.\We won't!\The Lonely Little Star\I gave her the book. response:	Mayumi-san said, Thank you.
context: Let's go already.\Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost.\We won't!\The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you. response:	The child of a star asked, with a voice like a bell,
context: Hey, are we really going to the forest today?\Are you scared?\It's not my fault if we get lost.\We won't!\The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell, response:	'God of the Stars, why do you leave me here by myself in this dark night sky?'
context: Are you scared?\It's not my fault if we get lost.\We won't!\The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?' response:	'I have no way to talk to the other stars, or to show each other our light.'
context: It's not my fault if we get lost.\We won't!\The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.' response:	To which the God of the Stars replied,
context: We won't!\The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied, response:	'Look very carefully.'
context: The Lonely Little Star\I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.' response:	And so the child looked very hard. So hard that their eyes could have fallen out.
context: I gave her the book.\Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out. response:	Then, off in the distance, a myriad of tiny, twinkling stars could be seen.
context: Mayumi-san said, Thank you.\The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen. response:	'See? You can see them if you look really carefully.
context: The child of a star asked, with a voice like a bell,\'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully. response:	The sky is endlessly connected.
context: 'God of the Stars, why do you leave me here by myself in this dark night sky?'\'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected. response:	Just try, and you'll see even the faintest of lights.'
context: 'I have no way to talk to the other stars, or to show each other our light.'\To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.' response:	This is the book I need?
context: To which the God of the Stars replied,\'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need? response:	Hatori-san.
context: 'Look very carefully.'\And so the child looked very hard. So hard that their eyes could have fallen out.\Then, off in the distance, a myriad of tiny, twinkling stars could be seen.\'See? You can see them if you look really carefully.\The sky is endlessly connected.\Just try, and you'll see even the faintest of lights.'\This is the book I need?\Hatori-san. response:	Hm?
