context: OP response:	OP
context: Long time no see\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
context: The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear? response:	The transient quarter moon
context: your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon response:	hides in a rift in the clouds,
context: I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds, response:	as darkness seeps up from the ground.
context: It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground. response:	Tell me the truth, please.
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
context: and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent response:	that you still sit alone, sighing?
context: What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing? response:	That Night
context: those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\That Night response:	Its awfully cold, isnt it?
context: The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\That Night\Its awfully cold, isnt it? response:	Im sorry.
context: hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\That Night\Its awfully cold, isnt it?\Im sorry. response:	But its bitter, isnt it?
context: as darkness seeps up from the ground.\Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\That Night\Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it? response:	Well, it is from China.
context: Tell me the truth, please.\Are you so despondent\that you still sit alone, sighing?\That Night\Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it?\Well, it is from China. response:	Do you have anything else?
context: Are you so despondent\that you still sit alone, sighing?\That Night\Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it?\Well, it is from China.\Do you have anything else? response:	Do you own this inn, maam?
context: that you still sit alone, sighing?\That Night\Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it?\Well, it is from China.\Do you have anything else?\Do you own this inn, maam? response:	Yes indeed.
context: That Night\Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it?\Well, it is from China.\Do you have anything else?\Do you own this inn, maam?\Yes indeed. response:	Ive had the building itself since I was a girl.
context: Its awfully cold, isnt it?\Im sorry.\But its bitter, isnt it?\Well, it is from China.\Do you have anything else?\Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl. response:	What was it
context: Im sorry.\But its bitter, isnt it?\Well, it is from China.\Do you have anything else?\Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl.\What was it response:	before you made it an inn?
context: But its bitter, isnt it?\Well, it is from China.\Do you have anything else?\Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl.\What was it\before you made it an inn? response:	Hmm, what was it?
context: Well, it is from China.\Do you have anything else?\Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl.\What was it\before you made it an inn?\Hmm, what was it? response:	I forget.
context: Do you have anything else?\Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl.\What was it\before you made it an inn?\Hmm, what was it?\I forget. response:	Guess Im getting old.
context: Do you own this inn, maam?\Yes indeed.\Ive had the building itself since I was a girl.\What was it\before you made it an inn?\Hmm, what was it?\I forget.\Guess Im getting old. response:	Excuse me!
context: Yes indeed.\Ive had the building itself since I was a girl.\What was it\before you made it an inn?\Hmm, what was it?\I forget.\Guess Im getting old.\Excuse me! response:	Do you have a room for the night?
context: Ive had the building itself since I was a girl.\What was it\before you made it an inn?\Hmm, what was it?\I forget.\Guess Im getting old.\Excuse me!\Do you have a room for the night? response:	Sorry, but were full up.
context: What was it\before you made it an inn?\Hmm, what was it?\I forget.\Guess Im getting old.\Excuse me!\Do you have a room for the night?\Sorry, but were full up. response:	Look somewhere else.
context: before you made it an inn?\Hmm, what was it?\I forget.\Guess Im getting old.\Excuse me!\Do you have a room for the night?\Sorry, but were full up.\Look somewhere else. response:	Youre the only ones open!
context: Hmm, what was it?\I forget.\Guess Im getting old.\Excuse me!\Do you have a room for the night?\Sorry, but were full up.\Look somewhere else.\Youre the only ones open! response:	Therere no vacancies.
context: I forget.\Guess Im getting old.\Excuse me!\Do you have a room for the night?\Sorry, but were full up.\Look somewhere else.\Youre the only ones open!\Therere no vacancies. response:	Ive got plenty of money!
context: Guess Im getting old.\Excuse me!\Do you have a room for the night?\Sorry, but were full up.\Look somewhere else.\Youre the only ones open!\Therere no vacancies.\Ive got plenty of money! response:	You can even have my umbrella!
context: Excuse me!\Do you have a room for the night?\Sorry, but were full up.\Look somewhere else.\Youre the only ones open!\Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella! response:	Could it be?
context: Do you have a room for the night?\Sorry, but were full up.\Look somewhere else.\Youre the only ones open!\Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella!\Could it be? response:	Thats right.
context: Sorry, but were full up.\Look somewhere else.\Youre the only ones open!\Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella!\Could it be?\Thats right. response:	You took the last vacancy.
context: Look somewhere else.\Youre the only ones open!\Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella!\Could it be?\Thats right.\You took the last vacancy. response:	Please!
context: Youre the only ones open!\Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella!\Could it be?\Thats right.\You took the last vacancy.\Please! response:	Please!
context: Therere no vacancies.\Ive got plenty of money!\You can even have my umbrella!\Could it be?\Thats right.\You took the last vacancy.\Please!\Please! response:	Well, what about this one?
context: Ive got plenty of money!\You can even have my umbrella!\Could it be?\Thats right.\You took the last vacancy.\Please!\Please!\Well, what about this one? response:	Actually, Im being chased.
context: You can even have my umbrella!\Could it be?\Thats right.\You took the last vacancy.\Please!\Please!\Well, what about this one?\Actually, Im being chased. response:	If they find me,
context: Could it be?\Thats right.\You took the last vacancy.\Please!\Please!\Well, what about this one?\Actually, Im being chased.\If they find me, response:	Ill be killed for sure!
context: Thats right.\You took the last vacancy.\Please!\Please!\Well, what about this one?\Actually, Im being chased.\If they find me,\Ill be killed for sure! response:	Ooh! Thats quite the story.
context: You took the last vacancy.\Please!\Please!\Well, what about this one?\Actually, Im being chased.\If they find me,\Ill be killed for sure!\Ooh! Thats quite the story. response:	Oh.
context: Please!\Please!\Well, what about this one?\Actually, Im being chased.\If they find me,\Ill be killed for sure!\Ooh! Thats quite the story.\Oh. response:	Its true.
context: Please!\Well, what about this one?\Actually, Im being chased.\If they find me,\Ill be killed for sure!\Ooh! Thats quite the story.\Oh.\Its true. response:	Well, its raining pretty hard.
context: Well, what about this one?\Actually, Im being chased.\If they find me,\Ill be killed for sure!\Ooh! Thats quite the story.\Oh.\Its true.\Well, its raining pretty hard. response:	We wouldnt ordinarily turn such a nice young lady as yourself away, but
context: Actually, Im being chased.\If they find me,\Ill be killed for sure!\Ooh! Thats quite the story.\Oh.\Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but response:	It stinks.
context: If they find me,\Ill be killed for sure!\Ooh! Thats quite the story.\Oh.\Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks. response:	Its another Chinese remedy.
context: Ill be killed for sure!\Ooh! Thats quite the story.\Oh.\Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy. response:	They call it Hansuke lotion.
context: Ooh! Thats quite the story.\Oh.\Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy.\They call it Hansuke lotion. response:	You see?
context: Oh.\Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy.\They call it Hansuke lotion.\You see? response:	If I stand in the rain any longer, my child
context: Its true.\Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy.\They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child response:	will surely die!
context: Well, its raining pretty hard.\We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy.\They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child\will surely die! response:	Are you pregnant?
context: We wouldnt ordinarily turn such a nice young lady as yourself away, but\It stinks.\Its another Chinese remedy.\They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child\will surely die!\Are you pregnant? response:	Goodness, I cant believe you!
context: It stinks.\Its another Chinese remedy.\They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child\will surely die!\Are you pregnant?\Goodness, I cant believe you! response:	Mistress!
context: Its another Chinese remedy.\They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child\will surely die!\Are you pregnant?\Goodness, I cant believe you!\Mistress! response:	Tokuji, why arent you just kicking her out?
context: They call it Hansuke lotion.\You see?\If I stand in the rain any longer, my child\will surely die!\Are you pregnant?\Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out? response:	Im sorry, but we dont want any trouble.
context: You see?\If I stand in the rain any longer, my child\will surely die!\Are you pregnant?\Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble. response:	Get out of here!
context: If I stand in the rain any longer, my child\will surely die!\Are you pregnant?\Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here! response:	If I do leave, by tomorrow morning
context: will surely die!\Are you pregnant?\Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning response:	my corpse and that of my infant child will be lying in your doorway.
context: Are you pregnant?\Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway. response:	Dont you think that would get you in a good deal of trouble?
context: Goodness, I cant believe you!\Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble? response:	I dont take kindly to threats.
context: Mistress!\Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats. response:	It isnt a threat!
context: Tokuji, why arent you just kicking her out?\Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat! response:	I want to raise a healthy child!
context: Im sorry, but we dont want any trouble.\Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child! response:	If I stay outside, I wont be able to protect him!
context: Get out of here!\If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him! response:	Tokuji,
context: If I do leave, by tomorrow morning\my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji, response:	a word.
context: my corpse and that of my infant child will be lying in your doorway.\Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji,\a word. response:	Please!
context: Dont you think that would get you in a good deal of trouble?\I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji,\a word.\Please! response:	Sure.
context: I dont take kindly to threats.\It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji,\a word.\Please!\Sure. response:	Please!
context: It isnt a threat!\I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji,\a word.\Please!\Sure.\Please! response:	Please! Please!
context: I want to raise a healthy child!\If I stay outside, I wont be able to protect him!\Tokuji,\a word.\Please!\Sure.\Please!\Please! Please! response:	Take her upstairs.
context: If I stay outside, I wont be able to protect him!\Tokuji,\a word.\Please!\Sure.\Please!\Please! Please!\Take her upstairs. response:	Take her upstairs.
context: Tokuji,\a word.\Please!\Sure.\Please!\Please! Please!\Take her upstairs.\Take her upstairs. response:	Wha!?
context: a word.\Please!\Sure.\Please!\Please! Please!\Take her upstairs.\Take her upstairs.\Wha!? response:	That room?
context: Please!\Sure.\Please!\Please! Please!\Take her upstairs.\Take her upstairs.\Wha!?\That room? response:	It cant be helped.
context: Sure.\Please!\Please! Please!\Take her upstairs.\Take her upstairs.\Wha!?\That room?\It cant be helped. response:	Ill take her there, you get a bed ready.
context: Please!\Please! Please!\Take her upstairs.\Take her upstairs.\Wha!?\That room?\It cant be helped.\Ill take her there, you get a bed ready. response:	All right.
context: Please! Please!\Take her upstairs.\Take her upstairs.\Wha!?\That room?\It cant be helped.\Ill take her there, you get a bed ready.\All right. response:	Um, I
context: Take her upstairs.\Take her upstairs.\Wha!?\That room?\It cant be helped.\Ill take her there, you get a bed ready.\All right.\Um, I response:	I am in your debt.
context: Take her upstairs.\Wha!?\That room?\It cant be helped.\Ill take her there, you get a bed ready.\All right.\Um, I\I am in your debt. response:	There we go.
context: Wha!?\That room?\It cant be helped.\Ill take her there, you get a bed ready.\All right.\Um, I\I am in your debt.\There we go. response:	She could have stayed in my room.
context: That room?\It cant be helped.\Ill take her there, you get a bed ready.\All right.\Um, I\I am in your debt.\There we go.\She could have stayed in my room. response:	We dont usually let customers in this room, so keep this to yourself.
context: It cant be helped.\Ill take her there, you get a bed ready.\All right.\Um, I\I am in your debt.\There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself. response:	Just try not to cause any trouble.
context: Ill take her there, you get a bed ready.\All right.\Um, I\I am in your debt.\There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble. response:	I will.
context: All right.\Um, I\I am in your debt.\There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will. response:	Um, maam?
context: Um, I\I am in your debt.\There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will.\Um, maam? response:	What now?
context: I am in your debt.\There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will.\Um, maam?\What now? response:	I dont care what it is, but Id like something to eat.
context: There we go.\She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will.\Um, maam?\What now?\I dont care what it is, but Id like something to eat. response:	I wonder who did this.
context: She could have stayed in my room.\We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will.\Um, maam?\What now?\I dont care what it is, but Id like something to eat.\I wonder who did this. response:	Well, Ill have Tokuji take care of it in the morning.
context: We dont usually let customers in this room, so keep this to yourself.\Just try not to cause any trouble.\I will.\Um, maam?\What now?\I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning. response:	I couldnt make much more than a bit of rice.
context: Just try not to cause any trouble.\I will.\Um, maam?\What now?\I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice. response:	Thats just fine.
context: I will.\Um, maam?\What now?\I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine. response:	What are you doing?
context: Um, maam?\What now?\I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing? response:	Theyre up awfully late.
context: What now?\I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing?\Theyre up awfully late. response:	Youll be able to eat all you like, soon.
context: I dont care what it is, but Id like something to eat.\I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon. response:	You really want this child, dont you?
context: I wonder who did this.\Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you? response:	I do.
context: Well, Ill have Tokuji take care of it in the morning.\I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you?\I do. response:	Im obviously not privy to all the details, but can you really raise it on your own?
context: I couldnt make much more than a bit of rice.\Thats just fine.\What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own? response:	I intend to.
context: Thats just fine.\What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to. response:	Ah, do you now?
context: What are you doing?\Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now? response:	Well, at least youre young.
context: Theyre up awfully late.\Youll be able to eat all you like, soon.\You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now?\Well, at least youre young. response:	Seems a bit naive, though.
context: Youll be able to eat all you like, soon.\You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now?\Well, at least youre young.\Seems a bit naive, though. response:	You dont even have a steady supply of food.
context: You really want this child, dont you?\I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now?\Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food. response:	Are you sure youre not giving birth simply out of spite?
context: I do.\Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now?\Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite? response:	Do you think it would be happy with no-one to care for it?
context: Im obviously not privy to all the details, but can you really raise it on your own?\I intend to.\Ah, do you now?\Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it? response:	I want him to live.
context: I intend to.\Ah, do you now?\Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live. response:	What a strange woman. So strong-willed, almost to a fault.
context: Ah, do you now?\Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault. response:	I was never able to do anything as irresponsible as that.
context: Well, at least youre young.\Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that. response:	Maam?
context: Seems a bit naive, though.\You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam? response:	So warm.
context: You dont even have a steady supply of food.\Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam?\So warm. response:	Your bed will be here shortly.
context: Are you sure youre not giving birth simply out of spite?\Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam?\So warm.\Your bed will be here shortly. response:	Oh, right.
context: Do you think it would be happy with no-one to care for it?\I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam?\So warm.\Your bed will be here shortly.\Oh, right. response:	I have to make you some food, too.
context: I want him to live.\What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam?\So warm.\Your bed will be here shortly.\Oh, right.\I have to make you some food, too. response:	Thank you so much.
context: What a strange woman. So strong-willed, almost to a fault.\I was never able to do anything as irresponsible as that.\Maam?\So warm.\Your bed will be here shortly.\Oh, right.\I have to make you some food, too.\Thank you so much. response:	A doll?
context: I was never able to do anything as irresponsible as that.\Maam?\So warm.\Your bed will be here shortly.\Oh, right.\I have to make you some food, too.\Thank you so much.\A doll? response:	Hey there, Medicine Seller, whats the matter?
context: Maam?\So warm.\Your bed will be here shortly.\Oh, right.\I have to make you some food, too.\Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter? response:	I was heading to the lavatory.
context: So warm.\Your bed will be here shortly.\Oh, right.\I have to make you some food, too.\Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory. response:	I got a little lost.
context: Your bed will be here shortly.\Oh, right.\I have to make you some food, too.\Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost. response:	Oh, well then.
context: Oh, right.\I have to make you some food, too.\Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost.\Oh, well then. response:	Its just at the end of that hall.
context: I have to make you some food, too.\Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost.\Oh, well then.\Its just at the end of that hall. response:	Thank you.
context: Thank you so much.\A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost.\Oh, well then.\Its just at the end of that hall.\Thank you. response:	Are there any rooms above here?
context: A doll?\Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost.\Oh, well then.\Its just at the end of that hall.\Thank you.\Are there any rooms above here? response:	None at all. Its just a storeroom.
context: Hey there, Medicine Seller, whats the matter?\I was heading to the lavatory.\I got a little lost.\Oh, well then.\Its just at the end of that hall.\Thank you.\Are there any rooms above here?\None at all. Its just a storeroom. response:	I would ask you not to go up.
context: I was heading to the lavatory.\I got a little lost.\Oh, well then.\Its just at the end of that hall.\Thank you.\Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up. response:	I see.
context: I got a little lost.\Oh, well then.\Its just at the end of that hall.\Thank you.\Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up.\I see. response:	Oh, I should pay for those medicines.
context: Oh, well then.\Its just at the end of that hall.\Thank you.\Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up.\I see.\Oh, I should pay for those medicines. response:	No,
context: Its just at the end of that hall.\Thank you.\Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up.\I see.\Oh, I should pay for those medicines.\No, response:	tomorrow will be fine.
context: Thank you.\Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up.\I see.\Oh, I should pay for those medicines.\No,\tomorrow will be fine. response:	Good night to you.
context: Are there any rooms above here?\None at all. Its just a storeroom.\I would ask you not to go up.\I see.\Oh, I should pay for those medicines.\No,\tomorrow will be fine.\Good night to you. response:	Where did I drop my charm?
context: None at all. Its just a storeroom.\I would ask you not to go up.\I see.\Oh, I should pay for those medicines.\No,\tomorrow will be fine.\Good night to you.\Where did I drop my charm? response:	Give that back!
context: I would ask you not to go up.\I see.\Oh, I should pay for those medicines.\No,\tomorrow will be fine.\Good night to you.\Where did I drop my charm?\Give that back! response:	Where did you
