context: Jeez... response:	Damn it, this pisses me off.
context: That woman's pretty watchful.\If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse. response:	Why the hell didn't you clean up your dog's shit?
context: If that woman or her brat, Josuke, drank this milk,\my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit? response:	On top of that, you just threw your cigarette on the ground, didn't you?
context: my Stand, Aqua Necklace, could have possessed them!\Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you? response:	Don't get cocky!
context: Another one? You just keep going, don't you?\When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky! response:	Because those who get cocky...
context: When the police infiltrated the area where the boy was being held,\they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky... response:	can just swallow my Stand and die.
context: they found a truly horrific sight.\The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die. response:	Jojo's Bizarre Adventure
context: The boy was dead, and his privates\had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: had been chopped off and nailed to a pillar near the corpse.\Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 2 Josuke Higashikata! Meets Angelo
context: Why the hell didn't you clean up your dog's shit?\On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo response:	So it seemed like that Stand had possessed the robber...
context: On top of that, you just threw your cigarette on the ground, didn't you?\Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber... response:	Or rather, it was just in his body. It didn't attack me.
context: Don't get cocky!\Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me. response:	Was Angelo nearby? The guy in the picture.
context: Because those who get cocky...\can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture. response:	No, I didn't see him.
context: can just swallow my Stand and die.\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him. response:	Damn it, my hair's not setting right.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right. response:	Listen up. That Stand's power is weak, but it can be controlled remotely.
context: Diamond is Unbreakable\Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely. response:	It's the type that can somehow enter people.
context: Episode 2 Josuke Higashikata! Meets Angelo\So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people. response:	I'm heading to your house now.
context: So it seemed like that Stand had possessed the robber...\Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now. response:	Huh? Right now?
context: Or rather, it was just in his body. It didn't attack me.\Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now? response:	Don't eat or drink anything until I get there.
context: Was Angelo nearby? The guy in the picture.\No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there. response:	That includes tap water.
context: No, I didn't see him.\Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water. response:	Don't shower or use the bathroom, either. Got it?
context: Damn it, my hair's not setting right.\Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it? response:	Hold on a second. I haven't told my mom about you yet.
context: Listen up. That Stand's power is weak, but it can be controlled remotely.\It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet. response:	My mom's pretty tough, but it seems that she still loves Joseph Joestar,
context: It's the type that can somehow enter people.\I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar, response:	and cries when she thinks about him.
context: I'm heading to your house now.\Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him. response:	She'll know who you are with one look.
context: Huh? Right now?\Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look. response:	Josuke, where did this picture come from?
context: Don't eat or drink anything until I get there.\That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from? response:	This is the milkman from earlier...
context: That includes tap water.\Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier... response:	Do you know him?
context: Don't shower or use the bathroom, either. Got it?\Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him? response:	Hey, Josuke. What's wrong?
context: Hold on a second. I haven't told my mom about you yet.\My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong? response:	Crap! I was too late.
context: My mom's pretty tough, but it seems that she still loves Joseph Joestar,\and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late. response:	I just saw that thing go into my mom's mouth from the coffee!
context: and cries when she thinks about him.\She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee! response:	Hello? Josuke? Hey! Josuke!
context: She'll know who you are with one look.\Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke! response:	Josuke, you want some coffee, too?
context: Josuke, where did this picture come from?\This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too? response:	Yeah, sure. Could you put in some milk and sugar for me?
context: This is the milkman from earlier...\Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me? response:	Milk and sugar, right?
context: Do you know him?\Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right? response:	Do-
context: Hey, Josuke. What's wrong?\Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do- response:	Boom
context: Crap! I was too late.\I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do-\Boom response:	Josuke? Was it milk and sugar?
context: I just saw that thing go into my mom's mouth from the coffee!\Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do-\Boom\Josuke? Was it milk and sugar? response:	Yeah.
context: Hello? Josuke? Hey! Josuke!\Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do-\Boom\Josuke? Was it milk and sugar?\Yeah. response:	Hello? Jotaro?
context: Josuke, you want some coffee, too?\Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do-\Boom\Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro? response:	I caught that Stand, but...
context: Yeah, sure. Could you put in some milk and sugar for me?\Milk and sugar, right?\Do-\Boom\Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro?\I caught that Stand, but... response:	What?
context: Milk and sugar, right?\Do-\Boom\Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro?\I caught that Stand, but...\What? response:	What should I do with it?
context: Do-\Boom\Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro?\I caught that Stand, but...\What?\What should I do with it? response:	How in the hell...
context: Boom\Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro?\I caught that Stand, but...\What?\What should I do with it?\How in the hell... response:	Be careful. Angelo should be watching over your house from somewhere.
context: Josuke? Was it milk and sugar?\Yeah.\Hello? Jotaro?\I caught that Stand, but...\What?\What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere. response:	Don't take your eyes off that Stand.
context: Yeah.\Hello? Jotaro?\I caught that Stand, but...\What?\What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand. response:	I'll be right there.
context: Hello? Jotaro?\I caught that Stand, but...\What?\What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there. response:	Angelo, Criminal Condemned to Death, Escapes
context: I caught that Stand, but...\What?\What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes response:	There's no doubt that Angelo was able to escape prison and death row
context: What?\What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row response:	because he used his Stand.
context: What should I do with it?\How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand. response:	But I still don't know the specifics of that Stand's power.
context: How in the hell...\Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power. response:	Dead ball!
context: Be careful. Angelo should be watching over your house from somewhere.\Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball! response:	And that's the game!
context: Don't take your eyes off that Stand.\I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game! response:	The game ends with a dead ball!
context: I'll be right there.\Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game!\The game ends with a dead ball! response:	There, there.
context: Angelo, Criminal Condemned to Death, Escapes\There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game!\The game ends with a dead ball!\There, there. response:	You little shit!
context: There's no doubt that Angelo was able to escape prison and death row\because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game!\The game ends with a dead ball!\There, there.\You little shit! response:	Josuke! You need to get going, or you'll be late!
context: because he used his Stand.\But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game!\The game ends with a dead ball!\There, there.\You little shit!\Josuke! You need to get going, or you'll be late! response:	I'll kill them both! That little brat and his hot mom!
context: But I still don't know the specifics of that Stand's power.\Dead ball!\And that's the game!\The game ends with a dead ball!\There, there.\You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom! response:	Yup!
context: Dead ball!\And that's the game!\The game ends with a dead ball!\There, there.\You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup! response:	I need to either get the cap off
context: And that's the game!\The game ends with a dead ball!\There, there.\You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off response:	or break open this bottle, somehow...
context: The game ends with a dead ball!\There, there.\You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off\or break open this bottle, somehow... response:	He's...
context: There, there.\You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off\or break open this bottle, somehow...\He's... response:	I'm home. You really feel it when you work the night shift at my age.
context: You little shit!\Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off\or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age. response:	Higashikata...
context: Josuke! You need to get going, or you'll be late!\I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off\or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata... response:	Come to think of it, it's the same name.
context: I'll kill them both! That little brat and his hot mom!\Yup!\I need to either get the cap off\or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name. response:	So this is Officer Higashikata's house.
context: Yup!\I need to either get the cap off\or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house. response:	I haven't seen him since I was 12. Talk about memories.
context: I need to either get the cap off\or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories. response:	I know everything about you!
context: or break open this bottle, somehow...\He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories.\I know everything about you! response:	Freeze.
context: He's...\I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories.\I know everything about you!\Freeze. response:	Josuke, why aren't you at school?
context: I'm home. You really feel it when you work the night shift at my age.\Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories.\I know everything about you!\Freeze.\Josuke, why aren't you at school? response:	Are you allowed to take your gun home, Gramps?
context: Higashikata...\Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories.\I know everything about you!\Freeze.\Josuke, why aren't you at school?\Are you allowed to take your gun home, Gramps? response:	Oh, shush! Answer me.
context: Come to think of it, it's the same name.\So this is Officer Higashikata's house.\I haven't seen him since I was 12. Talk about memories.\I know everything about you!\Freeze.\Josuke, why aren't you at school?\Are you allowed to take your gun home, Gramps?\Oh, shush! Answer me. response:	I-I'm going! I'm just waiting for someone.
