context: And you... response:	When I felt the strongest for you, you knocked me down.
context: After leaving Grand Ziming Palace, I did blame and hate you.\But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more.\Li Jing. response:	You are indeed the only man that I wholeheartedly loved
context: But when I lost too much blood in Yanhua Cave\and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved response:	in all my 140,000 years.
context: and my life was hanging by a thread...\I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years. response:	It's just that too much time has passed.
context: I discovered that your face was not what I saw in my head.\That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed. response:	We cannot return to the way we were.
context: That was when I knew my heartbreak was over.\I was finally free.\A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were. response:	I understood this too late.
context: I was finally free.\A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late. response:	And so...
context: A-Yin, don't say any more.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late.\And so... response:	you aren't in the same place, waiting for me.
context: Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late.\And so...\you aren't in the same place, waiting for me. response:	From now on, we are acquaintances.
context: You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late.\And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances. response:	Farewell.
context: in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late.\And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell. response:	They were clearly such sweet words.
context: It's just that too much time has passed.\We cannot return to the way we were.\I understood this too late.\And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell.\They were clearly such sweet words. response:	But how come they sounded so heartbreaking coming from you?
context: We cannot return to the way we were.\I understood this too late.\And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you? response:	Look at the sky. I'm afraid it'll be raining soon.
context: I understood this too late.\And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon. response:	We should hurry.
context: And so...\you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry. response:	Are you here to see Aunt?
context: you aren't in the same place, waiting for me.\From now on, we are acquaintances.\Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt? response:	Didn't she just return last night? Where has she gone now?
context: From now on, we are acquaintances.\Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now? response:	To the Celestial Palace.
context: Farewell.\They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace. response:	The Crown Prince said
context: They were clearly such sweet words.\But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said response:	the Lord of Numinous Treasures has a Heavenly Spring.
context: But how come they sounded so heartbreaking coming from you?\Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring. response:	A soak in it will aid Aunt's recovery
context: Look at the sky. I'm afraid it'll be raining soon.\We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery response:	so he took Aunt to the Nine Heavens.
context: We should hurry.\Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens. response:	Where is Zhen Zhen?
context: Are you here to see Aunt?\Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen? response:	Fourth Uncle has gone to the market.
context: Didn't she just return last night? Where has she gone now?\To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market. response:	He said he was going to pick ingredients himself
context: To the Celestial Palace.\The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself response:	to cook dinner for you.
context: The Crown Prince said\the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you. response:	He isn't Feng Jiu. Is his cooking edible?
context: the Lord of Numinous Treasures has a Heavenly Spring.\A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible? response:	It'll just be torture for me.
context: A soak in it will aid Aunt's recovery\so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me. response:	By the way, I came for another important matter.
context: so he took Aunt to the Nine Heavens.\Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter. response:	A few days ago, when Bai Qian brought Mo Yuan back
context: Where is Zhen Zhen?\Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back response:	did she bring him back to Yanhua Cave?
context: Fourth Uncle has gone to the market.\He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave? response:	Yes, Mo Yuan is still in Yanhua Cave.
context: He said he was going to pick ingredients himself\to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave. response:	However, it wasn't Aunt who placed him there.
context: to cook dinner for you.\He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there. response:	When she returned, she was very injured and unconscious.
context: He isn't Feng Jiu. Is his cooking edible?\It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious. response:	It was the Crown Prince who brought Mo Yuan back.
context: It'll just be torture for me.\By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back. response:	Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?
context: By the way, I came for another important matter.\A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet? response:	All right. Please follow me.
context: A few days ago, when Bai Qian brought Mo Yuan back\did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me. response:	I can go in by myself. You can head back.
context: did she bring him back to Yanhua Cave?\Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back. response:	Yes.
context: Yes, Mo Yuan is still in Yanhua Cave.\However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back.\Yes. response:	Don't tell anyone yet that I came to see Mo Yuan.
context: However, it wasn't Aunt who placed him there.\When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan. response:	Yes, High God.
context: When she returned, she was very injured and unconscious.\It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God. response:	Zhe Yan! Come, let's drink.
context: It was the Crown Prince who brought Mo Yuan back.\Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink. response:	What wine is this? It's certain to be inferior to mine.
context: Why don't you take me to see Mo Yuan since Zhen Zhen isn't back yet?\All right. Please follow me.\I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine. response:	It seems you've wasted your money again.
context: All right. Please follow me.\I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again. response:	This is already the best wine in Qing Qiu.
context: I can go in by myself. You can head back.\Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu. response:	Just bear with it for today.
context: Yes.\Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today. response:	I'm afraid I won't have the time today.
context: Don't tell anyone yet that I came to see Mo Yuan.\Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today. response:	I must hurry back to Ten-mile Peach Tree Woods.
context: Yes, High God.\Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods. response:	Back to the woods?
context: Zhe Yan! Come, let's drink.\What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods? response:	Didn't you say you were going to stay in the Fox Den for a few days?
context: What wine is this? It's certain to be inferior to mine.\It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days? response:	I thought of a way that could save the West Sea's eldest prince
context: It seems you've wasted your money again.\This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince response:	but I must hurry back to the woods to look through my medical texts.
context: This is already the best wine in Qing Qiu.\Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts. response:	Is that true?
context: Just bear with it for today.\I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true? response:	Then hurry.
context: I'm afraid I won't have the time today.\I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry. response:	Come back soon!
context: I must hurry back to Ten-mile Peach Tree Woods.\Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry.\Come back soon! response:	It is as I expected.
context: Back to the woods?\Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry.\Come back soon!\It is as I expected. response:	Kunlun Mountain is a divine mountain formed at the apex of dragon bones.
context: Didn't you say you were going to stay in the Fox Den for a few days?\I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry.\Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones. response:	It was abandoned after Mo Yuan left.
context: I thought of a way that could save the West Sea's eldest prince\but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry.\Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left. response:	Now, there is a faint trace of divine energy
context: but I must hurry back to the woods to look through my medical texts.\Is that true?\Then hurry.\Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy response:	bubbling up from the base of the mountain.
context: Is that true?\Then hurry.\Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain. response:	There is surely some unusual activity happening here.
context: Then hurry.\Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here. response:	High God Zhe Yan.
context: Come back soon!\It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan. response:	You are...
context: It is as I expected.\Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan.\You are... response:	Second Disciple of Kunlun Mountain.
context: Kunlun Mountain is a divine mountain formed at the apex of dragon bones.\It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain. response:	I saw you before when Si Yin became a disciple.
context: It was abandoned after Mo Yuan left.\Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple. response:	That's correct. I had the fortune to see you then.
