context: If you do not resist, I can make your death painless. response:	Why are you doing this?
context: I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes.\Damn, I'm pathetic...\I was so sure we were getting along well.\My sister\I don't wanna hear it!\Take this! response:	My leg!
context: Is that how little you trusted me?\Yes.\Damn, I'm pathetic...\I was so sure we were getting along well.\My sister\I don't wanna hear it!\Take this!\My leg! response:	Mana of water, heal this damaged body.
context: Yes.\Damn, I'm pathetic...\I was so sure we were getting along well.\My sister\I don't wanna hear it!\Take this!\My leg!\Mana of water, heal this damaged body. response:	If you die so easily,
context: Damn, I'm pathetic...\I was so sure we were getting along well.\My sister\I don't wanna hear it!\Take this!\My leg!\Mana of water, heal this damaged body.\If you die so easily, response:	I cannot get any information from you.
context: I was so sure we were getting along well.\My sister\I don't wanna hear it!\Take this!\My leg!\Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you. response:	If you had stabbed me with this,
context: My sister\I don't wanna hear it!\Take this!\My leg!\Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you.\If you had stabbed me with this, response:	you could have fled a bit farther.
context: I don't wanna hear it!\Take this!\My leg!\Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther. response:	I ask you this...
context: Take this!\My leg!\Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther.\I ask you this... response:	Are you a member of the faction that supports Emilia-sama's rival for the throne?
context: My leg!\Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne? response:	My heart belongs to Emilia-tan forever
context: Mana of water, heal this damaged body.\If you die so easily,\I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever response:	Who hired you, and under what conditions?
context: If you die so easily,\I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions? response:	Emilia-tan's smile, and it was priceless
context: I cannot get any information from you.\If you had stabbed me with this,\you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless response:	Are you affiliated with the witch's cult?
context: If you had stabbed me with this,\you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult? response:	The witch's cult?
context: you could have fled a bit farther.\I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult? response:	I don't know what that is...
context: I ask you this...\Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is... response:	My family has been secular for generations
context: Are you a member of the faction that supports Emilia-sama's rival for the throne?\My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is...\My family has been secular for generations response:	Don't play dumb!
context: My heart belongs to Emilia-tan forever\Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is...\My family has been secular for generations\Don't play dumb! response:	Your bald-faced lies can only take you so far,
context: Who hired you, and under what conditions?\Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is...\My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far, response:	when the witch's smell lies thickly upon you!
context: Emilia-tan's smile, and it was priceless\Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is...\My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you! response:	When I watched you conversing with my sister,
context: Are you affiliated with the witch's cult?\The witch's cult?\I don't know what that is...\My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister, response:	I felt I would go mad with anger and unrest.
context: The witch's cult?\I don't know what that is...\My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest. response:	Someone associated with the one who has caused my sister so much agony,
context: I don't know what that is...\My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony, response:	boldly encroaching on the place in which she and I belong...
context: My family has been secular for generations\Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong... response:	I cannot bear it any longer.
context: Don't play dumb!\Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer. response:	Even if I know my sister only acts friendly with, and pretends to care for, you!
context: Your bald-faced lies can only take you so far,\when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you! response:	I don't cut my hands when I peel vegetables anymore.
context: when the witch's smell lies thickly upon you!\When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore. response:	I can read and write now, even if it's just the simple stuff.
context: When I watched you conversing with my sister,\I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff. response:	I kept my word and studied.
context: I felt I would go mad with anger and unrest.\Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied. response:	I was able to read those fairy tales.
context: Someone associated with the one who has caused my sister so much agony,\boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales. response:	Thanks to you two...
context: boldly encroaching on the place in which she and I belong...\I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two... response:	What are you talking about?
context: I cannot bear it any longer.\Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two...\What are you talking about? response:	I'm talking about the things you guys gave me.
context: Even if I know my sister only acts friendly with, and pretends to care for, you!\I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me. response:	I have no memory of any of that.
context: I don't cut my hands when I peel vegetables anymore.\I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that. response:	Why don't you remember?!
context: I can read and write now, even if it's just the simple stuff.\I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?! response:	Why do you all keep leaving me behind?
context: I kept my word and studied.\I was able to read those fairy tales.\Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind? response:	What did I do to you?
context: I was able to read those fairy tales.\Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you? response:	What am I supposed to do?
context: Thanks to you two...\What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do? response:	What did I do wrong?
context: What are you talking about?\I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do?\What did I do wrong? response:	Why do you guys hate me so much?
context: I'm talking about the things you guys gave me.\I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much? response:	Even when you said you'd cut my hair...
context: I have no memory of any of that.\Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair... response:	All that time, I...
context: Why don't you remember?!\Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I... response:	I really like both of y
context: Why do you all keep leaving me behind?\What did I do to you?\What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I...\I really like both of y response:	My sister is too kind.
context: What did I do to you?\What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I...\I really like both of y\My sister is too kind. response:	Sir, have you awakened?
context: What am I supposed to do?\What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I...\I really like both of y\My sister is too kind.\Sir, have you awakened? response:	Sir, you're awake?
context: What did I do wrong?\Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I...\I really like both of y\My sister is too kind.\Sir, have you awakened?\Sir, you're awake? response:	Subaru, Ram and Rem were really worried.
context: Why do you guys hate me so much?\Even when you said you'd cut my hair...\All that time, I...\I really like both of y\My sister is too kind.\Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried. response:	They were unusually despondent, wondering if they'd been impolite...
context: Even when you said you'd cut my hair...\All that time, I...\I really like both of y\My sister is too kind.\Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite... response:	Nothing happened between them and me.
context: All that time, I...\I really like both of y\My sister is too kind.\Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me. response:	Subaru, are you all right?
context: I really like both of y\My sister is too kind.\Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right? response:	If something's wrong,
context: My sister is too kind.\Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right?\If something's wrong, response:	If I could tell Emilia that it's no use, that I can't take any more...
context: Sir, have you awakened?\Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more... response:	That's it.
context: Sir, you're awake?\Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it. response:	What?
context: Subaru, Ram and Rem were really worried.\They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What? response:	All this time, I've been struggling to change things alone, but...
context: They were unusually despondent, wondering if they'd been impolite...\Nothing happened between them and me.\Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What?\All this time, I've been struggling to change things alone, but... response:	Subaru, are you sure you're all right?
context: Nothing happened between them and me.\Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right? response:	There's something I want you to know.
context: Subaru, are you all right?\If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know. response:	Okay.
context: If something's wrong,\If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know.\Okay. response:	Emilia... Several times up till now, I've died.
context: If I could tell Emilia that it's no use, that I can't take any more...\That's it.\What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died. response:	Whoa... Wait.
context: That's it.\What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait. response:	This is seriously no joke...
context: What?\All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke... response:	Subaru?
context: All this time, I've been struggling to change things alone, but...\Subaru, are you sure you're all right?\There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke...\Subaru? response:	Subaru!
context: Subaru, are you sure you're all right?\There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke...\Subaru?\Subaru! response:	What happened, all of a sudden?
context: There's something I want you to know.\Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke...\Subaru?\Subaru!\What happened, all of a sudden? response:	My body moves.
context: Okay.\Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke...\Subaru?\Subaru!\What happened, all of a sudden?\My body moves. response:	My voice works.
context: Emilia... Several times up till now, I've died.\Whoa... Wait.\This is seriously no joke...\Subaru?\Subaru!\What happened, all of a sudden?\My body moves.\My voice works. response:	My heart doesn't hurt.
context: Whoa... Wait.\This is seriously no joke...\Subaru?\Subaru!\What happened, all of a sudden?\My body moves.\My voice works.\My heart doesn't hurt. response:	But...
context: This is seriously no joke...\Subaru?\Subaru!\What happened, all of a sudden?\My body moves.\My voice works.\My heart doesn't hurt.\But... response:	The fear is engraved in me...
context: Subaru?\Subaru!\What happened, all of a sudden?\My body moves.\My voice works.\My heart doesn't hurt.\But...\The fear is engraved in me... response:	What's wrong?
context: Subaru!\What happened, all of a sudden?\My body moves.\My voice works.\My heart doesn't hurt.\But...\The fear is engraved in me...\What's wrong? response:	You've been acting really strange.
context: What happened, all of a sudden?\My body moves.\My voice works.\My heart doesn't hurt.\But...\The fear is engraved in me...\What's wrong?\You've been acting really strange. response:	Subaru, if something's going on
context: My body moves.\My voice works.\My heart doesn't hurt.\But...\The fear is engraved in me...\What's wrong?\You've been acting really strange.\Subaru, if something's going on response:	I have a favor to ask.
context: My voice works.\My heart doesn't hurt.\But...\The fear is engraved in me...\What's wrong?\You've been acting really strange.\Subaru, if something's going on\I have a favor to ask. response:	Okay.
context: My heart doesn't hurt.\But...\The fear is engraved in me...\What's wrong?\You've been acting really strange.\Subaru, if something's going on\I have a favor to ask.\Okay. response:	Have nothing to do with me.
context: But...\The fear is engraved in me...\What's wrong?\You've been acting really strange.\Subaru, if something's going on\I have a favor to ask.\Okay.\Have nothing to do with me. response:	I can't tell anyone about Return by Death.
context: The fear is engraved in me...\What's wrong?\You've been acting really strange.\Subaru, if something's going on\I have a favor to ask.\Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death. response:	I've died in this mansion three times.
context: What's wrong?\You've been acting really strange.\Subaru, if something's going on\I have a favor to ask.\Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times. response:	In the capital, I didn't experience a fourth time.
context: You've been acting really strange.\Subaru, if something's going on\I have a favor to ask.\Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time. response:	If I die again,
context: Subaru, if something's going on\I have a favor to ask.\Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again, response:	I might not come back.
context: I have a favor to ask.\Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again,\I might not come back. response:	That's quite a cowardly look on your face, I suppose.
context: Okay.\Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose. response:	Why are you here?
context: Have nothing to do with me.\I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here? response:	The brat and Bubby told me to come and check on you.
context: I can't tell anyone about Return by Death.\I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you. response:	Puck and Emilia?
context: I've died in this mansion three times.\In the capital, I didn't experience a fourth time.\If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia? response:	Since you were acting strangely,
context: In the capital, I didn't experience a fourth time.\If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely, response:	they suspected I did something to you when you first woke up, I suppose.
context: If I die again,\I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose. response:	Talk about rude!
context: I might not come back.\That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude! response:	I get it. I'm okay now.
context: That's quite a cowardly look on your face, I suppose.\Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now. response:	You came to apologize.
context: Why are you here?\The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now.\You came to apologize. response:	That's enough.
context: The brat and Bubby told me to come and check on you.\Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now.\You came to apologize.\That's enough. response:	Why should I apologize to you, I suppose?
context: Puck and Emilia?\Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now.\You came to apologize.\That's enough.\Why should I apologize to you, I suppose? response:	I can't leave until I correct that notion.
context: Since you were acting strangely,\they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now.\You came to apologize.\That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion. response:	Not only do you look gloomy,
context: they suspected I did something to you when you first woke up, I suppose.\Talk about rude!\I get it. I'm okay now.\You came to apologize.\That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy, response:	but the smell is much heavier now, too.
context: Talk about rude!\I get it. I'm okay now.\You came to apologize.\That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too. response:	Huh?
context: I get it. I'm okay now.\You came to apologize.\That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too.\Huh? response:	The smell of the witch.
context: You came to apologize.\That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too.\Huh?\The smell of the witch. response:	I feel it's bending my nose, I suppose.
context: That's enough.\Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too.\Huh?\The smell of the witch.\I feel it's bending my nose, I suppose. response:	Witch... You mean the Jealous Witch?
context: Why should I apologize to you, I suppose?\I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too.\Huh?\The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch? response:	What else in the world would someone mean when they bring up a witch?
context: I can't leave until I correct that notion.\Not only do you look gloomy,\but the smell is much heavier now, too.\Huh?\The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch? response:	Why do you smell her on me?
context: Not only do you look gloomy,\but the smell is much heavier now, too.\Huh?\The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me? response:	Who knows?
context: but the smell is much heavier now, too.\Huh?\The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows? response:	Regardless, as someone who receives special treatment from her,
context: Huh?\The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her, response:	you're a burden.
context: The smell of the witch.\I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden. response:	It's not too comforting to hear
context: I feel it's bending my nose, I suppose.\Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear response:	I'm getting special treatment from someone whose name and face I don't know.
context: Witch... You mean the Jealous Witch?\What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know. response:	If you have nothing to say, I'm leaving.
context: What else in the world would someone mean when they bring up a witch?\Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving. response:	I'll tell Bubby what you told me, I suppose.
context: Why do you smell her on me?\Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose. response:	Wait a minute...
context: Who knows?\Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute... response:	You feel sorry for what you did to me, right?
context: Regardless, as someone who receives special treatment from her,\you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right? response:	I do not.
context: you're a burden.\It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right?\I do not. response:	I'm telling Puck!
context: It's not too comforting to hear\I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right?\I do not.\I'm telling Puck! response:	Well, I might feel just a tiny bit sorry, I suppose.
context: I'm getting special treatment from someone whose name and face I don't know.\If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right?\I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose. response:	If you regret what you did and want my forgiveness,
context: If you have nothing to say, I'm leaving.\I'll tell Bubby what you told me, I suppose.\Wait a minute...\You feel sorry for what you did to me, right?\I do not.\I'm telling Puck!\Well, I might feel just a tiny bit sorry, I suppose.\If you regret what you did and want my forgiveness, response:	do me one favor that I ask.
