context: This is the command car. What's going on? response:	What happened?
context: Of course not.\I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good.\I'll be going.\Alright, take care. response:	Hey! Ouch!
context: I'm running late, so...\Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good.\I'll be going.\Alright, take care.\Hey! Ouch! response:	Hey, you! Wait... Hey, you stupid cat!
context: Really?\Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good.\I'll be going.\Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat! response:	Bat.
context: Speaking of which, don't they eat anything with four legs in your country, besides tables?\I haven't tried it myself, but...\It might taste good.\I'll be going.\Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat. response:	One hundred and forty yen.
context: I haven't tried it myself, but...\It might taste good.\I'll be going.\Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen. response:	School Visitation Day Notice
context: It might taste good.\I'll be going.\Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen.\School Visitation Day Notice response:	Li-kun, Li-kun, Li-kun.
context: I'll be going.\Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun. response:	Yes?
context: Alright, take care.\Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes? response:	Can you deliver this to the annex?
context: Hey! Ouch!\Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex? response:	Annex?
context: Hey, you! Wait... Hey, you stupid cat!\Bat.\One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex?\Annex? response:	You know, to Consultant Tahara's place in front of the office.
context: Bat.\One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office. response:	Isn't a consultant a high-ranking position?
context: One hundred and forty yen.\School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position? response:	Maybe.
context: School Visitation Day Notice\Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe. response:	It looks like he's been sleeping there and not going home. I have no idea what he's working on.
context: Li-kun, Li-kun, Li-kun.\Yes?\Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on. response:	They say he was once an important scientist.
context: Yes?\Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist. response:	Before he came here, he was apparently conducting strange research abroad.
context: Can you deliver this to the annex?\Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad. response:	Heard about the Hell's Gate First Reconnaissance Troop?
context: Annex?\You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop? response:	Rumor has it that he was the sole survivor of the incident.
context: You know, to Consultant Tahara's place in front of the office.\Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident. response:	Reconnaissance troop...
context: Isn't a consultant a high-ranking position?\Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop... response:	They say he lost his soul in that gate.
context: Maybe.\It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate. response:	Well, I don't know whether it's true or not.
context: It looks like he's been sleeping there and not going home. I have no idea what he's working on.\They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not. response:	Consultant, there's a package for you.
context: They say he was once an important scientist.\Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you. response:	Consultant Tahara?
context: Before he came here, he was apparently conducting strange research abroad.\Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara? response:	It's unlocked.
context: Heard about the Hell's Gate First Reconnaissance Troop?\Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara?\It's unlocked. response:	Um, the factory manager asked me to hand you this.
context: Rumor has it that he was the sole survivor of the incident.\Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this. response:	I-I'm sorry.
context: Reconnaissance troop...\They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry. response:	Forget it.
context: They say he lost his soul in that gate.\Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it. response:	Aren't you being paid by the hour?
context: Well, I don't know whether it's true or not.\Consultant, there's a package for you.\Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it.\Aren't you being paid by the hour? response:	Huh? Oh, yes.
context: Consultant, there's a package for you.\Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes. response:	Get back to work if you're finished.
context: Consultant Tahara?\It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished. response:	Yes.
context: It's unlocked.\Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished.\Yes. response:	Your room number is 802.
context: Um, the factory manager asked me to hand you this.\I-I'm sorry.\Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished.\Yes.\Your room number is 802. response:	Thank you.
context: I-I'm sorry.\Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished.\Yes.\Your room number is 802.\Thank you. response:	In order to avoid bankruptcy, you need that man's power, right?
context: Forget it.\Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished.\Yes.\Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right? response:	Let's hurry and obtain it if that's the case.
context: Aren't you being paid by the hour?\Huh? Oh, yes.\Get back to work if you're finished.\Yes.\Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case. response:	Isn't that why I'm here with you?
context: Huh? Oh, yes.\Get back to work if you're finished.\Yes.\Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you? response:	There are necessary procedures one must follow in order to conduct business.
context: Get back to work if you're finished.\Yes.\Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business. response:	Those procedures are a pain in the ass.
context: Yes.\Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass. response:	Honestly speaking, I hate you contractors.
context: Your room number is 802.\Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors. response:	Do you know why we're breathing the same air, even though it stinks of your bad breath?
context: Thank you.\In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath? response:	Reluctantly, all for the sake of business.
context: In order to avoid bankruptcy, you need that man's power, right?\Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business. response:	Furthermore, do you know why you're acting indifferently, despite what I just said?
context: Let's hurry and obtain it if that's the case.\Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said? response:	It's because you're a piece of garbage that can't manage to live without the protection of your patron.
context: Isn't that why I'm here with you?\There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron. response:	If you understand where I'm going with this, don't ever second-guess me.
context: There are necessary procedures one must follow in order to conduct business.\Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me. response:	Where's the bottle opener?
context: Those procedures are a pain in the ass.\Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener? response:	I see.
context: Honestly speaking, I hate you contractors.\Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see. response:	I better work hard so you don't throw me away.
context: Do you know why we're breathing the same air, even though it stinks of your bad breath?\Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see.\I better work hard so you don't throw me away. response:	If he declines, we'll move on to the next step.
context: Reluctantly, all for the sake of business.\Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step. response:	We'll keep going until he says yes.
context: Furthermore, do you know why you're acting indifferently, despite what I just said?\It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes. response:	If he still won't concede, we'll persuade him by force.
context: It's because you're a piece of garbage that can't manage to live without the protection of your patron.\If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force. response:	That's how I handle things.
context: If you understand where I'm going with this, don't ever second-guess me.\Where's the bottle opener?\I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things. response:	Hey! Go away!
context: Where's the bottle opener?\I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away! response:	Hey, what are you doing in a place like this?
context: I see.\I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this? response:	Yes?
context: I better work hard so you don't throw me away.\If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this?\Yes? response:	Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.
context: If he declines, we'll move on to the next step.\We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School. response:	Huh?
context: We'll keep going until he says yes.\If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh? response:	Hey, you!
context: If he still won't concede, we'll persuade him by force.\That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you! response:	Do you have a Japanese driver's license?
context: That's how I handle things.\Hey! Go away!\Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you!\Do you have a Japanese driver's license? response:	I'm asking if you can drive a car!
context: Hey! Go away!\Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car! response:	Yes.
context: Hey, what are you doing in a place like this?\Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes. response:	Episode Three
context: Yes?\Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes.\Episode Three response:	A New Star Shines in the Dawn Sky... (Part One)
context: Consultant? There's a call for you from the headmaster of Nishi Toyotama Middle School.\Huh?\Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One) response:	Geez, you're heartless.
context: Huh?\Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless. response:	Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.
context: Hey, you!\Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago. response:	How are things on your side?
context: Do you have a Japanese driver's license?\I'm asking if you can drive a car!\Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side? response:	Why is this person here?
context: I'm asking if you can drive a car!\Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here? response:	Well, you were under the custody of your mother,
context: Yes.\Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here?\Well, you were under the custody of your mother, response:	but ever since your mother passed away, you've been living with your father, correct?
context: Episode Three\A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct? response:	In that case, your legal guardian is...
context: A New Star Shines in the Dawn Sky... (Part One)\Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is... response:	I don't consider a person who only comes home once a month as my legal guardian.
context: Geez, you're heartless.\Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian. response:	My, we're lucky the notice came to the school and not to the police, but...
context: Two employees from Meyer Hilton checked into a hotel at Shinjuku thirty minutes ago.\How are things on your side?\Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but... response:	I'm telling you that I didn't commit arson!
context: How are things on your side?\Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson! response:	However, the person who witnessed it said you were burning trash at the back of the building.
context: Why is this person here?\Well, you were under the custody of your mother,\but ever since your mother passed away, you've been living with your father, correct?\In that case, your legal guardian is...\I don't consider a person who only comes home once a month as my legal guardian.\My, we're lucky the notice came to the school and not to the police, but...\I'm telling you that I didn't commit arson!\However, the person who witnessed it said you were burning trash at the back of the building. response:	I wasn't the one who burned it!
